date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,24.6,24.8,24.3,24.8,3.33,3031,149.64,23
2005-01-04 00:00:00+00,25.2,25.2,24.5,24.9,0.4,747,36.95,9
2005-01-05 00:00:00+00,24.9,24.9,24.3,24.9,0,646,32.15,7
2005-01-06 00:00:00+00,25,25,24.2,25,0.4,576,28.66,8
2005-01-07 00:00:00+00,25.1,26,25,26,4,5327,269.8,30
2005-01-10 00:00:00+00,26.1,28,26.1,27.5,5.77,9303,507.62,66
2005-01-11 00:00:00+00,27.5,27.9,27.5,27.5,0,2434,134.87,21
2005-01-12 00:00:00+00,27.5,27.6,27.1,27.6,0.36,550,30.19,10
2005-01-13 00:00:00+00,27.9,28.1,27.5,28.1,1.81,1189,66.37,13
2005-01-14 00:00:00+00,28.2,28.2,27.5,27.8,-1.07,923,51.25,7
2005-01-17 00:00:00+00,27,27,25.8,25.8,-7.19,925,49.19,15
2005-01-18 00:00:00+00,26,26.2,25,26.2,1.55,3745,191.67,23
2005-01-19 00:00:00+00,25.1,27,25.1,27,3.05,2489,129.01,10
2005-01-20 00:00:00+00,26,28,26,27.5,1.85,3995,219.78,12
2005-01-21 00:00:00+00,27.5,27.5,27.2,27.4,-0.36,603,33.13,5
2005-01-24 00:00:00+00,27,27,27,27,-1.46,284,15.34,3
2005-01-25 00:00:00+00,27,27,26.5,27,0,612,32.85,4
2005-01-26 00:00:00+00,27.4,27.4,27,27,0,94,5.12,2
2005-01-27 00:00:00+00,27.2,27.2,26.6,27.2,0.74,792,42.96,7
2005-01-28 00:00:00+00,27.1,27.1,26.8,27,-0.74,1534,82.55,10
2005-01-31 00:00:00+00,26.6,27.2,26,27.2,0.74,2966,158.5,14
2005-02-01 00:00:00+00,27,27.1,27,27.1,-0.37,13,0.7,2
2005-02-02 00:00:00+00,27,27,26,26,-4.06,379,19.92,9
2005-02-03 00:00:00+00,26.1,26.5,26.1,26.5,1.92,809,42.51,8
2005-02-04 00:00:00+00,26.4,26.5,26.4,26.5,0,590,31.26,4
2005-02-07 00:00:00+00,26.5,27.2,26.5,27.2,2.64,1844,99.65,16
2005-02-08 00:00:00+00,27.3,27.3,26.5,26.5,-2.57,700,37.95,11
2005-02-09 00:00:00+00,0,0,0,26.5,0,0,0,0
2005-02-10 00:00:00+00,26.5,26.5,25.4,25.9,-2.26,1946,101.33,16
2005-02-11 00:00:00+00,26,27.4,24.8,27.4,5.79,1854,97.36,25
2005-02-14 00:00:00+00,26.9,26.9,25.8,26.4,-3.65,944,49.95,15
2005-02-15 00:00:00+00,26.4,26.9,26.4,26.9,1.89,200,10.61,2
2005-02-16 00:00:00+00,26.4,26.9,26.4,26.8,-0.37,700,37.6,4
2005-02-17 00:00:00+00,27,27.3,26.5,27.3,1.87,1801,97.32,14
2005-02-18 00:00:00+00,26.8,26.8,26.8,26.8,-1.83,93,4.98,2
2005-02-21 00:00:00+00,26.6,26.6,26.6,26.6,-0.75,244,12.98,7
2005-02-22 00:00:00+00,27,27,26.5,26.5,-0.38,539,28.69,3
2005-02-23 00:00:00+00,26.5,26.5,26.2,26.5,0,405,21.46,3
2005-02-24 00:00:00+00,26.5,26.5,26.5,26.5,0,156,8.27,2
2005-02-25 00:00:00+00,26.5,26.5,26.2,26.2,-1.13,68,3.58,3
2005-02-28 00:00:00+00,26.9,26.9,26.5,26.5,1.15,291,15.43,2
2005-03-01 00:00:00+00,26.9,26.9,26.2,26.5,0,1155,61.19,4
2005-03-02 00:00:00+00,26.8,26.8,26.5,26.5,0,995,52.91,3
2005-03-03 00:00:00+00,26.2,26.2,26.2,26.2,-1.13,10,0.52,1
2005-03-04 00:00:00+00,26.5,26.5,26.3,26.3,0.38,1669,88.08,6
2005-03-07 00:00:00+00,0,0,0,26.3,0,0,0,0
