date,open,high,low,close,difference,volume,turnover,transactions
2015-03-05 00:00:00+00,1.77,1.77,1.75,1.75,-12.06,2563,4.5,7
2015-03-06 00:00:00+00,1.78,1.99,1.78,1.99,13.71,4960,9.75,15
2015-03-09 00:00:00+00,2.1,2.1,2.09,2.09,5.03,1500,3.14,3
2015-03-10 00:00:00+00,2.19,2.19,2.18,2.18,4.31,2000,4.37,4
2015-03-11 00:00:00+00,0,0,0,2.18,0,0,0,0
2015-03-12 00:00:00+00,0,0,0,2.18,0,0,0,0
2015-03-13 00:00:00+00,2.01,2.01,2.01,2.01,-7.8,63,0.13,1
2015-03-16 00:00:00+00,2,2,2,2,-0.5,1185,2.37,2
2015-03-17 00:00:00+00,2,2,2,2,0,385,0.77,2
2015-03-18 00:00:00+00,0,0,0,2,0,0,0,0
2015-03-19 00:00:00+00,0,0,0,2,0,0,0,0
2015-03-20 00:00:00+00,2.2,2.2,2.2,2.2,10,5800,12.76,12
2015-03-23 00:00:00+00,2.18,2.18,2.17,2.17,-1.36,2100,4.57,4
2015-03-24 00:00:00+00,0,0,0,2.17,0,0,0,0
2015-03-25 00:00:00+00,2.14,2.14,2,2,-7.83,2711,5.66,9
2015-03-26 00:00:00+00,1.99,1.99,1.99,1.99,-0.5,270,0.54,1
2015-03-27 00:00:00+00,0,0,0,1.99,0,0,0,0
2015-03-30 00:00:00+00,1.99,1.99,1.99,1.99,0,1281,2.55,5
2015-03-31 00:00:00+00,0,0,0,1.99,0,0,0,0
2015-04-01 00:00:00+00,1.99,1.99,1.99,1.99,0,387,0.77,1
2015-04-02 00:00:00+00,1.98,1.98,1.98,1.98,-0.5,100,0.2,1
2015-04-07 00:00:00+00,1.95,1.95,1.95,1.95,-1.52,393,0.77,1
2015-04-08 00:00:00+00,1.95,1.95,1.95,1.95,0,395,0.77,1
2015-04-09 00:00:00+00,0,0,0,1.95,0,0,0,0
2015-04-10 00:00:00+00,0,0,0,1.95,0,0,0,0
2015-04-13 00:00:00+00,1.9,1.9,1.9,1.9,-2.56,330,0.63,1
2015-04-14 00:00:00+00,1.9,1.9,1.9,1.9,0,1996,3.79,5
2015-04-15 00:00:00+00,0,0,0,1.9,0,0,0,0
2015-04-16 00:00:00+00,1.85,1.85,1.85,1.85,-2.63,2900,5.37,4
2015-04-17 00:00:00+00,1.89,1.89,1.88,1.88,1.62,6400,12.05,5
2015-04-20 00:00:00+00,2.04,2.09,2.04,2.09,11.17,4453,9.16,13
2015-04-21 00:00:00+00,2.09,2.26,2.09,2.25,7.66,15733,34.07,37
2015-04-22 00:00:00+00,2.18,2.25,2.1,2.24,-0.44,2757,6.02,8
2015-04-23 00:00:00+00,2.24,2.24,2.24,2.24,0,100,0.22,1
2015-04-24 00:00:00+00,2.23,2.23,2.02,2.22,-0.89,2297,4.96,8
2015-04-27 00:00:00+00,2.2,2.23,2.1,2.18,-1.8,23891,51.69,26
2015-04-28 00:00:00+00,2.15,2.21,2.14,2.18,0,14110,30.4,12
2015-04-29 00:00:00+00,2.11,2.18,2.11,2.18,0,1000,2.12,2
2015-04-30 00:00:00+00,2.12,2.18,2.12,2.18,0,388,0.83,2
2015-05-04 00:00:00+00,0,0,0,2.18,0,0,0,0
2015-05-05 00:00:00+00,2.16,2.17,2.11,2.17,-0.46,643,1.37,5
2015-05-06 00:00:00+00,0,0,0,2.17,0,0,0,0
2015-05-07 00:00:00+00,2.08,2.08,2,2.07,-4.61,7965,16.42,5
2015-05-08 00:00:00+00,0,0,0,2.07,0,0,0,0
2015-05-11 00:00:00+00,2,2,1.98,1.99,-3.86,4825,9.57,4
2015-05-12 00:00:00+00,0,0,0,1.99,0,0,0,0
2015-05-13 00:00:00+00,1.92,1.92,1.92,1.92,-3.52,400,0.77,1
2015-05-14 00:00:00+00,1.92,1.92,1.88,1.88,-2.08,5691,10.77,6
2015-05-15 00:00:00+00,1.89,2.07,1.89,1.91,1.6,12150,23.54,14
2015-05-18 00:00:00+00,1.9,1.91,1.9,1.91,0,605,1.15,3
2015-05-19 00:00:00+00,0,0,0,1.91,0,0,0,0
2015-05-20 00:00:00+00,1.91,1.92,1.91,1.92,0.52,4620,8.86,4
2015-05-21 00:00:00+00,1.9,1.9,1.9,1.9,-1.04,3948,7.5,1
2015-05-22 00:00:00+00,1.82,1.91,1.82,1.91,0.53,582,1.07,3
2015-05-25 00:00:00+00,1.91,1.91,1.91,1.91,0,272,0.52,1
2015-05-26 00:00:00+00,1.82,1.91,1.82,1.91,0,1458,2.7,7
2015-05-27 00:00:00+00,1.83,1.91,1.83,1.91,0,670,1.23,3
2015-05-28 00:00:00+00,0,0,0,1.91,0,0,0,0
2015-05-29 00:00:00+00,1.83,1.91,1.83,1.91,0,1312,2.49,8
2015-06-01 00:00:00+00,1.83,1.91,1.83,1.91,0,1608,2.98,10
2015-06-02 00:00:00+00,1.91,1.91,1.91,1.91,0,100,0.19,1
2015-06-03 00:00:00+00,1.91,1.91,1.91,1.91,0,100,0.19,1
2015-06-05 00:00:00+00,0,0,0,1.91,0,0,0,0
2015-06-08 00:00:00+00,1.86,1.91,1.85,1.91,0,1260,2.34,4
2015-06-09 00:00:00+00,1.91,2,1.85,1.9,-0.52,14638,27.79,10
2015-06-10 00:00:00+00,1.85,1.85,1.8,1.82,-4.21,10137,18.43,9
2015-06-11 00:00:00+00,1.73,1.82,1.73,1.82,0,856,1.48,3
2015-06-12 00:00:00+00,1.72,1.89,1.63,1.72,-5.49,42630,75.15,31
2015-06-15 00:00:00+00,1.68,1.77,1.68,1.77,2.91,530,0.91,2
2015-06-16 00:00:00+00,1.77,1.77,1.77,1.77,0,400,0.71,1
2015-06-17 00:00:00+00,1.71,1.77,1.7,1.77,0,3010,5.13,3
2015-06-18 00:00:00+00,1.71,1.77,1.7,1.77,0,4336,7.41,4
2015-06-19 00:00:00+00,1.7,1.7,1.7,1.7,-3.95,200,0.34,1
2015-06-22 00:00:00+00,0,0,0,1.7,0,0,0,0
2015-06-23 00:00:00+00,0,0,0,1.7,0,0,0,0
2015-06-24 00:00:00+00,1.7,1.76,1.6,1.71,0.59,21230,35.63,16
2015-06-25 00:00:00+00,1.64,1.65,1.63,1.65,-3.51,6012,9.86,5
2015-06-26 00:00:00+00,1.6,1.65,1.6,1.65,0,220,0.35,3
2015-06-29 00:00:00+00,0,0,0,1.65,0,0,0,0
2015-06-30 00:00:00+00,0,0,0,1.65,0,0,0,0
2015-07-01 00:00:00+00,0,0,0,1.65,0,0,0,0
2015-07-02 00:00:00+00,1.56,1.56,1.47,1.49,-9.7,16570,25.35,19
2015-07-03 00:00:00+00,1.5,1.5,1.19,1.19,-20.13,49566,69.05,59
2015-07-06 00:00:00+00,1.2,1.27,1.1,1.14,-4.2,6804,7.91,15
2015-07-07 00:00:00+00,1.11,1.18,1.1,1.18,3.51,782,0.87,3
2015-07-08 00:00:00+00,1.18,1.18,1.08,1.08,-8.47,7466,8.06,4
2015-07-09 00:00:00+00,1.04,1.04,1.01,1.01,-6.48,2203,2.27,4
2015-07-10 00:00:00+00,1,1.03,0.95,1.03,1.98,624,0.62,5
2015-07-13 00:00:00+00,1.04,1.09,1,1.09,5.83,1321,1.37,5
2015-07-14 00:00:00+00,1.09,1.1,1.09,1.1,0.92,500,0.55,2
2015-07-15 00:00:00+00,1.1,1.21,1.1,1.11,0.91,22121,24.95,15
2015-07-16 00:00:00+00,1.11,1.11,1.1,1.1,-0.9,337,0.37,2
2015-07-17 00:00:00+00,1.1,1.1,1.1,1.1,0,130,0.14,1
2015-07-20 00:00:00+00,1.15,1.15,1.05,1.05,-4.55,48,0.05,2
2015-07-21 00:00:00+00,0,0,0,1.05,0,0,0,0
2015-07-22 00:00:00+00,0,0,0,1.05,0,0,0,0
2015-07-23 00:00:00+00,0,0,0,1.05,0,0,0,0
2015-07-24 00:00:00+00,1.1,1.15,1.1,1.15,9.52,713,0.78,2
2015-07-27 00:00:00+00,0,0,0,1.15,0,0,0,0
2015-07-28 00:00:00+00,1.08,1.14,1.07,1.14,-0.87,2150,2.31,4
2015-07-29 00:00:00+00,1.14,1.14,1.1,1.1,-3.51,12400,13.74,3
2015-07-30 00:00:00+00,1.07,1.13,1.07,1.13,2.73,788,0.89,3
2015-07-31 00:00:00+00,1.15,1.15,1.15,1.15,1.77,3694,4.25,3
2015-08-03 00:00:00+00,1.15,1.15,1.15,1.15,0,550,0.63,1
2015-08-04 00:00:00+00,1.15,1.15,1.15,1.15,0,550,0.63,2
2015-08-05 00:00:00+00,1.08,1.14,1.08,1.14,-0.87,7350,7.96,4
2015-08-06 00:00:00+00,1.08,1.08,1.08,1.08,-5.26,6000,6.48,2
2015-08-07 00:00:00+00,1.08,1.14,1.08,1.08,0,16699,18.39,10
2015-08-10 00:00:00+00,1.09,1.09,1.06,1.06,-1.85,5742,6.15,8
2015-08-11 00:00:00+00,1.06,1.1,1.05,1.1,3.77,6074,6.45,4
2015-08-12 00:00:00+00,1.03,1.09,1.03,1.09,-0.91,5030,5.18,2
2015-08-13 00:00:00+00,1,1.09,1,1.09,0,1030,1.12,3
2015-08-14 00:00:00+00,0,0,0,1.09,0,0,0,0
2015-08-17 00:00:00+00,1.09,1.1,1.09,1.1,0.92,500,0.55,2
2015-08-18 00:00:00+00,0,0,0,1.1,0,0,0,0
2015-08-19 00:00:00+00,0,0,0,1.1,0,0,0,0
2015-08-20 00:00:00+00,1.1,1.1,1,1,-9.09,20478,20.61,8
2015-08-21 00:00:00+00,1.04,1.04,0.94,1,0,3166,3.16,3
2015-08-24 00:00:00+00,0.95,0.95,0.95,0.95,-5,1500,1.43,2
2015-08-25 00:00:00+00,1.04,1.06,0.96,1.06,11.58,2500,2.58,4
2015-08-26 00:00:00+00,0,0,0,1.06,0,0,0,0
2015-08-27 00:00:00+00,0,0,0,1.06,0,0,0,0
2015-08-28 00:00:00+00,1.01,1.01,1,1,-5.66,11079,11.09,5
2015-08-31 00:00:00+00,1.01,1.09,1.01,1.09,9,7551,7.63,4
2015-09-01 00:00:00+00,1.05,1.05,1.05,1.05,-3.67,10000,10.5,2
