date,open,high,low,close,difference,volume,turnover,transactions
2007-12-07 00:00:00+00,1.05,1.12,1.05,1.09,3.81,362338,786.04,199
2007-12-10 00:00:00+00,1.1,1.1,1,1.03,-5.5,585850,1217.3,238
2007-12-11 00:00:00+00,1.05,1.05,0.99,1,-2.91,399673,805.56,194
2007-12-12 00:00:00+00,0.98,1,0.97,1,0,359188,712.05,155
2007-12-13 00:00:00+00,0.99,0.99,0.96,0.96,-4,386614,751,132
2007-12-14 00:00:00+00,0.97,0.97,0.92,0.96,0,529113,995.57,149
2007-12-17 00:00:00+00,0.92,0.93,0.9,0.92,-4.17,332044,608.68,133
2007-12-18 00:00:00+00,0.91,0.93,0.9,0.92,0,725443,1331.29,233
2007-12-19 00:00:00+00,0.93,0.94,0.9,0.92,0,1288422,2352.28,162
2007-12-20 00:00:00+00,0.9,0.92,0.88,0.89,-3.26,400435,718.4,181
2007-12-21 00:00:00+00,0.89,0.91,0.88,0.91,2.25,1090771,1952.06,298
2007-12-27 00:00:00+00,0.93,0.94,0.91,0.91,0,160183,296.35,70
2007-12-28 00:00:00+00,0.91,0.93,0.9,0.93,2.2,104625,191.21,52
2008-01-02 00:00:00+00,0.92,0.95,0.91,0.93,0,162592,303.67,60
2008-01-03 00:00:00+00,0.91,0.93,0.91,0.92,-1.08,85082,156.48,35
2008-01-04 00:00:00+00,0.93,0.94,0.89,0.91,-1.09,1811138,3358.05,277
2008-01-07 00:00:00+00,0.89,0.92,0.87,0.92,1.1,305823,552.14,91
2008-01-08 00:00:00+00,0.92,0.93,0.91,0.92,0,381449,701.75,85
2008-01-09 00:00:00+00,0.9,0.9,0.88,0.9,-2.17,108107,192.15,94
2008-01-10 00:00:00+00,0.91,0.91,0.86,0.88,-2.22,111879,196.15,92
2008-01-11 00:00:00+00,0.87,0.89,0.87,0.88,0,100761,177.42,50
2008-01-14 00:00:00+00,0.87,0.87,0.84,0.86,-2.27,263422,450.88,120
2008-01-15 00:00:00+00,0.87,0.87,0.83,0.83,-3.49,119632,203.52,60
2008-01-16 00:00:00+00,0.8,0.82,0.77,0.81,-2.41,349698,556.51,162
2008-01-17 00:00:00+00,0.82,0.82,0.8,0.82,1.23,93294,151.51,51
2008-01-18 00:00:00+00,0.8,0.84,0.79,0.83,1.22,349381,565.37,117
2008-01-21 00:00:00+00,0.82,0.82,0.78,0.79,-4.82,126266,200.42,59
2008-01-22 00:00:00+00,0.75,0.79,0.74,0.79,0,147056,225.49,94
2008-01-23 00:00:00+00,0.79,0.84,0.78,0.81,2.53,137581,222.21,86
2008-01-24 00:00:00+00,0.83,0.85,0.83,0.85,4.94,178404,300.04,100
2008-01-25 00:00:00+00,0.86,0.88,0.84,0.86,1.18,210989,362.57,88
2008-01-28 00:00:00+00,0.85,0.85,0.8,0.8,-6.98,291879,475.9,128
2008-01-29 00:00:00+00,0.83,0.83,0.8,0.81,1.25,260337,422.88,116
2008-01-30 00:00:00+00,0.82,0.82,0.8,0.81,0,93408,152.18,51
2008-01-31 00:00:00+00,0.82,0.82,0.8,0.8,-1.23,105219,168.79,53
2008-02-01 00:00:00+00,0.82,0.83,0.81,0.82,2.5,349203,574.33,114
2008-02-04 00:00:00+00,0.84,0.84,0.82,0.82,0,219032,364.14,98
2008-02-05 00:00:00+00,0.81,0.82,0.78,0.8,-2.44,191810,306.43,97
2008-02-06 00:00:00+00,0.77,0.79,0.77,0.79,-1.25,283157,442.49,116
2008-02-07 00:00:00+00,0.8,0.81,0.79,0.81,2.53,351173,563.18,131
2008-02-08 00:00:00+00,0.82,0.82,0.79,0.8,-1.23,154103,248.1,63
2008-02-11 00:00:00+00,0.81,0.84,0.8,0.81,1.25,337655,554.43,121
2008-02-12 00:00:00+00,0.82,0.84,0.81,0.81,0,117764,193.07,67
2008-02-13 00:00:00+00,0.82,0.82,0.79,0.8,-1.23,205964,330.79,81
2008-02-14 00:00:00+00,0.81,0.82,0.8,0.8,0,140472,226.51,67
2008-02-15 00:00:00+00,0.81,0.81,0.79,0.8,0,153211,243.1,78
2008-02-18 00:00:00+00,0.8,0.81,0.79,0.8,0,46117,73.79,30
2008-02-19 00:00:00+00,0.81,0.81,0.8,0.8,0,44081,70.63,14
2008-02-20 00:00:00+00,0.79,0.8,0.78,0.79,-1.25,58126,91.51,42
2008-02-21 00:00:00+00,0.82,0.82,0.79,0.8,1.27,153142,248.87,60
2008-02-22 00:00:00+00,0.8,0.81,0.79,0.8,0,43189,69.27,30
2008-02-25 00:00:00+00,0.8,0.8,0.78,0.78,-2.5,263394,414.76,109
2008-02-26 00:00:00+00,0.79,0.83,0.78,0.8,2.56,203880,330.01,104
2008-02-27 00:00:00+00,0.79,0.79,0.74,0.76,-5,572881,875.99,231
2008-02-28 00:00:00+00,0.76,0.76,0.69,0.7,-7.89,733172,1058.95,260
2008-02-29 00:00:00+00,0.7,0.72,0.69,0.71,1.43,254626,359.18,77
2008-03-03 00:00:00+00,0.69,0.69,0.67,0.67,-5.63,132476,181.02,69
2008-03-04 00:00:00+00,0.68,0.69,0.67,0.69,2.99,71710,98.14,23
2008-03-05 00:00:00+00,0.7,0.7,0.68,0.69,0,79639,110.15,34
2008-03-06 00:00:00+00,0.69,0.7,0.68,0.68,-1.45,80640,111.01,45
2008-03-07 00:00:00+00,0.68,0.68,0.66,0.67,-1.47,103169,137.8,53
2008-03-10 00:00:00+00,0.67,0.67,0.66,0.67,0,27543,36.79,25
2008-03-11 00:00:00+00,0.66,0.67,0.64,0.66,-1.49,249077,326.92,63
2008-03-12 00:00:00+00,0.67,0.67,0.66,0.67,1.52,86316,114.3,32
2008-03-13 00:00:00+00,0.66,0.66,0.64,0.66,-1.49,684316,889.43,63
2008-03-14 00:00:00+00,0.66,0.68,0.63,0.66,0,422482,556.51,118
2008-03-17 00:00:00+00,0.65,0.65,0.63,0.65,-1.52,120971,155.12,51
2008-03-18 00:00:00+00,0.65,0.68,0.65,0.68,4.62,707692,947.17,97
2008-03-19 00:00:00+00,0.68,0.68,0.67,0.67,-1.47,26780,35.99,18
2008-03-20 00:00:00+00,0.66,0.69,0.66,0.67,0,248365,331.79,62
2008-03-25 00:00:00+00,0.68,0.69,0.67,0.67,0,59426,80.87,26
2008-03-26 00:00:00+00,0.67,0.68,0.67,0.68,1.49,16570,22.21,14
2008-03-27 00:00:00+00,0.68,0.71,0.68,0.68,0,305275,421.17,78
2008-03-28 00:00:00+00,0.67,0.69,0.66,0.67,-1.47,129036,173.56,40
2008-03-31 00:00:00+00,0.67,0.67,0.65,0.66,-1.49,1229099,1639.79,111
2008-04-01 00:00:00+00,0.66,0.68,0.65,0.67,1.52,1238827,1659.24,94
2008-04-02 00:00:00+00,0.69,0.7,0.67,0.68,1.49,319185,437.49,89
2008-04-03 00:00:00+00,0.68,0.69,0.67,0.68,0,90485,123.28,51
2008-04-04 00:00:00+00,0.69,0.72,0.68,0.69,1.47,706612,975.33,164
2008-04-07 00:00:00+00,0.69,0.69,0.68,0.69,0,35180,48.14,24
2008-04-08 00:00:00+00,0.68,0.69,0.67,0.67,-2.9,38619,52.46,21
2008-04-09 00:00:00+00,0.69,0.69,0.66,0.66,-1.49,198246,264.29,69
2008-04-10 00:00:00+00,0.66,0.66,0.63,0.64,-3.03,399380,515.47,116
2008-04-11 00:00:00+00,0.65,0.65,0.63,0.63,-1.56,166380,212.93,56
2008-04-14 00:00:00+00,0.63,0.63,0.57,0.59,-6.35,345226,410.92,137
2008-04-15 00:00:00+00,0.59,0.59,0.57,0.58,-1.69,176217,205.6,80
2008-04-16 00:00:00+00,0.58,0.59,0.56,0.59,1.72,207985,239.21,63
2008-04-17 00:00:00+00,0.57,0.62,0.57,0.6,1.69,275661,332.32,98
2008-04-18 00:00:00+00,0.59,0.62,0.59,0.6,0,340194,408.46,63
2008-04-21 00:00:00+00,0.6,0.6,0.57,0.59,-1.67,193021,228.29,69
