date,open,high,low,close,difference,volume,turnover,transactions
2005-09-06 00:00:00+00,9.05,9.65,9,9.5,6.15,50035,938.62,121
2005-09-07 00:00:00+00,9.6,9.7,9.35,9.5,0,27161,516.8,64
2005-09-08 00:00:00+00,9.35,9.4,9.25,9.3,-2.11,16039,299.24,46
2005-09-09 00:00:00+00,9.25,9.35,9.2,9.25,-0.54,33474,619.73,52
2005-09-12 00:00:00+00,9.3,9.5,9.3,9.45,2.16,43512,818.49,87
2005-09-13 00:00:00+00,9.5,9.5,9.35,9.4,-0.53,20004,376.93,61
2005-09-14 00:00:00+00,9.4,9.4,9.3,9.4,0,62260,1168.68,97
2005-09-15 00:00:00+00,9.4,9.4,9.35,9.4,0,39530,742.85,86
2005-09-16 00:00:00+00,9.45,9.45,9.35,9.4,0,24468,459.8,80
2005-09-19 00:00:00+00,9.45,9.5,9.35,9.35,-0.53,39363,739.52,105
2005-09-20 00:00:00+00,9.4,9.45,9.35,9.4,0.53,59828,1120.86,87
2005-09-21 00:00:00+00,9.35,9.35,9.15,9.2,-2.13,65813,1216.98,100
2005-09-22 00:00:00+00,9.25,9.25,8.95,9,-2.17,55174,997.01,144
2005-09-23 00:00:00+00,8.95,9.3,8.95,9.1,1.11,260069,4701.07,282
2005-09-26 00:00:00+00,9.2,9.4,9.1,9.4,3.3,51758,959.45,125
2005-09-27 00:00:00+00,9.4,9.5,9.25,9.3,-1.06,86058,1614.1,163
2005-09-28 00:00:00+00,9.3,9.3,9.1,9.1,-2.15,60748,1114.17,129
2005-09-29 00:00:00+00,9.2,9.2,9,9,-1.1,126640,2297.92,153
2005-09-30 00:00:00+00,9.15,9.15,9,9,0,48092,872.16,86
2005-10-03 00:00:00+00,9,9.1,8.95,9,0,45365,816.28,90
2005-10-04 00:00:00+00,9,9,8.85,8.9,-1.11,39092,697.37,110
2005-10-05 00:00:00+00,8.9,8.95,8.8,8.95,0.56,26807,475.01,57
2005-10-06 00:00:00+00,8.95,8.95,8.8,8.9,-0.56,47877,850.39,49
2005-10-07 00:00:00+00,8.8,8.9,8.8,8.9,0,19598,348.08,39
2005-10-10 00:00:00+00,8.85,8.95,8.8,8.9,0,17810,315.54,39
2005-10-11 00:00:00+00,8.95,8.95,8.8,8.85,-0.56,20892,370.87,56
2005-10-12 00:00:00+00,8.85,8.9,8.8,8.85,0,16543,291.88,30
2005-10-13 00:00:00+00,8.8,8.85,8.6,8.85,0,50106,878.81,127
2005-10-14 00:00:00+00,8.7,8.95,8.65,8.75,-1.13,42979,759.22,86
2005-10-17 00:00:00+00,8.9,9.05,8.85,8.9,1.71,57881,1035.32,106
2005-10-18 00:00:00+00,8.95,9.05,8.75,8.8,-1.12,73626,1313.07,117
2005-10-19 00:00:00+00,8.8,8.85,8.35,8.5,-3.41,128334,2179.06,220
2005-10-20 00:00:00+00,8.5,8.5,8.1,8.1,-4.71,176528,2901.46,316
2005-10-21 00:00:00+00,8,8,7.7,7.9,-2.47,160361,2516.83,319
2005-10-24 00:00:00+00,7.85,8,7.7,8,1.27,47108,741.03,124
2005-10-25 00:00:00+00,8,8.05,7.9,8,0,60820,971.68,116
2005-10-26 00:00:00+00,8.1,8.2,8,8.05,0.63,66406,1072.41,139
2005-10-27 00:00:00+00,8.1,8.1,7.8,7.9,-1.86,58509,924.62,100
2005-10-28 00:00:00+00,7.85,8.05,7.85,8.05,1.9,27240,431.91,85
2005-10-31 00:00:00+00,8,8.25,8,8.1,0.62,25999,422.52,70
2005-11-02 00:00:00+00,8.2,8.2,8.05,8.1,0,37683,611.36,112
2005-11-03 00:00:00+00,8.1,8.1,8,8,-1.23,23107,373.18,74
2005-11-04 00:00:00+00,8,8.05,7.85,7.95,-0.63,59650,950.29,114
2005-11-07 00:00:00+00,7.95,8.1,7.9,8.1,1.89,54345,870.03,103
2005-11-08 00:00:00+00,8.15,8.15,8,8.05,-0.62,61115,984.18,103
2005-11-09 00:00:00+00,8.1,8.1,7.95,8,-0.62,43948,706,84
2005-11-10 00:00:00+00,8,8.1,8,8,0,45828,738,79
2005-11-14 00:00:00+00,8.05,8.1,8.05,8.1,1.25,27999,453.11,76
2005-11-15 00:00:00+00,8.1,8.1,8,8.05,-0.62,32989,530.81,63
2005-11-16 00:00:00+00,8.05,8.1,7.85,7.95,-1.24,24141,383.74,67
2005-11-17 00:00:00+00,7.95,8,7.9,8,0.63,31358,497.79,72
2005-11-18 00:00:00+00,8,8,7.85,7.9,-1.25,36609,580.54,83
2005-11-21 00:00:00+00,7.95,8,7.85,7.9,0,62962,996.8,109
2005-11-22 00:00:00+00,7.9,7.95,7.85,7.9,0,56810,896.89,104
2005-11-23 00:00:00+00,7.75,7.9,7.7,7.7,-2.53,158518,2464.16,231
2005-11-24 00:00:00+00,7.7,7.8,7.65,7.7,0,48138,743.05,119
2005-11-25 00:00:00+00,7.75,8.25,7.7,8.15,5.84,435795,7007.79,469
2005-11-28 00:00:00+00,8.2,8.4,8.2,8.2,0.61,194647,3212.71,279
2005-11-29 00:00:00+00,8.25,8.3,8,8.05,-1.83,131546,2127.35,175
2005-11-30 00:00:00+00,8.05,8.05,7.75,7.8,-3.11,138363,2182.09,289
