date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,34.5,34.6,33.5,33.5,-0.3,3309,222.74,24
2005-01-04 00:00:00+00,33.6,33.9,33,33.3,-0.6,5364,356.44,19
2005-01-05 00:00:00+00,33.3,33.3,32.7,33,-0.9,34666,2290.36,37
2005-01-06 00:00:00+00,32.4,33.4,32.3,32.3,-2.12,6373,420.42,53
2005-01-07 00:00:00+00,31.5,32.9,31.5,32.8,1.55,5384,347.02,41
2005-01-10 00:00:00+00,32,32.6,32,32,-2.44,6794,436.68,24
2005-01-11 00:00:00+00,32,32,31.5,31.7,-0.94,42136,2679.5,35
2005-01-12 00:00:00+00,31.1,31.7,30,30,-5.36,16924,1045.31,55
2005-01-13 00:00:00+00,29.3,30,28.6,29,-3.33,114096,6601.14,201
2005-01-14 00:00:00+00,28.8,28.9,28.3,28.9,-0.34,4733,269.55,22
2005-01-17 00:00:00+00,28.5,28.9,28.5,28.7,-0.69,5283,302.16,42
2005-01-18 00:00:00+00,28.7,28.7,28,28.7,0,59841,3374.11,60
2005-01-19 00:00:00+00,28.2,30.5,28.1,29.6,3.14,91109,5172.75,92
2005-01-20 00:00:00+00,29.4,29.4,29,29.1,-1.69,8525,497.84,42
2005-01-21 00:00:00+00,28.8,29.2,28.8,29.2,0.34,790,45.94,10
2005-01-24 00:00:00+00,29,29,28,28,-4.11,10704,607.08,54
2005-01-25 00:00:00+00,27.8,28.5,27.5,28,0,18309,1025.39,65
2005-01-26 00:00:00+00,27.7,28.6,27.7,28.1,0.36,14940,850.59,27
2005-01-27 00:00:00+00,28.3,28.3,28.1,28.3,0.71,4009,226.41,21
2005-01-28 00:00:00+00,28,28.4,28,28.1,-0.71,11860,666.77,47
2005-01-31 00:00:00+00,28.1,28.8,27.6,28.3,0.71,4585,256.78,29
2005-02-01 00:00:00+00,28,30,28,29.9,5.65,24890,1458.17,143
2005-02-02 00:00:00+00,30,30.1,29.4,29.9,0,22918,1373.52,67
2005-02-03 00:00:00+00,29.9,29.9,29.3,29.3,-2.01,13469,796.46,62
2005-02-04 00:00:00+00,29.8,29.8,29.2,29.6,1.02,2353,138.06,31
2005-02-07 00:00:00+00,29.6,29.6,28.6,29.3,-1.01,12049,700.97,59
2005-02-08 00:00:00+00,29.1,29.4,29.1,29.1,-0.68,3450,200.88,18
2005-02-09 00:00:00+00,29,29,28.3,28.5,-2.06,24491,1402.8,56
2005-02-10 00:00:00+00,28.4,28.5,27.9,27.9,-2.11,7478,421.53,47
2005-02-11 00:00:00+00,28.1,28.4,27.6,27.6,-1.08,12439,695.55,52
2005-02-14 00:00:00+00,27.5,27.5,26.9,27,-2.17,16109,873.33,72
2005-02-15 00:00:00+00,26.9,26.9,26.2,26.5,-1.85,14290,755.43,49
2005-02-16 00:00:00+00,26.4,26.5,26.1,26.5,0,16626,876.49,52
2005-02-17 00:00:00+00,26.5,28,26,26.8,1.13,42493,2305.29,91
2005-02-18 00:00:00+00,26.6,26.9,26.5,26.7,-0.37,39326,2103.24,64
2005-02-21 00:00:00+00,26.9,27.1,26.7,26.9,0.75,24142,1299.46,34
2005-02-22 00:00:00+00,27,27,26.3,26.3,-2.23,18172,973.74,62
2005-02-23 00:00:00+00,26.7,26.7,25.5,26,-1.14,13444,696.08,71
2005-02-24 00:00:00+00,26,26,25.5,25.6,-1.54,8427,436.92,27
2005-02-25 00:00:00+00,25.7,26.2,25.6,26,1.56,30655,1593.75,61
2005-02-28 00:00:00+00,26.5,28,26.2,27.2,4.62,179665,9693.44,119
2005-03-01 00:00:00+00,28,28.4,27.1,27.2,0,57877,3211.62,176
2005-03-02 00:00:00+00,27.7,27.7,26,26.5,-2.57,32597,1746.81,121
2005-03-03 00:00:00+00,26.4,27,26.2,26.2,-1.13,13528,715.96,55
2005-03-04 00:00:00+00,26.2,26.4,26,26,-0.76,10243,536.2,33
2005-03-07 00:00:00+00,25.9,26,25.7,26,0,5769,297.71,34
2005-03-08 00:00:00+00,25.6,26.5,25.5,25.7,-1.15,38330,1982.43,78
2005-03-09 00:00:00+00,26,26.2,25.5,25.6,-0.39,17847,919.99,44
2005-03-10 00:00:00+00,25.4,26,25.3,26,1.56,76815,3977.98,45
2005-03-11 00:00:00+00,25.9,26,25.7,26,0,6372,331.04,26
2005-03-14 00:00:00+00,26,26,25,25.5,-1.92,24219,1242.81,36
2005-03-15 00:00:00+00,25.2,25.5,24.9,25.1,-1.57,9481,481.09,24
2005-03-16 00:00:00+00,24.8,25.2,24.2,25,-0.4,29934,1490.31,54
2005-03-17 00:00:00+00,25,25,24.6,24.8,-0.8,33915,1678.59,32
2005-03-18 00:00:00+00,24.6,24.8,24.6,24.8,0,77232,3814.34,38
2005-03-21 00:00:00+00,25,25.2,24.9,25.1,1.21,98040,4893.31,78
2005-03-22 00:00:00+00,25.1,25.9,25.1,25.9,3.19,40740,2059.69,45
2005-03-23 00:00:00+00,25.8,26.7,25.8,26.3,1.54,11323,595.57,53
2005-03-24 00:00:00+00,26,27.2,26,27,2.66,218106,11515,211
2005-03-29 00:00:00+00,26.6,27.1,26.5,27,0,12744,687.73,44
2005-03-30 00:00:00+00,26.8,27.2,26.8,27.2,0.74,13064,706.02,43
2005-03-31 00:00:00+00,27.3,27.4,27.2,27.4,0.74,11274,616.79,43
2005-04-01 00:00:00+00,27.4,27.4,27,27,-1.46,1273,68.97,12
2005-04-04 00:00:00+00,26.7,26.9,26.5,26.5,-1.85,1393,74.04,7
2005-04-05 00:00:00+00,27,28.7,27,28.7,8.3,39955,2231.98,132
2005-04-06 00:00:00+00,29.1,29.4,28.6,29.4,2.44,66502,3881.36,132
2005-04-07 00:00:00+00,29.4,29.4,28.9,28.9,-1.7,107279,6234.38,56
2005-04-11 00:00:00+00,28.9,28.9,28.8,28.9,0,1583,91.45,12
2005-04-12 00:00:00+00,28.7,29,28.7,28.8,-0.35,2407,139.05,46
2005-04-13 00:00:00+00,28.9,28.9,27.8,28.5,-1.04,4047,230.36,26
2005-04-14 00:00:00+00,28.5,28.5,27.9,28.5,0,109718,6248.41,38
2005-04-15 00:00:00+00,28.2,28.2,28,28.1,-1.4,4223,237.35,11
2005-04-18 00:00:00+00,27.9,27.9,27.5,27.5,-2.14,875,48.4,12
2005-04-19 00:00:00+00,27.2,28,27,27.6,0.36,14657,804.57,34
2005-04-20 00:00:00+00,27,27.6,27,27.6,0,45057,2469.2,86
2005-04-21 00:00:00+00,27.8,28,27.5,27.6,0,62816,3478.86,97
2005-04-22 00:00:00+00,27.5,28,27.5,28,1.45,3581,199.6,19
2005-04-25 00:00:00+00,28,28.4,27.7,28,0,12176,682.2,27
2005-04-26 00:00:00+00,27.6,27.8,27,27.5,-1.79,1628,89.07,12
2005-04-27 00:00:00+00,27,27.8,26.6,27.8,1.09,8015,433.4,33
2005-04-28 00:00:00+00,27.6,27.7,26.7,27,-2.88,3530,193.39,22
2005-04-29 00:00:00+00,27,27,26.6,26.9,-0.37,3119,168.1,26
2005-05-02 00:00:00+00,26.2,26.6,26.2,26.6,-1.12,830,43.69,6
2005-05-04 00:00:00+00,26.6,27.5,26.6,27,1.5,3721,200.48,30
2005-05-05 00:00:00+00,26.4,28,26.4,28,3.7,14582,801.33,43
2005-05-06 00:00:00+00,28,28,27.5,27.5,-1.79,2216,123.45,10
2005-05-09 00:00:00+00,27,27.5,27,27.5,0,2100,113.9,5
2005-05-10 00:00:00+00,27.5,27.6,27,27.6,0.36,9929,546.67,18
2005-05-11 00:00:00+00,27.6,28,27.6,28,1.45,4077,227.47,14
2005-05-12 00:00:00+00,27.7,29.2,27.7,29.1,3.93,28225,1624.57,58
2005-05-13 00:00:00+00,29,29,28.7,28.9,-0.69,15183,879.96,21
2005-05-16 00:00:00+00,28.6,29,28.6,28.6,-1.04,1933,111.77,12
2005-05-17 00:00:00+00,29.1,29.7,29.1,29.4,2.8,64050,3744.98,101
2005-05-18 00:00:00+00,29.4,29.8,29.4,29.4,0,50638,2987.37,50
2005-05-19 00:00:00+00,29.8,29.8,29.3,29.5,0.34,31202,1840.95,25
2005-05-20 00:00:00+00,29.5,30.6,29.5,30.1,2.03,44327,2665.86,129
2005-05-23 00:00:00+00,30.1,30.5,29.8,29.8,-1,5277,317.64,35
2005-05-24 00:00:00+00,30.1,30.1,29.3,29.5,-1.01,9626,572.02,42
2005-05-25 00:00:00+00,29.4,30.2,29.4,29.5,0,63018,3727.59,56
2005-05-27 00:00:00+00,29.5,29.5,28.8,29.1,-1.36,7925,462.97,27
2005-05-30 00:00:00+00,28.8,29.5,28.8,29.5,1.37,3164,185.8,20
2005-05-31 00:00:00+00,29.1,29.7,29.1,29.7,0.68,10230,604.45,24
2005-06-01 00:00:00+00,29.7,29.7,29.2,29.7,0,9396,554.46,28
2005-06-02 00:00:00+00,30,30.3,29.1,30.2,1.68,13045,784.68,41
2005-06-03 00:00:00+00,30.5,31.8,30.5,31,2.65,19792,1227.26,67
2005-06-06 00:00:00+00,31.7,32,31.1,31.9,2.9,23078,1463.63,70
2005-06-07 00:00:00+00,32,32,31.7,31.9,0,28463,1812.71,44
2005-06-08 00:00:00+00,32,34.2,32,33.5,5.02,103621,6907.79,122
2005-06-09 00:00:00+00,33.9,33.9,33.4,33.6,0.3,10226,687.66,91
2005-06-10 00:00:00+00,33.7,34.8,33.7,34.6,2.98,102143,6995.48,146
2005-06-13 00:00:00+00,34.6,35,34,34,-1.73,16588,1142.6,59
2005-06-14 00:00:00+00,34,34.4,33.8,33.8,-0.59,15439,1047.98,69
2005-06-15 00:00:00+00,33.1,33.6,32.5,33.4,-1.18,9857,656.74,40
2005-06-16 00:00:00+00,33.2,33.6,32.6,33.3,-0.3,8841,586.26,42
2005-06-17 00:00:00+00,33.6,33.6,33.5,33.6,0.9,2355,158.07,22
2005-06-20 00:00:00+00,33.3,34.3,33.3,34,1.19,25784,1752.79,28
2005-06-21 00:00:00+00,34,34,33.6,33.8,-0.59,4141,278.55,26
2005-06-22 00:00:00+00,33.8,34,33.5,34,0.59,882,59.66,13
2005-06-23 00:00:00+00,33.5,34.5,33.5,34.5,1.47,9892,673.52,26
2005-06-24 00:00:00+00,34.5,35,34.5,35,1.45,24941,1730.81,73
2005-06-27 00:00:00+00,34.4,34.9,34.4,34.4,-1.71,3333,230.26,21
2005-06-28 00:00:00+00,34.4,34.7,33.5,34,-1.16,9552,657.02,17
2005-06-29 00:00:00+00,34.3,35,34.2,34.2,0.59,4801,332.59,33
2005-06-30 00:00:00+00,34.3,35.7,34.2,35.4,3.51,200732,14060.07,121
2005-07-01 00:00:00+00,35.2,36,35.2,36,1.69,17765,1267.37,66
2005-07-04 00:00:00+00,36,37.4,35.8,37.4,3.89,17879,1317.41,93
2005-07-05 00:00:00+00,37.4,38.7,37.4,38.6,3.21,200422,15310.89,238
2005-07-06 00:00:00+00,38.6,38.6,38.1,38.3,-0.78,70814,5423.65,108
2005-07-07 00:00:00+00,38.2,38.4,37.3,38,-0.78,105406,8000.96,147
2005-07-08 00:00:00+00,37.9,38.5,37.9,38.3,0.79,22798,1742.59,58
2005-07-11 00:00:00+00,37.7,38.4,37.7,38.3,0,38168,2900.99,40
2005-07-12 00:00:00+00,38.3,38.4,38.1,38.4,0.26,3491,267.02,24
2005-07-13 00:00:00+00,38.4,39.5,38.4,39.3,2.34,11599,900.03,58
2005-07-14 00:00:00+00,39.2,39.2,38.6,39.1,-0.51,15454,1205.94,29
2005-07-15 00:00:00+00,39.1,39.1,38.7,39,-0.26,14000,1091.6,33
2005-07-18 00:00:00+00,38.4,39,38.3,39,0,68301,5318.56,140
2005-07-19 00:00:00+00,38.5,39,38.4,39,0,33746,2628.67,46
2005-07-20 00:00:00+00,38.6,39.3,38.6,39.3,0.77,26131,2052.04,41
2005-07-21 00:00:00+00,39.2,40.5,39.2,40.5,3.05,82945,6569.92,104
2005-07-22 00:00:00+00,40,40,39.5,40,-1.23,2304,183.81,26
2005-07-25 00:00:00+00,39.5,40,39.5,40,0,5552,442.17,31
2005-07-26 00:00:00+00,39.7,40.1,39.5,40,0,8515,681.13,17
2005-07-27 00:00:00+00,40,40.1,38.7,40,0,18557,1485.85,36
2005-07-28 00:00:00+00,39.4,40.2,39.4,40,0,12367,988.56,33
2005-07-29 00:00:00+00,40,40,39.9,40,0,11811,944.83,31
2005-08-01 00:00:00+00,39,40.6,39,40.5,1.25,8664,699.65,47
2005-08-02 00:00:00+00,40.5,42,40.5,41.9,3.46,24428,2030.73,69
2005-08-03 00:00:00+00,40.7,41.8,40.6,41.8,-0.24,6248,511.17,33
2005-08-04 00:00:00+00,41.2,42.8,41.2,42.5,1.67,119105,10058.91,93
2005-08-05 00:00:00+00,42.5,43.5,42.5,43,1.18,28205,2440.45,73
2005-08-08 00:00:00+00,43,43.5,43,43.4,0.93,12533,1080.26,37
2005-08-09 00:00:00+00,42.2,43.5,42.2,43.4,0,34475,2990.14,34
2005-08-10 00:00:00+00,43.4,43.4,43,43,-0.92,31933,2749.33,25
2005-08-11 00:00:00+00,43,43,41.5,42.5,-1.16,24642,2109.82,34
2005-08-12 00:00:00+00,42,42.4,41.9,42.1,-0.94,48080,4073.84,31
2005-08-16 00:00:00+00,42.1,43,42.1,42.1,0,5896,500.01,13
2005-08-17 00:00:00+00,43.4,43.4,43,43.4,3.09,3587,309.75,31
2005-08-18 00:00:00+00,43,43.8,42.9,43.8,0.92,28384,2445.96,41
2005-08-19 00:00:00+00,43.7,43.8,43,43.5,-0.68,54520,4743.36,23
2005-08-22 00:00:00+00,43.5,43.8,43,43.5,0,67196,5845.22,39
2005-08-23 00:00:00+00,43.7,43.7,43.1,43.6,0.23,6465,562.27,28
2005-08-24 00:00:00+00,43.2,43.7,43.2,43.6,0,6436,560.26,30
2005-08-25 00:00:00+00,43.5,45,43.3,44.4,1.83,29991,2646.14,67
2005-08-26 00:00:00+00,44.7,45,44.7,45,1.35,17264,1550.36,40
2005-08-29 00:00:00+00,45,45.9,45,45.6,1.33,18337,1664.72,44
2005-08-30 00:00:00+00,45.9,46.4,45.7,46.4,1.75,49926,4605.15,40
2005-08-31 00:00:00+00,46.4,46.4,42,45.6,-1.72,9425,853.1,62
2005-09-01 00:00:00+00,44.9,45.6,44.9,45.6,0,7573,683.32,44
2005-09-02 00:00:00+00,45,45.9,45,45.3,-0.66,292368,26548.53,52
2005-09-05 00:00:00+00,46,46,45,45.7,0.88,11803,1064.35,21
2005-09-06 00:00:00+00,45.3,46,45,46,0.66,8550,784.3,30
2005-09-07 00:00:00+00,45.9,46.4,45.7,45.9,-0.22,8971,825.72,32
2005-09-08 00:00:00+00,45.6,46,45.5,46,0.22,7708,706.62,21
2005-09-09 00:00:00+00,46,46.2,46,46.2,0.43,38190,3513.57,22
2005-09-12 00:00:00+00,46.5,47,46.3,46.9,1.52,36927,3446.56,58
2005-09-13 00:00:00+00,46.9,48,46.8,46.9,0,4464,421.6,35
2005-09-14 00:00:00+00,46.6,46.7,46,46,-1.92,2207,204.65,16
2005-09-15 00:00:00+00,45.8,46,45.6,45.9,-0.22,11780,1080.28,53
2005-09-16 00:00:00+00,45.9,45.9,44.8,45,-1.96,22756,2066.38,67
2005-09-19 00:00:00+00,44.1,44.9,43.2,44.9,-0.22,85914,7564.34,177
2005-09-20 00:00:00+00,44.5,44.9,44,44.9,0,53219,4776.77,38
2005-09-21 00:00:00+00,44.9,45.5,44.7,44.7,-0.45,70197,6355.17,55
2005-09-22 00:00:00+00,44.7,44.7,43.5,43.5,-2.68,21414,1877.71,44
2005-09-23 00:00:00+00,42.8,44.3,42.8,43.6,0.23,24442,2131.79,43
2005-09-26 00:00:00+00,44,45,42.7,42.7,-2.06,6811,595.83,21
2005-09-27 00:00:00+00,42.9,43.5,42,43.5,1.87,7948,683.29,36
2005-09-28 00:00:00+00,43.5,44.8,43.5,44.1,1.38,67780,6008.65,33
2005-09-29 00:00:00+00,44.5,44.5,44.1,44.2,0.23,24730,2199.87,11
2005-09-30 00:00:00+00,44.7,45,44.5,44.5,0.68,12846,1147.64,28
2005-10-03 00:00:00+00,44.5,45.5,44.4,45.3,1.8,36179,3260.99,22
2005-10-04 00:00:00+00,45.3,45.8,44.7,45.8,1.1,12882,1171.11,15
2005-10-05 00:00:00+00,45.3,45.7,45.1,45.2,-1.31,9947,898.72,21
