date,open,high,low,close,difference,volume,turnover,transactions
2008-07-28 00:00:00+00,5.99,5.99,5.6,5.83,-1.85,2151,24.65,18
2008-07-29 00:00:00+00,5.7,5.75,5.63,5.73,-1.72,5796,66.13,15
2008-07-30 00:00:00+00,5.73,5.88,5.63,5.88,2.62,3464,39.5,26
2008-07-31 00:00:00+00,5.88,5.88,5.74,5.74,-2.38,1042,12.03,6
2008-08-01 00:00:00+00,5.79,5.79,5.35,5.7,-0.7,3449,38.11,17
2008-08-04 00:00:00+00,5.94,5.98,5.5,5.79,1.58,5681,64.3,26
2008-08-05 00:00:00+00,5.8,5.99,5.65,5.99,3.45,8906,104.32,32
2008-08-06 00:00:00+00,6,6,5.65,5.9,-1.5,12317,143.03,48
2008-08-07 00:00:00+00,5.9,5.9,5.66,5.82,-1.36,3710,42.79,17
2008-08-08 00:00:00+00,5.77,5.77,5.74,5.75,-1.2,6783,78.01,10
2008-08-11 00:00:00+00,5.83,5.83,5.6,5.73,-0.35,1710,19.33,6
2008-08-12 00:00:00+00,5.76,5.76,5.74,5.74,0.17,6,0.07,2
2008-08-13 00:00:00+00,5.78,5.78,5.49,5.5,-4.18,8434,92.8,19
2008-08-14 00:00:00+00,5.5,5.5,5.35,5.5,0,462,4.99,7
2008-08-18 00:00:00+00,5.5,5.5,5.3,5.5,0,2042,21.98,8
2008-08-19 00:00:00+00,5.5,5.5,5.19,5.46,-0.73,6096,64.68,19
2008-08-20 00:00:00+00,5.47,5.47,5.44,5.44,-0.37,211,2.3,5
2008-08-21 00:00:00+00,5.44,5.44,5.4,5.44,0,726,7.87,8
2008-08-22 00:00:00+00,5.44,5.44,5.44,5.44,0,885,9.63,5
2008-08-25 00:00:00+00,5.68,5.68,5.64,5.64,3.68,3646,41.16,14
2008-08-26 00:00:00+00,5.64,5.74,5.5,5.7,1.06,29254,333.34,20
2008-08-27 00:00:00+00,5.7,5.7,5.6,5.7,0,27780,316.03,26
2008-08-28 00:00:00+00,5.7,5.7,5.69,5.7,0,6408,72.98,9
2008-08-29 00:00:00+00,5.7,5.85,5.7,5.8,1.75,5347,61.57,25
2008-09-01 00:00:00+00,5.85,5.85,5.6,5.79,-0.17,5094,57.6,19
2008-09-02 00:00:00+00,5.79,5.8,5.5,5.8,0.17,5008,56.86,22
2008-09-03 00:00:00+00,5.79,5.82,5.78,5.78,-0.34,5130,59.46,25
2008-09-04 00:00:00+00,5.8,5.85,5.7,5.85,1.21,18557,215.66,30
2008-09-05 00:00:00+00,5.85,6.4,5.7,6.14,4.96,40441,475.83,75
2008-09-08 00:00:00+00,6.22,6.84,6.02,6.6,7.49,119451,1541.48,259
2008-09-09 00:00:00+00,6.6,6.8,6.34,6.78,2.73,65122,856.42,104
2008-09-10 00:00:00+00,6.79,6.8,6.56,6.74,-0.59,7298,96.97,31
2008-09-11 00:00:00+00,6.79,6.9,6.5,6.61,-1.93,55665,746.96,86
2008-09-12 00:00:00+00,6.66,6.75,6.42,6.74,1.97,25220,333.63,82
2008-09-15 00:00:00+00,6.74,6.74,6.3,6.61,-1.93,21045,274.4,29
2008-09-16 00:00:00+00,6.73,6.73,6.45,6.62,0.15,1271,16.57,12
2008-09-17 00:00:00+00,6.62,6.78,6.6,6.75,1.96,14668,195.56,43
2008-09-18 00:00:00+00,6.78,6.78,6.43,6.75,0,4140,55.21,22
2008-09-19 00:00:00+00,6.75,7.35,6.5,7.2,6.67,47453,645.68,124
2008-09-22 00:00:00+00,7,7.2,6.95,7.09,-1.53,14053,196.87,40
2008-09-23 00:00:00+00,7.1,7.1,6.82,7.05,-0.56,43,0.61,7
2008-09-24 00:00:00+00,6.99,7.1,6.82,7.05,0,10078,139.27,44
2008-09-25 00:00:00+00,7.05,7.05,6.9,7,-0.71,10553,146.98,37
2008-09-26 00:00:00+00,6.99,7,6.8,6.99,-0.14,10838,149.78,69
2008-09-29 00:00:00+00,6.99,7.05,6.7,7,0.14,30383,423.45,53
2008-09-30 00:00:00+00,6.74,7,6.71,7,0,21760,302.82,55
2008-10-01 00:00:00+00,7,7.09,6.8,7.09,1.29,12573,174.57,29
2008-10-02 00:00:00+00,7.05,7.05,6.85,6.99,-1.41,11344,158.47,49
2008-10-03 00:00:00+00,6.99,7.04,6.8,6.97,-0.29,16544,228.74,71
2008-10-06 00:00:00+00,6.96,6.96,6.69,6.79,-2.58,5522,74.36,25
2008-10-07 00:00:00+00,6.9,6.9,6.36,6.36,-6.33,12352,161.19,31
