date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,0,0,0,10.5,0,0,0,0
2005-01-04 00:00:00+00,0,0,0,10.5,0,0,0,0
2005-01-05 00:00:00+00,0,0,0,10.5,0,0,0,0
2005-01-06 00:00:00+00,0,0,0,10.5,0,0,0,0
2005-01-07 00:00:00+00,0,0,0,10.5,0,0,0,0
2005-01-10 00:00:00+00,0,0,0,10.5,0,0,0,0
2005-01-11 00:00:00+00,0,0,0,10.5,0,0,0,0
2005-01-12 00:00:00+00,0,0,0,10.5,0,0,0,0
2005-01-13 00:00:00+00,9.55,9.55,9.55,9.55,-9.05,400,7.64,6
2005-01-14 00:00:00+00,0,0,0,9.55,0,0,0,0
2005-01-17 00:00:00+00,9.3,9.3,9.3,9.3,-2.62,270,5.02,3
2005-01-18 00:00:00+00,0,0,0,9.3,0,0,0,0
2005-01-19 00:00:00+00,8.5,8.5,8.5,8.5,-8.6,742,12.61,8
2005-01-20 00:00:00+00,8.8,8.8,8.8,8.8,3.53,500,8.8,4
2005-01-21 00:00:00+00,8.45,8.45,8.4,8.4,-4.55,600,10.09,5
2005-01-24 00:00:00+00,8.6,8.6,8,8,-4.76,333,5.33,3
2005-01-25 00:00:00+00,8.15,8.15,8.15,8.15,1.88,1000,16.3,3
2005-01-26 00:00:00+00,8.95,8.95,8.95,8.95,9.82,5,0.09,1
2005-01-27 00:00:00+00,0,0,0,8.95,0,0,0,0
2005-01-28 00:00:00+00,0,0,0,8.95,0,0,0,0
2005-01-31 00:00:00+00,9.05,9.05,9.05,9.05,1.12,180,3.26,3
2005-02-01 00:00:00+00,0,0,0,9.05,0,0,0,0
2005-02-02 00:00:00+00,0,0,0,9.05,0,0,0,0
2005-02-03 00:00:00+00,9.7,9.7,9.7,9.7,7.18,2,0.04,1
2005-02-04 00:00:00+00,9.25,9.25,9.25,9.25,-4.64,425,7.86,2
2005-02-07 00:00:00+00,9.7,9.7,9.7,9.7,4.86,2,0.04,1
2005-02-08 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-02-09 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-02-10 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-02-11 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-02-14 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-02-15 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-02-16 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-02-17 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-02-18 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-02-21 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-02-22 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-02-23 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-02-24 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-02-25 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-02-28 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-03-01 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-03-02 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-03-03 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-03-04 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-03-07 00:00:00+00,0,0,0,9.7,0,0,0,0
2005-03-08 00:00:00+00,8.8,8.8,8.7,8.7,-10.31,2114,36.88,6
2005-03-09 00:00:00+00,8.65,8.65,8.65,8.65,-0.57,187,3.24,1
2005-03-10 00:00:00+00,8.45,8.45,8.45,8.45,-2.31,100,1.69,2
2005-03-11 00:00:00+00,8.25,8.25,8.25,8.25,-2.37,49,0.81,1
2005-03-14 00:00:00+00,0,0,0,8.25,0,0,0,0
2005-03-15 00:00:00+00,8.45,8.45,8.45,8.45,2.42,31,0.52,1
2005-03-16 00:00:00+00,0,0,0,8.45,0,0,0,0
2005-03-17 00:00:00+00,0,0,0,8.45,0,0,0,0
2005-03-18 00:00:00+00,0,0,0,8.45,0,0,0,0
2005-03-21 00:00:00+00,0,0,0,8.45,0,0,0,0
2005-03-22 00:00:00+00,0,0,0,8.45,0,0,0,0
2005-03-23 00:00:00+00,0,0,0,8.45,0,0,0,0
2005-03-24 00:00:00+00,0,0,0,8.45,0,0,0,0
2005-03-29 00:00:00+00,0,0,0,8.45,0,0,0,0
2005-03-30 00:00:00+00,0,0,0,8.45,0,0,0,0
2005-03-31 00:00:00+00,0,0,0,8.45,0,0,0,0
2005-04-01 00:00:00+00,8.25,8.25,8.25,8.25,-2.37,70,1.16,1
2005-04-04 00:00:00+00,7.05,8.2,7.05,8.2,-0.61,413,6.54,6
2005-04-05 00:00:00+00,0,0,0,8.2,0,0,0,0
2005-04-06 00:00:00+00,0,0,0,8.2,0,0,0,0
