date,open,high,low,close,difference,volume,turnover,transactions
2014-10-06 00:00:00+00,15.2,15.89,15.1,15.2,1.33,173438,2654.14,475
2014-10-07 00:00:00+00,15.36,15.39,15.2,15.3,0.66,21739,333.46,93
2014-10-08 00:00:00+00,15.29,15.29,15.1,15.19,-0.72,13842,210.02,92
2014-10-09 00:00:00+00,15.12,15.27,15.12,15.24,0.33,6125,93.21,25
2014-10-10 00:00:00+00,15.22,15.22,14.89,15,-1.57,9078,136.38,62
2014-10-13 00:00:00+00,14.99,15.11,14.99,15,0,15701,235.62,51
2014-10-14 00:00:00+00,15.03,15.09,14.6,14.97,-0.2,43032,640.97,56
2014-10-15 00:00:00+00,14.76,14.85,14.7,14.85,-0.8,25197,371.83,29
2014-10-16 00:00:00+00,14.85,14.9,14.75,14.9,0.34,39678,589.32,33
2014-10-17 00:00:00+00,15,15,14.9,14.9,0,563,8.43,7
2014-10-20 00:00:00+00,14.9,14.91,14.9,14.9,0,976,14.54,8
2014-10-21 00:00:00+00,14.88,14.95,14.8,14.9,0,4933,73.45,22
2014-10-22 00:00:00+00,14.9,15.05,14.81,14.95,0.34,6104,91.36,24
2014-10-23 00:00:00+00,15,15,15,15,0.33,60000,900,12
2014-10-24 00:00:00+00,15.02,15.09,15,15.05,0.33,3793,56.95,20
2014-10-27 00:00:00+00,15.07,15.07,15.03,15.03,-0.13,1159,17.44,7
2014-10-28 00:00:00+00,15.04,15.09,15,15.09,0.4,14638,220.41,28
2014-10-29 00:00:00+00,15.07,15.09,15.07,15.07,-0.13,4998,75.34,12
2014-10-30 00:00:00+00,15.07,15.07,15,15,-0.46,530,7.97,4
2014-10-31 00:00:00+00,15.01,15.01,15,15,0,6962,104.44,13
2014-11-03 00:00:00+00,15,15.06,15,15,0,4464,67.09,23
2014-11-04 00:00:00+00,15,15.05,15,15,0,1533,23.01,11
2014-11-05 00:00:00+00,14.95,15.05,14.95,15.05,0.33,2293,34.46,19
2014-11-06 00:00:00+00,15.15,15.91,15.15,15.89,5.58,35719,554.79,165
2014-11-07 00:00:00+00,16,16,15.6,15.9,0.06,10522,166.18,60
2014-11-10 00:00:00+00,16.15,16.5,16.05,16.3,2.52,34060,553.43,145
2014-11-12 00:00:00+00,16.25,16.95,16.25,16.48,1.1,18726,310.56,105
2014-11-13 00:00:00+00,16.42,16.8,16.42,16.64,0.97,11584,191.64,54
2014-11-14 00:00:00+00,16.8,16.91,16.7,16.91,1.62,31303,527.73,118
2014-11-17 00:00:00+00,16.95,17.47,16.95,17.27,2.13,20032,345.57,133
2014-11-18 00:00:00+00,17.4,17.48,17.11,17.22,-0.29,15841,274.28,93
2014-11-19 00:00:00+00,17.34,17.34,16.64,17.02,-1.16,15147,255.26,80
2014-11-20 00:00:00+00,16.9,16.93,16.75,16.93,-0.53,4746,79.75,34
2014-11-21 00:00:00+00,16.77,17.2,16.75,17.1,1,10547,179.88,35
2014-11-24 00:00:00+00,17.1,17.1,16.76,16.85,-1.46,4289,72.16,31
2014-11-25 00:00:00+00,16.8,16.85,16.25,16.67,-1.07,11186,184.7,77
2014-11-26 00:00:00+00,16.5,17,16.25,17,1.98,13338,222.39,48
2014-11-27 00:00:00+00,17.01,17.1,16.57,16.91,-0.53,20195,344.15,34
2014-11-28 00:00:00+00,16.9,17,16.8,17,0.53,1431,24.2,8
2014-12-01 00:00:00+00,16.8,16.8,16.4,16.64,-2.12,5716,94.94,40
2014-12-02 00:00:00+00,16.85,16.85,16.31,16.8,0.96,4494,74.57,41
2014-12-03 00:00:00+00,16.59,16.69,16.46,16.69,-0.65,2887,47.97,17
2014-12-04 00:00:00+00,16.69,16.75,16.5,16.75,0.36,3046,50.6,20
2014-12-05 00:00:00+00,16.75,17,16.5,16.99,1.43,5038,84.64,36
2014-12-08 00:00:00+00,16.85,17,16.53,16.88,-0.65,8329,139.05,55
2014-12-09 00:00:00+00,16.6,16.96,16.45,16.92,0.24,12733,212.98,43
2014-12-10 00:00:00+00,16.84,16.89,16.6,16.89,-0.18,1845,30.94,12
2014-12-11 00:00:00+00,16.6,16.95,16.56,16.95,0.36,3272,54.78,19
2014-12-12 00:00:00+00,16.8,16.8,16.6,16.7,-1.47,2443,40.76,15
2014-12-15 00:00:00+00,16.6,16.78,16.6,16.78,0.48,1885,31.38,14
2014-12-16 00:00:00+00,16.5,16.5,15.01,16.3,-2.86,19175,308.19,88
2014-12-17 00:00:00+00,16,16,15.24,16,-1.84,8269,130.77,52
2014-12-18 00:00:00+00,16,16.15,15.81,16.15,0.94,2602,41.77,17
2014-12-19 00:00:00+00,16,16.05,15.8,15.94,-1.3,3387,54.07,26
2014-12-22 00:00:00+00,15.98,16.15,15.8,16.15,1.32,6535,104.33,32
2014-12-23 00:00:00+00,16.1,16.13,16.1,16.13,-0.12,2236,36.06,3
2014-12-29 00:00:00+00,16.15,16.15,15.47,15.99,-0.87,3363,53.33,24
2014-12-30 00:00:00+00,15.99,16.79,15.6,16.79,5,10749,176.97,53
2015-01-02 00:00:00+00,16.79,16.79,16.42,16.75,-0.24,1627,27.1,10
2015-01-05 00:00:00+00,16.78,16.78,16.69,16.75,0,3988,66.68,22
2015-01-07 00:00:00+00,16.74,16.78,16.65,16.78,0.18,3439,57.53,13
2015-01-08 00:00:00+00,16.8,16.9,16.63,16.9,0.72,2422,40.65,21
2015-01-09 00:00:00+00,16.8,16.8,16.8,16.8,-0.59,70,1.18,1
2015-01-12 00:00:00+00,16.66,16.7,16.5,16.57,-1.37,1453,24.09,11
2015-01-13 00:00:00+00,16.42,16.48,16.2,16.48,-0.54,3422,56.01,19
2015-01-14 00:00:00+00,16.45,16.45,16.25,16.4,-0.49,809,13.24,8
2015-01-15 00:00:00+00,16.2,16.4,16.2,16.4,0,1781,28.97,16
2015-01-16 00:00:00+00,16.25,16.25,15.92,16,-2.44,5215,83.67,27
2015-01-19 00:00:00+00,16.05,16.08,15.75,16.08,0.5,3538,56.58,17
2015-01-20 00:00:00+00,16.11,16.11,15.88,16,-0.5,2871,46.04,15
2015-01-21 00:00:00+00,16.11,16.11,15.9,16.08,0.5,483,7.75,7
2015-01-22 00:00:00+00,16,16.35,16,16.35,1.68,3317,53.53,16
2015-01-23 00:00:00+00,16.35,16.65,16.35,16.65,1.83,7185,118.35,27
2015-01-26 00:00:00+00,16.4,16.65,16.4,16.6,-0.3,1412,23.34,12
2015-01-27 00:00:00+00,16.41,16.41,16.4,16.4,-1.2,2355,38.63,19
2015-01-28 00:00:00+00,16.55,17.03,16.55,17,3.66,17995,305.18,60
2015-01-29 00:00:00+00,17.03,17.3,16.91,17.24,1.41,18372,314.81,91
2015-01-30 00:00:00+00,17.29,17.3,17.1,17.1,-0.81,15615,269.82,57
2015-02-02 00:00:00+00,17.09,17.2,17.09,17.11,0.06,4956,85.02,25
2015-02-03 00:00:00+00,17.12,17.35,17.02,17.27,0.94,26169,447.89,88
2015-02-04 00:00:00+00,17.15,17.27,17.11,17.27,0,6798,117.27,81
2015-02-05 00:00:00+00,17.27,17.32,17.2,17.32,0.29,8886,153.43,30
2015-02-06 00:00:00+00,17.32,18,17.3,17.75,2.48,25112,445.16,101
2015-02-09 00:00:00+00,18,18,17.7,17.75,0,4712,83.65,30
2015-02-10 00:00:00+00,17.85,17.85,17.65,17.74,-0.06,4504,80.15,25
2015-02-11 00:00:00+00,17.73,17.73,17.52,17.73,-0.06,3080,54.1,19
2015-02-12 00:00:00+00,17.8,17.8,17.8,17.8,0.39,200,3.56,3
2015-02-13 00:00:00+00,17.55,17.9,17.53,17.78,-0.11,736,13.04,10
2015-02-16 00:00:00+00,17.8,17.95,17.7,17.95,0.96,1242,22.15,12
2015-02-17 00:00:00+00,17.71,17.84,17.62,17.84,-0.61,4659,82.48,12
2015-02-18 00:00:00+00,17.89,17.89,17.7,17.85,0.06,618,11.02,12
2015-02-19 00:00:00+00,17.88,17.88,17.7,17.87,0.11,1744,30.99,7
2015-02-20 00:00:00+00,17.86,17.86,17.7,17.7,-0.95,500,8.85,4
2015-02-23 00:00:00+00,17.76,17.84,17.53,17.84,0.79,5938,104.81,16
2015-02-24 00:00:00+00,17.61,17.95,17.61,17.95,0.62,2487,44.41,18
2015-02-25 00:00:00+00,17.9,18.59,17.9,18.5,3.06,141127,2588.39,154
2015-02-26 00:00:00+00,18.65,18.65,18.47,18.47,-0.16,15856,293.53,33
2015-02-27 00:00:00+00,18.6,19.1,18.5,18.99,2.82,16287,305.53,79
2015-03-02 00:00:00+00,18.95,18.95,18.66,18.93,-0.32,8019,151.08,44
2015-03-03 00:00:00+00,18.95,19.22,18.95,19.05,0.63,18138,345.28,53
2015-03-04 00:00:00+00,18.73,19.4,18.71,19.4,1.84,27607,525.74,86
2015-03-05 00:00:00+00,19.4,19.7,19.4,19.59,0.98,17756,346.58,85
2015-03-06 00:00:00+00,19.65,19.65,19,19.29,-1.53,19706,378.82,69
2015-03-09 00:00:00+00,19.06,19.15,18.8,19,-1.5,5442,103.45,27
2015-03-10 00:00:00+00,19.08,19.08,18.8,18.95,-0.26,3793,71.64,22
2015-03-11 00:00:00+00,18.77,19.05,18.77,19.05,0.53,1970,37.46,14
2015-03-12 00:00:00+00,19.05,19.05,18.82,19.05,0,2235,42.53,18
2015-03-13 00:00:00+00,19.2,19.2,18.84,19.13,0.42,4017,76.33,23
2015-03-16 00:00:00+00,19.13,19.15,19.01,19.15,0.1,9722,185.67,42
2015-03-17 00:00:00+00,19.15,19.39,19.15,19.39,1.25,16202,312.65,58
2015-03-18 00:00:00+00,19.4,19.75,19.4,19.55,0.83,11219,219.34,48
2015-03-19 00:00:00+00,19.67,19.67,19.27,19.54,-0.05,8236,159.58,42
2015-03-20 00:00:00+00,19.52,19.54,19.4,19.5,-0.2,4033,78.51,31
2015-03-23 00:00:00+00,19.5,19.5,19.38,19.49,-0.05,19001,370.43,85
2015-03-24 00:00:00+00,19.6,19.6,19.35,19.49,0,6426,125.16,115
2015-03-25 00:00:00+00,19.4,19.44,19.26,19.26,-1.18,10742,207.89,44
2015-03-26 00:00:00+00,19.26,19.26,18.85,19,-1.35,6140,116.66,56
2015-03-27 00:00:00+00,19.06,19.14,19.06,19.07,0.37,5957,113.88,31
2015-03-30 00:00:00+00,19.1,19.39,19.1,19.15,0.42,4026,77.32,42
2015-03-31 00:00:00+00,19.15,19.28,19.11,19.26,0.57,2089,40.07,17
2015-04-01 00:00:00+00,19.26,19.39,19.26,19.39,0.67,7060,136.31,32
2015-04-02 00:00:00+00,19.4,19.4,19.2,19.2,-0.98,4129,79.72,24
2015-04-07 00:00:00+00,19.4,19.4,19.2,19.39,0.99,5097,98.37,43
2015-04-08 00:00:00+00,19.33,19.37,19.1,19.1,-1.5,4508,86.65,40
2015-04-09 00:00:00+00,19.17,19.4,19.15,19.39,1.52,8809,170.64,37
2015-04-10 00:00:00+00,19.39,19.39,19.26,19.35,-0.21,1956,37.82,17
2015-04-13 00:00:00+00,19.4,19.4,19.36,19.36,0.05,926,17.95,12
2015-04-14 00:00:00+00,19.36,19.4,19.26,19.38,0.1,7936,153.7,59
2015-04-15 00:00:00+00,19.3,19.35,19.21,19.21,-0.88,6159,118.7,28
2015-04-16 00:00:00+00,19.36,19.36,19.15,19.15,-0.31,4272,81.95,26
2015-04-17 00:00:00+00,19.15,19.15,19,19,-0.78,7882,150.36,55
2015-04-20 00:00:00+00,19.25,19.25,19.1,19.19,1,6587,126.42,22
2015-04-21 00:00:00+00,19.19,19.2,19.12,19.12,-0.36,4680,89.72,31
2015-04-22 00:00:00+00,19.1,19.1,19.02,19.08,-0.21,11709,223.45,67
2015-04-23 00:00:00+00,19.08,19.1,19.03,19.1,0.1,4907,93.57,42
2015-04-24 00:00:00+00,19.1,19.2,19.05,19.05,-0.26,4811,91.89,25
2015-04-27 00:00:00+00,19.1,19.1,18.96,19,-0.26,11411,216.86,42
