date,open,high,low,close,difference,volume,turnover,transactions
2015-09-08 00:00:00+00,0,0,0,0.05,0,0,0,0
2015-09-09 00:00:00+00,0,0,0,0.05,0,0,0,0
2015-09-10 00:00:00+00,0,0,0,0.05,0,0,0,0
2015-09-11 00:00:00+00,0,0,0,0.05,0,0,0,0
2015-09-14 00:00:00+00,0,0,0,0.05,0,0,0,0
2015-09-15 00:00:00+00,0,0,0,0.05,0,0,0,0
2015-09-16 00:00:00+00,0,0,0,0.05,0,0,0,0
2015-09-17 00:00:00+00,0,0,0,0.05,0,0,0,0
2015-09-18 00:00:00+00,0,0,0,0.05,0,0,0,0
2015-09-21 00:00:00+00,0,0,0,0.05,0,0,0,0
2015-09-22 00:00:00+00,0,0,0,0.05,0,0,0,0
2015-09-23 00:00:00+00,0,0,0,0.05,0,0,0,0
2015-09-24 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-09-25 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-09-28 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-09-29 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-09-30 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-01 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-02 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-05 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-06 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-07 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-08 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-09 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-12 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-13 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-14 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-15 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-16 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-19 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-20 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-21 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-22 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-23 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-26 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-27 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-28 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-29 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-10-30 00:00:00+00,0,0,0,1.2,0,0,0,0
2015-11-02 00:00:00+00,0,0,0,1.2,0,0,0,0
