date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,25,25,24.5,25,0,681,33.75,7
2005-01-04 00:00:00+00,24.2,25,24.2,25,0,518,25.65,5
2005-01-05 00:00:00+00,24.9,25,24.4,24.4,-2.4,1809,88.96,14
2005-01-06 00:00:00+00,24.5,25,24.5,25,2.46,222,10.88,3
2005-01-07 00:00:00+00,24.2,25,24.2,24.2,-3.2,7008,343.93,16
2005-01-10 00:00:00+00,24.9,24.9,24.2,24.9,2.89,957,46.87,9
2005-01-11 00:00:00+00,25.1,25.1,24.2,24.2,-2.81,260,12.6,2
2005-01-12 00:00:00+00,23.9,23.9,23.9,23.9,-1.24,17,0.81,1
2005-01-13 00:00:00+00,24.5,24.5,24.5,24.5,2.51,15,0.74,1
2005-01-14 00:00:00+00,23.8,24.2,23.8,24.2,-1.22,587,27.95,4
2005-01-17 00:00:00+00,24.5,24.5,24,24,-0.83,80,3.85,3
2005-01-18 00:00:00+00,24.5,24.5,24.5,24.5,2.08,17,0.83,1
2005-01-19 00:00:00+00,24,24,24,24,-2.04,317,15.22,2
2005-01-20 00:00:00+00,24,24,24,24,0,290,13.92,3
2005-01-21 00:00:00+00,24,24.5,24,24.5,2.08,214,10.28,3
2005-01-24 00:00:00+00,24.5,24.5,24.5,24.5,0,10,0.49,1
2005-01-25 00:00:00+00,24.5,24.5,24,24.5,0,115,5.55,3
2005-01-26 00:00:00+00,25,25,24.9,25,2.04,1479,73.89,9
2005-01-27 00:00:00+00,24.3,25,24.3,25,0,1284,62.8,4
2005-01-28 00:00:00+00,25,25,25,25,0,1394,69.7,9
2005-01-31 00:00:00+00,25,25,24.5,24.5,-2,197,9.66,2
2005-02-01 00:00:00+00,25,25,24.8,24.8,1.22,33,1.64,2
2005-02-02 00:00:00+00,24.8,24.8,24.8,24.8,0,10,0.5,1
2005-02-03 00:00:00+00,24.5,24.8,24.5,24.8,0,932,45.72,2
2005-02-04 00:00:00+00,24.5,24.5,24.3,24.3,-2.02,217,10.6,3
2005-02-07 00:00:00+00,24.6,24.6,24.2,24.2,-0.41,240,11.79,3
2005-02-08 00:00:00+00,24.4,24.4,24.4,24.4,0.83,110,5.37,1
2005-02-09 00:00:00+00,24.4,24.4,24.1,24.2,-0.82,1325,64.14,8
2005-02-10 00:00:00+00,24.5,24.5,23.7,23.7,-2.07,89277,4285.34,20
2005-02-11 00:00:00+00,24.5,24.5,23.8,24,1.27,5218,250.39,4
2005-02-14 00:00:00+00,24.5,24.5,24,24,0,6295,303.1,15
2005-02-15 00:00:00+00,24.4,24.4,23.9,23.9,-0.42,2255,108.52,7
2005-02-16 00:00:00+00,24,24,24,24,0.42,62,2.98,1
2005-02-17 00:00:00+00,23.5,24,23.4,24,0,825,38.66,8
2005-02-18 00:00:00+00,23.5,23.5,23.5,23.5,-2.08,452,21.24,2
2005-02-21 00:00:00+00,24,24,24,24,2.13,1900,91.2,3
2005-02-22 00:00:00+00,23.8,24,23.8,24,0,660,31.58,4
2005-02-23 00:00:00+00,24,24,23.2,23.2,-3.33,742,34.48,3
2005-02-24 00:00:00+00,23.5,23.9,23.5,23.9,3.02,198,9.39,3
2005-02-25 00:00:00+00,23.9,24.4,23.5,24.4,2.09,9259,444.7,11
2005-02-28 00:00:00+00,0,0,0,24.4,0,0,0,0
2005-03-01 00:00:00+00,24,24.3,24,24.3,-0.41,130,6.24,5
2005-03-02 00:00:00+00,24,24.6,24,24.6,1.23,11194,537.54,4
2005-03-03 00:00:00+00,24.8,24.8,24.8,24.8,0.81,183,9.08,4
2005-03-04 00:00:00+00,24.8,25.5,24.3,25.5,2.82,2312,115,21
2005-03-07 00:00:00+00,25.5,27,25,26,1.96,3914,203.48,34
2005-03-08 00:00:00+00,26.2,26.2,25,26.2,0.77,3151,159.88,30
2005-03-09 00:00:00+00,25.8,26,24.9,25.1,-4.2,2347,118.46,27
2005-03-10 00:00:00+00,24.5,25.9,24.5,25.1,0,1839,91.79,18
2005-03-11 00:00:00+00,24.5,25.2,24.5,25.2,0.4,28,1.4,3
2005-03-14 00:00:00+00,0,0,0,25.2,0,0,0,0
2005-03-15 00:00:00+00,25.1,25.1,25.1,25.1,-0.4,4,0.2,1
2005-03-16 00:00:00+00,23.8,24,23.8,24,-4.38,656,31.3,3
2005-03-17 00:00:00+00,24.8,24.8,23.7,24.2,0.83,757,36.58,7
2005-03-18 00:00:00+00,24,24,24,24,-0.83,100,4.8,1
2005-03-21 00:00:00+00,24,24,24,24,0,1709,82.03,6
2005-03-22 00:00:00+00,0,0,0,24,0,0,0,0
2005-03-23 00:00:00+00,23.7,24.7,23.7,24.7,2.92,150,7.21,5
2005-03-24 00:00:00+00,24.9,24.9,24.9,24.9,0.81,2,0.1,1
2005-03-29 00:00:00+00,23.5,23.5,22.7,22.7,-8.84,1119,51.86,15
2005-03-30 00:00:00+00,23.3,24.8,23.3,24.8,9.25,745,36.19,21
2005-03-31 00:00:00+00,25,25,24,24.9,0.4,2039,98.94,10
2005-04-01 00:00:00+00,24.8,24.9,24,24.4,-2.01,3928,189.99,17
2005-04-04 00:00:00+00,24,24,23.3,23.5,-3.69,2491,117.46,23
2005-04-05 00:00:00+00,24.4,24.4,23.4,23.9,1.7,2113,100.07,22
2005-04-06 00:00:00+00,23.5,24.2,23.5,24.2,1.26,1332,63.25,11
2005-04-07 00:00:00+00,24,24.9,24,24.9,2.89,960,47.07,10
2005-04-11 00:00:00+00,25,25,25,25,0.4,121,6.05,2
2005-04-12 00:00:00+00,25.6,26.4,24.9,26.4,5.6,852,44.53,10
2005-04-13 00:00:00+00,25.2,25.5,24.9,25.1,-4.92,220,11.03,8
2005-04-14 00:00:00+00,25.2,25.2,24.5,25,-0.4,7102,352.5,11
