date,open,high,low,close,difference,volume,turnover,transactions
2011-04-11 00:00:00+00,16.99,16.99,16.8,16.91,-0.53,5770,97.37,14
2011-04-12 00:00:00+00,17.13,17.43,17.01,17.09,1.06,6108,105.87,17
2011-04-13 00:00:00+00,17.14,17.39,17.14,17.39,1.76,228,3.93,3
2011-04-14 00:00:00+00,17.1,17.39,17.1,17.39,0,27,0.46,3
2011-04-15 00:00:00+00,0,0,0,17.39,0,0,0,0
2011-04-18 00:00:00+00,17.11,17.11,17.11,17.11,-1.61,97,1.66,2
2011-04-19 00:00:00+00,17.19,17.2,17.19,17.2,0.53,313,5.38,5
2011-04-20 00:00:00+00,17.19,17.19,17.19,17.19,-0.06,250,4.3,1
2011-04-21 00:00:00+00,17.39,17.55,17.39,17.55,2.09,6918,121.12,13
2011-04-26 00:00:00+00,17.4,17.6,17.4,17.6,0.28,9952,175.02,18
2011-04-27 00:00:00+00,17.6,17.65,17.6,17.65,0.28,150,2.65,2
2011-04-28 00:00:00+00,17.61,17.61,17.6,17.6,-0.28,700,12.33,3
2011-04-29 00:00:00+00,17.61,17.61,17.6,17.6,0,1730,30.45,3
2011-05-02 00:00:00+00,17.63,17.68,17.62,17.67,0.4,2602,45.94,7
2011-05-04 00:00:00+00,17.68,17.7,17.68,17.7,0.17,1035,18.3,7
2011-05-05 00:00:00+00,17.69,17.69,17.68,17.68,-0.11,3362,59.44,3
2011-05-06 00:00:00+00,17.56,17.69,17.55,17.68,0,8674,152.68,8
2011-05-09 00:00:00+00,17.73,17.73,17.61,17.61,-0.4,2885,50.86,4
2011-05-10 00:00:00+00,17.59,17.66,17.59,17.66,0.28,3916,69.12,8
2011-05-11 00:00:00+00,17.7,17.7,17.7,17.7,0.23,2222,39.33,4
2011-05-12 00:00:00+00,17.7,17.7,17.51,17.69,-0.06,14130,249.81,13
2011-05-13 00:00:00+00,17.69,17.69,17.69,17.69,0,1000,17.69,1
2011-05-16 00:00:00+00,17.8,17.8,17.75,17.76,0.4,3913,69.64,12
2011-05-17 00:00:00+00,17.7,17.81,17.7,17.8,0.23,2200,39.16,9
2011-05-18 00:00:00+00,17.84,17.84,17.65,17.66,-0.79,1645,29.21,7
2011-05-19 00:00:00+00,17.95,17.95,17.95,17.95,1.64,5250,94.24,5
2011-05-20 00:00:00+00,17.96,17.96,17.96,17.96,0.06,200,3.59,2
2011-05-23 00:00:00+00,0,0,0,17.96,0,0,0,0
2011-05-24 00:00:00+00,17.9,17.9,17.9,17.9,-0.33,100,1.79,1
2011-05-25 00:00:00+00,17.85,17.85,17.72,17.75,-0.84,2360,41.85,4
2011-05-26 00:00:00+00,17.9,18,17.9,17.99,1.35,2000,35.96,7
2011-05-27 00:00:00+00,17.96,17.96,17.96,17.96,-0.17,150,2.69,1
2011-05-30 00:00:00+00,17.76,17.76,17.76,17.76,-1.11,525,9.32,1
2011-05-31 00:00:00+00,0,0,0,17.76,0,0,0,0
2011-06-01 00:00:00+00,17.81,17.81,17.81,17.81,0.28,1400,24.93,7
2011-06-02 00:00:00+00,0,0,0,17.81,0,0,0,0
2011-06-03 00:00:00+00,17.8,17.8,17.76,17.76,-0.28,2273,40.39,3
2011-06-06 00:00:00+00,17.95,17.95,17.6,17.66,-0.56,1523,26.83,6
2011-06-07 00:00:00+00,0,0,0,17.66,0,0,0,0
2011-06-08 00:00:00+00,17.74,17.74,17.72,17.72,0.34,3751,66.51,7
2011-06-09 00:00:00+00,17.73,17.85,17.73,17.85,0.73,1317,23.44,6
2011-06-10 00:00:00+00,17.79,17.79,17.79,17.79,-0.34,600,10.67,2
2011-06-13 00:00:00+00,17.79,18,17.79,17.97,1.01,1799,32.22,7
2011-06-14 00:00:00+00,17.79,17.99,17.79,17.99,0.11,1340,24.09,3
2011-06-15 00:00:00+00,17.97,17.97,17.9,17.9,-0.5,500,8.96,2
2011-06-16 00:00:00+00,17.8,17.8,17.8,17.8,-0.56,150,2.67,3
2011-06-17 00:00:00+00,18,18,17.99,17.99,1.07,1000,18,3
2011-06-20 00:00:00+00,17.8,17.8,17.72,17.72,-1.5,24,0.43,2
2011-06-21 00:00:00+00,0,0,0,17.72,0,0,0,0
2011-06-22 00:00:00+00,17.72,17.72,17,17,-4.06,1014,17.77,5
2011-06-24 00:00:00+00,0,0,0,17,0,0,0,0
2011-06-27 00:00:00+00,17.01,17.01,17.01,17.01,0.06,100,1.7,2
2011-06-28 00:00:00+00,16.91,16.91,16.91,16.91,-0.59,3,0.05,1
2011-06-29 00:00:00+00,0,0,0,16.91,0,0,0,0
2011-06-30 00:00:00+00,0,0,0,16.91,0,0,0,0
2011-07-01 00:00:00+00,16.91,16.91,16.91,16.91,0,91,1.54,1
2011-07-04 00:00:00+00,16.9,16.9,16.9,16.9,-0.06,172,2.91,1
2011-07-05 00:00:00+00,0,0,0,16.9,0,0,0,0
2011-07-06 00:00:00+00,0,0,0,16.9,0,0,0,0
2011-07-07 00:00:00+00,17,17,17,17,0.59,34,0.58,2
2011-07-08 00:00:00+00,16.7,16.7,16.7,16.7,-1.76,4,0.07,1
2011-07-11 00:00:00+00,0,0,0,16.7,0,0,0,0
2011-07-12 00:00:00+00,17,17.5,17,17.5,4.79,486,8.46,3
2011-07-13 00:00:00+00,17.5,17.5,17.5,17.5,0,76,1.33,1
2011-07-14 00:00:00+00,17.5,17.5,17.02,17.02,-2.74,270,4.68,2
2011-07-15 00:00:00+00,0,0,0,17.02,0,0,0,0
2011-07-18 00:00:00+00,17,17,15.32,16.02,-5.88,7786,122.73,14
2011-07-19 00:00:00+00,0,0,0,16.02,0,0,0,0
2011-07-20 00:00:00+00,16.6,17.93,16.6,17.93,11.92,1838,31.11,10
2011-07-21 00:00:00+00,17.7,17.7,17.7,17.7,-1.28,70,1.24,1
2011-07-22 00:00:00+00,0,0,0,17.7,0,0,0,0
2011-07-25 00:00:00+00,0,0,0,17.7,0,0,0,0
2011-07-26 00:00:00+00,17.6,17.6,17.6,17.6,-0.56,17,0.3,1
2011-07-27 00:00:00+00,16.6,17.01,16.6,17.01,-3.35,147,2.47,3
2011-07-28 00:00:00+00,17.7,18,17.65,17.65,3.76,6000,106.33,8
2011-07-29 00:00:00+00,17.98,17.99,17.98,17.99,1.93,360,6.48,3
2011-08-01 00:00:00+00,17.99,18.05,17.99,18.05,0.33,2750,49.6,7
2011-08-02 00:00:00+00,18.05,19,18.05,19,5.26,3017,56.18,27
2011-08-03 00:00:00+00,19,20.93,19,20.93,10.16,3113,59.98,20
2011-08-04 00:00:00+00,20.88,20.9,20.24,20.89,-0.19,662,13.69,14
2011-08-05 00:00:00+00,20.8,20.8,18.8,20.77,-0.57,1933,37.88,16
2011-08-08 00:00:00+00,20.7,20.99,19.28,20,-3.71,3564,72.85,25
2011-08-09 00:00:00+00,20.1,20.1,19.06,20.1,0.5,646,12.96,7
2011-08-10 00:00:00+00,19.19,20.05,19.19,19.19,-4.53,196,3.79,6
2011-08-11 00:00:00+00,20,20,18,19.5,1.62,564,10.68,8
2011-08-12 00:00:00+00,19.48,19.48,19.2,19.2,-1.54,148,2.85,4
2011-08-16 00:00:00+00,19.2,19.48,19.01,19.01,-0.99,3761,72.1,7
2011-08-17 00:00:00+00,0,0,0,19.01,0,0,0,0
2011-08-18 00:00:00+00,19.1,19.1,19.1,19.1,0.47,20,0.38,1
2011-08-19 00:00:00+00,19.01,19.01,17.55,18.48,-3.25,4484,82.76,21
2011-08-22 00:00:00+00,18.95,18.99,18.5,18.8,1.73,718,13.53,13
2011-08-23 00:00:00+00,18.8,19,18.79,19,1.06,1715,32.38,14
2011-08-24 00:00:00+00,18.9,18.9,18.9,18.9,-0.53,552,10.43,3
2011-08-25 00:00:00+00,18.9,19,18.9,19,0.53,1204,22.77,6
2011-08-26 00:00:00+00,18.8,19,18.8,19,0,1824,34.62,15
2011-08-29 00:00:00+00,19,19.2,19,19.2,1.05,4200,80.5,6
2011-08-30 00:00:00+00,19.49,19.49,19.4,19.48,1.46,1812,35.27,22
2011-08-31 00:00:00+00,19.49,21.47,19.49,21.03,7.96,7717,158.98,51
2011-09-01 00:00:00+00,21.01,21.89,20.22,21.89,4.09,3814,81.42,32
2011-09-02 00:00:00+00,21.9,21.9,21.2,21.5,-1.78,3673,78.84,20
2011-09-05 00:00:00+00,22.4,23,22.1,22.35,3.95,4986,111.96,35
2011-09-06 00:00:00+00,22.9,23.5,22.6,23,2.91,5772,132.78,54
2011-09-07 00:00:00+00,23,24,23,24,4.35,7415,175.31,40
2011-09-08 00:00:00+00,23.8,23.8,23.05,23.77,-0.96,3927,93.2,23
2011-09-09 00:00:00+00,23.5,23.59,22.91,22.92,-3.58,2517,58.12,32
2011-09-12 00:00:00+00,23.1,23.4,22.95,23,0.35,5757,133.52,44
2011-09-13 00:00:00+00,23,24,22.5,23.75,3.26,8642,202.13,70
2011-09-14 00:00:00+00,19.5,19.5,17.2,18.35,-6.66,9153,167.2,60
2011-09-15 00:00:00+00,18.34,18.34,17.7,18.15,-1.09,3494,62.79,33
2011-09-16 00:00:00+00,18.15,18.2,18,18.15,0,2060,37.37,19
2011-09-19 00:00:00+00,18,18,16.09,16.09,-11.35,3847,64.12,50
2011-09-20 00:00:00+00,16.1,16.1,14.75,14.8,-8.02,1147,18.01,16
2011-09-21 00:00:00+00,14.55,14.55,12.6,14,-5.41,7545,100.75,56
2011-09-22 00:00:00+00,14,14,13.1,13.1,-6.43,2466,34.26,12
2011-09-23 00:00:00+00,13.1,13.1,13,13,-0.76,144,1.88,4
2011-09-26 00:00:00+00,13,13,12.65,12.65,-2.69,730,9.42,11
2011-09-27 00:00:00+00,12.65,12.65,12.55,12.55,-0.79,60,0.76,6
2011-09-28 00:00:00+00,12.56,12.56,12.56,12.56,0.08,100,1.26,1
2011-09-29 00:00:00+00,12.55,13.05,12.55,13.05,3.9,620,8.05,6
2011-09-30 00:00:00+00,13.6,13.9,13.6,13.9,6.51,250,3.43,4
2011-10-03 00:00:00+00,14,14.9,14,14.15,1.8,1019,14.82,12
2011-10-04 00:00:00+00,14.2,14.2,14.15,14.2,0.35,705,10.01,8
2011-10-05 00:00:00+00,14.2,14.21,14.2,14.2,0,118,1.68,7
2011-10-06 00:00:00+00,14.2,14.2,14.19,14.2,0,238,3.38,10
2011-10-07 00:00:00+00,14.1,14.1,14,14.08,-0.85,120,1.69,10
2011-10-10 00:00:00+00,14,14.08,13.8,14,-0.57,425,5.95,13
2011-10-11 00:00:00+00,14,14.1,13.9,13.9,-0.71,142,1.99,8
2011-10-12 00:00:00+00,14.08,14.08,13.4,13.4,-3.6,555,7.68,9
2011-10-13 00:00:00+00,14,14.04,13.9,13.99,4.4,1039,14.5,16
2011-10-14 00:00:00+00,13.99,14.25,13.99,14.05,0.43,200,2.82,8
2011-10-17 00:00:00+00,14.05,14.19,14.05,14.1,0.36,191,2.7,14
2011-10-18 00:00:00+00,13.8,14,13.8,14,-0.71,250,3.49,15
2011-10-19 00:00:00+00,13.77,13.9,13.77,13.8,-1.43,991,13.65,14
2011-10-20 00:00:00+00,14,14,14,14,1.45,100,1.4,10
2011-10-21 00:00:00+00,14,14,13.5,13.5,-3.57,252,3.43,10
2011-10-24 00:00:00+00,14,14.14,14,14.14,4.74,345,4.83,10
2011-10-25 00:00:00+00,14,14,13.61,13.61,-3.75,181,2.5,12
2011-10-26 00:00:00+00,13.56,13.7,13.56,13.7,0.66,125,1.71,14
2011-10-27 00:00:00+00,13.97,13.97,13.56,13.56,-1.02,273,3.75,27
2011-10-28 00:00:00+00,13.56,14,13.56,14,3.24,279,3.89,17
2011-10-31 00:00:00+00,14.09,14.09,13.55,13.55,-3.21,387,5.37,14
2011-11-02 00:00:00+00,13.56,14,13.56,13.56,0.07,165,2.26,21
2011-11-03 00:00:00+00,13.56,13.56,13.56,13.56,0,32,0.43,12
2011-11-04 00:00:00+00,13.56,13.56,13.56,13.56,0,76,1.03,6
2011-11-07 00:00:00+00,13.97,13.97,13.35,13.4,-1.18,1647,22.08,6
2011-11-08 00:00:00+00,13.3,13.3,13.1,13.1,-2.24,187,2.47,14
2011-11-09 00:00:00+00,12.9,13.2,12.9,13.1,0,175,2.28,4
2011-11-10 00:00:00+00,13,13,13,13,-0.76,180,2.34,14
2011-11-14 00:00:00+00,13.19,13.19,12.9,13.09,0.69,51,0.66,10
2011-11-15 00:00:00+00,13.19,13.19,12.55,12.55,-4.13,168,2.14,7
2011-11-16 00:00:00+00,12.47,12.5,12.47,12.47,-0.64,1041,12.99,21
2011-11-17 00:00:00+00,12.45,13.5,12.45,13.5,8.26,944,12.37,19
2011-11-18 00:00:00+00,13.94,13.94,13.94,13.94,3.26,14,0.2,2
2011-11-21 00:00:00+00,13.89,13.89,13.25,13.25,-4.95,65,0.87,7
2011-11-22 00:00:00+00,13.19,13.3,13.19,13.3,0.38,70,0.92,11
2011-11-23 00:00:00+00,13.5,13.5,13.19,13.45,1.13,110,1.47,14
2011-11-24 00:00:00+00,13.49,13.89,13.49,13.89,3.27,125,1.7,16
2011-11-25 00:00:00+00,13.89,13.89,13.89,13.89,0,330,4.58,14
2011-11-28 00:00:00+00,13.9,14,13.89,14,0.79,1186,16.54,23
2011-11-29 00:00:00+00,14,14.99,14,14.61,4.36,672,9.72,11
2011-11-30 00:00:00+00,14.99,15.3,14.99,15.3,4.72,730,11.05,10
2011-12-01 00:00:00+00,15.3,15.3,15,15,-1.96,274,4.15,12
2011-12-02 00:00:00+00,14.6,14.89,14.4,14.89,-0.73,220,3.18,12
2011-12-05 00:00:00+00,14.89,14.89,14.89,14.89,0,16,0.24,2
2011-12-06 00:00:00+00,14.8,14.8,14.6,14.6,-1.95,316,4.64,6
2011-12-07 00:00:00+00,14.57,14.57,14.57,14.57,-0.21,60,0.87,11
2011-12-08 00:00:00+00,14.4,14.4,14.4,14.4,-1.17,27,0.39,9
2011-12-09 00:00:00+00,14.69,14.69,14.69,14.69,2.01,27,0.4,12
2011-12-12 00:00:00+00,14.69,14.69,14.31,14.31,-2.59,127,1.83,4
2011-12-13 00:00:00+00,14.2,14.2,13.55,13.56,-5.24,810,11.08,16
2011-12-14 00:00:00+00,13.55,13.8,13.55,13.75,1.4,217,2.96,7
2011-12-15 00:00:00+00,13.75,13.75,13.5,13.5,-1.82,1346,18.23,6
2011-12-16 00:00:00+00,13.6,13.6,13.6,13.6,0.74,10,0.14,1
2011-12-19 00:00:00+00,13.6,13.85,13.6,13.7,0.74,1017,14.03,7
2011-12-20 00:00:00+00,13.95,14.3,13.95,14.3,4.38,220,3.14,4
2011-12-21 00:00:00+00,14.32,14.35,14.1,14.1,-1.4,696,9.84,15
2011-12-22 00:00:00+00,14.12,14.24,13.6,13.6,-3.55,202,2.84,10
2011-12-23 00:00:00+00,13.62,13.65,13.55,13.65,0.37,839,11.41,21
2011-12-27 00:00:00+00,13.6,13.65,13.01,13.65,0,1180,15.57,11
2011-12-28 00:00:00+00,0,0,0,13.65,0,0,0,0
2011-12-29 00:00:00+00,0,0,0,13.65,0,0,0,0
2011-12-30 00:00:00+00,14,14,14,14,2.56,50,0.7,1
2012-01-02 00:00:00+00,14.09,14.09,13.85,14.09,0.64,86,1.2,13
2012-01-03 00:00:00+00,14.09,14.1,14.09,14.1,0.07,55,0.78,13
2012-01-04 00:00:00+00,14.1,14.1,14.1,14.1,0,595,8.39,12
2012-01-05 00:00:00+00,14.1,14.1,13.65,13.65,-3.19,150,2.08,4
2012-01-09 00:00:00+00,0,0,0,13.65,0,0,0,0
2012-01-10 00:00:00+00,13.65,13.65,13.36,13.36,-2.12,120,1.61,2
2012-01-11 00:00:00+00,13.36,13.36,13,13,-2.69,1102,14.5,12
2012-01-12 00:00:00+00,13.01,13.01,12.77,13,0,1674,21.55,12
2012-01-13 00:00:00+00,13.02,13.2,13.02,13.2,1.54,112,1.47,4
2012-01-16 00:00:00+00,13.19,14.1,13.19,14.1,6.82,641,8.72,11
2012-01-17 00:00:00+00,14.1,14.39,14.1,14.39,2.06,339,4.86,5
2012-01-18 00:00:00+00,14.38,14.38,13.41,13.41,-6.81,141,1.91,16
2012-01-19 00:00:00+00,13.4,13.41,13.4,13.41,0,89,1.19,10
2012-01-20 00:00:00+00,13.4,13.6,13.4,13.5,0.67,64,0.87,15
2012-01-23 00:00:00+00,13.8,13.8,13.8,13.8,2.22,34,0.47,1
2012-01-24 00:00:00+00,14.05,14.14,14.05,14.11,2.25,656,9.24,13
2012-01-25 00:00:00+00,14.13,14.6,14.13,14.6,3.47,781,11.28,17
2012-01-26 00:00:00+00,14.55,15.49,14.5,15.49,6.1,1652,24.6,23
2012-01-27 00:00:00+00,15.49,15.6,15.48,15.5,0.06,1286,19.93,17
2012-01-30 00:00:00+00,15.7,16.79,15.7,16.79,8.32,989,15.76,8
2012-01-31 00:00:00+00,16.7,16.7,16,16.5,-1.73,745,12.1,29
2012-02-01 00:00:00+00,16.5,16.5,16.5,16.5,0,150,2.48,11
2012-02-02 00:00:00+00,16.4,16.4,16.05,16.05,-2.73,515,8.3,9
2012-02-03 00:00:00+00,16.49,16.49,16.39,16.49,2.74,160,2.63,18
2012-02-06 00:00:00+00,16.49,16.49,16.2,16.25,-1.46,279,4.56,6
2012-02-07 00:00:00+00,16.2,16.4,16.2,16.2,-0.31,2150,34.97,13
2012-02-08 00:00:00+00,16.4,16.48,16,16,-1.23,5073,81.92,16
2012-02-09 00:00:00+00,16,16.48,15.82,16.48,3,250,4.03,5
2012-02-10 00:00:00+00,16.48,16.48,16.4,16.4,-0.49,205,3.37,12
2012-02-13 00:00:00+00,16.4,16.5,16.4,16.5,0.61,1207,19.9,11
2012-02-14 00:00:00+00,16.5,16.5,16.5,16.5,0,500,8.25,7
2012-02-15 00:00:00+00,16.5,16.5,16.5,16.5,0,64,1.06,3
2012-02-16 00:00:00+00,16.6,16.6,16.5,16.5,0,48,0.8,13
2012-02-17 00:00:00+00,16.6,16.7,16.6,16.6,0.61,110,1.83,14
2012-02-20 00:00:00+00,16.5,16.7,16.5,16.7,0.6,141,2.34,4
2012-02-21 00:00:00+00,16.7,17.1,16.7,16.8,0.6,705,11.93,14
2012-02-22 00:00:00+00,16.71,16.71,16.7,16.7,-0.6,160,2.67,3
2012-02-23 00:00:00+00,16.7,16.75,16.6,16.7,0,316,5.27,15
2012-02-24 00:00:00+00,16.52,16.7,16.52,16.7,0,400,6.65,3
2012-02-27 00:00:00+00,16.36,17,16.36,16.9,1.2,5018,84.25,20
2012-02-28 00:00:00+00,17.53,18.14,17.53,18.1,7.1,4128,74.17,32
2012-02-29 00:00:00+00,18.11,18.29,17.8,18.29,1.05,4122,75.3,16
2012-03-01 00:00:00+00,18.29,18.3,18.28,18.3,0.05,641,11.73,5
2012-03-02 00:00:00+00,18.3,18.31,18,18,-1.64,1145,20.83,16
2012-03-05 00:00:00+00,17.8,17.8,16.7,17.5,-2.78,2526,43.01,21
2012-03-06 00:00:00+00,17.5,17.5,16.57,16.57,-5.31,798,13.41,22
2012-03-07 00:00:00+00,16.22,17,16.22,17,2.6,111,1.81,16
2012-03-08 00:00:00+00,16.8,16.8,16.8,16.8,-1.18,148,2.49,18
2012-03-09 00:00:00+00,16.8,16.95,16.8,16.95,0.89,102,1.72,17
2012-03-12 00:00:00+00,16.95,17,16.95,17,0.29,671,11.4,6
2012-03-13 00:00:00+00,17.25,17.66,17.25,17.66,3.88,189,3.32,7
2012-03-14 00:00:00+00,17.75,17.85,17.75,17.85,1.08,586,10.42,16
2012-03-15 00:00:00+00,17.98,18,17.98,17.98,0.73,515,9.26,13
2012-03-16 00:00:00+00,17.8,17.8,17.8,17.8,-1,101,1.8,11
2012-03-19 00:00:00+00,17.5,17.5,17.3,17.4,-2.25,691,11.97,10
2012-03-20 00:00:00+00,17.59,17.59,17.59,17.59,1.09,50,0.88,6
2012-03-21 00:00:00+00,17.3,17.3,17.25,17.25,-1.93,133,2.3,26
2012-03-22 00:00:00+00,17.5,17.5,17.5,17.5,1.45,16,0.28,8
2012-03-23 00:00:00+00,17.5,17.6,17.5,17.6,0.57,460,8.07,3
2012-03-26 00:00:00+00,17.3,17.3,17.3,17.3,-1.7,95,1.64,11
2012-03-27 00:00:00+00,17.15,17.7,16.86,17.7,2.31,938,16.21,23
2012-03-28 00:00:00+00,17.7,17.7,16.95,17.49,-1.19,700,11.91,16
2012-03-29 00:00:00+00,17.15,17.29,17.15,17.29,-1.14,64,1.11,2
2012-03-30 00:00:00+00,17.12,17.12,17.12,17.12,-0.98,8,0.14,1
2012-04-02 00:00:00+00,17.2,17.2,17.2,17.2,0.47,26,0.45,13
2012-04-03 00:00:00+00,17.12,17.12,17.12,17.12,-0.47,10,0.17,1
2012-04-04 00:00:00+00,0,0,0,17.12,0,0,0,0
2012-04-05 00:00:00+00,0,0,0,17.12,0,0,0,0
2012-04-10 00:00:00+00,17,17,16.85,16.85,-1.58,38,0.64,11
2012-04-11 00:00:00+00,16.7,17.05,16.7,17.05,1.19,151,2.52,9
2012-04-12 00:00:00+00,16.95,16.95,16.95,16.95,-0.59,20,0.34,2
2012-04-13 00:00:00+00,17,17,17,17,0.29,43,0.73,12
2012-04-16 00:00:00+00,16.5,16.7,16.4,16.7,-1.76,373,6.13,4
2012-04-17 00:00:00+00,16.7,17.1,16.7,17.1,2.4,280,4.68,15
2012-04-18 00:00:00+00,17.09,17.09,16.11,16.35,-4.39,793,12.92,8
2012-04-19 00:00:00+00,16.3,16.46,16.3,16.46,0.67,41,0.67,15
