date,open,high,low,close,difference,volume,turnover,transactions
2007-03-09 00:00:00+00,43.49,43.49,41.25,42,1.13,6534,550.46,93
2007-03-12 00:00:00+00,42.2,42.6,41.52,42,0,3689,310.06,62
2007-03-13 00:00:00+00,42,46,42,44.5,5.95,9054,789.5,112
2007-03-14 00:00:00+00,44.15,45.8,42.01,45.8,2.92,5607,500.06,97
2007-03-15 00:00:00+00,47.8,49.5,47,49.5,8.08,15660,1506.71,161
2007-03-16 00:00:00+00,49.9,50.85,49.3,49.51,0.02,10094,1004.24,114
2007-03-19 00:00:00+00,49.6,49.9,47.51,49.85,0.69,6822,676.12,62
2007-03-20 00:00:00+00,49.5,52.35,49.5,52,4.31,8404,851.01,90
2007-03-21 00:00:00+00,54.2,58,53.1,58,11.54,17528,1942.68,133
2007-03-22 00:00:00+00,62.95,63,55.2,58.35,0.6,11560,1401.13,163
2007-03-23 00:00:00+00,58,58.3,55.6,56.85,-2.57,5045,576.97,77
2007-03-26 00:00:00+00,56.7,60,56.25,56.5,-0.62,2974,337.71,52
2007-03-27 00:00:00+00,57,57,53.6,56.4,-0.18,2998,334.41,58
2007-03-28 00:00:00+00,55.95,55.95,53.45,54,-4.26,6001,656.04,95
2007-03-29 00:00:00+00,54.5,55,52,54.9,1.67,6856,738.77,76
2007-03-30 00:00:00+00,55.8,55.8,52.1,54,-1.64,4262,455.02,90
2007-04-02 00:00:00+00,54.25,54.95,50.2,54.95,1.76,2583,274.74,58
2007-04-03 00:00:00+00,54.9,57,54.1,56.5,2.82,3232,360.78,60
2007-04-04 00:00:00+00,56.9,62,56.9,59.9,6.02,6334,751.79,93
2007-04-05 00:00:00+00,59.9,60,58.25,59.5,-0.67,2704,319.05,53
2007-04-10 00:00:00+00,58.3,59.7,58.25,58.5,-1.68,3799,445.72,63
2007-04-11 00:00:00+00,58,59.3,57.9,58,-0.85,8565,999.13,60
2007-04-12 00:00:00+00,57.5,57.85,55.5,55.7,-3.97,3938,447,64
2007-04-13 00:00:00+00,56.3,57.8,55,56,0.54,4977,554.86,60
2007-04-16 00:00:00+00,58.1,61.8,56,60.95,8.84,22209,2633.48,244
2007-04-17 00:00:00+00,62.5,63,58.95,61.45,0.82,15463,1892.35,140
2007-04-18 00:00:00+00,61.95,61.95,59.05,59.9,-2.52,4261,515.42,77
2007-04-19 00:00:00+00,58.5,60,58.3,59,-1.5,5860,697.36,41
2007-04-20 00:00:00+00,58.5,62.8,58.5,62.8,6.44,16980,2093.24,99
2007-04-23 00:00:00+00,63,63.4,61.5,62.7,-0.16,7361,916.75,90
2007-04-24 00:00:00+00,63.1,63.1,59.3,62.5,-0.32,3893,470.96,65
2007-04-25 00:00:00+00,60.55,62.65,60.55,62.5,0,2782,342.34,38
2007-04-26 00:00:00+00,62,62,60.5,61.95,-0.88,706,87.25,20
2007-04-27 00:00:00+00,61.95,62.5,60.6,62.4,0.73,1060,130.99,24
2007-04-30 00:00:00+00,64.5,68,64.5,67.05,7.45,13112,1748.9,196
2007-05-02 00:00:00+00,69.2,70,67.5,68.4,2.01,5650,776.4,84
2007-05-04 00:00:00+00,67.8,68.4,67.6,68,-0.58,3850,523.2,62
2007-05-07 00:00:00+00,68.35,70.8,68,70,2.94,5715,783.61,92
2007-05-08 00:00:00+00,70.8,71.9,69.4,69.4,-0.86,8852,1255.35,116
2007-05-09 00:00:00+00,69,70,68.2,69.8,0.58,5215,723.43,73
2007-05-10 00:00:00+00,75,75,68.2,70.25,0.64,6300,895.53,93
2007-05-11 00:00:00+00,66,75,66,74.7,6.33,4852,672.33,90
2007-05-14 00:00:00+00,74.7,80,74.7,78.6,5.22,9884,1552.75,106
2007-05-15 00:00:00+00,78.9,78.9,75.8,76.8,-2.29,5109,785.35,86
