date,open,high,low,close,difference,volume,turnover,transactions
2007-07-18 00:00:00+00,18.6,18.6,18.6,18.6,0,48236,1794.38,69
2007-07-19 00:00:00+00,18.6,19,18,19,2.15,26881,996.54,32
2007-07-20 00:00:00+00,19.3,19.39,19.28,19.3,1.58,2575,99.48,22
2007-07-23 00:00:00+00,19.4,19.49,19,19,-1.55,334,12.96,6
2007-07-24 00:00:00+00,19,19,18.6,18.9,-0.53,2532,95.82,12
2007-07-25 00:00:00+00,19,19,18.6,18.9,0,2540,96.04,13
2007-07-26 00:00:00+00,19,19,18.9,18.9,0,3487,132.08,13
2007-07-27 00:00:00+00,18.9,18.9,18.59,18.8,-0.53,2151,80.87,18
2007-07-30 00:00:00+00,19,19,19,19,1.06,402,15.28,6
2007-07-31 00:00:00+00,18.8,19,18.75,18.75,-1.32,1419,53.46,8
2007-08-01 00:00:00+00,19,19,18.3,18.98,1.23,6121,226.12,20
2007-08-02 00:00:00+00,18.6,18.6,18.51,18.51,-2.48,4558,169.53,14
2007-08-03 00:00:00+00,18.5,18.71,18.5,18.62,0.59,8163,304.78,46
2007-08-06 00:00:00+00,18.66,18.66,18.35,18.35,-1.45,7043,261.82,26
2007-08-07 00:00:00+00,18.17,18.8,18.17,18.5,0.82,3065,114.37,21
2007-08-08 00:00:00+00,18.48,18.5,18,18.5,0,1675,61.29,9
2007-08-09 00:00:00+00,18.48,18.48,18,18.29,-1.14,3780,136.98,16
2007-08-10 00:00:00+00,18.28,18.28,17.06,17.15,-6.23,4649,166.46,23
2007-08-13 00:00:00+00,16.56,17.99,16.56,17.4,1.46,5975,209.34,25
2007-08-14 00:00:00+00,17.6,18,17.6,17.65,1.44,4494,161.26,25
2007-08-16 00:00:00+00,14.5,18,14.5,17.38,-1.53,4005,140.27,25
2007-08-17 00:00:00+00,17.35,17.4,16.3,17,-2.19,4130,138.97,46
2007-08-20 00:00:00+00,17.15,17.8,17.15,17.15,0.88,2281,79.82,21
2007-08-21 00:00:00+00,17,17.3,17,17.25,0.58,5007,171.85,19
2007-08-22 00:00:00+00,17.5,17.65,17,17,-1.45,37320,1272.17,54
2007-08-23 00:00:00+00,17.3,17.3,17,17,0,1232,42.1,18
2007-08-24 00:00:00+00,17.45,17.45,17.45,17.45,2.65,20,0.7,1
2007-08-27 00:00:00+00,16.57,17.4,16.57,16.78,-3.84,5243,176.76,33
2007-08-28 00:00:00+00,16.7,16.7,16.45,16.45,-1.97,943,31.15,10
2007-08-29 00:00:00+00,16.45,16.45,15.01,16.44,-0.06,1535,48.35,21
2007-08-30 00:00:00+00,16.2,16.59,16.05,16.45,0.06,4268,139.24,12
2007-08-31 00:00:00+00,16.5,17.19,16.5,17,3.34,6128,206.39,17
2007-09-03 00:00:00+00,16.99,17,16.5,16.99,-0.06,10073,339.14,19
2007-09-04 00:00:00+00,16.61,17.2,16.61,17.2,1.24,7586,257.93,22
2007-09-05 00:00:00+00,17,17.1,16.6,17,-1.16,5843,197.7,17
2007-09-06 00:00:00+00,17.23,17.8,16.95,17,0,4521,153.66,13
2007-09-07 00:00:00+00,17.5,17.5,16.7,17,0,187,6.35,6
2007-09-10 00:00:00+00,17,17.2,16.99,17,0,4335,147.38,13
2007-09-11 00:00:00+00,17,17.98,17,17.79,4.65,1187,41.98,10
2007-09-12 00:00:00+00,17.75,17.99,17.7,17.79,0,575,20.49,7
2007-09-13 00:00:00+00,17.78,17.78,17.7,17.7,-0.51,650,23.09,9
2007-09-14 00:00:00+00,18,18,17.07,17.7,0,295,10.44,8
2007-09-17 00:00:00+00,17.96,17.96,17.02,17.89,1.07,70,2.42,4
2007-09-18 00:00:00+00,17.94,17.94,17.1,17.79,-0.56,225,7.73,3
2007-09-19 00:00:00+00,18.4,19.78,17.5,18.51,4.05,10601,387.22,54
2007-09-20 00:00:00+00,19.01,19.01,18.55,18.6,0.49,3241,120.82,11
2007-09-21 00:00:00+00,18.2,19.33,18.2,18.6,0,13963,525.51,41
2007-09-24 00:00:00+00,19,20.07,18.6,20,7.53,26526,1043,77
2007-09-25 00:00:00+00,20,21.5,20,21.1,5.5,54079,2277.2,171
2007-09-26 00:00:00+00,21.3,21.79,21.16,21.49,1.85,12419,534.86,55
2007-09-27 00:00:00+00,21,21.68,21,21.1,-1.81,13787,591.71,29
2007-09-28 00:00:00+00,20.8,21.4,19.56,21.4,1.42,30972,1304.83,47
2007-10-01 00:00:00+00,21.5,21.5,20,21,-1.87,39017,1641.09,35
2007-10-02 00:00:00+00,21,21.4,21,21.3,1.43,6206,261.34,15
2007-10-03 00:00:00+00,21.4,21.4,20.2,21.3,0,14218,603.04,23
2007-10-04 00:00:00+00,21,22.1,20.7,21.8,2.35,22967,999.36,90
2007-10-05 00:00:00+00,22,22.4,20.05,21.89,0.41,10417,441.52,62
2007-10-08 00:00:00+00,21.89,22.1,20.5,21.78,-0.5,4989,210.86,37
2007-10-09 00:00:00+00,21,21.91,21,21,-3.58,68011,2857.04,54
2007-10-10 00:00:00+00,20.6,21.6,20.6,20.62,-1.81,1108,46.4,11
2007-10-11 00:00:00+00,20.65,21.44,20.65,21.2,2.81,6223,262.51,22
2007-10-12 00:00:00+00,21.25,21.3,20.75,20.75,-2.12,5554,234,21
2007-10-15 00:00:00+00,20.66,21.19,20.66,21.19,2.12,157,6.53,3
2007-10-16 00:00:00+00,20.61,21.3,20.61,21.25,0.28,3686,155.7,23
2007-10-17 00:00:00+00,21.39,21.39,21,21.25,0,2437,102.71,10
2007-10-18 00:00:00+00,21.36,21.36,20.65,21.2,-0.24,4990,210.87,19
2007-10-19 00:00:00+00,21.2,21.29,21,21.29,0.42,1772,74.85,21
2007-10-22 00:00:00+00,20.61,21.2,20.6,21,-1.36,1310,54.08,8
