date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,11.5,11.65,11.45,11.45,-0.43,23451,539.74,55
2005-01-04 00:00:00+00,11.75,11.75,11.5,11.65,1.75,21428,497.21,61
2005-01-05 00:00:00+00,11.55,11.7,11.5,11.6,-0.43,15674,363.34,43
2005-01-06 00:00:00+00,11.5,11.55,11.4,11.55,-0.43,4511,103.66,28
2005-01-07 00:00:00+00,11.55,11.6,11.3,11.4,-1.3,31179,714.16,73
2005-01-10 00:00:00+00,11.6,11.6,11.2,11.25,-1.32,9651,219.34,35
2005-01-11 00:00:00+00,11.2,11.5,11.1,11.2,-0.44,10587,237.55,25
2005-01-12 00:00:00+00,11.2,11.5,11.1,11.3,0.89,6684,150.17,35
2005-01-13 00:00:00+00,11.35,11.55,11.35,11.4,0.88,11464,263.15,42
2005-01-14 00:00:00+00,11.4,11.55,11.15,11.35,-0.44,26982,607.13,42
2005-01-17 00:00:00+00,11.4,11.4,11.2,11.35,0,8792,198.71,18
2005-01-18 00:00:00+00,11.15,11.4,11.1,11.25,-0.88,2771,61.9,21
2005-01-19 00:00:00+00,11.1,11.3,11,11.2,-0.44,6600,147.11,34
2005-01-20 00:00:00+00,11.3,11.4,11.1,11.2,0,17946,404.07,48
2005-01-21 00:00:00+00,11.2,11.35,11.1,11.35,1.34,3501,78.35,12
2005-01-24 00:00:00+00,11,11.35,11,11.2,-1.32,9505,210.32,32
2005-01-25 00:00:00+00,11,11.15,11,11.05,-1.34,11765,259.49,51
2005-01-26 00:00:00+00,11.3,11.95,11.25,11.8,6.79,32908,767.93,170
2005-01-27 00:00:00+00,12.3,12.3,11.85,11.9,0.85,45883,1104.91,132
2005-01-28 00:00:00+00,11.9,11.9,11.6,11.8,-0.84,22679,533.35,65
2005-01-31 00:00:00+00,11.6,11.9,11.6,11.6,-1.69,8782,206.8,46
2005-02-01 00:00:00+00,11.6,11.85,11.25,11.7,0.86,5700,131.75,37
2005-02-02 00:00:00+00,11.8,11.8,11.6,11.6,-0.85,2220,51.78,14
2005-02-03 00:00:00+00,11.45,12.05,11.4,11.75,1.29,46009,1085.82,117
2005-02-04 00:00:00+00,12,12,11.8,12,2.13,37319,891.02,108
2005-02-07 00:00:00+00,12.15,12.75,12.1,12.65,5.42,43535,1091.54,179
2005-02-08 00:00:00+00,12.65,12.7,12.4,12.4,-1.98,37626,943.13,126
2005-02-09 00:00:00+00,12.35,12.4,12.2,12.3,-0.81,11514,283.21,46
2005-02-10 00:00:00+00,12.45,12.45,12.3,12.4,0.81,10150,249.93,45
2005-02-11 00:00:00+00,12.55,12.6,12.2,12.45,0.4,8853,218.58,36
2005-02-14 00:00:00+00,12.3,12.6,12.2,12.55,0.8,14461,359,35
2005-02-15 00:00:00+00,12.55,12.6,12.45,12.6,0.4,7498,188.09,38
2005-02-16 00:00:00+00,12.7,12.75,12.45,12.6,0,17976,450.56,50
2005-02-17 00:00:00+00,12.7,12.9,12.5,12.8,1.59,30166,765.05,79
2005-02-18 00:00:00+00,12.95,13.45,12.75,13.2,3.13,150149,3905.73,140
2005-02-21 00:00:00+00,13.25,13.4,13.2,13.3,0.76,23274,617.96,70
2005-02-22 00:00:00+00,13.35,13.8,13.3,13.75,3.38,86052,2353.3,163
2005-02-23 00:00:00+00,13.7,13.7,13.4,13.65,-0.73,26450,717.5,95
2005-02-24 00:00:00+00,13.65,13.65,13.55,13.65,0,12533,340.63,41
2005-02-25 00:00:00+00,13.7,13.85,13.55,13.75,0.73,27352,751.57,87
2005-02-28 00:00:00+00,13.5,14.05,13.2,14.05,2.18,25413,690.61,107
2005-03-01 00:00:00+00,14.05,14.05,13.8,14.05,0,70301,1966.99,76
2005-03-02 00:00:00+00,13.8,13.8,12.8,13.5,-3.91,33477,904.21,113
2005-03-03 00:00:00+00,13.2,13.5,13.2,13.3,-1.48,16335,432.36,37
