date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,15.4,15.4,14.85,14.95,-3.55,7246,218.95,50
2005-01-04 00:00:00+00,14.7,14.9,14.6,14.9,-0.33,6157,180.29,33
2005-01-05 00:00:00+00,14.7,14.7,14.5,14.7,-1.34,1565,45.79,14
2005-01-06 00:00:00+00,14.5,14.5,14.4,14.4,-2.04,1454,42.04,5
2005-01-07 00:00:00+00,14.35,14.35,14.05,14.15,-1.74,3664,104.08,32
2005-01-10 00:00:00+00,13.7,14.35,13.5,14.35,1.41,6414,176.66,57
2005-01-11 00:00:00+00,13.9,14.35,13.9,14.3,-0.35,3299,92.78,22
2005-01-12 00:00:00+00,14.4,14.4,14,14.1,-1.4,1997,55.99,15
2005-01-13 00:00:00+00,14.3,14.3,14.1,14.3,1.42,733,20.82,7
2005-01-14 00:00:00+00,14.3,14.3,14.2,14.25,-0.35,2359,67.31,10
2005-01-17 00:00:00+00,14.25,14.25,13.8,13.95,-2.11,3267,91.68,18
2005-01-18 00:00:00+00,13.9,14,13.7,13.9,-0.36,5301,147.49,15
2005-01-19 00:00:00+00,13.6,13.85,13.55,13.8,-0.72,1854,50.75,16
2005-01-20 00:00:00+00,13.55,13.55,13.35,13.5,-2.17,3255,87.94,17
2005-01-21 00:00:00+00,13.5,13.75,13.5,13.75,1.85,701,18.93,4
2005-01-24 00:00:00+00,13.85,13.85,13.3,13.55,-1.45,2465,66.75,18
2005-01-25 00:00:00+00,13.4,13.5,13,13.3,-1.85,6478,170.89,39
2005-01-26 00:00:00+00,13.05,13.15,12.9,13,-2.26,6162,160.53,34
2005-01-27 00:00:00+00,12.85,13.3,12.85,13.05,0.38,1902,49.44,16
2005-01-28 00:00:00+00,13,13.6,13,13.6,4.21,10298,272.42,36
2005-01-31 00:00:00+00,13.6,13.6,13.3,13.55,-0.37,5489,147.77,31
2005-02-01 00:00:00+00,13.6,13.65,13.4,13.65,0.74,4786,130.02,23
2005-02-02 00:00:00+00,13.7,13.85,13.7,13.85,1.47,8097,222.45,27
2005-02-03 00:00:00+00,13.7,13.8,13.5,13.8,-0.36,4409,121.06,19
2005-02-04 00:00:00+00,13.8,13.8,13.6,13.6,-1.45,2891,79.6,9
2005-02-07 00:00:00+00,13.6,15,13.4,14.7,8.09,32789,955.34,109
2005-02-08 00:00:00+00,15,15,14.35,14.35,-2.38,5396,158.56,35
2005-02-09 00:00:00+00,14.2,14.2,13.8,14,-2.44,12708,355.07,59
2005-02-10 00:00:00+00,13.9,14.95,13.9,14.6,4.29,14493,424.85,54
2005-02-11 00:00:00+00,14.4,14.5,14.3,14.35,-1.71,11343,326.41,47
2005-02-14 00:00:00+00,14.2,14.7,14.2,14.55,1.39,1130,32.36,9
2005-02-15 00:00:00+00,14.5,14.5,14.25,14.25,-2.06,6779,195.08,46
2005-02-16 00:00:00+00,14.6,14.7,14.3,14.4,1.05,13499,390.74,68
2005-02-17 00:00:00+00,14.3,14.3,14,14.1,-2.08,13986,394.83,57
2005-02-18 00:00:00+00,14.05,14.05,13.8,13.8,-2.13,7511,209.56,34
2005-02-21 00:00:00+00,13.8,13.85,13.4,13.5,-2.17,8458,229.19,58
2005-02-22 00:00:00+00,13.4,13.75,13.4,13.5,0,10416,281.46,52
2005-02-23 00:00:00+00,13.5,13.95,13.5,13.8,2.22,1731,47.34,18
2005-02-24 00:00:00+00,13.7,13.8,13.3,13.75,-0.36,6777,183.1,28
2005-02-25 00:00:00+00,13.95,14,13.5,13.8,0.36,3855,105.93,30
2005-02-28 00:00:00+00,13.55,13.8,13.5,13.7,-0.72,3368,91.11,24
2005-03-01 00:00:00+00,13.6,13.7,13.6,13.7,0,3230,88.03,17
2005-03-02 00:00:00+00,13.3,13.6,13.25,13.35,-2.55,10272,275.02,52
2005-03-03 00:00:00+00,13.25,13.6,13.25,13.55,1.5,401,10.81,5
2005-03-04 00:00:00+00,13.4,13.4,13.2,13.2,-2.58,11303,298.84,38
2005-03-07 00:00:00+00,13.1,13.15,12.9,13,-1.52,10879,283.56,45
2005-03-08 00:00:00+00,13,13,12.7,12.7,-2.31,5583,142.97,48
2005-03-09 00:00:00+00,12.55,12.7,12.3,12.65,-0.39,2958,73.84,26
2005-03-10 00:00:00+00,12.75,12.75,12.5,12.7,0.4,3678,92.38,17
2005-03-11 00:00:00+00,12.5,12.5,11.5,12.15,-4.33,47344,1126.23,180
2005-03-14 00:00:00+00,12.15,12.25,11.95,12,-1.23,5017,121.22,35
2005-03-15 00:00:00+00,11.9,11.9,11.35,11.65,-2.92,13439,310.22,59
2005-03-16 00:00:00+00,11.3,11.4,10.85,11,-5.58,16016,352.75,79
2005-03-17 00:00:00+00,11,11.2,11,11.2,1.82,5788,128.69,36
2005-03-18 00:00:00+00,11.3,11.75,11.25,11.75,4.91,5917,136.09,38
2005-03-21 00:00:00+00,11.8,12.2,11.7,11.9,1.28,10431,249.12,40
2005-03-22 00:00:00+00,11.9,12,11.8,11.8,-0.84,2185,51.77,11
2005-03-23 00:00:00+00,11.55,11.9,11.55,11.85,0.42,395,9.32,4
2005-03-24 00:00:00+00,11.4,11.9,11.4,11.9,0.42,1423,33.83,7
2005-03-29 00:00:00+00,11.8,11.8,11.65,11.65,-2.1,1547,36.08,9
2005-03-30 00:00:00+00,11.85,11.85,11.45,11.65,0,1058,24.53,13
2005-03-31 00:00:00+00,11.65,11.7,11.5,11.7,0.43,1455,33.95,9
2005-04-01 00:00:00+00,11.7,11.7,11.35,11.7,0,1085,25.21,10
2005-04-04 00:00:00+00,11.7,11.95,11.45,11.45,-2.14,3635,84.59,16
2005-04-05 00:00:00+00,11.65,11.65,11,11.65,1.75,1601,36.44,14
2005-04-06 00:00:00+00,11.8,12,11.4,11.65,0,1851,42.71,8
2005-04-07 00:00:00+00,11.55,11.6,11.35,11.6,-0.43,817,18.79,7
2005-04-11 00:00:00+00,11.5,11.75,11.5,11.75,1.29,444,10.32,8
2005-04-12 00:00:00+00,11.75,11.75,11.45,11.45,-2.55,1913,44.19,10
2005-04-13 00:00:00+00,11.35,11.75,11.35,11.75,2.62,540,12.67,5
2005-04-14 00:00:00+00,11.45,11.6,11.45,11.6,-1.28,834,19.28,6
2005-04-15 00:00:00+00,11.45,11.6,10.9,11.4,-1.72,5567,125.02,31
2005-04-18 00:00:00+00,10.75,11,10.6,11,-3.51,7446,160.94,40
2005-04-19 00:00:00+00,10.75,10.95,10.65,10.95,-0.45,1130,24.42,7
2005-04-20 00:00:00+00,10.8,10.8,10.4,10.4,-5.02,4906,103.21,24
2005-04-21 00:00:00+00,10.3,10.4,10.3,10.3,-0.96,1469,30.48,9
2005-04-22 00:00:00+00,10.55,10.55,10,10,-2.91,2695,55.53,15
2005-04-25 00:00:00+00,9.75,10.25,9.35,10.25,2.5,8119,157.35,56
2005-04-26 00:00:00+00,9.8,10.35,9.8,10.35,0.98,915,18.85,7
2005-04-27 00:00:00+00,10.35,10.4,10,10.4,0.48,3674,75.99,18
2005-04-28 00:00:00+00,0,0,0,10.4,0,0,0,0
2005-04-29 00:00:00+00,10.5,10.5,10.05,10.4,0,752,15.52,10
2005-05-02 00:00:00+00,10.05,10.1,10,10,-3.85,1400,28.11,12
2005-05-04 00:00:00+00,9.9,10,9.85,9.9,-1,1955,38.64,12
2005-05-05 00:00:00+00,10,10,9.8,10,1.01,813,16.04,6
2005-05-06 00:00:00+00,9.8,9.95,9.5,9.95,-0.5,1556,30.48,6
2005-05-09 00:00:00+00,9.6,10,9.6,10,0.5,1252,25,7
2005-05-10 00:00:00+00,10,10,9.8,9.8,-2,1202,23.97,5
2005-05-11 00:00:00+00,9.7,10,9.65,10,2.04,1063,20.91,9
2005-05-12 00:00:00+00,9.95,10,9.8,10,0,475,9.38,4
2005-05-13 00:00:00+00,10,10,9.9,10,0,1908,38.15,14
2005-05-16 00:00:00+00,10.2,10.4,10.2,10.2,2,1351,27.91,10
2005-05-17 00:00:00+00,10.3,10.3,9.8,10.1,-0.98,890,17.77,8
2005-05-18 00:00:00+00,10.05,10.1,10.05,10.1,0,511,10.32,5
2005-05-19 00:00:00+00,9.7,10.25,9.7,10.25,1.49,1117,22.66,12
2005-05-20 00:00:00+00,10.3,10.3,10,10.1,-1.46,8786,176.85,28
2005-05-23 00:00:00+00,10,10,9.95,10,-0.99,6330,126.58,30
2005-05-24 00:00:00+00,10,10.25,10,10.15,1.5,3139,63.23,20
2005-05-25 00:00:00+00,10.25,10.25,10,10.25,0.99,7851,157.52,31
2005-05-27 00:00:00+00,10.2,10.2,10.05,10.05,-1.95,4591,92.65,22
2005-05-30 00:00:00+00,10.25,10.45,10.15,10.4,3.48,16535,339.55,61
2005-05-31 00:00:00+00,10.4,11.2,10.15,11.1,6.73,14095,301.78,74
2005-06-01 00:00:00+00,11.05,11.6,11.05,11.5,3.6,13419,305.98,82
2005-06-02 00:00:00+00,11.5,11.6,11.3,11.45,-0.43,8219,189.03,50
2005-06-03 00:00:00+00,11.3,11.5,11.2,11.5,0.44,13696,311.01,22
2005-06-06 00:00:00+00,11.25,11.65,11.2,11.5,0,3293,75.1,25
2005-06-07 00:00:00+00,11.25,11.55,11.25,11.55,0.43,6368,146.21,35
2005-06-08 00:00:00+00,11.5,12.5,11.25,12,3.9,31659,746.96,95
2005-06-09 00:00:00+00,12.4,12.65,12.1,12.45,3.75,17802,442.52,98
2005-06-10 00:00:00+00,12.25,12.4,12.1,12.4,-0.4,6938,169.72,34
2005-06-13 00:00:00+00,12.25,12.3,11.9,12.1,-2.42,17425,424.52,38
2005-06-14 00:00:00+00,11.75,12,11.65,12,-0.83,13584,320.46,21
2005-06-15 00:00:00+00,11.9,11.95,11.7,11.95,-0.42,2090,49.53,16
2005-06-16 00:00:00+00,11.7,11.8,11.7,11.7,-2.09,2800,65.76,13
2005-06-17 00:00:00+00,11.6,11.75,11.5,11.7,0,20105,467.28,49
2005-06-20 00:00:00+00,11.7,11.7,11.7,11.7,0,10256,239.99,15
2005-06-21 00:00:00+00,11.7,11.7,11.5,11.7,0,3946,91.85,13
2005-06-22 00:00:00+00,11.7,11.7,11.55,11.55,-1.28,1221,28.44,9
2005-06-23 00:00:00+00,11.85,11.85,11.6,11.7,1.3,1194,27.9,10
2005-06-24 00:00:00+00,11.5,11.7,11.5,11.7,0,3321,76.97,10
2005-06-27 00:00:00+00,11.5,11.65,11.5,11.65,-0.43,7290,167.68,16
2005-06-28 00:00:00+00,11.55,11.6,11.4,11.6,-0.43,1871,43.13,15
2005-06-29 00:00:00+00,11.4,11.8,11.35,11.8,1.72,6482,152.21,18
2005-06-30 00:00:00+00,11.65,11.85,11.5,11.85,0.42,13336,313.32,77
2005-07-01 00:00:00+00,11.8,11.85,11.7,11.7,-1.27,10852,255.42,39
2005-07-04 00:00:00+00,11.7,11.7,11.65,11.65,-0.43,1800,42.05,7
2005-07-05 00:00:00+00,11.6,11.65,11.45,11.5,-1.29,19830,458.65,63
2005-07-06 00:00:00+00,11.65,12.3,11.65,12.05,4.78,88024,2108.5,284
2005-07-07 00:00:00+00,12.3,12.3,11.75,12.1,0.41,25438,614.65,96
2005-07-08 00:00:00+00,12.3,12.8,12.3,12.65,4.55,29970,746.87,167
2005-07-11 00:00:00+00,12.95,12.95,12.4,12.7,0.4,14186,360.84,89
2005-07-12 00:00:00+00,12.5,12.8,12.35,12.65,-0.39,7734,195.39,52
2005-07-13 00:00:00+00,12.7,12.9,12.7,12.8,1.19,18781,481.13,72
2005-07-14 00:00:00+00,12.6,12.9,12.6,12.75,-0.39,3065,77.91,29
2005-07-15 00:00:00+00,12.95,12.95,12.7,12.8,0.39,2350,60.43,20
2005-07-18 00:00:00+00,12.8,12.8,12.65,12.65,-1.17,2971,75.6,14
2005-07-19 00:00:00+00,12.6,12.8,12.35,12.8,1.19,4910,123.24,32
2005-07-20 00:00:00+00,12.65,12.95,12.65,12.85,0.39,16667,429.3,88
2005-07-21 00:00:00+00,12.7,12.85,12.6,12.85,0,1990,50.76,21
2005-07-22 00:00:00+00,12.9,12.9,12.6,12.8,-0.39,1987,50.31,13
2005-07-25 00:00:00+00,12.8,12.8,12.45,12.8,0,2756,69.88,25
2005-07-26 00:00:00+00,12.7,12.85,12.5,12.8,0,9229,234.54,50
2005-07-27 00:00:00+00,12.8,12.8,12.65,12.8,0,11079,281.47,23
2005-07-28 00:00:00+00,12.8,12.8,12.6,12.8,0,8571,217.2,29
2005-07-29 00:00:00+00,12.8,12.9,12.75,12.9,0.78,4219,108.14,21
2005-08-01 00:00:00+00,12.8,13.05,12.6,12.9,0,17293,445.09,79
2005-08-02 00:00:00+00,12.95,12.95,12.65,12.65,-1.94,4063,103.41,18
2005-08-03 00:00:00+00,12.6,12.6,12,12.45,-1.58,9833,242.12,60
2005-08-04 00:00:00+00,12.15,12.4,12.1,12.4,-0.4,3424,83.9,21
2005-08-05 00:00:00+00,12.15,12.4,12.05,12.4,0,3874,94.86,29
2005-08-08 00:00:00+00,12.4,12.4,11.85,12,-3.23,7485,180.65,47
2005-08-09 00:00:00+00,11.9,12,11.65,12,0,20872,496.09,48
2005-08-10 00:00:00+00,11.8,11.9,11.5,11.7,-2.5,15859,369.77,71
2005-08-11 00:00:00+00,11.5,11.7,11.35,11.7,0,3907,89.75,33
2005-08-12 00:00:00+00,11.55,11.55,11.25,11.5,-1.71,5452,124.33,34
2005-08-16 00:00:00+00,11.2,11.3,10.8,11.3,-1.74,5457,122.06,46
2005-08-17 00:00:00+00,11.2,11.45,10.95,11.4,0.88,6082,136.56,37
2005-08-18 00:00:00+00,11.25,11.25,10.8,11.2,-1.75,8557,189.39,50
2005-08-19 00:00:00+00,10.95,11.25,10.95,11.25,0.45,2987,66.8,17
2005-08-22 00:00:00+00,11.25,11.5,11.2,11.5,2.22,1716,39.36,13
2005-08-23 00:00:00+00,11.5,11.7,11.35,11.7,1.74,1836,42.68,20
2005-08-24 00:00:00+00,11.5,11.7,11.45,11.7,0,2124,49.44,18
2005-08-25 00:00:00+00,11.5,12.35,11.4,11.85,1.28,11670,275.57,64
2005-08-26 00:00:00+00,12.3,12.3,11.8,12.1,2.11,12249,295.97,43
2005-08-29 00:00:00+00,12.3,12.95,12.3,12.95,7.02,20756,526.01,107
2005-08-30 00:00:00+00,13,13.7,13,13.6,5.02,107267,2891.42,241
2005-08-31 00:00:00+00,13.8,14.1,13.35,13.4,-1.47,119529,3256.52,218
2005-09-01 00:00:00+00,13.25,13.55,13.15,13.4,0,16492,441.47,48
2005-09-02 00:00:00+00,13.25,13.5,13.1,13.35,-0.37,60473,1617.48,79
2005-09-05 00:00:00+00,13.1,13.1,12.4,12.9,-3.37,99343,2566.5,88
2005-09-06 00:00:00+00,12.8,12.8,12.5,12.8,-0.78,9663,246.31,30
2005-09-07 00:00:00+00,12.6,12.8,12.6,12.8,0,50435,1279.96,81
2005-09-08 00:00:00+00,12.65,12.65,12.35,12.35,-3.52,10205,254.08,44
2005-09-09 00:00:00+00,12.25,12.4,12.25,12.3,-0.4,10867,267.7,30
2005-09-12 00:00:00+00,12.55,12.6,12.3,12.35,0.41,26752,663.67,38
2005-09-13 00:00:00+00,12.5,12.5,12.2,12.3,-0.4,8567,211.29,32
2005-09-14 00:00:00+00,12.1,12.3,12,12.05,-2.03,27492,665.38,49
2005-09-15 00:00:00+00,11.9,12.3,11.9,12.3,2.07,51474,1242.07,51
2005-09-16 00:00:00+00,12.3,12.3,12.1,12.3,0,9630,235.24,33
2005-09-19 00:00:00+00,12.4,12.6,12.3,12.6,2.44,46895,1157.59,25
2005-09-20 00:00:00+00,12.5,12.75,12.35,12.75,1.19,30744,773.82,46
2005-09-21 00:00:00+00,12.8,13.45,12.8,13.45,5.49,39204,1041.81,95
2005-09-22 00:00:00+00,13.15,13.35,12.7,12.75,-5.2,37805,982.02,67
