date,open,high,low,close,difference,volume,turnover,transactions
2020-06-01 00:00:00+00,0.59,0.65,0.57,0.615,4.24,477432,289.65,157
2020-06-02 00:00:00+00,0.62,0.68,0.62,0.65,5.69,266633,174.37,108
2020-06-03 00:00:00+00,0.65,0.68,0.635,0.67,3.08,59822,39.52,47
2020-06-04 00:00:00+00,0.67,0.68,0.65,0.665,-0.75,76875,50.8,35
2020-06-05 00:00:00+00,0.665,0.665,0.61,0.625,-6.02,62424,39.56,31
2020-06-08 00:00:00+00,0.65,0.65,0.585,0.62,-0.8,124206,75.49,82
2020-06-09 00:00:00+00,0.62,0.645,0.6,0.62,0,129275,79.73,89
2020-06-10 00:00:00+00,0.62,0.62,0.59,0.61,-1.61,96755,58.57,38
2020-06-12 00:00:00+00,0.61,0.62,0.59,0.62,1.64,47600,29,22
2020-06-15 00:00:00+00,0.62,0.84,0.61,0.84,35.48,497481,358.96,208
2020-06-16 00:00:00+00,0.93,1.1,0.9,1.07,27.38,1515179,1504.65,727
2020-06-17 00:00:00+00,1.08,1.18,0.95,0.96,-10.28,700992,756.49,428
2020-06-18 00:00:00+00,0.96,1.04,0.81,0.91,-5.21,512659,464.42,382
2020-06-19 00:00:00+00,0.92,0.97,0.85,0.9,-1.1,185624,170.92,138
2020-06-22 00:00:00+00,0.925,0.96,0.88,0.935,3.89,94774,87.63,95
2020-06-23 00:00:00+00,0.935,0.95,0.89,0.89,-4.81,100798,92.91,72
2020-06-24 00:00:00+00,0.88,1,0.85,0.88,-1.12,361549,332.14,186
2020-06-25 00:00:00+00,0.9,0.9,0.8,0.82,-6.82,147213,122.44,117
2020-06-26 00:00:00+00,0.86,0.86,0.805,0.805,-1.83,60406,50.19,61
2020-06-29 00:00:00+00,0.81,0.86,0.8,0.84,4.35,38448,31.72,35
2020-06-30 00:00:00+00,0.84,0.84,0.735,0.785,-6.55,129477,99.73,125
2020-07-01 00:00:00+00,0.79,0.82,0.75,0.805,2.55,14442,11.13,36
2020-07-02 00:00:00+00,0.82,0.86,0.775,0.86,6.83,85794,69.42,71
2020-07-03 00:00:00+00,0.86,0.94,0.81,0.93,8.14,129110,113.68,108
2020-07-06 00:00:00+00,0.95,1.09,0.95,0.99,6.45,419872,427.27,249
2020-07-07 00:00:00+00,1,1.07,1,1.05,6.06,148394,153.86,126
2020-07-08 00:00:00+00,1.06,1.22,1.04,1.19,13.33,352845,401.84,246
2020-07-09 00:00:00+00,1.19,1.25,1.06,1.13,-5.04,409342,461.63,269
2020-07-10 00:00:00+00,1.12,1.12,1.01,1.05,-7.08,193414,202.98,157
