date,open,high,low,close,difference,volume,turnover,transactions
2011-03-30 00:00:00+00,3.3,3.38,3.19,3.25,-2.4,164976,546.53,141
2011-03-31 00:00:00+00,3.31,3.34,3.25,3.3,1.54,43792,144.67,46
2011-04-01 00:00:00+00,3.33,3.4,3.25,3.35,1.52,22650,75.79,24
2011-04-04 00:00:00+00,3.39,3.49,3.33,3.49,4.18,129765,442.08,62
2011-04-05 00:00:00+00,3.5,3.5,3.4,3.45,-1.15,18598,64.48,24
2011-04-06 00:00:00+00,3.43,3.47,3.37,3.4,-1.45,24840,84.38,27
2011-04-07 00:00:00+00,3.44,3.44,3.35,3.37,-0.88,11438,38.6,18
2011-04-08 00:00:00+00,3.43,3.43,3.42,3.43,1.78,9200,31.55,16
2011-04-11 00:00:00+00,3.45,3.45,3.4,3.42,-0.29,4787,16.42,21
2011-04-12 00:00:00+00,3.42,3.44,3.21,3.3,-3.51,12694,42.07,24
2011-04-13 00:00:00+00,3.35,3.35,3.3,3.33,0.91,13000,43.07,17
2011-04-14 00:00:00+00,3.33,3.33,3.18,3.2,-3.9,22410,72.42,34
2011-04-15 00:00:00+00,3.31,3.33,3.25,3.31,3.44,123991,404.95,40
2011-04-18 00:00:00+00,3.31,3.36,3.26,3.26,-1.51,6644,21.95,17
2011-04-19 00:00:00+00,3.25,3.31,3.22,3.29,0.92,17772,58.51,14
2011-04-20 00:00:00+00,3.25,3.31,3.25,3.31,0.61,20345,67.05,9
2011-04-21 00:00:00+00,3.23,3.31,3.23,3.31,0,31148,102.77,13
2011-04-26 00:00:00+00,3.26,3.3,3.22,3.3,-0.3,62513,205.47,22
2011-04-27 00:00:00+00,3.24,3.3,3.2,3.3,0,120463,389.13,35
2011-04-28 00:00:00+00,3.31,3.35,3.31,3.35,1.52,11376,37.91,16
2011-04-29 00:00:00+00,3.34,3.35,3.26,3.34,-0.3,2923,9.7,7
2011-05-02 00:00:00+00,3.38,3.43,3.25,3.43,2.69,21292,70.87,27
2011-05-04 00:00:00+00,3.43,3.43,3.35,3.35,-2.33,13507,45.82,15
2011-05-05 00:00:00+00,3.41,3.41,3.35,3.35,0,728,2.45,4
2011-05-06 00:00:00+00,3.35,3.35,3.28,3.28,-2.09,14400,47.28,17
2011-05-09 00:00:00+00,3.24,3.29,3.24,3.25,1.25,3370,10.95,11
2011-05-10 00:00:00+00,3.24,3.24,3.2,3.2,-1.54,927,2.97,3
2011-05-11 00:00:00+00,3.2,3.2,3.09,3.15,-1.56,6610,20.66,14
2011-05-12 00:00:00+00,3.2,3.2,3.15,3.15,0,919,2.92,5
2011-05-13 00:00:00+00,3.21,3.22,3.17,3.22,2.22,11926,38.15,17
2011-05-16 00:00:00+00,3.18,3.23,3.17,3.22,0,8836,28.08,10
2011-05-17 00:00:00+00,3.2,3.2,3.15,3.15,-2.17,7234,22.81,8
2011-05-18 00:00:00+00,3.02,3.2,3.02,3.15,0,8491,26.38,19
2011-05-19 00:00:00+00,3.18,3.2,3.14,3.19,1.27,21011,67.08,27
2011-05-20 00:00:00+00,3.12,3.12,3.12,3.12,-2.19,6949,21.68,3
2011-05-23 00:00:00+00,3.12,3.12,2.82,2.89,-7.37,11472,33.8,29
2011-05-24 00:00:00+00,2.99,3.1,2.97,3.1,7.27,6836,20.77,22
2011-05-25 00:00:00+00,3.2,3.2,3.08,3.08,-0.65,6361,19.72,9
2011-05-26 00:00:00+00,3.09,3.1,3,3.1,0.65,21474,65.86,16
2011-05-27 00:00:00+00,3.03,3.03,2.98,3,-3.23,8539,25.64,13
2011-05-30 00:00:00+00,3,3,2.86,2.99,-0.33,7098,20.92,18
2011-05-31 00:00:00+00,2.96,2.99,2.95,2.97,-0.67,7186,21.38,12
2011-06-01 00:00:00+00,2.95,3,2.95,2.99,0.67,10351,31,10
2011-06-02 00:00:00+00,3,3.1,2.98,2.98,-0.33,10439,31.4,17
2011-06-03 00:00:00+00,3.07,3.07,3,3.06,2.68,359,1.08,3
2011-06-06 00:00:00+00,3.07,3.07,3.07,3.07,0.33,23,0.07,1
2011-06-07 00:00:00+00,3.07,3.07,3.07,3.07,0,1000,3.07,4
2011-06-08 00:00:00+00,3.09,3.09,3.09,3.09,0.65,30,0.09,1
2011-06-09 00:00:00+00,3,3.07,3,3.06,-0.97,1461,4.41,7
2011-06-10 00:00:00+00,3.01,3.05,2.9,2.99,-2.29,4147,12.16,11
2011-06-13 00:00:00+00,2.99,2.99,2.92,2.99,0,2163,6.44,9
2011-06-14 00:00:00+00,3,3,2.99,2.99,0,1513,4.53,3
2011-06-15 00:00:00+00,2.99,2.99,2.99,2.99,0,10000,29.9,5
2011-06-16 00:00:00+00,2.99,2.99,2.8,2.93,-2.01,1139,3.21,7
2011-06-17 00:00:00+00,2.79,2.9,2.78,2.86,-2.39,7780,21.9,19
2011-06-20 00:00:00+00,2.94,2.94,2.69,2.69,-5.94,7922,21.84,24
2011-06-21 00:00:00+00,2.67,2.8,2.67,2.72,1.12,6311,17.01,10
2011-06-22 00:00:00+00,2.72,2.8,2.72,2.75,1.1,5190,14.29,11
2011-06-24 00:00:00+00,2.73,2.85,2.66,2.8,1.82,4221,11.59,12
2011-06-27 00:00:00+00,2.66,2.77,2.58,2.6,-7.14,14225,37.77,21
2011-06-28 00:00:00+00,2.6,2.6,2.57,2.6,0,4440,11.52,11
2011-06-29 00:00:00+00,2.6,2.79,2.6,2.7,3.85,4100,11.05,10
2011-06-30 00:00:00+00,2.7,2.7,2.69,2.7,0,1000,2.7,4
2011-07-01 00:00:00+00,2.77,2.77,2.77,2.77,2.59,175,0.48,1
2011-07-04 00:00:00+00,2.77,2.79,2.77,2.79,0.72,4040,11.24,5
2011-07-05 00:00:00+00,2.87,2.87,2.84,2.84,1.79,152,0.43,2
2011-07-06 00:00:00+00,2.7,2.85,2.7,2.74,-3.52,4029,10.99,14
2011-07-07 00:00:00+00,2.8,2.8,2.6,2.75,0.36,3035,8.11,14
2011-07-08 00:00:00+00,0,0,0,2.75,0,0,0,0
2011-07-11 00:00:00+00,2.75,2.79,2.7,2.79,1.45,1533,4.22,4
2011-07-12 00:00:00+00,2.7,2.7,2.52,2.69,-3.58,7749,20.28,19
2011-07-13 00:00:00+00,2.69,2.79,2.69,2.79,3.72,1675,4.52,7
2011-07-14 00:00:00+00,2.79,2.79,2.7,2.71,-2.87,355,0.97,3
2011-07-15 00:00:00+00,2.78,2.78,2.64,2.76,1.85,221,0.59,3
2011-07-18 00:00:00+00,2.66,2.66,2.54,2.54,-7.97,2100,5.5,6
2011-07-19 00:00:00+00,2.48,2.63,2.46,2.46,-3.15,12576,31.35,22
2011-07-20 00:00:00+00,2.46,2.46,2.28,2.39,-2.85,21807,51.2,25
2011-07-21 00:00:00+00,2.26,2.43,2.14,2.43,1.67,44773,100.07,48
2011-07-22 00:00:00+00,2.48,2.58,2.45,2.58,6.17,6764,17.15,20
2011-07-25 00:00:00+00,2.46,2.54,2.45,2.5,-3.1,12517,30.84,15
2011-07-26 00:00:00+00,2.45,2.45,2.43,2.45,-2,4747,11.59,9
2011-07-27 00:00:00+00,2.43,2.54,2.42,2.54,3.67,2590,6.28,11
2011-07-28 00:00:00+00,2.36,2.49,2.36,2.49,-1.97,5008,12.01,11
2011-07-29 00:00:00+00,2.4,2.45,2.38,2.45,-1.61,171,0.41,3
2011-08-01 00:00:00+00,2.47,2.5,2.36,2.49,1.63,7605,18.19,12
2011-08-02 00:00:00+00,2.37,2.42,2.25,2.39,-4.02,2279,5.31,7
2011-08-03 00:00:00+00,2.21,2.32,2.19,2.21,-7.53,10129,22.4,18
2011-08-04 00:00:00+00,2.25,2.25,2,2.09,-5.43,15183,31.23,39
2011-08-05 00:00:00+00,2,2.23,1.65,2.23,6.7,39028,74.92,63
2011-08-08 00:00:00+00,1.98,2.27,1.98,2.18,-2.24,27244,57.03,45
2011-08-09 00:00:00+00,1.9,1.95,1.8,1.87,-14.22,64274,121.51,57
2011-08-10 00:00:00+00,2.09,2.2,2,2.04,9.09,14048,28.87,28
2011-08-11 00:00:00+00,2.02,2.04,1.98,2.03,-0.49,15017,30.1,26
2011-08-12 00:00:00+00,2.04,2.15,2.03,2.11,3.94,27683,57.55,18
2011-08-16 00:00:00+00,2.19,2.19,2.03,2.19,3.79,65138,135.68,27
2011-08-17 00:00:00+00,2.2,2.32,2.2,2.2,0.46,11366,25.37,16
2011-08-18 00:00:00+00,2.2,2.2,2,2.1,-4.55,12206,24.88,21
2011-08-19 00:00:00+00,1.99,2.07,1.89,1.89,-10,3230,6.31,4
2011-08-22 00:00:00+00,2.2,2.2,2,2.1,11.11,832,1.76,8
2011-08-23 00:00:00+00,2.18,2.19,1.99,2.08,-0.95,14237,29.5,24
2011-08-24 00:00:00+00,2,2.1,2,2.05,-1.44,3467,6.96,10
2011-08-25 00:00:00+00,2.1,2.17,1.91,2,-2.44,26980,55,31
2011-08-26 00:00:00+00,1.85,2,1.85,2,0,3010,6.01,7
2011-08-29 00:00:00+00,2,2,1.9,1.99,-0.5,6317,12.49,13
2011-08-30 00:00:00+00,1.98,1.98,1.89,1.96,-1.51,8722,17.03,17
2011-08-31 00:00:00+00,1.94,1.94,1.86,1.9,-3.06,257216,488.75,10
2011-09-01 00:00:00+00,1.9,1.9,1.81,1.85,-2.63,13578,25.08,16
2011-09-02 00:00:00+00,1.89,1.89,1.82,1.89,2.16,6321,11.79,14
2011-09-05 00:00:00+00,1.81,1.85,1.75,1.84,-2.65,12672,22.63,18
2011-09-06 00:00:00+00,1.8,1.9,1.73,1.81,-1.63,19078,34.18,16
2011-09-07 00:00:00+00,1.81,1.9,1.81,1.88,3.87,5238,9.75,4
2011-09-08 00:00:00+00,1.86,1.86,1.71,1.8,-4.26,19743,34.72,20
2011-09-09 00:00:00+00,1.78,1.78,1.64,1.74,-3.33,3390,5.82,9
2011-09-12 00:00:00+00,1.66,1.85,1.57,1.85,6.32,24548,40.67,24
2011-09-13 00:00:00+00,1.85,1.85,1.7,1.8,-2.7,2921,5.16,7
2011-09-14 00:00:00+00,1.85,1.85,1.7,1.79,-0.56,16303,28.89,16
2011-09-15 00:00:00+00,1.78,1.83,1.78,1.83,2.23,5700,10.27,9
2011-09-16 00:00:00+00,1.84,1.85,1.73,1.8,-1.64,4904,8.83,10
2011-09-19 00:00:00+00,1.76,1.8,1.75,1.8,0,1679,2.95,3
2011-09-20 00:00:00+00,1.79,1.8,1.73,1.78,-1.11,3866,6.91,10
2011-09-21 00:00:00+00,1.79,1.8,1.79,1.8,1.12,14580,26.2,8
2011-09-22 00:00:00+00,1.65,1.8,1.65,1.79,-0.56,10228,17.4,15
2011-09-23 00:00:00+00,1.78,1.8,1.69,1.75,-2.23,20043,35.26,21
2011-09-26 00:00:00+00,1.69,1.8,1.6,1.7,-2.86,17604,30.31,16
2011-09-27 00:00:00+00,1.8,1.8,1.8,1.8,5.88,2452,4.41,5
2011-09-28 00:00:00+00,1.8,1.8,1.7,1.76,-2.22,2558,4.35,5
2011-09-29 00:00:00+00,1.7,1.74,1.69,1.74,-1.14,1757,3,7
2011-09-30 00:00:00+00,1.69,1.74,1.65,1.74,0,2400,3.98,3
2011-10-03 00:00:00+00,1.72,1.75,1.7,1.75,0.57,5326,9.17,9
2011-10-04 00:00:00+00,1.6,1.76,1.44,1.76,0.57,53121,88.3,44
2011-10-05 00:00:00+00,1.75,1.75,1.75,1.75,-0.57,200,0.35,1
2011-10-06 00:00:00+00,1.75,1.76,1.68,1.75,0,25281,43.04,6
2011-10-07 00:00:00+00,0,0,0,1.75,0,0,0,0
2011-10-10 00:00:00+00,0,0,0,1.75,0,0,0,0
2011-10-11 00:00:00+00,1.73,1.74,1.73,1.74,-0.57,1885,3.27,2
2011-10-12 00:00:00+00,1.73,1.73,1.71,1.73,-0.57,2788,4.82,6
2011-10-13 00:00:00+00,1.73,1.73,1.68,1.72,-0.58,4445,7.57,11
2011-10-14 00:00:00+00,1.72,1.73,1.71,1.71,-0.58,6034,10.37,7
2011-10-17 00:00:00+00,1.7,1.72,1.7,1.72,0.58,4125,7.07,9
2011-10-18 00:00:00+00,1.71,1.72,1.67,1.72,0,6822,11.5,8
2011-10-19 00:00:00+00,1.7,1.7,1.7,1.7,-1.16,1000,1.7,1
2011-10-20 00:00:00+00,1.72,1.72,1.72,1.72,1.18,1200,2.06,1
2011-10-21 00:00:00+00,1.7,1.75,1.7,1.75,1.74,13250,22.94,18
2011-10-24 00:00:00+00,1.71,1.79,1.71,1.79,2.29,17515,30.92,20
2011-10-25 00:00:00+00,1.8,1.98,1.8,1.9,6.15,58459,110.4,56
2011-10-26 00:00:00+00,1.93,1.93,1.78,1.79,-5.79,10216,18.59,17
2011-10-27 00:00:00+00,1.9,1.92,1.9,1.9,6.15,11266,21.44,16
2011-10-28 00:00:00+00,1.88,1.91,1.82,1.9,0,11491,21.76,13
2011-10-31 00:00:00+00,1.88,1.88,1.75,1.85,-2.63,13611,24.64,21
2011-11-02 00:00:00+00,1.8,1.84,1.75,1.84,-0.54,6590,11.79,11
2011-11-03 00:00:00+00,1.81,1.87,1.8,1.87,1.63,501,0.9,3
2011-11-04 00:00:00+00,1.87,1.87,1.85,1.86,-0.53,7809,14.48,10
2011-11-07 00:00:00+00,1.94,1.94,1.85,1.92,3.23,859,1.61,5
2011-11-08 00:00:00+00,1.95,1.97,1.94,1.94,1.04,1640,3.19,5
2011-11-09 00:00:00+00,1.94,1.94,1.9,1.92,-1.03,3201,6.17,8
