date,open,high,low,close,difference,volume,turnover,transactions
2006-08-03 00:00:00+00,9.2,9.65,8,8.35,1.83,1256187,22473.99,2334
2006-08-04 00:00:00+00,8.4,8.9,8.4,8.75,4.79,208525,3620.5,542
2006-08-07 00:00:00+00,9.05,9.05,8.55,8.9,1.71,112979,2002.17,303
2006-08-08 00:00:00+00,9,9,8.8,8.9,0,66662,1188.67,182
2006-08-09 00:00:00+00,8.9,8.9,8.65,8.8,-1.12,72035,1263.57,176
2006-08-10 00:00:00+00,8.7,8.75,8.55,8.65,-1.7,29050,502.16,92
2006-08-11 00:00:00+00,8.65,8.7,8.45,8.5,-1.73,51068,871.8,128
2006-08-14 00:00:00+00,8.5,8.6,8.3,8.55,0.59,31462,532.61,60
2006-08-16 00:00:00+00,8.65,8.65,8.25,8.3,-2.92,29630,496.36,98
2006-08-17 00:00:00+00,8.35,8.4,8.05,8.2,-1.2,28616,472.75,119
2006-08-18 00:00:00+00,8.2,8.2,7.8,8.05,-1.83,54730,877.3,183
2006-08-21 00:00:00+00,8.05,8.05,7.8,7.85,-2.48,39426,621.94,101
2006-08-22 00:00:00+00,7.9,8,7.75,7.85,0,35234,551.98,94
2006-08-23 00:00:00+00,7.85,7.85,7.75,7.8,-0.64,47553,740.4,89
2006-08-24 00:00:00+00,7.75,8.2,7.6,8.2,5.13,50411,795.87,139
2006-08-25 00:00:00+00,8.25,8.35,7.85,8.05,-1.83,29354,472.26,90
2006-08-28 00:00:00+00,8.1,8.1,7.8,8,-0.62,18798,296.25,77
2006-08-29 00:00:00+00,7.9,7.95,7.8,7.9,-1.25,19358,304.44,79
2006-08-30 00:00:00+00,7.85,8,7.8,7.9,0,53010,837.17,95
2006-08-31 00:00:00+00,7.9,7.95,7.8,7.9,0,10515,165.16,40
2006-09-01 00:00:00+00,8.11,8.11,7.9,7.91,0.13,23346,373.18,58
2006-09-04 00:00:00+00,8.09,8.09,7.91,7.97,0.76,13567,215.97,70
2006-09-05 00:00:00+00,7.95,8.44,7.91,8.27,3.76,99127,1617.53,208
2006-09-06 00:00:00+00,8.39,8.42,8.27,8.31,0.48,59099,986.12,147
2006-09-07 00:00:00+00,8.31,8.31,8.07,8.3,-0.12,13150,215.94,58
2006-09-08 00:00:00+00,8.2,8.31,8.14,8.27,-0.36,18425,301.84,50
2006-09-11 00:00:00+00,8.39,8.49,8.27,8.31,0.48,36250,606.28,110
2006-09-12 00:00:00+00,8.36,8.36,8.16,8.24,-0.84,31647,520.04,83
2006-09-13 00:00:00+00,8.33,8.4,8.23,8.25,0.12,98840,1644.57,153
2006-09-14 00:00:00+00,8.33,8.38,8.25,8.34,1.09,29451,489.56,58
2006-09-15 00:00:00+00,8.35,8.35,8.21,8.3,-0.48,52921,875.05,74
2006-09-18 00:00:00+00,8.36,8.4,8.3,8.35,0.6,52733,881.59,123
2006-09-19 00:00:00+00,8.33,8.33,8.19,8.28,-0.84,40027,662.79,81
2006-09-20 00:00:00+00,8.22,8.26,8,8.08,-2.42,51515,833.36,93
2006-09-21 00:00:00+00,8.1,8.24,8,8.1,0.25,115307,1872.81,137
2006-09-22 00:00:00+00,8.09,8.46,8.05,8.4,3.7,105111,1746.26,227
2006-09-25 00:00:00+00,8.47,8.8,8.41,8.6,2.38,133067,2298.95,299
2006-09-26 00:00:00+00,8.65,8.9,8.65,8.76,1.86,107775,1891.69,227
2006-09-27 00:00:00+00,8.75,8.76,8.3,8.52,-2.74,102952,1768.37,204
2006-09-28 00:00:00+00,8.63,8.7,8.49,8.57,0.59,42149,730.06,83
2006-09-29 00:00:00+00,8.45,8.55,8.26,8.38,-2.22,50965,858.21,105
2006-10-02 00:00:00+00,8.4,8.45,8.3,8.4,0.24,38709,646.34,65
2006-10-03 00:00:00+00,8.35,8.39,8.25,8.31,-1.07,49708,828.42,70
2006-10-04 00:00:00+00,8.3,8.34,8.15,8.3,-0.12,43400,716.91,92
2006-10-05 00:00:00+00,8.32,8.44,8.3,8.39,1.08,36578,609.23,85
2006-10-06 00:00:00+00,8.39,8.47,8.36,8.4,0.12,23481,394.96,54
2006-10-09 00:00:00+00,8.5,8.52,8.3,8.46,0.71,33794,571.16,116
2006-10-10 00:00:00+00,8.4,8.55,8.4,8.53,0.83,108561,1847.31,123
2006-10-11 00:00:00+00,8.54,8.8,8.31,8.4,-1.52,79611,1363.58,158
2006-10-12 00:00:00+00,8.4,8.55,8.38,8.53,1.55,51541,866.93,63
2006-10-13 00:00:00+00,8.55,8.9,8.55,8.64,1.29,90943,1586.08,181
2006-10-16 00:00:00+00,8.67,8.87,8.67,8.82,2.08,199308,3506.86,210
2006-10-17 00:00:00+00,8.9,9.25,8.82,9.03,2.38,241161,4359.45,353
2006-10-18 00:00:00+00,9.1,9.25,9.01,9.2,1.88,79473,1459.04,190
2006-10-19 00:00:00+00,9.29,9.29,9.15,9.22,0.22,83172,1531.61,155
2006-10-20 00:00:00+00,9.21,9.21,8.95,9.03,-2.06,45593,827.08,131
2006-10-23 00:00:00+00,9.18,9.18,8.99,9.01,-0.22,119057,2166.97,143
2006-10-24 00:00:00+00,9.01,9.13,9,9.1,1,69051,1253.7,129
2006-10-25 00:00:00+00,9.19,9.64,9.16,9.56,5.05,259056,4901.84,406
2006-10-26 00:00:00+00,9.7,9.87,9.31,9.39,-1.78,117882,2244.33,215
2006-10-27 00:00:00+00,9.28,9.43,9.16,9.19,-2.13,62289,1150.44,144
2006-10-30 00:00:00+00,9.07,9.15,8.95,8.95,-2.61,43745,789.16,88
2006-10-31 00:00:00+00,8.95,9.08,8.91,9.08,1.45,22329,401.31,62
2006-11-02 00:00:00+00,9.08,9.7,9.02,9.5,4.63,165864,3164.99,258
2006-11-03 00:00:00+00,9.61,9.97,9.5,9.8,3.16,196072,3818.87,354
2006-11-06 00:00:00+00,9.9,9.9,9.72,9.8,0,51180,1002.23,109
2006-11-07 00:00:00+00,9.79,9.79,9.34,9.54,-2.65,71775,1364.88,117
2006-11-08 00:00:00+00,9.35,9.49,9.31,9.45,-0.94,42979,804.52,86
2006-11-09 00:00:00+00,9.55,9.6,9.45,9.45,0,56211,1070.93,129
2006-11-10 00:00:00+00,9.52,9.65,9.52,9.56,1.16,58542,1124.2,131
2006-11-13 00:00:00+00,9.69,9.69,9.44,9.44,-1.26,31832,609.37,90
2006-11-14 00:00:00+00,9.5,9.5,9,9.2,-2.54,102432,1872.5,164
2006-11-15 00:00:00+00,9.2,9.2,8.93,8.95,-2.72,93634,1692.18,133
2006-11-16 00:00:00+00,8.9,9.17,8.85,8.99,0.45,69001,1246.5,102
2006-11-17 00:00:00+00,9.04,9.05,8.85,9,0.11,36875,661.26,106
2006-11-20 00:00:00+00,8.99,9.15,8.91,9.15,1.67,28470,511.98,89
2006-11-21 00:00:00+00,9.11,9.17,9.01,9.15,0,390457,7144.05,62
2006-11-22 00:00:00+00,9.17,9.78,9.17,9.75,6.56,85750,1617.32,193
2006-11-23 00:00:00+00,9.75,9.85,9.51,9.7,-0.51,65412,1270.26,157
2006-11-24 00:00:00+00,9.7,9.73,9.55,9.63,-0.72,29770,572.94,85
2006-11-27 00:00:00+00,9.63,9.65,9.5,9.52,-1.14,42180,807.92,71
2006-11-28 00:00:00+00,9.56,9.56,9.33,9.47,-0.53,16866,318.34,52
2006-11-29 00:00:00+00,9.5,9.54,9.4,9.54,0.74,35741,677,74
2006-11-30 00:00:00+00,9.62,9.75,9.41,9.53,-0.1,40072,766.3,101
2006-12-01 00:00:00+00,9.54,10.23,9.4,10.03,5.25,278337,5547.45,439
2006-12-04 00:00:00+00,10.26,10.68,10.25,10.58,5.48,249832,5266.86,377
2006-12-05 00:00:00+00,10.55,10.55,10.18,10.38,-1.89,42918,892.68,111
2006-12-06 00:00:00+00,10.4,10.46,9.82,10.2,-1.73,154856,3104.13,193
2006-12-07 00:00:00+00,10.03,10.18,10,10.15,-0.49,37911,764.71,101
2006-12-08 00:00:00+00,10.1,10.25,9.8,10.05,-0.99,87736,1749.72,169
2006-12-11 00:00:00+00,10,10,9.7,9.86,-1.89,69358,1365.54,145
2006-12-12 00:00:00+00,9.81,9.9,9.6,9.77,-0.91,80098,1551.48,131
2006-12-13 00:00:00+00,9.71,10.39,9.7,10.23,4.71,186171,3689.96,204
2006-12-14 00:00:00+00,10.35,10.4,9.83,9.89,-3.32,87683,1770.62,145
2006-12-15 00:00:00+00,9.78,10.1,8.75,10,1.11,212767,4136.34,299
2006-12-18 00:00:00+00,10.1,10.39,9.97,10.05,0.5,40782,828.53,101
2006-12-19 00:00:00+00,10.02,10.05,9.58,9.58,-4.68,60733,1191.92,115
2006-12-20 00:00:00+00,9.7,9.71,9.25,9.42,-1.67,32187,613.83,70
2006-12-21 00:00:00+00,9.49,9.55,9.3,9.44,0.21,35348,665.06,83
2006-12-22 00:00:00+00,9.44,9.59,9.2,9.33,-1.17,25320,474.87,72
2006-12-27 00:00:00+00,9.52,9.76,9.5,9.7,3.97,31844,613.59,104
2006-12-28 00:00:00+00,9.76,9.76,9.34,9.51,-1.96,25571,491.35,70
2006-12-29 00:00:00+00,9.6,9.64,9.41,9.42,-0.95,27832,530.69,81
2007-01-02 00:00:00+00,9.6,9.85,9.6,9.84,4.46,58678,1142.33,136
2007-01-03 00:00:00+00,9.95,9.98,9.7,9.76,-0.81,56083,1104.56,107
2007-01-04 00:00:00+00,9.57,9.57,9.42,9.5,-2.66,40132,760.14,111
2007-01-05 00:00:00+00,9.33,9.5,8.99,9.19,-3.26,104724,1933.05,166
2007-01-08 00:00:00+00,8.99,9.18,8.99,9.12,-0.76,59477,1075.23,87
2007-01-09 00:00:00+00,9.19,9.25,9.03,9.16,0.44,25194,459.53,91
2007-01-10 00:00:00+00,9.15,9.3,9.04,9.3,1.53,20380,373.58,75
2007-01-11 00:00:00+00,9.35,9.47,9.22,9.45,1.61,32118,602.34,93
2007-01-12 00:00:00+00,9.45,9.59,9.36,9.47,0.21,32770,621.11,77
2007-01-15 00:00:00+00,9.56,9.61,9.33,9.5,0.32,24607,466.37,74
2007-01-16 00:00:00+00,9.5,9.5,9.33,9.36,-1.47,23785,446.01,71
2007-01-17 00:00:00+00,9.45,9.78,9.33,9.5,1.5,78695,1500.51,128
2007-01-18 00:00:00+00,9.5,9.59,9.33,9.48,-0.21,29952,563.93,96
2007-01-19 00:00:00+00,9.49,9.63,9.35,9.63,1.58,47511,902.28,102
2007-01-22 00:00:00+00,9.79,10.2,9.75,9.99,3.74,214969,4313.74,354
2007-01-23 00:00:00+00,9.98,10.24,9.91,10.17,1.8,113956,2303.67,205
2007-01-24 00:00:00+00,10.29,10.29,9.92,10.08,-0.88,63262,1279.39,133
