date,open,high,low,close,difference,volume,turnover,transactions
2023-03-21 00:00:00+00,0.546,0.546,0.502,0.52,-5.11,84177,43.66,62
2023-03-22 00:00:00+00,0.522,0.54,0.512,0.536,3.08,48852,25.56,43
2023-03-23 00:00:00+00,0.516,0.532,0.51,0.528,-1.49,29733,15.38,26
2023-03-24 00:00:00+00,0.528,0.528,0.5,0.51,-3.41,54998,27.85,32
2023-03-27 00:00:00+00,0.52,0.52,0.49,0.514,0.78,82999,41.38,56
2023-03-28 00:00:00+00,0.494,0.52,0.486,0.52,1.17,34226,16.9,33
2023-03-29 00:00:00+00,0.508,0.518,0.49,0.492,-5.38,24104,11.93,14
2023-03-30 00:00:00+00,0.492,0.499,0.451,0.488,-0.81,74755,35.92,61
2023-03-31 00:00:00+00,0.475,0.478,0.44,0.476,-2.46,81399,37.39,45
2023-04-03 00:00:00+00,0.476,0.5,0.47,0.494,3.78,46633,22.85,38
2023-04-04 00:00:00+00,0.502,0.502,0.454,0.482,-2.43,107157,50.98,38
2023-04-05 00:00:00+00,0.482,0.49,0.45,0.472,-2.07,224127,105.65,46
2023-04-06 00:00:00+00,0.472,0.48,0.468,0.478,1.27,30604,14.47,20
2023-04-11 00:00:00+00,0.462,0.484,0.46,0.484,1.26,45479,21.67,23
2023-04-12 00:00:00+00,0.484,0.494,0.46,0.482,-0.41,25512,12.34,20
2023-04-13 00:00:00+00,0.492,0.498,0.482,0.489,1.45,45184,22,21
2023-04-14 00:00:00+00,0.498,0.498,0.489,0.49,0.2,49833,24.47,20
2023-04-17 00:00:00+00,0.49,0.52,0.49,0.508,3.67,89562,45.2,52
2023-04-18 00:00:00+00,0.514,0.516,0.5,0.51,0.39,31062,15.71,22
2023-04-19 00:00:00+00,0.51,0.52,0.485,0.52,1.96,70175,36.01,39
2023-04-20 00:00:00+00,0.528,0.53,0.5,0.506,-2.69,7978,4.13,21
2023-04-21 00:00:00+00,0.506,0.518,0.492,0.51,0.79,12836,6.36,10
2023-04-24 00:00:00+00,0.51,0.51,0.461,0.495,-2.94,42779,20.74,32
2023-04-25 00:00:00+00,0.485,0.506,0.464,0.498,0.61,18979,9.08,18
2023-04-26 00:00:00+00,0.467,0.488,0.45,0.476,-4.42,52798,24.85,35
2023-04-27 00:00:00+00,0.47,0.47,0.423,0.435,-8.61,132259,58.24,73
2023-04-28 00:00:00+00,0.436,0.45,0.425,0.445,2.3,30192,13.29,24
2023-05-02 00:00:00+00,0.431,0.44,0.425,0.43,-3.37,13671,5.89,11
2023-05-04 00:00:00+00,0.425,0.437,0.425,0.429,-0.23,8327,3.56,12
2023-05-05 00:00:00+00,0.43,0.436,0.43,0.435,1.4,13200,5.74,5
2023-05-08 00:00:00+00,0.43,0.472,0.43,0.469,7.82,16284,7.38,15
2023-05-09 00:00:00+00,0.469,0.469,0.457,0.457,-2.56,17591,8.17,11
2023-05-10 00:00:00+00,0.451,0.472,0.425,0.448,-1.97,36409,16.14,25
2023-05-11 00:00:00+00,0.464,0.464,0.457,0.457,2.01,16232,7.47,15
2023-05-12 00:00:00+00,0.465,0.465,0.44,0.44,-3.72,14259,6.41,9
2023-05-15 00:00:00+00,0.442,0.443,0.44,0.443,0.68,15336,6.76,10
2023-05-16 00:00:00+00,0.443,0.45,0.428,0.428,-3.39,43890,19.19,15
2023-05-17 00:00:00+00,0.428,0.44,0.428,0.44,2.8,19092,8.24,11
2023-05-18 00:00:00+00,0.428,0.447,0.428,0.439,-0.23,13164,5.65,13
2023-05-19 00:00:00+00,0.439,0.447,0.426,0.437,-0.46,46797,20.49,21
2023-05-22 00:00:00+00,0.456,0.59,0.456,0.532,21.74,915374,502.75,368
