date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,13,13.35,13,13.3,2.31,34279,906.86,112
2005-01-04 00:00:00+00,13.15,13.15,12.9,13.1,-1.5,26285,683.99,84
2005-01-05 00:00:00+00,13,13,12.85,12.9,-1.53,7023,181.72,45
2005-01-06 00:00:00+00,12.9,12.9,12.55,12.85,-0.39,37408,950.55,102
2005-01-07 00:00:00+00,12.85,12.9,12.7,12.9,0.39,26494,676.21,59
2005-01-10 00:00:00+00,12.85,12.85,12.5,12.55,-2.71,15659,396.89,57
2005-01-11 00:00:00+00,12.55,12.55,12.3,12.3,-1.99,15394,382.47,61
2005-01-12 00:00:00+00,12.2,12.6,12.2,12.55,2.03,23231,574.47,69
2005-01-13 00:00:00+00,13.1,13.2,12.9,12.95,3.19,100824,2637.17,204
2005-01-14 00:00:00+00,12.9,12.9,12.6,12.85,-0.77,26977,692.96,96
2005-01-17 00:00:00+00,12.8,12.85,12.7,12.75,-0.78,7414,189.14,25
2005-01-18 00:00:00+00,12.6,12.6,12.4,12.4,-2.75,10347,258.85,43
2005-01-19 00:00:00+00,12.5,12.5,12.25,12.45,0.4,9675,239.64,31
2005-01-20 00:00:00+00,12.25,12.5,12.25,12.4,-0.4,14662,361.12,43
2005-01-21 00:00:00+00,12.25,12.25,12.15,12.2,-1.61,21963,534.92,52
2005-01-24 00:00:00+00,12,12.2,11.9,12.15,-0.41,21597,518.38,66
2005-01-25 00:00:00+00,12,12.35,12,12.15,0,15362,373.25,61
2005-01-26 00:00:00+00,12.2,12.65,12.2,12.3,1.23,62086,1539.05,130
2005-01-27 00:00:00+00,12.45,12.45,12.25,12.4,0.81,26374,653.14,51
2005-01-28 00:00:00+00,12.45,12.7,12.35,12.7,2.42,26041,651.51,61
2005-01-31 00:00:00+00,12.7,13,12.6,13,2.36,48223,1240.22,106
2005-02-01 00:00:00+00,13.8,14,13.4,13.5,3.85,307469,8470.81,544
2005-02-02 00:00:00+00,13.6,13.75,13.5,13.6,0.74,215045,5865.06,301
2005-02-03 00:00:00+00,13.5,13.6,13.3,13.55,-0.37,55969,1511.36,88
2005-02-04 00:00:00+00,13.5,13.65,13.35,13.6,0.37,57886,1570.54,94
2005-02-07 00:00:00+00,13.7,13.7,13.4,13.5,-0.74,35094,947.26,93
2005-02-08 00:00:00+00,13.5,13.5,13.35,13.5,0,26274,707.01,63
2005-02-09 00:00:00+00,13.45,13.75,13.45,13.5,0,132236,3590.68,162
2005-02-10 00:00:00+00,13.6,13.6,13.45,13.45,-0.37,29735,804.64,46
2005-02-11 00:00:00+00,12.8,13,12.4,12.55,-6.69,93672,2398.73,218
2005-02-14 00:00:00+00,12.4,12.5,12.15,12.25,-2.39,49657,1225.73,136
2005-02-15 00:00:00+00,12.35,12.35,12,12.3,0.41,30623,745.66,112
2005-02-16 00:00:00+00,12.3,12.7,12.3,12.55,2.03,25314,631.61,90
2005-02-17 00:00:00+00,12.55,12.55,12.3,12.35,-1.59,22273,552.47,61
2005-02-18 00:00:00+00,12.35,12.35,12.2,12.25,-0.81,8281,203.36,39
2005-02-21 00:00:00+00,12.15,12.2,12.1,12.2,-0.41,21789,529.62,94
2005-02-22 00:00:00+00,12.15,12.15,12,12.05,-1.23,38197,921.16,96
2005-02-23 00:00:00+00,12.05,12.05,11.55,11.7,-2.9,41755,983.56,125
2005-02-24 00:00:00+00,11.8,12.4,11.35,12.2,4.27,245767,5726.2,378
2005-02-25 00:00:00+00,12.25,12.4,12,12.05,-1.23,118700,2897.89,141
2005-02-28 00:00:00+00,12.05,12.1,11.7,11.75,-2.49,84149,1989.5,89
2005-03-01 00:00:00+00,11.75,12,11.75,12,2.13,13889,331.09,53
2005-03-02 00:00:00+00,11.85,11.95,11.8,11.95,-0.42,11294,267.95,45
2005-03-03 00:00:00+00,11.8,11.95,11.75,11.95,0,4663,110.03,18
2005-03-04 00:00:00+00,11.75,11.85,11.75,11.75,-1.67,7471,175.76,31
2005-03-07 00:00:00+00,12,12,11.8,11.9,1.28,14841,354.16,42
2005-03-08 00:00:00+00,11.9,11.9,11.65,11.7,-1.68,12239,287.2,40
2005-03-09 00:00:00+00,11.6,11.8,11.6,11.8,0.85,6419,150.28,27
2005-03-10 00:00:00+00,11.65,11.8,11.65,11.75,-0.42,4806,113.15,19
2005-03-11 00:00:00+00,11.7,11.85,11.7,11.75,0,6346,148.92,22
2005-03-14 00:00:00+00,11.7,11.7,11.6,11.65,-0.85,9130,212.41,28
2005-03-15 00:00:00+00,11.5,11.65,11.2,11.35,-2.58,15473,349.93,51
2005-03-16 00:00:00+00,11.5,11.6,11.1,11.4,0.44,23417,529.3,69
2005-03-17 00:00:00+00,11.25,11.35,11.1,11.3,-0.88,11531,259.12,37
2005-03-18 00:00:00+00,11.35,11.35,11.15,11.35,0.44,4336,97.51,22
2005-03-21 00:00:00+00,11.25,11.3,10.8,10.85,-4.41,18393,406.56,44
2005-03-22 00:00:00+00,10.8,11.1,10.75,10.9,0.46,12450,269.89,55
2005-03-23 00:00:00+00,10.9,10.9,10.7,10.75,-1.38,8863,190.61,27
2005-03-24 00:00:00+00,10.75,11.2,10.7,11.15,3.72,30158,666.07,99
2005-03-29 00:00:00+00,11.2,11.25,11.1,11.15,0,21145,473.15,41
2005-03-30 00:00:00+00,11.05,11.2,11.05,11.15,0,6490,144.51,21
2005-03-31 00:00:00+00,11.15,11.25,11.15,11.2,0.45,11386,254.87,34
2005-04-01 00:00:00+00,11.25,11.25,11.15,11.25,0.45,2670,59.74,16
2005-04-04 00:00:00+00,11,11.15,11,11.15,-0.89,8859,195.92,24
2005-04-05 00:00:00+00,11.05,11.1,10.95,11.05,-0.9,7538,165.94,29
2005-04-06 00:00:00+00,11.05,11.15,11,11.1,0.45,22694,502.47,47
2005-04-07 00:00:00+00,11.75,11.75,11.4,11.6,4.5,60982,1411.23,200
2005-04-11 00:00:00+00,11.65,11.7,11.45,11.5,-0.86,14233,327.66,68
2005-04-12 00:00:00+00,11.45,11.45,11.25,11.35,-1.3,7137,161.41,51
2005-04-13 00:00:00+00,11.25,11.35,11.1,11.15,-1.76,19116,428.88,55
2005-04-14 00:00:00+00,11.25,11.25,11.1,11.2,0.45,10911,243.99,33
2005-04-15 00:00:00+00,11,11.3,10.8,11,-1.79,40629,898.77,89
