date,open,high,low,close,difference,volume,turnover,transactions
2007-12-13 00:00:00+00,30,53,30,37.2,46.63,48912,3948.5,514
2007-12-14 00:00:00+00,40.5,40.5,31.55,33.9,-8.87,42874,2985.19,554
2007-12-17 00:00:00+00,32,32.5,28.85,29.3,-13.57,14478,870.81,274
2007-12-18 00:00:00+00,29.3,31.48,27.8,29.69,1.33,5382,317.11,105
2007-12-19 00:00:00+00,30.5,36,30,34.9,17.55,13464,883.34,183
2007-12-20 00:00:00+00,36.66,37.5,31,31,-11.17,23613,1591.14,208
2007-12-21 00:00:00+00,33.5,33.5,31,32.35,4.35,3407,220.42,61
2007-12-27 00:00:00+00,30.61,33,29.5,30.48,-5.78,5904,359.61,98
2007-12-28 00:00:00+00,30,30,29.23,29.89,-1.94,3985,234.15,52
2008-01-02 00:00:00+00,32,32,28.3,29,-2.98,2894,166.94,34
2008-01-03 00:00:00+00,27.8,29.6,27.01,27.99,-3.48,2352,130.11,52
2008-01-04 00:00:00+00,27.5,27.89,26.05,27,-3.54,6564,351.44,87
2008-01-07 00:00:00+00,25.52,26.65,25.5,26.65,-1.3,3130,161.96,40
2008-01-08 00:00:00+00,25.71,27,25.15,27,1.31,1092,56.76,29
2008-01-09 00:00:00+00,25.2,26.5,24.51,25.58,-5.26,2459,124.48,40
2008-01-10 00:00:00+00,24.66,24.66,23.37,24.35,-4.81,1741,83.73,34
2008-01-11 00:00:00+00,22.31,23.49,22.31,22.75,-6.57,1766,80.61,49
2008-01-14 00:00:00+00,22.55,22.55,20.5,21,-7.69,1576,66.79,34
2008-01-15 00:00:00+00,21,21.5,20.8,21.5,2.38,1395,58.61,18
2008-01-16 00:00:00+00,18.5,20,18.25,19,-11.63,2901,110.34,46
2008-01-17 00:00:00+00,19.29,21,19,19.5,2.63,2778,109.26,43
2008-01-18 00:00:00+00,19.5,19.8,18.42,19.4,-0.51,1992,76.54,21
2008-01-21 00:00:00+00,19.29,19.29,17.6,18.09,-6.75,2239,80.66,35
2008-01-22 00:00:00+00,17.5,18.8,17.5,18.8,3.92,4061,144.15,33
2008-01-23 00:00:00+00,17.91,19.24,17.91,19.24,2.34,891,32.91,16
2008-01-24 00:00:00+00,20,20.98,19.1,20.19,4.94,841,33.57,21
2008-01-25 00:00:00+00,20.47,20.48,20.1,20.2,0.05,775,31.41,14
2008-01-28 00:00:00+00,20.46,20.46,19,20.44,1.19,300,11.98,6
2008-01-29 00:00:00+00,21.55,21.55,19.01,19.3,-5.58,292,11.34,11
2008-01-30 00:00:00+00,20.88,20.88,19.21,19.21,-0.47,742,30.34,11
2008-01-31 00:00:00+00,19.25,19.35,18.41,19,-1.09,822,31.26,15
2008-02-01 00:00:00+00,19.2,20.39,19.2,19.45,2.37,493,19.14,9
2008-02-04 00:00:00+00,20.1,20.58,19.6,19.99,2.78,914,36.85,11
2008-02-05 00:00:00+00,19.6,20.2,19.36,19.5,-2.45,7507,293.47,15
2008-02-06 00:00:00+00,18.75,19.35,18.71,19.1,-2.05,447,16.81,9
2008-02-07 00:00:00+00,19,19,19,19,-0.52,2542,96.6,9
2008-02-08 00:00:00+00,19.1,19.5,19.1,19.5,2.63,715,27.73,5
2008-02-11 00:00:00+00,19.8,19.8,19.08,19.8,1.54,256,9.87,6
2008-02-12 00:00:00+00,19.21,20.2,19.21,20.2,2.02,2531,98.06,10
2008-02-13 00:00:00+00,19.5,19.99,19.5,19.5,-3.47,893,34.93,6
2008-02-14 00:00:00+00,19.5,20.2,19.5,20.1,3.08,1488,58.2,12
2008-02-15 00:00:00+00,19.85,19.85,19.7,19.7,-1.99,75,2.97,3
2008-02-18 00:00:00+00,19.21,20.1,19.21,20.1,2.03,260,10.35,3
2008-02-19 00:00:00+00,19.99,20,19.47,20,-0.5,461,18.02,4
2008-02-20 00:00:00+00,19.5,19.5,19.11,19.5,-2.5,2691,104.88,7
2008-02-21 00:00:00+00,20,20.5,20,20.5,5.13,141,5.67,6
2008-02-22 00:00:00+00,19.55,20,19.55,20,-2.44,227,8.89,2
2008-02-25 00:00:00+00,20.83,20.83,20.83,20.83,4.15,1,0.04,1
2008-02-26 00:00:00+00,20.5,20.5,19.5,19.5,-6.39,810,31.78,10
2008-02-27 00:00:00+00,19.5,19.5,19.49,19.49,-0.05,701,27.33,2
2008-02-28 00:00:00+00,20,20,19.06,19.06,-2.21,26,0.99,2
2008-02-29 00:00:00+00,19.1,19.1,18.7,18.7,-1.89,140,5.34,3
2008-03-03 00:00:00+00,18.7,18.7,16.26,17,-9.09,462,15.82,13
2008-03-04 00:00:00+00,17.63,17.9,17.63,17.9,5.29,111,3.96,2
2008-03-05 00:00:00+00,18.49,18.49,18.4,18.4,2.79,15,0.55,2
2008-03-06 00:00:00+00,18.9,18.9,18,18.5,0.54,63,2.32,4
2008-03-07 00:00:00+00,18,18.5,18,18.5,0,609,22.03,5
2008-03-10 00:00:00+00,20.2,20.2,18.03,18.03,-2.54,258,9.34,5
2008-03-11 00:00:00+00,19.8,19.8,19.79,19.79,9.76,106,4.2,3
2008-03-12 00:00:00+00,20,20,19.3,19.3,-2.48,66,2.55,2
2008-03-13 00:00:00+00,18.4,18.4,18.4,18.4,-4.66,50,1.84,2
2008-03-14 00:00:00+00,18.1,19.5,17.1,19.48,5.87,302,10.93,6
2008-03-17 00:00:00+00,18.2,19.95,18.05,19.95,2.41,206,7.54,7
2008-03-18 00:00:00+00,19.98,19.98,18.6,18.6,-6.77,31,1.16,2
2008-03-19 00:00:00+00,18.6,19,18.15,19,2.15,382,14.12,11
2008-03-20 00:00:00+00,19,19,18.8,19,0,221,8.37,5
2008-03-25 00:00:00+00,20,20,19.05,19.8,4.21,91,3.52,4
2008-03-26 00:00:00+00,19.8,19.9,19.1,19.9,0.51,254,10.04,9
2008-03-27 00:00:00+00,18.02,19.8,18.01,19.8,-0.5,407,15.01,10
2008-03-28 00:00:00+00,18.3,19.7,18.1,18.52,-6.46,202,7.41,9
2008-03-31 00:00:00+00,18.7,18.95,18.54,18.54,0.11,186,6.95,7
2008-04-01 00:00:00+00,18.73,18.86,18.73,18.86,1.73,178,6.7,2
2008-04-02 00:00:00+00,18.86,19.2,18.11,19.14,1.48,283,10.41,7
2008-04-03 00:00:00+00,19.05,19.05,19.05,19.05,-0.47,2,0.08,2
2008-04-04 00:00:00+00,18.9,19.15,18.1,19.15,0.52,142,5.18,9
2008-04-07 00:00:00+00,18.1,18.92,18.1,18.92,-1.2,72,2.61,2
2008-04-08 00:00:00+00,17.53,18,17.53,18,-4.86,225,8.07,7
2008-04-09 00:00:00+00,18.75,18.76,18.75,18.76,4.22,89,3.34,3
2008-04-10 00:00:00+00,0,0,0,18.76,0,0,0,0
2008-04-11 00:00:00+00,0,0,0,18.76,0,0,0,0
2008-04-14 00:00:00+00,17.1,17.4,17,17.4,-7.25,505,17.39,10
2008-04-15 00:00:00+00,17.3,17.3,17,17,-2.3,120,4.09,2
2008-04-16 00:00:00+00,16.3,16.3,16,16,-5.88,230,7.46,3
2008-04-17 00:00:00+00,0,0,0,16,0,0,0,0
2008-04-18 00:00:00+00,17.3,17.3,15.1,15.15,-5.31,818,25.29,18
2008-04-21 00:00:00+00,16,16,16,16,5.61,100,3.2,2
2008-04-22 00:00:00+00,0,0,0,16,0,0,0,0
2008-04-23 00:00:00+00,13.7,15.5,13.7,15.5,-3.13,646,19.42,7
2008-04-24 00:00:00+00,15.9,15.9,15.9,15.9,2.58,1,0.03,1
2008-04-25 00:00:00+00,13.6,15.8,13.6,15.8,-0.63,2,0.06,2
2008-04-28 00:00:00+00,0,0,0,15.8,0,0,0,0
