date,open,high,low,close,difference,volume,turnover,transactions
2019-01-23 00:00:00+00,1.61,1.61,1.6,1.6,-0.62,53,0.08,2
2019-01-24 00:00:00+00,1.6,1.6,1.57,1.57,-1.88,10586,16.66,9
2019-01-25 00:00:00+00,1.6,1.6,1.6,1.6,1.91,2,0,1
2019-01-28 00:00:00+00,1.57,1.6,1.57,1.6,0,30,0.05,2
2019-01-29 00:00:00+00,1.6,1.6,1.57,1.6,0,4202,6.6,3
2019-01-30 00:00:00+00,1.6,1.6,1.57,1.6,0,47053,73.87,7
2019-01-31 00:00:00+00,1.6,1.6,1.6,1.6,0,2,0,1
2019-02-01 00:00:00+00,1.6,1.6,1.6,1.6,0,2,0,1
2019-02-04 00:00:00+00,1.6,1.6,1.6,1.6,0,3,0,1
2019-02-05 00:00:00+00,1.6,1.6,1.6,1.6,0,10,0.02,1
2019-02-06 00:00:00+00,1.6,1.61,1.52,1.61,0.63,5315,8.08,4
2019-02-07 00:00:00+00,1.6,1.6,1.6,1.6,-0.62,3,0,1
2019-02-08 00:00:00+00,1.6,1.6,1.6,1.6,0,146,0.23,3
2019-02-11 00:00:00+00,1.52,1.6,1.52,1.6,0,17297,26.29,3
2019-02-12 00:00:00+00,1.6,1.6,1.6,1.6,0,3,0,1
2019-02-13 00:00:00+00,1.6,1.6,1.6,1.6,0,34,0.05,1
2019-02-14 00:00:00+00,1.6,1.6,1.6,1.6,0,3,0,1
2019-02-15 00:00:00+00,1.6,1.6,1.52,1.6,0,509,0.77,6
2019-02-18 00:00:00+00,1.6,1.6,1.52,1.6,0,349,0.53,3
2019-02-19 00:00:00+00,1.6,1.6,1.6,1.6,0,7,0.01,1
2019-02-20 00:00:00+00,1.6,1.6,1.56,1.56,-2.5,5007,7.81,2
2019-02-21 00:00:00+00,1.6,1.6,1.6,1.6,2.56,10,0.02,1
2019-02-22 00:00:00+00,1.6,1.6,1.6,1.6,0,8,0.01,1
2019-02-25 00:00:00+00,1.6,1.6,1.6,1.6,0,7,0.01,1
2019-02-26 00:00:00+00,1.6,1.6,1.6,1.6,0,9,0.01,1
2019-02-27 00:00:00+00,1.6,1.6,1.6,1.6,0,9,0.01,1
2019-02-28 00:00:00+00,1.6,1.6,1.6,1.6,0,7,0.01,1
2019-03-01 00:00:00+00,1.6,1.6,1.52,1.52,-5,3112,4.97,5
2019-03-04 00:00:00+00,1.61,1.61,1.61,1.61,5.92,16,0.03,2
2019-03-05 00:00:00+00,1.52,1.52,1.52,1.52,-5.59,213,0.32,2
2019-03-06 00:00:00+00,1.55,1.55,1.55,1.55,1.97,5,0.01,1
2019-03-07 00:00:00+00,0,0,0,1.55,0,0,0,0
2019-03-08 00:00:00+00,0,0,0,1.55,0,0,0,0
2019-03-11 00:00:00+00,0,0,0,1.55,0,0,0,0
2019-03-12 00:00:00+00,0,0,0,1.55,0,0,0,0
2019-03-13 00:00:00+00,0,0,0,1.55,0,0,0,0
2019-03-14 00:00:00+00,1.58,1.58,1.58,1.58,1.94,23000,36.34,2
2019-03-15 00:00:00+00,1.61,1.61,1.58,1.58,0,18797,29.7,5
2019-03-18 00:00:00+00,0,0,0,1.58,0,0,0,0
2019-03-19 00:00:00+00,1.58,1.58,1.575,1.575,-0.32,12149,19.14,11
2019-03-20 00:00:00+00,1.575,1.575,1.575,1.575,0,13,0.02,1
2019-03-21 00:00:00+00,1.61,1.61,1.575,1.575,0,1409,2.27,3
2019-03-22 00:00:00+00,1.575,1.58,1.575,1.58,0.32,118,0.19,2
2019-03-25 00:00:00+00,1.575,1.575,1.575,1.575,-0.32,1000,1.58,1
2019-03-26 00:00:00+00,0,0,0,1.575,0,0,0,0
2019-03-27 00:00:00+00,0,0,0,1.575,0,0,0,0
2019-03-28 00:00:00+00,0,0,0,1.575,0,0,0,0
2019-03-29 00:00:00+00,1.59,1.59,1.59,1.59,0.95,10,0.02,1
2019-04-01 00:00:00+00,1.59,1.59,1.59,1.59,0,10045,15.97,4
2019-04-02 00:00:00+00,1.57,1.59,1.57,1.59,0,135,0.21,2
2019-04-03 00:00:00+00,1.59,1.59,1.59,1.59,0,40,0.06,2
2019-04-04 00:00:00+00,1.59,1.59,1.59,1.59,0,15,0.02,1
2019-04-05 00:00:00+00,1.59,1.59,1.59,1.59,0,7,0.01,1
2019-04-08 00:00:00+00,1.59,1.59,1.53,1.53,-3.77,2665,4.08,4
2019-04-09 00:00:00+00,1.58,1.58,1.56,1.58,3.27,3251,5.1,3
2019-04-10 00:00:00+00,1.59,1.59,1.59,1.59,0.63,260,0.41,3
2019-04-11 00:00:00+00,0,0,0,1.59,0,0,0,0
2019-04-12 00:00:00+00,0,0,0,1.59,0,0,0,0
2019-04-15 00:00:00+00,1.58,1.58,1.58,1.58,-0.63,838,1.32,2
2019-04-16 00:00:00+00,1.58,1.58,1.58,1.58,0,3520,5.56,3
2019-04-17 00:00:00+00,1.58,1.6,1.58,1.6,1.27,367,0.59,2
2019-04-18 00:00:00+00,0,0,0,1.6,0,0,0,0
2019-04-23 00:00:00+00,1.6,1.6,1.6,1.6,0,10,0.02,1
2019-04-24 00:00:00+00,0,0,0,1.6,0,0,0,0
2019-04-25 00:00:00+00,1.6,1.6,1.6,1.6,0,6,0.01,1
2019-04-26 00:00:00+00,1.6,1.6,1.6,1.6,0,7,0.01,1
2019-04-29 00:00:00+00,1.58,1.58,1.58,1.58,-1.25,357,0.56,1
2019-04-30 00:00:00+00,1.58,1.6,1.58,1.6,1.27,2456,3.93,4
2019-05-02 00:00:00+00,1.58,1.58,1.58,1.58,-1.25,359,0.57,1
2019-05-06 00:00:00+00,1.58,1.58,1.58,1.58,0,1316,2.08,1
2019-05-07 00:00:00+00,0,0,0,1.58,0,0,0,0
2019-05-08 00:00:00+00,1.58,1.58,1.58,1.58,0,15,0.02,1
2019-05-09 00:00:00+00,1.58,1.58,1.58,1.58,0,10,0.02,1
2019-05-10 00:00:00+00,1.58,1.6,1.58,1.6,1.27,1306,2.09,2
2019-05-13 00:00:00+00,1.59,1.59,1.59,1.59,-0.63,4944,7.86,1
2019-05-14 00:00:00+00,1.58,1.58,1.58,1.58,-0.63,107,0.17,1
2019-05-15 00:00:00+00,0,0,0,1.58,0,0,0,0
2019-05-16 00:00:00+00,0,0,0,1.58,0,0,0,0
2019-05-17 00:00:00+00,1.65,1.65,1.65,1.65,4.43,133,0.22,1
2019-05-20 00:00:00+00,1.65,1.65,1.65,1.65,0,18,0.03,1
2019-05-21 00:00:00+00,1.55,1.55,1.55,1.55,-6.06,20,0.03,1
2019-05-22 00:00:00+00,0,0,0,1.55,0,0,0,0
2019-05-23 00:00:00+00,0,0,0,1.55,0,0,0,0
2019-05-24 00:00:00+00,0,0,0,1.55,0,0,0,0
2019-05-27 00:00:00+00,1.55,1.57,1.55,1.55,0,4024,6.3,3
2019-05-28 00:00:00+00,0,0,0,1.55,0,0,0,0
2019-05-29 00:00:00+00,0,0,0,1.55,0,0,0,0
2019-05-30 00:00:00+00,0,0,0,1.55,0,0,0,0
2019-05-31 00:00:00+00,1.65,1.65,1.55,1.55,0,225,0.37,2
2019-06-03 00:00:00+00,1.55,1.55,1.55,1.55,0,200,0.31,1
2019-06-04 00:00:00+00,1.56,1.56,1.56,1.56,0.65,315,0.49,3
2019-06-05 00:00:00+00,1.56,1.56,1.56,1.56,0,10,0.02,1
2019-06-06 00:00:00+00,1.56,1.56,1.56,1.56,0,200,0.31,1
2019-06-07 00:00:00+00,1.56,1.6,1.55,1.6,2.56,3951,6.2,4
2019-06-10 00:00:00+00,1.63,1.73,1.6,1.6,0,9628,16.08,8
2019-06-11 00:00:00+00,1.64,1.64,1.64,1.64,2.5,200,0.33,1
2019-06-12 00:00:00+00,0,0,0,1.64,0,0,0,0
