date,open,high,low,close,difference,volume,turnover,transactions
2010-12-06 00:00:00+00,1.73,1.87,1.73,1.86,0,2834,10.47,5
2010-12-07 00:00:00+00,1.87,1.89,1.74,1.89,1.61,36489,137.05,34
2010-12-08 00:00:00+00,1.84,1.88,1.79,1.88,-0.53,17994,66.78,16
2010-12-09 00:00:00+00,1.85,1.85,1.8,1.84,-2.13,9656,35.63,5
2010-12-10 00:00:00+00,1.85,1.85,1.8,1.8,-2.17,3102,11.19,11
2010-12-13 00:00:00+00,1.86,1.86,1.78,1.84,2.22,18746,68.41,13
2010-12-14 00:00:00+00,1.78,1.86,1.78,1.85,0.54,22079,81.8,11
2010-12-15 00:00:00+00,1.84,1.86,1.79,1.85,0,17038,62.19,19
2010-12-16 00:00:00+00,1.84,1.85,1.8,1.85,0,442009,1591.82,22
2010-12-17 00:00:00+00,1.8,1.81,1.79,1.81,-2.16,2760,9.92,6
2010-12-20 00:00:00+00,1.79,1.8,1.78,1.78,-1.66,4619,16.48,11
2010-12-21 00:00:00+00,1.77,1.77,1.75,1.75,-1.69,7255,25.47,18
2010-12-22 00:00:00+00,1.75,1.75,1.71,1.75,0,13854,48.32,19
2010-12-23 00:00:00+00,1.74,1.75,1.73,1.75,0,2508,8.7,5
2010-12-27 00:00:00+00,1.74,1.74,1.71,1.71,-2.29,8425,29.08,22
2010-12-28 00:00:00+00,1.7,1.7,1.66,1.7,-0.58,80828,272.5,54
2010-12-29 00:00:00+00,1.67,1.79,1.67,1.79,5.29,38699,132.84,30
2010-12-30 00:00:00+00,1.78,1.79,1.74,1.77,-1.12,49397,174.75,23
2010-12-31 00:00:00+00,1.74,1.8,1.74,1.8,1.69,62969,224.4,23
2011-01-03 00:00:00+00,1.86,1.86,1.81,1.86,3.33,37662,69.37,16
2011-01-04 00:00:00+00,1.86,1.86,1.85,1.86,0,4186,7.77,7
2011-01-05 00:00:00+00,1.85,1.86,1.84,1.86,0,41964,77.63,18
2011-01-07 00:00:00+00,1.79,1.85,1.79,1.83,-1.61,8447,15.35,13
2011-01-10 00:00:00+00,1.85,1.85,1.78,1.83,0,9041,16.28,12
2011-01-11 00:00:00+00,1.8,1.86,1.8,1.85,1.09,1013287,1833.75,122
2011-01-12 00:00:00+00,1.86,1.89,1.8,1.82,-1.62,660632,1236.21,158
2011-01-13 00:00:00+00,1.86,1.89,1.81,1.88,3.3,697149,1281.89,83
2011-01-14 00:00:00+00,1.89,1.9,1.86,1.89,0.53,63930,120.6,58
2011-01-17 00:00:00+00,1.9,1.9,1.87,1.89,0,56486,106.53,40
2011-01-18 00:00:00+00,1.89,1.97,1.86,1.94,2.65,155391,299.33,116
2011-01-19 00:00:00+00,1.94,1.96,1.89,1.89,-2.58,48323,93.24,53
2011-01-20 00:00:00+00,1.9,1.92,1.89,1.89,0,32954,62.8,31
2011-01-21 00:00:00+00,1.89,1.9,1.87,1.87,-1.06,42305,79.52,26
2011-01-24 00:00:00+00,1.88,1.88,1.83,1.86,-0.53,38920,71.97,30
2011-01-25 00:00:00+00,1.83,1.84,1.81,1.84,-1.08,7699,14.09,14
2011-01-26 00:00:00+00,1.82,1.9,1.82,1.9,3.26,55616,104.37,28
2011-01-27 00:00:00+00,1.92,1.92,1.84,1.85,-2.63,10185,19.39,12
2011-01-28 00:00:00+00,1.89,1.89,1.85,1.85,0,1010,1.87,4
2011-01-31 00:00:00+00,1.81,1.81,1.7,1.8,-2.7,36917,64.6,37
2011-02-01 00:00:00+00,1.78,1.82,1.75,1.82,1.11,22943,40.57,42
2011-02-02 00:00:00+00,1.8,1.8,1.75,1.8,-1.1,21639,38.7,27
2011-02-03 00:00:00+00,1.78,1.83,1.78,1.83,1.67,45815,82.37,25
2011-02-04 00:00:00+00,1.85,1.93,1.84,1.86,1.64,85223,161.26,83
2011-02-07 00:00:00+00,1.86,1.9,1.86,1.89,1.61,4827,9.13,10
2011-02-08 00:00:00+00,1.85,1.89,1.85,1.89,0,3402,6.29,5
2011-02-09 00:00:00+00,1.84,1.86,1.82,1.85,-2.12,12662,23.35,13
2011-02-10 00:00:00+00,1.84,1.86,1.83,1.85,0,1495,2.76,7
2011-02-11 00:00:00+00,1.85,1.87,1.85,1.87,1.08,2564,4.75,6
2011-02-14 00:00:00+00,1.89,1.89,1.83,1.83,-2.14,5531,10.24,5
2011-02-15 00:00:00+00,1.86,1.9,1.85,1.9,3.83,331808,630.21,34
2011-02-16 00:00:00+00,1.9,1.9,1.85,1.89,-0.53,11344,21.35,12
2011-02-17 00:00:00+00,1.89,1.89,1.84,1.84,-2.65,49532,91.74,20
2011-02-18 00:00:00+00,1.83,1.87,1.83,1.86,1.09,56239,104.59,23
2011-02-21 00:00:00+00,1.84,1.86,1.84,1.84,-1.08,3799,7.02,9
2011-02-22 00:00:00+00,1.84,1.86,1.84,1.86,1.09,24904,46.25,16
2011-02-23 00:00:00+00,1.86,1.86,1.86,1.86,0,815,1.52,4
2011-02-24 00:00:00+00,1.85,1.85,1.83,1.83,-1.61,950,1.75,4
2011-02-25 00:00:00+00,1.82,1.87,1.82,1.84,0.55,2320,4.26,9
2011-02-28 00:00:00+00,1.83,1.85,1.82,1.82,-1.09,5737,10.51,7
2011-03-01 00:00:00+00,1.81,1.82,1.81,1.82,0,1432,2.6,5
2011-03-02 00:00:00+00,1.81,1.83,1.79,1.83,0.55,6572,11.81,9
2011-03-03 00:00:00+00,1.8,1.82,1.8,1.82,-0.55,5020,9.07,7
2011-03-04 00:00:00+00,1.8,1.85,1.79,1.85,1.65,32304,58.76,34
2011-03-07 00:00:00+00,1.82,1.82,1.81,1.82,-1.62,3954,7.19,8
2011-03-08 00:00:00+00,1.81,1.82,1.8,1.81,-0.55,2587,4.68,9
2011-03-09 00:00:00+00,1.83,1.83,1.8,1.81,0,2482,4.47,11
2011-03-10 00:00:00+00,1.84,1.84,1.8,1.8,-0.55,5014,9.05,9
2011-03-11 00:00:00+00,1.82,1.82,1.8,1.8,0,2879,5.2,10
2011-03-14 00:00:00+00,1.8,1.81,1.8,1.81,0.56,12764,23.04,12
2011-03-15 00:00:00+00,1.8,1.8,1.72,1.8,-0.55,21309,37.72,19
2011-03-16 00:00:00+00,1.8,1.82,1.8,1.8,0,7468,13.45,12
2011-03-17 00:00:00+00,1.88,1.88,1.83,1.85,2.78,25370,47.04,35
2011-03-18 00:00:00+00,1.85,1.88,1.85,1.87,1.08,52367,97.18,16
2011-03-21 00:00:00+00,1.87,1.9,1.87,1.9,1.6,115718,217.98,37
2011-03-22 00:00:00+00,1.9,1.92,1.88,1.92,1.05,81647,154.35,34
2011-03-23 00:00:00+00,1.9,1.95,1.89,1.95,1.56,43808,84.64,41
2011-03-24 00:00:00+00,1.92,1.97,1.92,1.97,1.03,94045,182.39,34
2011-03-25 00:00:00+00,1.96,2.02,1.96,2.02,2.54,109155,217.55,74
2011-03-28 00:00:00+00,2.02,2.05,1.99,2.05,1.49,78789,159.7,62
2011-03-29 00:00:00+00,2.04,2.05,2.03,2.05,0,18700,38.28,17
2011-03-30 00:00:00+00,2.04,2.08,2.01,2.08,1.46,145436,300.57,68
2011-03-31 00:00:00+00,2.08,2.08,2.03,2.06,-0.96,222056,457.43,21
2011-04-01 00:00:00+00,2.02,2.05,2,2.05,-0.49,225884,461.83,32
2011-04-04 00:00:00+00,2.01,2.05,2.01,2.05,0,25601,52.07,22
2011-04-05 00:00:00+00,2.02,2.04,2,2.03,-0.98,343789,697.71,22
2011-04-06 00:00:00+00,2.02,2.04,2.02,2.04,0.49,256874,521.62,33
2011-04-07 00:00:00+00,2.04,2.05,2.03,2.05,0.49,27826,56.74,13
2011-04-08 00:00:00+00,2.05,2.06,2.04,2.05,0,284825,583.26,28
2011-04-11 00:00:00+00,2.04,2.06,2.04,2.06,0.49,111727,229.11,11
2011-04-12 00:00:00+00,2.02,2.06,2.02,2.05,-0.49,149127,305.71,13
2011-04-13 00:00:00+00,2.03,2.05,2.03,2.05,0,107175,219.64,8
2011-04-14 00:00:00+00,2.05,2.06,2.03,2.06,0.49,127795,261.98,34
2011-04-15 00:00:00+00,2.06,2.13,2.05,2.13,3.4,117854,247.49,81
2011-04-18 00:00:00+00,2.14,2.14,2.07,2.07,-2.82,23092,49.16,25
2011-04-19 00:00:00+00,2.08,2.08,2.07,2.07,0,251890,523.91,4
2011-04-20 00:00:00+00,2.06,2.12,2.06,2.1,1.45,17130,35.82,17
2011-04-21 00:00:00+00,2.1,2.12,2.06,2.06,-1.9,93445,196.2,30
2011-04-26 00:00:00+00,2.04,2.04,2.04,2.04,-0.97,7225,14.74,7
2011-04-27 00:00:00+00,2.04,2.06,2.04,2.04,0,108153,220.65,14
2011-04-28 00:00:00+00,2.05,2.06,2.05,2.06,0.98,1827,3.75,6
2011-04-29 00:00:00+00,2.05,2.06,2.04,2.06,0,4958,10.18,7
2011-05-02 00:00:00+00,2,2.1,2,2.1,1.94,25767,53.32,27
2011-05-04 00:00:00+00,2.05,2.1,2.05,2.1,0,6311,13.22,7
2011-05-05 00:00:00+00,2.05,2.07,2.05,2.07,-1.43,24667,51.04,11
2011-05-06 00:00:00+00,2.07,2.09,2.06,2.09,0.97,403301,842.86,10
2011-05-09 00:00:00+00,2.02,2.03,2.02,2.03,-2.87,2445,4.96,6
2011-05-10 00:00:00+00,2.03,2.03,2.02,2.02,-0.49,796,1.61,2
2011-05-11 00:00:00+00,2.03,2.03,2.03,2.03,0.5,1714,3.48,4
2011-05-12 00:00:00+00,2.02,2.05,2,2.05,0.99,4615,9.28,9
2011-05-13 00:00:00+00,1.98,2.01,1.98,1.99,-2.93,13043,26,16
2011-05-16 00:00:00+00,1.98,1.98,1.88,1.94,-2.51,23152,44.78,26
2011-05-17 00:00:00+00,1.94,1.94,1.89,1.89,-2.58,6457,12.23,8
2011-05-18 00:00:00+00,1.87,1.87,1.8,1.82,-3.7,124065,225.72,59
2011-05-19 00:00:00+00,1.84,1.84,1.79,1.79,-1.65,5118,9.2,10
2011-05-20 00:00:00+00,1.8,1.9,1.8,1.89,5.59,257813,476.82,39
2011-05-23 00:00:00+00,1.85,1.96,1.8,1.96,3.7,85464,159.96,43
2011-05-24 00:00:00+00,1.96,2.06,1.96,2.03,3.57,82421,167.55,64
2011-05-25 00:00:00+00,1.98,1.98,1.85,1.85,-8.87,6389,12.34,9
2011-05-26 00:00:00+00,1.88,1.92,1.87,1.87,1.08,2337,4.43,6
2011-05-27 00:00:00+00,1.91,1.95,1.91,1.91,2.14,2620,5.03,6
