date,open,high,low,close,difference,volume,turnover,transactions
2007-11-05 00:00:00+00,5.75,5.77,5.21,5.7,-0.87,938881,10650.8,222
2007-11-06 00:00:00+00,5.69,5.75,5.6,5.75,0.88,1331539,15243.34,41
2007-11-07 00:00:00+00,5.75,5.75,5.6,5.6,-2.61,524515,6029.23,22
2007-11-08 00:00:00+00,5.6,5.6,5.5,5.55,-0.89,42536,469.82,28
2007-11-09 00:00:00+00,5.55,5.7,5.55,5.55,0,12155,136.41,14
2007-11-12 00:00:00+00,5.55,5.69,5.55,5.55,0,305894,3396.21,9
2007-11-13 00:00:00+00,5.6,5.65,5.5,5.65,1.8,507876,5587.33,14
2007-11-14 00:00:00+00,5.65,5.65,5.6,5.6,-0.88,5753,64.69,12
2007-11-15 00:00:00+00,5.6,5.6,5.5,5.5,-1.79,308008,3388.09,6
2007-11-16 00:00:00+00,5.5,5.5,5.3,5.3,-3.64,4150,44.51,4
2007-11-19 00:00:00+00,5.25,5.25,5,5.2,-1.89,298548,3080.3,29
2007-11-20 00:00:00+00,5.1,5.1,5,5.05,-2.88,313393,3135.07,11
2007-11-21 00:00:00+00,5.05,5.05,4.95,5,-0.99,1204150,12041.45,34
2007-11-22 00:00:00+00,5,5.15,4.9,5.15,3,796272,7955.85,54
2007-11-23 00:00:00+00,5.2,5.2,5,5,-2.91,756580,7566,45
2007-11-26 00:00:00+00,5,5,4.85,4.85,-3,20228,197.31,7
2007-11-27 00:00:00+00,4.95,4.95,4.85,4.85,0,281267,2728.9,17
2007-11-28 00:00:00+00,4.85,4.9,4.8,4.85,0,259400,2511.08,15
2007-11-29 00:00:00+00,4.9,4.95,4.9,4.95,2.06,154325,1527.74,12
2007-11-30 00:00:00+00,4.9,4.96,4.85,4.95,0,225700,2233.56,14
2007-12-03 00:00:00+00,4.9,4.9,4.9,4.9,-1.01,1100,10.78,3
2007-12-04 00:00:00+00,4.9,4.94,4.9,4.94,0.82,406301,4013.08,7
2007-12-05 00:00:00+00,4.95,5.25,4.95,5.25,6.28,1235600,12568.42,23
2007-12-06 00:00:00+00,5.25,5.25,5.25,5.25,0,1276,13.4,5
2007-12-07 00:00:00+00,5.29,5.29,5.2,5.2,-0.95,403573,4237.49,13
2007-12-10 00:00:00+00,5.1,5.15,4.86,4.86,-6.54,46208,469.49,6
2007-12-11 00:00:00+00,4.9,4.95,4.89,4.95,1.85,138500,1358.39,12
2007-12-12 00:00:00+00,5.1,5.1,5.09,5.1,3.03,145359,1481.88,12
2007-12-13 00:00:00+00,5.2,5.25,5.1,5.1,0,12860,133.61,7
2007-12-14 00:00:00+00,5.2,5.2,5.01,5.01,-1.76,895,8.97,3
2007-12-17 00:00:00+00,4.95,5.01,4.9,4.94,-1.4,256229,2566.45,5
2007-12-18 00:00:00+00,5,5,4.9,4.9,-0.81,18300,180.12,9
2007-12-19 00:00:00+00,4.86,4.86,4.81,4.81,-1.84,7869,76.37,7
2007-12-20 00:00:00+00,4.9,4.9,4.81,4.81,0,116307,1139.72,2
2007-12-21 00:00:00+00,4.89,4.89,4.6,4.6,-4.37,110035,1052.4,16
2007-12-27 00:00:00+00,4.75,4.75,4.4,4.5,-2.17,5372,48.75,12
2007-12-28 00:00:00+00,4.5,4.94,4.4,4.85,7.78,27827,255.85,30
2008-01-02 00:00:00+00,4.9,4.9,4.72,4.72,-2.68,500,4.72,2
2008-01-03 00:00:00+00,4.9,4.9,4.88,4.9,3.81,1055,10.32,3
2008-01-04 00:00:00+00,4.9,4.9,4.82,4.82,-1.63,1493,14.48,8
2008-01-07 00:00:00+00,4.86,4.95,4.65,4.65,-3.53,2575,24.66,5
2008-01-08 00:00:00+00,4.62,4.7,4.62,4.7,1.08,178,1.65,2
2008-01-09 00:00:00+00,4.62,4.74,4.6,4.6,-2.13,2771,25.51,6
2008-01-10 00:00:00+00,4.7,4.7,4.3,4.5,-2.17,3506,31.16,4
2008-01-11 00:00:00+00,4.5,4.5,4.3,4.3,-4.44,2938,25.44,2
2008-01-14 00:00:00+00,4,4,3.75,4,-6.98,59500,470.86,20
2008-01-15 00:00:00+00,3.85,3.85,3.7,3.85,-3.75,6324,48.56,7
2008-01-16 00:00:00+00,3.85,3.85,3.5,3.7,-3.9,4058,29.52,11
2008-01-17 00:00:00+00,3.5,3.7,3.5,3.7,0,18093,128.85,16
2008-01-18 00:00:00+00,3.5,3.7,3.5,3.65,-1.35,1275076,9307.34,7
2008-01-21 00:00:00+00,0,0,0,3.65,0,0,0,0
2008-01-22 00:00:00+00,3.63,3.7,3.5,3.5,-4.11,8074,56.53,7
2008-01-23 00:00:00+00,3.35,3.5,3.35,3.5,0,46,0.31,2
2008-01-24 00:00:00+00,3.5,3.65,3.49,3.65,4.29,16843,118,12
2008-01-25 00:00:00+00,3.65,3.65,3.6,3.6,-1.37,569,4.1,3
2008-01-28 00:00:00+00,3.65,3.65,3.5,3.5,-2.78,1938,13.61,3
2008-01-29 00:00:00+00,3.55,3.6,3.55,3.6,2.86,1500,10.66,3
2008-01-30 00:00:00+00,3.65,3.65,3.65,3.65,1.39,1050,7.67,2
2008-01-31 00:00:00+00,0,0,0,3.65,0,0,0,0
2008-02-01 00:00:00+00,3.5,3.82,3.47,3.82,4.66,9190,65.77,17
2008-02-04 00:00:00+00,3.88,4.26,3.8,3.96,3.66,264346,2053.3,18
2008-02-05 00:00:00+00,4,4.25,3.99,4.11,3.79,15577,128.16,17
2008-02-06 00:00:00+00,3.96,4,3.85,3.91,-4.87,13750,107.74,12
2008-02-07 00:00:00+00,3.93,4,3.87,4,2.3,4248,33.36,5
2008-02-08 00:00:00+00,3.9,3.95,3.9,3.95,-1.25,4050,31.6,2
2008-02-11 00:00:00+00,3.83,3.83,3.83,3.83,-3.04,943,7.22,2
2008-02-12 00:00:00+00,3.88,3.88,3.83,3.83,0,800,6.18,2
2008-02-13 00:00:00+00,3.9,3.9,3.85,3.85,0.52,301043,2318.09,3
2008-02-14 00:00:00+00,3.8,3.89,3.74,3.8,-1.3,3260,24.59,7
2008-02-15 00:00:00+00,3.65,3.8,3.65,3.8,0,99,0.72,2
2008-02-18 00:00:00+00,3.79,3.79,3.79,3.79,-0.26,258,1.96,1
2008-02-19 00:00:00+00,3.75,3.8,3.7,3.8,0.26,3732,27.84,7
2008-02-20 00:00:00+00,3.73,3.73,3.73,3.73,-1.84,140,1.04,1
2008-02-21 00:00:00+00,3.73,3.73,3.73,3.73,0,4000,29.84,1
2008-02-22 00:00:00+00,0,0,0,3.73,0,0,0,0
2008-02-25 00:00:00+00,0,0,0,3.73,0,0,0,0
2008-02-26 00:00:00+00,0,0,0,3.73,0,0,0,0
2008-02-27 00:00:00+00,3.8,3.8,3.8,3.8,1.88,90,0.68,3
2008-02-28 00:00:00+00,3.71,3.71,3.51,3.51,-7.63,12250,87.97,12
2008-02-29 00:00:00+00,3.55,3.55,3.54,3.54,0.85,4380,31.01,6
2008-03-03 00:00:00+00,3.57,3.6,3.5,3.54,0,47088,333.81,15
2008-03-04 00:00:00+00,3.6,3.6,3.6,3.6,1.69,400,2.88,1
2008-03-05 00:00:00+00,3.6,3.6,3.5,3.6,0,2810,19.75,3
2008-03-06 00:00:00+00,3.58,3.58,3.58,3.58,-0.56,100,0.72,1
2008-03-07 00:00:00+00,3.58,3.58,3.52,3.52,-1.68,4142,29.18,2
2008-03-10 00:00:00+00,3.51,3.51,3.45,3.45,-1.99,4800,33.16,3
2008-03-11 00:00:00+00,3.42,3.42,3.41,3.41,-1.16,6100,41.7,5
2008-03-12 00:00:00+00,3.41,3.5,3.41,3.5,2.64,6610,45.33,12
2008-03-13 00:00:00+00,3.54,3.6,3.42,3.54,1.14,13020,91.53,8
2008-03-14 00:00:00+00,3.54,3.54,3.54,3.54,0,700,4.96,1
2008-03-17 00:00:00+00,3.48,3.52,3.45,3.52,-0.56,2457,17.17,7
2008-03-18 00:00:00+00,3.5,3.58,3.36,3.36,-4.55,11818,81.05,8
2008-03-19 00:00:00+00,3.38,3.4,3.37,3.4,1.19,56224,379.25,7
2008-03-20 00:00:00+00,3.41,3.41,3.41,3.41,0.29,38,0.26,2
2008-03-25 00:00:00+00,3.4,3.47,3.35,3.47,1.76,3140,21.42,10
2008-03-26 00:00:00+00,3.52,3.52,3.35,3.35,-3.46,5489,37.2,6
2008-03-27 00:00:00+00,3.3,3.3,3.25,3.25,-2.99,106100,700.11,8
2008-03-28 00:00:00+00,3.25,3.25,3.21,3.21,-1.23,4200,27.01,5
2008-03-31 00:00:00+00,3.22,3.22,3.09,3.09,-3.74,5024,31.33,6
2008-04-01 00:00:00+00,3.15,3.15,3.15,3.15,1.94,2512,15.83,5
2008-04-02 00:00:00+00,3.15,3.33,3.15,3.25,3.17,60172,390.27,18
2008-04-03 00:00:00+00,3.26,3.32,3.26,3.32,2.15,11000,72.35,6
2008-04-04 00:00:00+00,3.32,3.32,3.32,3.32,0,100,0.66,1
2008-04-07 00:00:00+00,3.33,3.33,3.3,3.3,-0.6,7022,46.46,5
2008-04-08 00:00:00+00,3.2,3.2,3.2,3.2,-3.03,5005,32.03,2
2008-04-09 00:00:00+00,3.19,3.19,3.1,3.18,-0.63,1820,11.34,5
2008-04-10 00:00:00+00,3.18,3.18,3.18,3.18,0,10,0.06,1
2008-04-11 00:00:00+00,3.09,3.11,3.05,3.11,-2.2,4475,27.65,7
2008-04-14 00:00:00+00,3.06,3.06,2.8,2.8,-9.97,6556,39.1,7
2008-04-15 00:00:00+00,2.75,2.85,2.57,2.75,-1.79,30582,164.04,24
2008-04-16 00:00:00+00,2.79,2.79,2.61,2.61,-5.09,3011,16.17,6
2008-04-17 00:00:00+00,2.61,2.75,2.55,2.75,5.36,277783,1425.66,13
2008-04-18 00:00:00+00,2.9,2.9,2.74,2.85,3.64,113973,628.93,24
2008-04-21 00:00:00+00,2.86,2.86,2.85,2.85,0,1766,10.08,4
2008-04-22 00:00:00+00,2.75,2.85,2.72,2.75,-3.51,119655,658.12,27
2008-04-23 00:00:00+00,2.76,2.76,2.75,2.76,0.36,10100,55.74,4
2008-04-24 00:00:00+00,2.75,2.75,2.66,2.67,-3.26,8105,44.09,10
2008-04-25 00:00:00+00,2.75,2.75,2.71,2.73,2.25,210800,1149.4,5
2008-04-28 00:00:00+00,2.84,2.84,2.76,2.76,1.1,11125,62.97,4
2008-04-29 00:00:00+00,2.8,2.8,2.72,2.72,-1.45,5611,30.75,3
2008-04-30 00:00:00+00,2.72,2.72,2.72,2.72,0,10,0.05,1
2008-05-05 00:00:00+00,2.74,2.78,2.74,2.78,2.21,3380,18.72,6
2008-05-06 00:00:00+00,2.8,2.8,2.7,2.71,-2.52,3162,17.39,4
2008-05-07 00:00:00+00,2.77,2.77,2.7,2.76,1.85,910,4.92,3
2008-05-08 00:00:00+00,2.75,2.75,2.75,2.75,-0.36,2923,16.08,2
2008-05-09 00:00:00+00,2.7,2.7,2.7,2.7,-1.82,5600,30.24,2
2008-05-12 00:00:00+00,2.7,2.7,2.65,2.65,-1.85,2846,15.31,7
2008-05-13 00:00:00+00,2.65,2.65,2.65,2.65,0,124,0.66,1
2008-05-14 00:00:00+00,2.7,2.7,2.59,2.59,-2.26,12778,66.97,7
2008-05-15 00:00:00+00,2.59,2.59,2.44,2.47,-4.63,27547,137.34,11
2008-05-16 00:00:00+00,2.5,2.5,2.37,2.44,-1.21,6826,33.1,7
2008-05-19 00:00:00+00,2.48,2.48,2.4,2.4,-1.64,12168,59.24,6
2008-05-20 00:00:00+00,2.4,2.4,2.4,2.4,0,100,0.48,1
2008-05-21 00:00:00+00,2.39,2.39,2.33,2.33,-2.92,5730,26.72,3
2008-05-23 00:00:00+00,2.33,2.33,2.14,2.15,-7.73,24700,108.78,8
2008-05-26 00:00:00+00,2.16,2.16,2.15,2.15,0,32002,137.67,7
2008-05-27 00:00:00+00,2.1,2.1,1.95,2,-6.98,456731,1824.88,21
2008-05-28 00:00:00+00,2.06,2.19,2.05,2.19,9.5,34523,143.79,14
2008-05-29 00:00:00+00,2.21,2.58,2.17,2.58,17.81,30322,137.91,15
