date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,141,141,141,141,0,37,10.43,2
2005-01-04 00:00:00+00,140,140,139.5,139.5,-1.06,93,26.03,2
2005-01-05 00:00:00+00,139.5,139.5,137,137,-1.79,345,95.56,9
2005-01-06 00:00:00+00,135,138,135,138,0.73,117,31.69,5
2005-01-07 00:00:00+00,137,139,137,139,0.72,693,190.87,9
2005-01-10 00:00:00+00,136,139.5,136,139.5,0.36,245,67.24,7
2005-01-11 00:00:00+00,137,137,137,137,-1.79,60,16.44,2
2005-01-12 00:00:00+00,139,139,139,139,1.46,2,0.56,1
2005-01-13 00:00:00+00,136,139,136,139,0,260,70.84,4
2005-01-14 00:00:00+00,139,139,139,139,0,9610,2671.58,1
2005-01-17 00:00:00+00,139,139,139,139,0,2,0.56,1
2005-01-18 00:00:00+00,139,140,138,138,-0.72,430,119.39,5
2005-01-19 00:00:00+00,136.5,136.5,136.5,136.5,-1.09,65,17.75,4
2005-01-20 00:00:00+00,138,139,136,136.5,0,30855,8530.66,31
2005-01-21 00:00:00+00,136.5,138,136.5,138,1.1,47,12.97,2
2005-01-24 00:00:00+00,136.5,139,136.5,139,0.72,486,133.27,6
2005-01-25 00:00:00+00,139,139,138,138.5,-0.36,82,22.69,6
2005-01-26 00:00:00+00,138.5,139,138,138,-0.36,327,90.37,9
2005-01-27 00:00:00+00,140.5,145,139,140,1.45,3852,1084.56,46
2005-01-28 00:00:00+00,140,140,137,137,-2.14,34,9.47,5
2005-01-31 00:00:00+00,137.5,137.5,136,137.5,0.36,254,69.67,10
2005-02-01 00:00:00+00,137.5,139,137.5,139,1.09,11287,3137.76,6
2005-02-02 00:00:00+00,139,140,139,139.5,0.36,140,39.09,5
2005-02-03 00:00:00+00,139.5,141.5,139.5,140,0.36,8856,2479.75,9
2005-02-04 00:00:00+00,140,140,140,140,0,53,14.84,3
2005-02-07 00:00:00+00,141,141,140,140,0,163,45.65,3
2005-02-08 00:00:00+00,140,140,139,139,-0.71,1430,400.24,6
2005-02-09 00:00:00+00,137.5,137.5,137.5,137.5,-1.08,40,11,2
