date,open,high,low,close,difference,volume,turnover,transactions
2018-09-10 00:00:00+00,0,0,0,310,0,0,0,0
2018-09-11 00:00:00+00,280,280,276,276,-10.97,27,7.55,2
2018-09-12 00:00:00+00,276,280,276,280,1.45,69,19.21,2
2018-09-13 00:00:00+00,280,308,280,308,10,93,26.85,3
2018-09-14 00:00:00+00,310,330,310,330,7.14,136,42.76,5
2018-09-17 00:00:00+00,304,318,304,314,-4.85,407,127.32,7
2018-09-18 00:00:00+00,316,320,316,320,1.91,252,80.48,4
2018-09-19 00:00:00+00,312,332,312,328,2.5,893,293.23,14
2018-09-20 00:00:00+00,330,340,330,340,3.66,634,210.61,8
2018-09-21 00:00:00+00,340,340,332,338,-0.59,305,103.37,6
2018-09-24 00:00:00+00,330,340,330,334,-1.18,343,114.52,6
2018-09-25 00:00:00+00,350,352,350,352,5.39,159,55.92,6
2018-09-26 00:00:00+00,352,352,340,352,0,989,339.16,12
2018-09-27 00:00:00+00,346,348,346,346,-1.7,897,310.52,9
2018-09-28 00:00:00+00,348,348,348,348,0.58,4,1.39,1
2018-10-01 00:00:00+00,0,0,0,348,0,0,0,0
2018-10-02 00:00:00+00,0,0,0,348,0,0,0,0
2018-10-03 00:00:00+00,0,0,0,348,0,0,0,0
2018-10-04 00:00:00+00,0,0,0,348,0,0,0,0
2018-10-05 00:00:00+00,322,332,322,324,-6.9,40,13.07,4
2018-10-08 00:00:00+00,324,324,324,324,0,25,8.1,13
2018-10-09 00:00:00+00,320,324,320,324,0,160,51.44,3
2018-10-10 00:00:00+00,332,338,332,338,4.32,4,1.33,3
2018-10-11 00:00:00+00,310,310,310,310,-8.28,1,0.31,1
2018-10-12 00:00:00+00,312,312,312,312,0.65,5,1.56,2
2018-10-15 00:00:00+00,310,310,310,310,-0.64,10,3.1,1
2018-10-16 00:00:00+00,312,312,312,312,0.65,28,8.74,1
2018-10-17 00:00:00+00,330,330,314,314,0.64,276,91.02,8
2018-10-18 00:00:00+00,314,314,314,314,0,11,3.45,1
2018-10-19 00:00:00+00,314,320,314,320,1.91,346,109.26,8
2018-10-22 00:00:00+00,318,318,318,318,-0.63,60,19.08,1
2018-10-23 00:00:00+00,310,310,310,310,-2.52,600,186,4
2018-10-24 00:00:00+00,0,0,0,310,0,0,0,0
2018-10-25 00:00:00+00,306,306,306,306,-1.29,31,9.49,1
2018-10-26 00:00:00+00,0,0,0,306,0,0,0,0
2018-10-29 00:00:00+00,306,316,306,316,3.27,30,9.28,2
2018-10-30 00:00:00+00,318,318,318,318,0.63,10,3.18,1
2018-10-31 00:00:00+00,0,0,0,318,0,0,0,0
2018-11-02 00:00:00+00,314,314,314,314,-1.26,20,6.28,1
2018-11-05 00:00:00+00,310,326,300,326,3.82,493,156.26,18
2018-11-06 00:00:00+00,324,330,324,328,0.61,332,108.09,5
2018-11-07 00:00:00+00,308,338,308,338,3.05,833,268.87,8
2018-11-08 00:00:00+00,328,336,328,336,-0.59,195,64.37,4
2018-11-09 00:00:00+00,0,0,0,336,0,0,0,0
2018-11-13 00:00:00+00,0,0,0,336,0,0,0,0
2018-11-14 00:00:00+00,0,0,0,336,0,0,0,0
2018-11-15 00:00:00+00,308,330,308,330,-1.79,551,175.21,7
2018-11-16 00:00:00+00,330,348,330,348,5.45,602,204.16,6
2018-11-19 00:00:00+00,0,0,0,348,0,0,0,0
2018-11-20 00:00:00+00,316,340,316,340,-2.3,115,36.92,13
2018-11-21 00:00:00+00,350,350,350,350,2.94,300,105,7
2018-11-22 00:00:00+00,328,350,328,350,0,33,11.33,4
2018-11-23 00:00:00+00,346,350,346,350,0,190,66.16,4
2018-11-26 00:00:00+00,328,338,324,324,-7.43,256,84.31,4
2018-11-27 00:00:00+00,340,346,340,346,6.79,122,42.2,5
2018-11-28 00:00:00+00,346,350,346,350,1.16,104,36.02,4
2018-11-29 00:00:00+00,336,360,336,360,2.86,437,153.12,12
2018-11-30 00:00:00+00,350,354,350,354,-1.67,16,5.62,3
2018-12-03 00:00:00+00,354,354,354,354,0,10,3.54,1
2018-12-04 00:00:00+00,350,352,334,352,-0.56,1360,473.92,44
2018-12-05 00:00:00+00,344,356,344,352,0,1243,435.38,32
2018-12-06 00:00:00+00,346,352,346,352,0,393,136.52,10
2018-12-07 00:00:00+00,350,350,350,350,-0.57,60,21,2
2018-12-10 00:00:00+00,346,350,336,350,0,370,128.03,9
2018-12-11 00:00:00+00,344,348,344,348,-0.57,135,46.72,3
2018-12-12 00:00:00+00,338,350,336,350,0.57,268,91.85,6
2018-12-13 00:00:00+00,350,366,350,366,4.57,194,68.06,6
2018-12-14 00:00:00+00,350,366,350,366,0,72,25.79,3
2018-12-17 00:00:00+00,352,358,352,358,-2.19,360,127.28,5
2018-12-18 00:00:00+00,358,362,358,362,1.12,299,107.08,5
2018-12-19 00:00:00+00,360,362,360,362,0,153,55.09,3
2018-12-20 00:00:00+00,336,360,336,360,-0.55,113,40.25,5
2018-12-21 00:00:00+00,360,360,360,360,0,7,2.52,2
2018-12-27 00:00:00+00,352,360,350,360,0,152,53.92,5
2018-12-28 00:00:00+00,350,360,348,360,0,308,109.27,13
2019-01-02 00:00:00+00,346,358,346,358,-0.56,551,195.01,10
2019-01-03 00:00:00+00,350,360,350,360,0.56,121,43.14,6
2019-01-04 00:00:00+00,358,358,348,354,-1.67,349,122.23,8
2019-01-07 00:00:00+00,352,358,350,358,1.13,248,87.54,6
2019-01-08 00:00:00+00,356,358,350,356,-0.56,602,212.99,7
2019-01-09 00:00:00+00,354,358,354,358,0.56,163,58.16,4
2019-01-10 00:00:00+00,354,356,354,356,-0.56,30,10.64,2
2019-01-11 00:00:00+00,358,360,358,360,1.12,125,44.92,6
2019-01-14 00:00:00+00,358,362,358,362,0.56,4,1.44,2
2019-01-15 00:00:00+00,352,360,352,360,-0.55,164,58.22,7
2019-01-16 00:00:00+00,360,360,360,360,0,7,2.52,2
2019-01-17 00:00:00+00,360,366,360,366,1.67,1000,361.81,14
2019-01-18 00:00:00+00,362,366,362,366,0,350,126.76,6
2019-01-21 00:00:00+00,362,362,362,362,-1.09,10,3.62,1
2019-01-22 00:00:00+00,362,362,352,362,0,437,156.66,10
2019-01-23 00:00:00+00,360,366,360,366,1.11,611,221.18,11
2019-01-24 00:00:00+00,366,368,366,368,0.55,253,92.62,8
2019-01-25 00:00:00+00,370,370,362,370,0.54,33,12.13,4
2019-01-28 00:00:00+00,362,370,362,370,0,138,50.52,7
2019-01-29 00:00:00+00,362,370,360,370,0,378,138.09,11
2019-01-30 00:00:00+00,356,356,350,352,-4.86,667,235.51,11
2019-01-31 00:00:00+00,360,360,350,350,-0.57,16,5.62,2
2019-02-01 00:00:00+00,358,364,358,364,4,171,61.49,6
2019-02-04 00:00:00+00,364,364,362,362,-0.55,22,7.98,2
2019-02-05 00:00:00+00,368,368,368,368,1.66,5,1.84,1
2019-02-06 00:00:00+00,364,370,364,370,0.54,12,4.43,2
2019-02-07 00:00:00+00,370,370,370,370,0,12,4.44,2
2019-02-08 00:00:00+00,360,370,360,370,0,15,5.5,3
2019-02-11 00:00:00+00,370,370,370,370,0,15,5.55,2
2019-02-12 00:00:00+00,370,370,360,370,0,146,52.81,4
2019-02-13 00:00:00+00,370,370,370,370,0,10,3.7,1
2019-02-14 00:00:00+00,370,370,370,370,0,20,7.4,2
2019-02-15 00:00:00+00,370,370,370,370,0,10,3.7,1
2019-02-18 00:00:00+00,0,0,0,370,0,0,0,0
2019-02-19 00:00:00+00,362,370,362,370,0,231,83.7,4
2019-02-20 00:00:00+00,370,370,370,370,0,15,5.55,2
2019-02-21 00:00:00+00,368,368,368,368,-0.54,152,55.94,2
2019-02-22 00:00:00+00,368,368,368,368,0,2,0.74,1
2019-02-25 00:00:00+00,368,368,366,368,0,573,210.62,6
2019-02-26 00:00:00+00,366,368,362,368,0,42,15.31,4
2019-02-27 00:00:00+00,368,368,368,368,0,10,3.68,2
2019-02-28 00:00:00+00,366,366,366,366,-0.54,100,36.6,1
2019-03-01 00:00:00+00,366,380,366,380,3.83,600,221.18,15
2019-03-04 00:00:00+00,0,0,0,380,0,0,0,0
2019-03-05 00:00:00+00,360,366,360,360,-5.26,657,239.92,7
2019-03-06 00:00:00+00,364,368,362,368,2.22,564,205.03,6
2019-03-07 00:00:00+00,0,0,0,368,0,0,0,0
2019-03-08 00:00:00+00,0,0,0,368,0,0,0,0
2019-03-11 00:00:00+00,370,370,370,370,0.54,10,3.7,1
2019-03-12 00:00:00+00,370,370,370,370,0,15,5.55,2
2019-03-13 00:00:00+00,0,0,0,370,0,0,0,0
2019-03-14 00:00:00+00,348,370,348,370,0,130,47.46,5
2019-03-15 00:00:00+00,370,378,368,378,2.16,912,337.3,15
2019-03-18 00:00:00+00,380,380,380,380,0.53,195,74.1,5
2019-03-19 00:00:00+00,0,0,0,380,0,0,0,0
2019-03-20 00:00:00+00,380,380,380,380,0,2,0.76,1
2019-03-21 00:00:00+00,380,380,380,380,0,5,1.9,1
2019-03-22 00:00:00+00,360,380,360,380,0,103,37.76,9
2019-03-25 00:00:00+00,370,376,370,376,-1.05,6,2.23,2
2019-03-26 00:00:00+00,0,0,0,376,0,0,0,0
2019-03-27 00:00:00+00,370,378,370,378,0.53,30,11.29,5
2019-03-28 00:00:00+00,370,378,368,378,0,209,77.93,9
2019-03-29 00:00:00+00,364,378,364,378,0,181,67.54,12
2019-04-01 00:00:00+00,366,374,364,374,-1.06,302,111.56,12
2019-04-02 00:00:00+00,374,374,374,374,0,149,55.73,6
2019-04-03 00:00:00+00,372,374,372,374,0,110,40.94,2
2019-04-04 00:00:00+00,374,378,374,378,1.07,200,74.89,5
2019-04-05 00:00:00+00,372,378,372,378,0,25,9.39,3
2019-04-08 00:00:00+00,370,382,370,382,1.06,104,39.49,5
2019-04-09 00:00:00+00,374,388,374,388,1.57,271,103.31,9
2019-04-10 00:00:00+00,376,388,376,388,0,38,14.53,5
2019-04-11 00:00:00+00,380,388,378,388,0,256,98.6,9
2019-04-12 00:00:00+00,380,388,380,388,0,115,44.22,8
2019-04-15 00:00:00+00,378,386,370,386,-0.52,393,149.38,16
2019-04-16 00:00:00+00,378,382,376,382,-1.04,355,134.93,12
2019-04-17 00:00:00+00,386,388,386,388,1.57,260,100.84,5
2019-04-18 00:00:00+00,380,388,380,388,0,22,8.46,3
2019-04-23 00:00:00+00,380,388,378,388,0,261,99.81,11
2019-04-24 00:00:00+00,384,398,382,398,2.58,190,74.55,11
2019-04-25 00:00:00+00,384,390,380,390,-2.01,490,189.24,17
2019-04-26 00:00:00+00,384,398,382,398,2.05,379,148.33,15
2019-04-29 00:00:00+00,392,398,388,398,0,630,248.3,22
2019-04-30 00:00:00+00,392,398,392,398,0,247,97.3,6
2019-05-02 00:00:00+00,390,394,386,394,-1.01,589,230.25,18
2019-05-06 00:00:00+00,384,388,378,388,-1.52,479,184.19,16
2019-05-07 00:00:00+00,380,386,374,386,-0.52,825,315,27
2019-05-08 00:00:00+00,370,388,368,374,-3.11,852,317.21,22
2019-05-09 00:00:00+00,0,0,0,374,0,0,0,0
2019-05-10 00:00:00+00,370,370,370,370,-1.07,10,3.7,1
2019-05-13 00:00:00+00,364,370,356,370,0,557,202.91,17
2019-05-14 00:00:00+00,360,370,360,370,0,647,236.4,23
2019-05-15 00:00:00+00,362,370,358,370,0,709,258.65,23
2019-05-16 00:00:00+00,358,370,356,370,0,639,233,23
2019-05-17 00:00:00+00,362,364,358,362,-2.16,790,285.49,26
2019-05-20 00:00:00+00,354,372,354,372,2.76,1416,519.07,18
2019-05-21 00:00:00+00,366,366,356,360,-3.23,958,346.22,25
2019-05-22 00:00:00+00,368,378,368,378,5,138,51.81,7
2019-05-23 00:00:00+00,368,370,368,370,-2.12,456,168.45,11
2019-05-24 00:00:00+00,368,368,362,362,-2.16,216,78.78,8
2019-05-27 00:00:00+00,364,378,364,378,4.42,140,52.78,8
2019-05-28 00:00:00+00,368,370,366,370,-2.12,417,154.02,14
2019-05-29 00:00:00+00,348,358,348,358,0.56,380,134.14,11
2019-05-30 00:00:00+00,356,376,354,376,5.03,550,203.78,9
2019-05-31 00:00:00+00,362,366,358,366,-2.66,1446,527.13,40
2019-06-03 00:00:00+00,358,358,356,358,-2.19,294,105.07,9
2019-06-04 00:00:00+00,356,362,356,362,1.12,115,41.48,4
2019-06-05 00:00:00+00,362,362,362,362,0,60,21.72,3
2019-06-06 00:00:00+00,362,368,362,368,1.66,30,10.92,5
2019-06-07 00:00:00+00,366,372,366,372,1.09,115,42.39,5
2019-06-10 00:00:00+00,0,0,0,372,0,0,0,0
2019-06-11 00:00:00+00,372,374,372,374,0.54,11,4.1,3
2019-06-12 00:00:00+00,366,374,366,374,0,20,7.44,4
2019-06-13 00:00:00+00,0,0,0,374,0,0,0,0
2019-06-14 00:00:00+00,372,374,372,372,-0.53,234,87.11,5
2019-06-17 00:00:00+00,374,374,374,374,0.54,18,6.73,2
2019-06-18 00:00:00+00,366,368,364,364,-2.67,111,40.54,8
2019-06-19 00:00:00+00,368,380,368,380,4.4,84,31.53,9
2019-06-21 00:00:00+00,372,376,372,372,-2.11,74,27.65,8
2019-06-24 00:00:00+00,366,378,362,378,1.61,84,31.37,9
2019-06-25 00:00:00+00,368,372,362,372,-1.59,507,187.58,18
2019-06-26 00:00:00+00,364,368,364,366,-1.61,187,68.47,7
2019-06-27 00:00:00+00,370,376,370,376,2.73,30,11.24,4
2019-06-28 00:00:00+00,372,372,370,372,-1.06,138,51.21,6
