date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,13.5,13.95,13.2,13.8,2.22,10964,293.57,56
2005-01-04 00:00:00+00,13.8,14.05,13.4,13.45,-2.54,42614,1166.22,127
2005-01-05 00:00:00+00,13.6,13.6,12.3,13,-3.35,35542,907.91,159
2005-01-06 00:00:00+00,12.85,12.9,12.5,12.7,-2.31,11717,295.28,41
2005-01-07 00:00:00+00,12.8,13.5,12.4,13.5,6.3,27667,732.55,144
2005-01-10 00:00:00+00,13.4,13.7,13.2,13.5,0,29455,795.86,131
2005-01-11 00:00:00+00,13.2,13.4,12.9,12.9,-4.44,11285,295.11,63
2005-01-12 00:00:00+00,12.95,12.95,12.65,12.9,0,4938,126.45,47
2005-01-13 00:00:00+00,13,13.8,12.8,13.8,6.98,32128,869.47,157
2005-01-14 00:00:00+00,13.9,14.6,13.9,14.6,5.8,75963,2172.01,288
2005-01-17 00:00:00+00,0.49,0.62,0.48,0.61,24.49,7572479,8531.87,1580
2005-01-18 00:00:00+00,0.61,0.65,0.55,0.55,-9.84,6217200,7403.4,1304
2005-01-19 00:00:00+00,0.55,0.56,0.5,0.52,-5.45,1680073,1774.36,428
2005-01-20 00:00:00+00,0.51,0.58,0.49,0.55,5.77,2960894,3214.25,599
2005-01-21 00:00:00+00,0.56,0.57,0.54,0.55,0,1042304,1161.05,256
2005-01-24 00:00:00+00,0.54,0.57,0.54,0.56,1.82,988818,1108.31,249
2005-01-25 00:00:00+00,0.57,0.57,0.53,0.55,-1.79,1991171,2178.3,351
2005-01-26 00:00:00+00,0.54,0.54,0.53,0.53,-3.64,687067,738.65,142
2005-01-27 00:00:00+00,0.54,0.54,0.52,0.53,0,485746,517.97,118
2005-01-28 00:00:00+00,0.53,0.54,0.52,0.54,1.89,661928,704.31,175
2005-01-31 00:00:00+00,0.54,0.54,0.53,0.53,-1.85,611901,654.52,119
2005-02-01 00:00:00+00,0.54,0.55,0.53,0.55,3.77,601336,649.61,107
2005-02-02 00:00:00+00,0.55,0.55,0.54,0.55,0,361429,392.21,83
2005-02-03 00:00:00+00,0.56,0.62,0.56,0.58,5.45,6733283,7857.97,1049
2005-02-04 00:00:00+00,0.58,0.59,0.56,0.56,-3.45,1329097,1516.27,271
2005-02-07 00:00:00+00,0.57,0.58,0.55,0.57,1.79,1048286,1187.35,195
2005-02-08 00:00:00+00,0.57,0.57,0.55,0.56,-1.75,664974,743.01,131
2005-02-09 00:00:00+00,0.56,0.58,0.56,0.57,1.79,1052980,1195.08,179
2005-02-10 00:00:00+00,0.57,0.61,0.57,0.6,5.26,2388873,2811.36,444
2005-02-11 00:00:00+00,0.64,0.67,0.59,0.61,1.67,8807329,11112.49,1325
2005-02-14 00:00:00+00,0.6,0.61,0.58,0.59,-3.28,1438958,1716.37,293
2005-02-15 00:00:00+00,0.59,0.6,0.57,0.59,0,770799,902.11,174
2005-02-16 00:00:00+00,0.59,0.59,0.56,0.57,-3.39,1811045,2073.56,360
2005-02-17 00:00:00+00,0.57,0.58,0.54,0.55,-3.51,2002810,2227.33,367
2005-02-18 00:00:00+00,0.55,0.56,0.53,0.56,1.82,5408008,5924.95,577
2005-02-21 00:00:00+00,0.56,0.57,0.54,0.55,-1.79,1371054,1522.3,178
2005-02-22 00:00:00+00,0.55,0.58,0.55,0.57,3.64,3085723,3485.79,437
2005-02-23 00:00:00+00,0.57,0.59,0.57,0.58,1.75,1822038,2102.87,262
2005-02-24 00:00:00+00,0.57,0.58,0.57,0.57,-1.72,291210,333.97,67
2005-02-25 00:00:00+00,0.58,0.58,0.56,0.57,0,1045039,1192.42,148
2005-02-28 00:00:00+00,0.57,0.57,0.55,0.57,0,945292,1062.16,116
2005-03-01 00:00:00+00,0.56,0.57,0.56,0.56,-1.75,249100,279.56,56
2005-03-02 00:00:00+00,0.56,0.57,0.55,0.55,-1.79,210884,235.55,57
2005-03-03 00:00:00+00,0.55,0.56,0.55,0.56,1.82,148871,164.79,43
2005-03-04 00:00:00+00,0.56,0.56,0.55,0.55,-1.79,367322,406.57,78
2005-03-07 00:00:00+00,0.56,0.56,0.55,0.55,0,526477,579.76,71
2005-03-08 00:00:00+00,0.56,0.56,0.55,0.55,0,190280,209.42,58
2005-03-09 00:00:00+00,0.55,0.56,0.54,0.55,0,343127,377.25,79
2005-03-10 00:00:00+00,0.54,0.55,0.54,0.55,0,404935,437.73,113
2005-03-11 00:00:00+00,0.54,0.55,0.54,0.54,-1.82,1089627,1182.93,156
2005-03-14 00:00:00+00,0.55,0.55,0.53,0.53,-1.85,559274,595.07,140
2005-03-15 00:00:00+00,0.53,0.54,0.51,0.53,0,760398,800.66,235
2005-03-16 00:00:00+00,0.52,0.52,0.5,0.5,-5.66,713467,725.42,202
2005-03-17 00:00:00+00,0.5,0.5,0.47,0.47,-6,1154799,1113.01,296
2005-03-18 00:00:00+00,0.46,0.48,0.45,0.47,0,1036089,969.64,230
2005-03-21 00:00:00+00,0.47,0.48,0.46,0.47,0,291702,272.56,84
2005-03-22 00:00:00+00,0.46,0.47,0.45,0.47,0,293685,270.07,95
2005-03-23 00:00:00+00,0.45,0.47,0.45,0.46,-2.13,214721,196.45,78
2005-03-24 00:00:00+00,0.46,0.47,0.45,0.46,0,149652,136.98,61
2005-03-29 00:00:00+00,0.46,0.46,0.44,0.46,0,370770,333.73,81
2005-03-30 00:00:00+00,0.46,0.46,0.44,0.45,-2.17,604444,539.23,117
2005-03-31 00:00:00+00,0.45,0.51,0.44,0.48,6.67,4340330,4171.55,674
