date,open,high,low,close,difference,volume,turnover,transactions
2017-08-16 00:00:00+00,19.45,19.45,16.25,18.2,1.11,21243,407.76,71
2017-08-17 00:00:00+00,18.15,18.15,15.01,15.9,-12.64,2327,37.41,29
2017-08-18 00:00:00+00,15.88,15.88,15.01,15.88,-0.13,416,6.37,5
2017-08-21 00:00:00+00,15.9,16.9,15.9,16.85,6.11,847,13.72,9
2017-08-22 00:00:00+00,17,17,13.66,15.75,-6.53,1341,20.49,13
2017-08-23 00:00:00+00,15.75,15.75,15.75,15.75,0,2,0.03,2
2017-08-24 00:00:00+00,15.75,15.75,13,14.11,-10.41,4392,58.8,14
2017-08-25 00:00:00+00,14.63,15.75,13,14.12,0.07,2153,30.19,20
2017-08-28 00:00:00+00,14.49,14.49,13.82,14,-0.85,160,2.23,3
2017-08-29 00:00:00+00,13.99,13.99,13.34,13.82,-1.29,117,1.59,8
2017-08-30 00:00:00+00,13.99,13.99,13.01,13.99,1.23,323,4.28,12
2017-08-31 00:00:00+00,13.99,14.99,13,14.99,7.15,1468,19.33,11
2017-09-01 00:00:00+00,14.22,14.48,14.22,14.48,-3.4,110,1.57,5
2017-09-04 00:00:00+00,14.48,14.6,14.48,14.6,0.83,121,1.75,3
2017-09-05 00:00:00+00,14.6,14.6,14.6,14.6,0,2,0.03,2
2017-09-06 00:00:00+00,14.6,14.6,14.5,14.5,-0.68,101,1.47,3
2017-09-07 00:00:00+00,14.98,14.98,14.98,14.98,3.31,4,0.06,2
2017-09-08 00:00:00+00,14.98,15,14.8,14.8,-1.2,382,5.69,6
2017-09-11 00:00:00+00,14.8,14.8,14.12,14.8,0,12,0.17,4
2017-09-12 00:00:00+00,14.8,14.8,14.5,14.8,0,202,2.97,5
2017-09-13 00:00:00+00,14.8,17,14.12,17,14.86,2460,36.96,14
2017-09-14 00:00:00+00,16.99,16.99,16.97,16.99,-0.06,233,3.95,6
2017-09-15 00:00:00+00,16.99,16.99,16.99,16.99,0,31,0.53,2
2017-09-18 00:00:00+00,16.98,16.98,16.2,16.2,-4.65,156,2.53,3
2017-09-19 00:00:00+00,16.98,16.98,16.98,16.98,4.81,2,0.03,2
2017-09-20 00:00:00+00,16.98,16.98,16.98,16.98,0,2,0.03,2
2017-09-21 00:00:00+00,16.98,16.98,15.58,16.98,0,99,1.55,3
2017-09-22 00:00:00+00,16.98,16.98,15.58,16.98,0,108,1.69,3
2017-09-25 00:00:00+00,16.97,16.98,15.4,16.98,0,35,0.54,3
2017-09-26 00:00:00+00,16.98,16.98,16.98,16.98,0,2,0.03,2
2017-09-27 00:00:00+00,16.98,16.98,16.98,16.98,0,2,0.03,2
2017-09-28 00:00:00+00,16.98,16.98,16.17,16.98,0,171,2.78,4
2017-09-29 00:00:00+00,16.98,16.98,16.98,16.98,0,2,0.03,2
2017-10-02 00:00:00+00,16.99,16.99,16.98,16.98,0,2,0.03,2
2017-10-03 00:00:00+00,16.98,16.98,16.98,16.98,0,2,0.03,2
2017-10-04 00:00:00+00,16.98,16.98,16.98,16.98,0,2,0.03,2
2017-10-05 00:00:00+00,16.99,16.99,16.17,16.98,0,110,1.83,4
2017-10-06 00:00:00+00,16.98,16.98,16.98,16.98,0,2,0.03,2
2017-10-09 00:00:00+00,16.98,16.98,16.98,16.98,0,2,0.03,2
2017-10-10 00:00:00+00,16.98,16.98,16.4,16.98,0,62,1.02,3
2017-10-11 00:00:00+00,16.98,16.98,16.98,16.98,0,1,0.02,1
2017-10-12 00:00:00+00,16.49,16.49,16.49,16.49,-2.89,7,0.12,3
2017-10-13 00:00:00+00,16.49,16.95,16.3,16.95,2.79,1117,18.34,8
2017-10-16 00:00:00+00,16.4,16.82,13.66,16,-5.6,434,6.97,13
2017-10-17 00:00:00+00,16.97,16.97,15.66,16,0,8,0.13,3
2017-10-18 00:00:00+00,16.97,16.97,16.1,16.1,0.63,3,0.05,3
2017-10-19 00:00:00+00,16.09,16.1,16.09,16.1,0,5,0.08,2
2017-10-23 00:00:00+00,16.97,16.97,16.97,16.97,5.4,2,0.03,2
2017-10-24 00:00:00+00,16.97,16.97,16.97,16.97,0,2,0.03,2
2017-10-25 00:00:00+00,16.97,16.97,16.97,16.97,0,1,0.02,1
2017-10-26 00:00:00+00,16.97,16.97,16.97,16.97,0,2,0.03,2
2017-10-27 00:00:00+00,16.97,16.97,16.97,16.97,0,2,0.03,2
2017-10-30 00:00:00+00,16.97,16.97,16.97,16.97,0,2,0.03,2
2017-10-31 00:00:00+00,16.97,16.97,16.1,16.97,0,48,0.77,3
2017-11-02 00:00:00+00,16.97,16.97,16.97,16.97,0,2,0.03,2
2017-11-03 00:00:00+00,16.97,16.97,16.47,16.47,-2.95,2,0.03,2
2017-11-06 00:00:00+00,16.47,16.66,16.46,16.66,1.15,472,7.8,6
2017-11-07 00:00:00+00,16.19,16.19,16.19,16.19,-2.82,2,0.03,2
2017-11-08 00:00:00+00,16.19,16.19,16.19,16.19,0,2,0.03,2
2017-11-09 00:00:00+00,16.19,16.19,16.19,16.19,0,2,0.03,2
2017-11-10 00:00:00+00,16.19,16.19,16.19,16.19,0,2,0.03,2
2017-11-13 00:00:00+00,16.19,16.19,16.19,16.19,0,2,0.03,2
2017-11-14 00:00:00+00,16.19,16.19,16.19,16.19,0,2,0.03,2
2017-11-15 00:00:00+00,16.19,16.19,15.42,16.19,0,4,0.06,4
2017-11-16 00:00:00+00,16.19,16.19,16.19,16.19,0,2,0.03,2
2017-11-17 00:00:00+00,16.19,16.19,16.19,16.19,0,2,0.03,2
2017-11-20 00:00:00+00,16.19,16.2,16.19,16.2,0.06,61,0.99,3
2017-11-21 00:00:00+00,16.2,16.2,15.42,15.42,-4.81,165,2.55,3
2017-11-22 00:00:00+00,15.35,15.35,15.35,15.35,-0.45,164,2.52,2
2017-11-23 00:00:00+00,16.2,16.2,15.5,15.5,0.98,2,0.03,2
2017-11-24 00:00:00+00,16.2,16.2,15.5,15.5,0,2,0.03,2
2017-11-27 00:00:00+00,16.2,16.2,14.77,14.9,-3.87,135,2,3
2017-11-28 00:00:00+00,16.2,16.2,14.9,14.9,0,20,0.31,2
2017-11-29 00:00:00+00,16.2,16.2,14.9,14.9,0,8,0.12,2
2017-11-30 00:00:00+00,16.2,16.2,14.9,14.9,0,14,0.22,2
2017-12-01 00:00:00+00,16.2,16.2,14.9,14.9,0,6,0.09,2
2017-12-04 00:00:00+00,14.9,14.9,14.89,14.9,0,51,0.76,3
2017-12-05 00:00:00+00,16.2,16.2,14.9,15,0.67,58,0.87,4
2017-12-06 00:00:00+00,16.2,16.2,14.3,14.3,-4.67,195,2.8,4
2017-12-07 00:00:00+00,14.3,14.3,13.5,14.24,-0.42,332,4.58,6
2017-12-08 00:00:00+00,14.3,14.3,13.31,13.31,-6.53,221,2.97,4
2017-12-11 00:00:00+00,13.5,13.52,13.49,13.52,1.58,926,12.51,8
2017-12-12 00:00:00+00,13.53,14,13.53,14,3.55,65,0.91,7
2017-12-13 00:00:00+00,13.98,13.98,13.5,13.75,-1.79,2520,34.99,5
2017-12-14 00:00:00+00,14.5,14.5,13,13,-5.45,475,6.21,5
2017-12-15 00:00:00+00,13.01,13.01,13.01,13.01,0.08,2205,28.69,2
2017-12-18 00:00:00+00,13,13,12.77,12.77,-1.84,590,7.54,4
2017-12-19 00:00:00+00,12.89,12.89,12.3,12.4,-2.9,906,11.17,5
2017-12-20 00:00:00+00,12.3,13.22,12,13.1,5.65,2054,26.28,15
2017-12-21 00:00:00+00,13.75,13.75,13.1,13.1,0,386,5.18,3
2017-12-22 00:00:00+00,13.1,13.6,13.09,13.6,3.82,6409,84.01,4
2017-12-27 00:00:00+00,0,0,0,13.6,0,0,0,0
2017-12-28 00:00:00+00,14.5,14.5,14.5,14.5,6.62,205,2.97,1
2018-01-03 00:00:00+00,0,0,0,14.5,0,0,0,0
2018-01-04 00:00:00+00,14.8,14.8,14.8,14.8,2.07,13,0.19,1
2018-01-05 00:00:00+00,0,0,0,14.8,0,0,0,0
2018-01-08 00:00:00+00,0,0,0,14.8,0,0,0,0
2018-01-09 00:00:00+00,0,0,0,14.8,0,0,0,0
2018-01-10 00:00:00+00,0,0,0,14.8,0,0,0,0
2018-01-11 00:00:00+00,0,0,0,14.8,0,0,0,0
2018-01-12 00:00:00+00,0,0,0,14.8,0,0,0,0
2018-01-15 00:00:00+00,0,0,0,14.8,0,0,0,0
2018-01-16 00:00:00+00,0,0,0,14.8,0,0,0,0
2018-01-17 00:00:00+00,14.8,14.8,14.8,14.8,0,170,2.52,2
2018-01-18 00:00:00+00,14.8,14.8,14.1,14.1,-4.73,181,2.55,3
