date,open,high,low,close,difference,volume,turnover,transactions
2007-04-10 00:00:00+00,14.99,15.2,14.85,15,1.63,24890,746.6,58
2007-04-11 00:00:00+00,15.19,15.3,15.05,15.29,1.93,26945,817.4,89
2007-04-12 00:00:00+00,15.29,15.56,15.22,15.49,1.31,41470,1277.32,120
2007-04-13 00:00:00+00,15.5,15.9,15.49,15.9,2.65,32366,1015.15,113
2007-04-16 00:00:00+00,15.9,16.54,15.85,16.5,3.77,100601,3294.37,263
2007-04-17 00:00:00+00,16.67,16.7,16.3,16.57,0.42,24366,803.66,72
2007-04-18 00:00:00+00,16.6,16.6,15.8,16,-3.44,30837,1003.14,120
2007-04-19 00:00:00+00,15.45,16,15.2,15.6,-2.5,15285,474.18,55
2007-04-20 00:00:00+00,16,16,15.5,15.6,0,4676,147.43,27
2007-04-23 00:00:00+00,15.5,15.6,15,15,-3.85,14340,434.13,46
2007-04-24 00:00:00+00,15,15.2,15,15.2,1.33,5898,177.07,45
2007-04-25 00:00:00+00,15.45,15.5,15.05,15.45,1.64,7641,235,39
2007-04-26 00:00:00+00,15.45,15.45,15.35,15.35,-0.65,3224,99.32,10
2007-04-27 00:00:00+00,15.45,15.45,15.27,15.3,-0.33,2673,81.93,16
2007-04-30 00:00:00+00,15.2,15.22,14.99,15.18,-0.78,2711,81.74,20
2007-05-02 00:00:00+00,15.2,15.2,15.01,15.04,-0.92,5493,165.28,28
2007-05-04 00:00:00+00,15.1,15.1,14.92,15,-0.27,8768,263.2,32
2007-05-07 00:00:00+00,15.67,15.75,15.39,15.53,3.53,21089,655.8,76
2007-05-08 00:00:00+00,15.58,15.9,15.41,15.41,-0.77,17914,557.61,76
2007-05-09 00:00:00+00,15.4,15.4,15,15.2,-1.36,5472,166.05,38
2007-05-10 00:00:00+00,15.2,15.25,14.82,15.25,0.33,3673,110.4,29
2007-05-11 00:00:00+00,14.81,15.09,14.81,14.91,-2.23,4338,129.3,20
2007-05-14 00:00:00+00,15.09,15.1,15.01,15.07,1.07,4350,131.02,14
2007-05-15 00:00:00+00,15.1,15.14,15.01,15.01,-0.4,3384,102.01,16
2007-05-16 00:00:00+00,15.01,15.01,14.81,14.81,-1.33,6298,187.09,31
2007-05-17 00:00:00+00,15,15,14.5,14.78,-0.2,3470,101.56,26
2007-05-18 00:00:00+00,14.78,14.78,14.57,14.6,-1.22,3540,103.99,14
2007-05-21 00:00:00+00,14.88,14.88,14.6,14.86,1.78,4534,133.78,20
2007-05-22 00:00:00+00,14.9,14.9,14.8,14.87,0.07,2420,71.83,14
2007-05-23 00:00:00+00,14.98,14.98,14.7,14.7,-1.14,5165,153.6,25
2007-05-24 00:00:00+00,14.95,14.95,14.76,14.94,1.63,4708,140.35,18
2007-05-25 00:00:00+00,14.78,14.95,14.65,14.95,0.07,7224,213.55,24
2007-05-28 00:00:00+00,14.94,15.38,14.71,15.15,1.34,25666,775.77,50
2007-05-29 00:00:00+00,15.37,15.7,15.2,15.65,3.3,31545,978.85,99
2007-05-30 00:00:00+00,15.5,15.72,15.26,15.6,-0.32,21088,653.02,37
2007-05-31 00:00:00+00,15.36,15.75,15.36,15.64,0.26,16038,501.98,51
2007-06-01 00:00:00+00,15.5,15.6,15.39,15.6,-0.26,18412,570.35,22
2007-06-04 00:00:00+00,15.59,15.6,15.41,15.6,0,15744,488.7,25
2007-06-05 00:00:00+00,15.41,15.63,15.1,15.6,0,11829,363.96,19
2007-06-06 00:00:00+00,15.11,15.11,15.1,15.1,-3.21,3557,107.43,10
2007-06-08 00:00:00+00,15.35,15.5,15,15.1,0,6958,213.5,24
2007-06-11 00:00:00+00,15.5,15.59,15.11,15.59,3.25,9650,299.12,22
2007-06-12 00:00:00+00,15.5,15.5,15.2,15.4,-1.22,8193,253.18,20
2007-06-13 00:00:00+00,15.2,15.5,15.15,15.5,0.65,4884,148.3,11
2007-06-14 00:00:00+00,15,15.48,15,15.48,-0.13,1295,39.71,7
2007-06-15 00:00:00+00,15.45,15.7,15.44,15.65,1.1,21909,682.62,41
2007-06-18 00:00:00+00,15.69,16.5,15.6,16.13,3.07,60926,1951.52,164
2007-06-19 00:00:00+00,16.2,16.5,16,16.1,-0.19,58438,1910.9,118
2007-06-20 00:00:00+00,16.1,16.1,15.9,15.9,-1.24,14429,461.18,39
2007-06-21 00:00:00+00,15.9,16.5,15.9,16.4,3.14,93195,3053.5,140
2007-06-22 00:00:00+00,16.5,16.6,16.12,16.19,-1.28,46224,1503.52,117
2007-06-25 00:00:00+00,16.1,16.19,15.65,15.9,-1.79,27831,879.15,74
2007-06-26 00:00:00+00,15.6,15.81,15.23,15.81,-0.57,65951,2023.46,204
2007-06-27 00:00:00+00,15.81,15.81,15.25,15.75,-0.38,65651,2027.39,67
2007-06-28 00:00:00+00,15.85,15.85,15.25,15.5,-1.59,35735,1101.46,65
2007-06-29 00:00:00+00,15.22,15.47,15.2,15.4,-0.65,9255,281.89,17
2007-07-02 00:00:00+00,15.47,15.47,15,15.39,-0.06,17103,514.54,28
2007-07-03 00:00:00+00,14.85,15.39,14.85,15.34,-0.32,16790,505.45,37
2007-07-04 00:00:00+00,15,15.26,14.92,15.26,-0.52,7130,214.44,20
2007-07-05 00:00:00+00,14.95,15.25,14.95,15.25,-0.07,1137,34.57,9
2007-07-06 00:00:00+00,15.2,16,15.2,15.5,1.64,34336,1070.1,65
2007-07-09 00:00:00+00,15.75,15.85,15.5,15.85,2.26,6851,214.81,27
2007-07-10 00:00:00+00,15.89,16.4,15.89,16.31,2.9,42861,1384.47,125
2007-07-11 00:00:00+00,16.3,16.3,15.99,16,-1.9,13639,439.18,52
2007-07-12 00:00:00+00,15.97,16.2,15.4,15.8,-1.25,10486,333.09,46
2007-07-13 00:00:00+00,15.83,15.99,15.51,15.95,0.95,1477,46.78,13
2007-07-16 00:00:00+00,15.99,16.24,15.55,15.55,-2.51,24020,764.17,42
2007-07-17 00:00:00+00,15.52,15.99,15.4,15.99,2.83,5487,173.46,20
2007-07-18 00:00:00+00,15.65,15.99,15.65,15.99,0,603,18.99,6
2007-07-19 00:00:00+00,15.68,16.2,15.67,16.11,0.75,22148,711.77,35
2007-07-20 00:00:00+00,16.25,17.3,16.25,17.3,7.39,169070,5699.99,302
2007-07-23 00:00:00+00,17.71,18.8,17.71,18.39,6.3,143724,5199.05,300
2007-07-24 00:00:00+00,18.39,19.75,17.47,18.8,2.23,115260,4320.26,177
2007-07-25 00:00:00+00,18.5,18.99,18.03,18.79,-0.05,51628,1914.73,95
2007-07-26 00:00:00+00,19,19.5,18.2,18.2,-3.14,29505,1108.13,75
