date,open,high,low,close,difference,volume,turnover,transactions
2008-05-20 00:00:00+00,25.3,27.7,25.28,27,9.36,1355,72.98,25
2008-05-21 00:00:00+00,27,29.7,26,28.89,7,1410,80.11,37
2008-05-23 00:00:00+00,28.7,28.7,26.2,28.7,-0.66,169,9.7,6
2008-05-26 00:00:00+00,26.1,28.69,26.06,26.13,-8.95,319,18.02,13
2008-05-27 00:00:00+00,28.61,28.61,26.2,28.33,8.42,185,10.18,9
2008-05-28 00:00:00+00,26.31,27.98,26.31,26.5,-6.46,209,11.33,20
2008-05-29 00:00:00+00,28.25,28.3,26.11,26.96,1.74,984,53.23,21
2008-05-30 00:00:00+00,26.67,26.67,25.85,26.64,-1.19,176,9.28,8
2008-06-02 00:00:00+00,26.45,26.45,24.5,26.36,-1.05,258,13.5,13
2008-06-03 00:00:00+00,26.55,26.55,26.55,26.55,0.72,1,0.05,1
2008-06-04 00:00:00+00,26.6,26.6,25.2,26,-2.07,1228,63.36,7
2008-06-05 00:00:00+00,26.6,26.6,23.94,25.99,-0.04,775,39.64,14
2008-06-06 00:00:00+00,25.79,25.9,24.25,25.88,-0.42,192,9.66,6
2008-06-09 00:00:00+00,24.89,24.89,23.5,24.8,-4.17,164,7.82,7
2008-06-10 00:00:00+00,26.8,26.8,24.5,25.35,2.22,1197,63.53,14
2008-06-11 00:00:00+00,25.48,25.48,23.51,23.51,-7.26,199,9.39,7
2008-06-12 00:00:00+00,24,26.2,23.54,23.55,0.17,747,37.07,14
2008-06-13 00:00:00+00,25.88,25.88,23.5,24.85,5.52,152,7.52,4
2008-06-16 00:00:00+00,25.85,25.85,25.85,25.85,4.02,1,0.05,1
2008-06-17 00:00:00+00,25.78,25.78,23.6,25.59,-1.01,2989,150.82,9
2008-06-18 00:00:00+00,25.87,25.87,23.75,25.79,0.78,22,1.06,5
2008-06-19 00:00:00+00,25.84,25.84,23.6,24.79,-3.88,170,8.08,12
2008-06-20 00:00:00+00,25.8,25.8,23.6,25.25,1.86,409,19.32,9
2008-06-23 00:00:00+00,25.7,25.7,22.4,23.2,-8.12,966,45.1,18
2008-06-24 00:00:00+00,24.95,24.95,20.6,20.6,-11.21,333,14.2,20
2008-06-25 00:00:00+00,24.85,24.9,21.06,22.75,10.44,508,23.72,13
2008-06-26 00:00:00+00,23,23,20.06,21,-7.69,6607,277.43,22
2008-06-27 00:00:00+00,22.49,22.49,20,20.15,-4.05,11115,445.04,17
2008-06-30 00:00:00+00,22.4,22.4,19.4,21.2,5.21,669,26.52,15
2008-07-01 00:00:00+00,21,21,19.73,19.8,-6.6,749,30.26,8
2008-07-02 00:00:00+00,19.3,20.1,18.9,18.9,-4.55,3660,141.17,11
2008-07-03 00:00:00+00,18.95,20.79,17.4,18.39,-2.7,535,19.29,12
2008-07-04 00:00:00+00,18.5,18.5,17.4,17.7,-3.75,587,20.61,16
2008-07-07 00:00:00+00,18,18,16.21,16.21,-8.42,1144,38.92,9
2008-07-08 00:00:00+00,16.35,16.35,14.72,15,-7.46,2459,74.34,20
2008-07-09 00:00:00+00,15.3,16.05,15,16.05,7,4907,153.64,19
2008-07-10 00:00:00+00,15.35,15.95,14.5,15.9,-0.93,2615,79.66,18
2008-07-11 00:00:00+00,16.1,16.1,15.4,15.5,-2.52,1165,35.9,11
2008-07-14 00:00:00+00,16.1,16.5,15.4,16.1,3.87,2092,65.97,11
2008-07-15 00:00:00+00,15,15,14.94,15,-6.83,100510,3015.3,5
2008-07-16 00:00:00+00,15.1,15.1,14.5,14.5,-3.33,452,13.31,7
2008-07-17 00:00:00+00,14.59,15.5,14.5,15.5,6.9,984,29.12,11
2008-07-18 00:00:00+00,15.7,15.7,15,15.49,-0.06,502,15.16,5
2008-07-21 00:00:00+00,15.03,15.5,14.8,15.5,0.06,506,15.4,10
2008-07-22 00:00:00+00,15.7,15.7,15,15.5,0,653,19.61,12
2008-07-23 00:00:00+00,15,15.49,15,15,-3.23,637,19.11,6
2008-07-24 00:00:00+00,14.99,15.25,14.55,15,0,938,27.88,12
2008-07-25 00:00:00+00,14.3,15,14.3,14.31,-4.6,138,3.95,4
2008-07-28 00:00:00+00,14.7,14.7,14.2,14.2,-0.77,819,23.63,11
2008-07-29 00:00:00+00,14,14.2,14,14.2,0,272,7.65,5
2008-07-30 00:00:00+00,14.5,15.4,14.5,14.7,3.52,4512,134.2,24
2008-07-31 00:00:00+00,15,15.3,14.65,15.3,4.08,772,23.09,9
2008-08-01 00:00:00+00,15.6,15.6,15,15,-1.96,501,15.03,3
2008-08-04 00:00:00+00,18.5,18.5,14.69,14.69,-2.07,9307,291.44,61
2008-08-05 00:00:00+00,14.71,15,14,14,-4.7,41587,1175.51,85
2008-08-06 00:00:00+00,13.91,14.65,13.75,13.8,-1.43,3080,85.64,34
2008-08-07 00:00:00+00,14.3,14.3,13.45,13.45,-2.54,1578,42.73,20
2008-08-08 00:00:00+00,13.25,14.21,13.25,14.21,5.65,1850,51.87,18
