date,open,high,low,close,difference,volume,turnover,transactions
2013-07-03 00:00:00+00,0,0,0,11.6,0,0,0,0
2013-07-04 00:00:00+00,10.6,11.27,10.15,10.22,-11.9,133179,1432.8,508
2013-07-05 00:00:00+00,10,10.14,9.27,9.66,-5.48,193945,1855.28,660
2013-07-08 00:00:00+00,9.84,9.87,9.45,9.5,-1.66,48586,464.75,143
2013-07-09 00:00:00+00,9.4,9.4,8.46,8.62,-9.26,101490,893.82,432
2013-07-10 00:00:00+00,8.52,8.97,8.05,8.97,4.06,170662,1431.82,512
2013-07-11 00:00:00+00,9.08,9.46,9.03,9.43,5.13,48674,452.9,280
2013-07-12 00:00:00+00,9.49,9.5,9.2,9.35,-0.85,16124,150.93,121
2013-07-15 00:00:00+00,9.2,9.49,9.18,9.21,-1.5,8602,79.29,71
2013-07-16 00:00:00+00,9.22,9.39,9.13,9.26,0.54,26281,242.59,91
2013-07-17 00:00:00+00,9.25,9.25,8.89,8.99,-2.92,22975,206.81,102
2013-07-18 00:00:00+00,9,9.05,8.7,8.77,-2.45,27611,242.89,118
2013-07-19 00:00:00+00,8.72,9,8.72,8.89,1.37,22595,199.37,140
2013-07-22 00:00:00+00,8.85,9.1,8.85,9.05,1.8,16931,152.2,175
2013-07-23 00:00:00+00,8.94,9.08,8.94,9.05,0,10146,91.43,118
2013-07-24 00:00:00+00,8.72,8.96,8.7,8.92,-1.44,38048,334.94,224
2013-07-25 00:00:00+00,9.1,9.25,9,9.1,2.02,73853,670.25,246
2013-07-26 00:00:00+00,9.12,9.18,8.92,9.1,0,14514,131.76,113
2013-07-29 00:00:00+00,9,9.11,8.9,9.1,0,17566,157.84,86
2013-07-30 00:00:00+00,9.09,9.09,8.89,9.09,-0.11,12057,108.32,55
2013-07-31 00:00:00+00,8.97,10.84,8.93,10.15,11.66,244232,2434.07,758
2013-08-01 00:00:00+00,10.24,10.83,10.2,10.51,3.55,163741,1721.17,546
2013-08-02 00:00:00+00,10.7,10.7,10.05,10.05,-4.38,112361,1146.21,382
2013-08-05 00:00:00+00,9.9,9.99,9.79,9.86,-1.89,37004,364.84,147
2013-08-06 00:00:00+00,9.82,9.86,9.55,9.59,-2.74,41623,404.34,141
2013-08-07 00:00:00+00,9.59,9.86,9.22,9.4,-1.98,137292,1310.68,359
2013-08-08 00:00:00+00,9.41,9.73,9.41,9.65,2.66,123716,1188.19,192
2013-08-09 00:00:00+00,9.65,9.84,9.5,9.64,-0.1,106339,1027.64,187
2013-08-12 00:00:00+00,9.64,9.98,9.61,9.84,2.07,52234,514.44,211
2013-08-13 00:00:00+00,9.84,10.15,9.71,9.8,-0.41,101291,1009.03,307
2013-08-14 00:00:00+00,10.09,10.09,9.7,9.84,0.41,99814,985.64,282
2013-08-16 00:00:00+00,9.71,9.75,9.55,9.55,-2.95,44153,424.56,169
2013-08-19 00:00:00+00,9.6,9.79,9.45,9.67,1.26,75370,727.96,270
2013-08-20 00:00:00+00,9.75,9.75,9.37,9.6,-0.72,285407,2719.32,297
2013-08-21 00:00:00+00,9.6,9.67,9.44,9.53,-0.73,60999,580.7,201
2013-08-22 00:00:00+00,9.49,9.88,9.49,9.7,1.78,221157,2136.82,318
2013-08-23 00:00:00+00,9.7,9.75,9.56,9.6,-1.03,37947,366.64,139
2013-08-26 00:00:00+00,9.63,9.79,9.57,9.62,0.21,85406,823.18,188
2013-08-27 00:00:00+00,9.65,9.68,9.4,9.5,-1.25,90962,866.84,227
2013-08-28 00:00:00+00,9.45,9.48,9.34,9.47,-0.32,43950,413.55,136
2013-08-29 00:00:00+00,9.5,9.55,9.41,9.5,0.32,60013,569.53,122
2013-08-30 00:00:00+00,9.54,9.57,9.46,9.55,0.53,42056,400.59,111
2013-09-02 00:00:00+00,9.5,9.87,9.5,9.81,2.72,134810,1317.03,214
2013-09-03 00:00:00+00,9.83,10.05,9.71,9.9,0.92,87776,870.66,199
2013-09-04 00:00:00+00,9.98,10.42,9.81,9.86,-0.4,195616,1952.91,377
2013-09-05 00:00:00+00,9.86,9.99,9.3,9.58,-2.84,131253,1271.07,343
2013-09-06 00:00:00+00,9.47,9.83,9.45,9.79,2.19,43232,419.03,139
2013-09-09 00:00:00+00,9.85,10.08,9.85,10,2.15,99476,992.27,240
2013-09-10 00:00:00+00,10.02,10.2,9.91,10,0,84616,848.93,199
2013-09-11 00:00:00+00,10,10.15,10,10.1,1,39753,398.82,105
2013-09-12 00:00:00+00,10.16,10.16,10,10.1,0,33576,337.44,114
2013-09-13 00:00:00+00,10,10.12,9.98,10.05,-0.5,35101,351.57,102
2013-09-16 00:00:00+00,10.05,10.21,10,10.15,1,37323,377.13,110
2013-09-17 00:00:00+00,10.15,10.75,10.12,10.64,4.83,107310,1122.1,319
2013-09-18 00:00:00+00,10.65,11.27,10.6,11,3.38,131146,1441.87,379
2013-09-19 00:00:00+00,11.22,11.4,11.05,11.05,0.45,128585,1440.44,258
2013-09-20 00:00:00+00,11.1,11.19,10.81,10.95,-0.9,59345,649.9,164
2013-09-23 00:00:00+00,10.9,10.9,10.7,10.7,-2.28,27843,299.27,107
2013-09-24 00:00:00+00,10.65,10.8,10.5,10.5,-1.87,28769,303.27,108
2013-09-25 00:00:00+00,10.55,10.9,10.49,10.85,3.33,49546,526.49,156
2013-09-26 00:00:00+00,10.85,11.25,10.71,11.13,2.58,102501,1132.05,246
