date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,3.02,3.02,2.99,2.99,-3.24,6799,40.88,15
2005-01-04 00:00:00+00,2.99,3.13,2.99,3.03,1.34,18000,109.11,19
2005-01-05 00:00:00+00,3.03,3.16,3.02,3.07,1.32,28154,172.73,30
2005-01-06 00:00:00+00,3.07,3.3,3.03,3.3,7.49,26436,169.67,35
2005-01-07 00:00:00+00,3.31,3.75,3.31,3.65,10.61,65212,467.45,127
2005-01-10 00:00:00+00,3.7,3.98,3.7,3.9,6.85,54542,421.12,103
2005-01-11 00:00:00+00,3.94,3.94,3.6,3.65,-6.41,17243,127.33,43
2005-01-12 00:00:00+00,3.6,3.82,3.6,3.82,4.66,18294,135.94,44
2005-01-13 00:00:00+00,3.82,3.84,3.72,3.84,0.52,8573,65.29,18
2005-01-14 00:00:00+00,3.85,3.85,3.73,3.84,0,8247,62.92,19
2005-01-17 00:00:00+00,3.8,3.85,3.57,3.72,-3.13,9160,68.28,25
2005-01-18 00:00:00+00,3.72,3.78,3.57,3.77,1.34,12791,94.74,34
2005-01-19 00:00:00+00,3.62,3.75,3.42,3.56,-5.57,24764,177.34,70
2005-01-20 00:00:00+00,3.55,3.73,3.51,3.56,0,15721,113.53,34
2005-01-21 00:00:00+00,3.59,3.8,3.58,3.71,4.21,18363,137.38,38
2005-01-24 00:00:00+00,3.7,3.83,3.61,3.7,-0.27,7054,52.46,22
2005-01-25 00:00:00+00,3.75,3.81,3.7,3.7,0,4399,33.13,10
2005-01-26 00:00:00+00,3.62,3.8,3.62,3.68,-0.54,3481,25.93,12
2005-01-27 00:00:00+00,3.68,3.7,3.45,3.7,0.54,635,4.67,4
2005-01-28 00:00:00+00,3.7,3.75,3.65,3.66,-1.08,4228,31,7
2005-01-31 00:00:00+00,3.65,3.78,3.65,3.66,0,1235,9.15,5
2005-02-01 00:00:00+00,3.7,3.7,3.65,3.65,-0.27,3834,28.01,4
2005-02-02 00:00:00+00,3.65,3.65,3.65,3.65,0,3164,23.1,4
2005-02-03 00:00:00+00,3.65,3.72,3.65,3.66,0.27,3826,28.04,8
2005-02-04 00:00:00+00,3.68,3.7,3.65,3.7,1.09,6165,45.59,10
2005-02-07 00:00:00+00,3.72,4.24,3.72,4.15,12.16,31973,256.87,84
2005-02-08 00:00:00+00,4.28,4.47,4.28,4.45,7.23,31614,279.47,79
2005-02-09 00:00:00+00,4.44,4.45,4.22,4.22,-5.17,19455,168.95,40
