date,open,high,low,close,difference,volume,turnover,transactions
2017-09-04 00:00:00+00,8.2,8.2,8.2,8.2,0,2,0.02,2
2017-09-05 00:00:00+00,8.2,8.2,8.2,8.2,0,2,0.02,2
2017-09-06 00:00:00+00,8.2,8.2,7.89,8.2,0,952,7.51,3
2017-09-07 00:00:00+00,8.2,8.2,7.9,8,-2.44,1002,7.92,3
2017-09-08 00:00:00+00,8.2,8.2,7.89,8,0,27,0.21,3
2017-09-11 00:00:00+00,8,8.2,7.89,8.2,2.5,6695,53.92,9
2017-09-12 00:00:00+00,8.2,8.2,7.8,8.2,0,77,0.6,4
2017-09-13 00:00:00+00,8.2,8.2,8.2,8.2,0,1,0.01,1
2017-09-14 00:00:00+00,8.18,8.45,8.05,8.45,3.05,14586,119.6,19
2017-09-15 00:00:00+00,8.45,8.45,7.94,7.94,-6.04,1052,8.51,3
2017-09-18 00:00:00+00,8.2,8.2,7.94,8.2,3.27,698,5.54,5
2017-09-19 00:00:00+00,8.2,8.2,7.95,8.2,0,577,4.59,3
2017-09-20 00:00:00+00,8.2,8.2,8,8,-2.44,2,0.02,2
2017-09-21 00:00:00+00,8,8.2,8,8.2,2.5,118,0.94,3
2017-09-22 00:00:00+00,8.2,8.2,7.79,8.2,0,2818,22.27,7
2017-09-25 00:00:00+00,8.2,8.2,8.2,8.2,0,2,0.02,2
2017-09-26 00:00:00+00,8.2,8.2,8.15,8.15,-0.61,2,0.02,2
2017-09-27 00:00:00+00,8.2,8.2,7.81,8.1,-0.61,902,7.05,3
2017-09-28 00:00:00+00,8.2,8.2,8.1,8.1,0,2,0.02,2
2017-09-29 00:00:00+00,8.2,8.2,8.19,8.19,1.11,2,0.02,2
2017-10-02 00:00:00+00,7.8,8.15,7.8,8.15,-0.49,43,0.34,3
2017-10-03 00:00:00+00,8.15,8.15,7.84,8,-1.84,302,2.37,4
2017-10-04 00:00:00+00,8.15,8.15,7.85,8.15,1.88,2642,20.74,4
2017-10-05 00:00:00+00,8.15,8.15,8.15,8.15,0,2,0.02,2
2017-10-06 00:00:00+00,8.15,8.15,8.1,8.1,-0.61,2,0.02,2
2017-10-09 00:00:00+00,8.15,8.15,8.15,8.15,0.62,2,0.02,2
2017-10-10 00:00:00+00,8.15,8.15,8.15,8.15,0,2,0.02,2
2017-10-11 00:00:00+00,8.15,8.15,7.85,8.13,-0.25,902,7.08,3
2017-10-12 00:00:00+00,8.14,8.14,7.58,7.58,-6.77,1877,14.45,4
2017-10-13 00:00:00+00,8.13,8.13,7.56,7.56,-0.26,2,0.02,2
2017-10-16 00:00:00+00,8.13,8.13,7.21,7.21,-4.63,1938,13.98,4
2017-10-17 00:00:00+00,7.3,7.3,6.82,6.95,-3.61,228,1.57,4
2017-10-18 00:00:00+00,6.95,6.95,6.5,6.95,0,2154,14.06,6
2017-10-19 00:00:00+00,6.95,6.95,6.3,6.95,0,515,3.25,5
2017-10-20 00:00:00+00,6.95,6.95,6.95,6.95,0,35,0.24,2
2017-10-23 00:00:00+00,0,0,0,6.95,0,0,0,0
2017-10-24 00:00:00+00,0,0,0,6.95,0,0,0,0
2017-10-25 00:00:00+00,6.9,6.9,6.9,6.9,-0.72,68,0.47,3
2017-10-26 00:00:00+00,6.89,6.89,6.18,6.3,-8.7,548,3.39,3
2017-10-27 00:00:00+00,6.85,6.85,6.26,6.26,-0.63,3,0.02,3
2017-10-30 00:00:00+00,6.26,6.26,6.26,6.26,0,2,0.01,2
2017-10-31 00:00:00+00,6.6,6.6,6.6,6.6,5.43,1,0.01,1
2017-11-02 00:00:00+00,6.3,6.3,6.3,6.3,-4.55,2,0.01,2
2017-11-03 00:00:00+00,6.3,6.3,6.26,6.26,-0.63,2,0.01,2
2017-11-06 00:00:00+00,6.26,6.26,6.2,6.2,-0.96,2,0.01,2
2017-11-07 00:00:00+00,6.19,6.19,6.19,6.19,-0.16,2,0.01,2
2017-11-08 00:00:00+00,6.19,6.19,6,6.19,0,169,1.02,5
2017-11-09 00:00:00+00,6.19,6.19,5.8,6.19,0,206,1.2,4
2017-11-10 00:00:00+00,6.19,6.19,6.19,6.19,0,1,0.01,1
2017-11-13 00:00:00+00,6.18,6.18,6.18,6.18,-0.16,2,0.01,2
2017-11-14 00:00:00+00,6.18,6.18,5.8,6.18,0,1003,5.82,4
2017-11-15 00:00:00+00,6.18,6.18,5.8,6.18,0,35,0.21,3
2017-11-16 00:00:00+00,6.18,6.18,6.18,6.18,0,2,0.01,2
2017-11-17 00:00:00+00,6.18,6.18,6.18,6.18,0,2,0.01,2
2017-11-20 00:00:00+00,6.18,6.18,6.18,6.18,0,2,0.01,2
2017-11-21 00:00:00+00,6.18,6.3,6.05,6.3,1.94,3052,18.69,10
2017-11-22 00:00:00+00,6.3,6.3,6.3,6.3,0,1,0.01,1
2017-11-23 00:00:00+00,6.3,6.3,6.3,6.3,0,1,0.01,1
2017-11-24 00:00:00+00,6.24,6.24,6.24,6.24,-0.95,2,0.01,2
2017-11-27 00:00:00+00,6.24,6.24,6,6.23,-0.16,42,0.25,3
2017-11-28 00:00:00+00,6.23,6.3,6.01,6.3,1.12,2123,13.24,6
2017-11-29 00:00:00+00,6.3,6.3,6.3,6.3,0,2,0.01,2
2017-11-30 00:00:00+00,6.3,6.85,6.3,6.85,8.73,2975,19.32,25
2017-12-01 00:00:00+00,6.85,6.85,6.85,6.85,0,2,0.01,2
2017-12-04 00:00:00+00,6.85,6.85,6.62,6.62,-3.36,2,0.01,2
2017-12-05 00:00:00+00,6.85,6.85,6.5,6.72,1.51,1302,8.46,4
2017-12-06 00:00:00+00,6.85,6.85,6.72,6.72,0,2,0.01,2
2017-12-07 00:00:00+00,6.85,6.85,6.85,6.85,1.93,2,0.01,2
2017-12-08 00:00:00+00,6.85,6.85,6.85,6.85,0,2,0.01,2
2017-12-11 00:00:00+00,6.85,6.85,6.7,6.7,-2.19,2,0.01,2
2017-12-12 00:00:00+00,6.7,6.7,6.7,6.7,0,2,0.01,2
2017-12-13 00:00:00+00,6.7,6.7,6.41,6.7,0,528,3.39,5
2017-12-14 00:00:00+00,6.7,6.7,6.43,6.7,0,41,0.26,3
2017-12-15 00:00:00+00,6.7,6.85,6.7,6.85,2.24,2327,15.71,5
2017-12-18 00:00:00+00,6.7,6.97,6.7,6.97,1.75,877,5.88,5
2017-12-19 00:00:00+00,6.97,6.97,6.8,6.8,-2.44,2,0.01,2
2017-12-20 00:00:00+00,6.97,6.97,6.5,6.5,-4.41,747,4.97,3
2017-12-21 00:00:00+00,7,7,6.81,6.81,4.77,2,0.01,2
2017-12-22 00:00:00+00,6.81,6.81,6.51,6.81,0,287,1.87,5
2017-12-27 00:00:00+00,7,7,6.51,6.81,0,1235,8.04,4
2017-12-28 00:00:00+00,7,7,6.51,6.51,-4.41,67,0.44,3
2017-12-29 00:00:00+00,7,7,6.81,6.81,4.61,2,0.01,2
2018-01-03 00:00:00+00,7,7,6.5,6.8,0,1003,6.52,4
2018-01-04 00:00:00+00,7,7,6.4,6.5,-4.41,1200,7.68,3
2018-01-05 00:00:00+00,6.5,6.5,6.2,6.5,0,1002,6.21,3
2018-01-08 00:00:00+00,7,7,7,7,7.69,2,0.01,2
2018-01-09 00:00:00+00,7,7,7,7,0,2,0.01,2
2018-01-10 00:00:00+00,7,7,7,7,0,2,0.01,2
2018-01-11 00:00:00+00,7,7,6.25,6.25,-10.71,1001,6.26,2
2018-01-12 00:00:00+00,6.2,6.25,6.2,6.25,0,1173,7.28,2
2018-01-15 00:00:00+00,0,0,0,6.25,0,0,0,0
2018-01-16 00:00:00+00,6.45,6.45,6.25,6.25,0,1000,6.25,2
2018-01-17 00:00:00+00,6.45,6.45,6.25,6.25,0,150,0.94,2
2018-01-18 00:00:00+00,6.25,6.45,6.2,6.45,3.2,1001,6.22,4
2018-01-19 00:00:00+00,7,7,6.2,6.2,-3.88,1074,6.66,3
2018-01-22 00:00:00+00,6.2,6.2,6.2,6.2,0,2,0.01,2
2018-01-23 00:00:00+00,6.25,6.25,6,6.2,0,1602,9.66,5
2018-01-24 00:00:00+00,6.45,6.45,6.45,6.45,4.03,16,0.1,2
2018-01-25 00:00:00+00,6.45,6.45,6.45,6.45,0,2,0.01,2
2018-01-26 00:00:00+00,6.45,6.45,6.45,6.45,0,1,0.01,1
2018-01-29 00:00:00+00,6.45,6.45,6.45,6.45,0,1,0.01,1
2018-01-30 00:00:00+00,6.45,6.45,5.9,6.45,0,502,2.96,3
2018-01-31 00:00:00+00,6.45,6.45,6,6,-6.98,2,0.01,2
2018-02-01 00:00:00+00,6.45,6.45,5.85,5.85,-2.5,486,2.84,2
2018-02-02 00:00:00+00,5.9,5.9,5.9,5.9,0.85,101,0.6,101
2018-02-05 00:00:00+00,5.85,5.9,5.75,5.9,0,223,1.31,129
2018-02-06 00:00:00+00,5.9,5.9,5.35,5.35,-9.32,2855,15.5,115
2018-02-07 00:00:00+00,5.75,5.75,5.2,5.2,-2.8,542,2.82,542
2018-02-08 00:00:00+00,5.35,5.35,5.15,5.15,-0.96,1662,8.58,113
2018-02-09 00:00:00+00,5.05,5.25,5,5.25,1.94,2004,10.1,69
2018-02-12 00:00:00+00,0,0,0,5.25,0,0,0,0
2018-02-13 00:00:00+00,5.75,5.75,5.75,5.75,9.52,1,0.01,1
2018-02-14 00:00:00+00,5.75,5.75,5.75,5.75,0,2,0.01,2
2018-02-15 00:00:00+00,5.5,5.75,5.5,5.75,0,3,0.02,3
2018-02-16 00:00:00+00,5.75,5.75,5.75,5.75,0,1,0.01,1
2018-02-19 00:00:00+00,5.75,5.75,5.75,5.75,0,2,0.01,2
2018-02-20 00:00:00+00,5.65,5.65,5.65,5.65,-1.74,1,0.01,1
2018-02-21 00:00:00+00,5.55,5.55,5.05,5.15,-8.85,3999,20.2,2500
2018-02-22 00:00:00+00,5.05,5.05,5.05,5.05,-1.94,100,0.51,1
2018-02-23 00:00:00+00,0,0,0,5.05,0,0,0,0
