date,open,high,low,close,difference,volume,turnover,transactions
2008-04-21 00:00:00+00,484.9,484.9,421,421,-3.17,76,69.68,11
2008-04-22 00:00:00+00,399,400,390,400,-4.99,17,13.36,4
2008-04-23 00:00:00+00,0,0,0,400,0,0,0,0
2008-04-24 00:00:00+00,0,0,0,400,0,0,0,0
2008-04-25 00:00:00+00,0,0,0,400,0,0,0,0
2008-04-28 00:00:00+00,0,0,0,400,0,0,0,0
2008-04-29 00:00:00+00,360,362,360,361,-9.75,122,87.89,6
2008-04-30 00:00:00+00,350,350,340,345,-4.43,195,135.06,6
2008-05-05 00:00:00+00,324,325,324,324,-6.09,36,23.34,6
2008-05-06 00:00:00+00,300,303,281,295,-8.95,102,58.8,11
2008-05-07 00:00:00+00,295,314,295,306,3.73,143,84.88,15
2008-05-08 00:00:00+00,299.9,299.9,299.9,299.9,-1.99,1,0.6,1
2008-05-09 00:00:00+00,298,298,298,298,-0.63,1,0.6,1
2008-05-12 00:00:00+00,275.1,276.1,275.1,276.1,-7.35,41,22.64,3
2008-05-13 00:00:00+00,275.1,289.9,275,289,4.67,23,12.97,5
2008-05-14 00:00:00+00,290,290,290,290,0.35,4,2.32,1
2008-05-15 00:00:00+00,291,291.9,280,291.9,0.66,27,15.23,4
2008-05-16 00:00:00+00,294.8,299,294,299,2.43,71,42.18,5
2008-05-19 00:00:00+00,300,300,300,300,0.33,49,29.4,6
2008-05-20 00:00:00+00,315,315,315,315,5,1,0.63,1
2008-05-21 00:00:00+00,314.9,315,314.9,315,0,11,6.93,2
2008-05-23 00:00:00+00,309,309,309,309,-1.9,1,0.62,1
2008-05-26 00:00:00+00,0,0,0,309,0,0,0,0
2008-05-27 00:00:00+00,310,310,310,310,0.32,1,0.62,1
2008-05-28 00:00:00+00,309,309,309,309,-0.32,1,0.62,1
2008-05-29 00:00:00+00,309,309,309,309,0,1,0.62,1
2008-05-30 00:00:00+00,309,309,309,309,0,4,2.47,2
2008-06-02 00:00:00+00,309,309,300.2,300.2,-2.85,4,2.42,2
2008-06-03 00:00:00+00,305,305,305,305,1.6,4,2.44,2
2008-06-04 00:00:00+00,0,0,0,305,0,0,0,0
2008-06-05 00:00:00+00,0,0,0,305,0,0,0,0
2008-06-06 00:00:00+00,310,310,310,310,1.64,96,59.52,4
2008-06-09 00:00:00+00,311,311,311,311,0.32,1,0.62,1
2008-06-10 00:00:00+00,305,305,305,305,-1.93,20,12.2,1
2008-06-11 00:00:00+00,0,0,0,305,0,0,0,0
2008-06-12 00:00:00+00,0,0,0,305,0,0,0,0
2008-06-13 00:00:00+00,309,309,309,309,1.31,1,0.62,1
2008-06-16 00:00:00+00,290.1,290.1,290.1,290.1,-6.12,1,0.58,1
2008-06-17 00:00:00+00,300,300,300,300,3.41,10,6,2
2008-06-18 00:00:00+00,0,0,0,300,0,0,0,0
2008-06-19 00:00:00+00,280,283,280,283,-5.67,140,78.62,3
2008-06-20 00:00:00+00,276.1,276.1,200,200,-29.33,766,326.32,50
2008-06-23 00:00:00+00,0,0,0,200,0,0,0,0
2008-06-24 00:00:00+00,0,0,0,200,0,0,0,0
2008-06-25 00:00:00+00,0,0,0,200,0,0,0,0
2008-06-26 00:00:00+00,0,0,0,200,0,0,0,0
2008-06-27 00:00:00+00,0,0,0,200,0,0,0,0
2008-06-30 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-01 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-02 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-03 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-04 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-07 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-08 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-09 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-10 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-11 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-14 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-15 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-16 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-17 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-18 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-21 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-22 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-23 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-24 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-25 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-28 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-29 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-30 00:00:00+00,0,0,0,200,0,0,0,0
2008-07-31 00:00:00+00,103,149,103,147,-26.5,1523,371.11,72
2008-08-01 00:00:00+00,149.3,159.8,142,159.8,8.71,490,149.08,22
