date,open,high,low,close,difference,volume,turnover,transactions
2012-04-19 00:00:00+00,13.65,13.86,13.29,13.84,6.46,162038,2204.66,393
2012-04-20 00:00:00+00,13.84,14.05,13.51,13.9,0.43,32719,452.46,139
2012-04-23 00:00:00+00,13.93,13.93,13.45,13.55,-2.52,7609,103.52,45
2012-04-24 00:00:00+00,13.55,13.65,13.5,13.5,-0.37,6939,93.92,29
2012-04-25 00:00:00+00,13.5,13.71,13.5,13.71,1.56,10950,149.03,29
2012-04-26 00:00:00+00,13.5,13.74,13.5,13.74,0.22,892,12.1,8
2012-04-27 00:00:00+00,13.75,14.18,13.55,14.02,2.04,58021,809.52,96
2012-04-30 00:00:00+00,14,14.18,14,14.08,0.43,3683,51.75,18
2012-05-02 00:00:00+00,14.07,14.1,13.9,14.08,0,11509,162.06,38
2012-05-04 00:00:00+00,14.08,14.08,14,14.02,-0.43,1495,20.94,7
2012-05-07 00:00:00+00,13.8,14,13.8,13.98,-0.29,2033,28.28,11
2012-05-08 00:00:00+00,13.8,13.88,13.52,13.88,-0.72,3897,53.66,14
2012-05-09 00:00:00+00,13.75,13.77,13.5,13.7,-1.3,2789,37.94,12
2012-05-10 00:00:00+00,13.83,13.83,13.82,13.83,0.95,233,3.22,5
2012-05-11 00:00:00+00,13.5,13.7,13.2,13.5,-2.39,3127,41.95,12
2012-05-14 00:00:00+00,13.5,13.5,13.4,13.45,-0.37,1588,21.31,7
2012-05-15 00:00:00+00,13.12,13.49,13,13.49,0.3,2179,28.99,14
2012-05-16 00:00:00+00,13.2,13.5,13.01,13.15,-2.52,18044,238.17,28
2012-05-17 00:00:00+00,13.15,13.53,13.02,13.5,2.66,10957,146.37,41
2012-05-18 00:00:00+00,13.2,13.4,12.53,13.4,-0.74,4621,60.39,21
2012-05-21 00:00:00+00,13.07,13.5,13.07,13.5,0.75,11206,150.74,12
2012-05-22 00:00:00+00,13.3,13.5,13.17,13.5,0,34936,460.31,9
2012-05-23 00:00:00+00,13.4,13.5,13.07,13.5,0,1505,20.06,6
2012-05-24 00:00:00+00,13.49,13.49,13.14,13.44,-0.44,2373,31.55,9
2012-05-25 00:00:00+00,13.4,13.4,13.4,13.4,-0.3,220,2.95,2
2012-05-28 00:00:00+00,13.07,13.3,13.07,13.3,-0.75,4100,54.51,5
2012-05-29 00:00:00+00,13.39,13.4,13.1,13.1,-1.5,11700,153.33,5
2012-05-30 00:00:00+00,13.07,13.25,13.02,13.09,-0.08,1323,17.29,11
2012-05-31 00:00:00+00,13.09,13.09,12.91,12.99,-0.76,1531,19.85,22
2012-06-01 00:00:00+00,12.99,13.08,12.59,12.88,-0.85,2162,27.68,14
2012-06-04 00:00:00+00,12.87,13.01,12.69,12.87,-0.08,300,3.86,6
2012-06-05 00:00:00+00,12.85,12.85,12.46,12.75,-0.93,1075,13.56,8
2012-06-06 00:00:00+00,12.43,12.75,12.43,12.74,-0.08,15902,202.02,14
2012-06-08 00:00:00+00,12.75,13.5,12.75,13.5,5.97,3697,47.97,11
2012-06-11 00:00:00+00,13.5,13.5,13.17,13.39,-0.81,1444,19.36,5
2012-06-12 00:00:00+00,13.2,13.2,13.06,13.06,-2.46,719,9.41,2
2012-06-13 00:00:00+00,12.8,12.8,12.6,12.6,-3.52,1039,13.29,2
2012-06-14 00:00:00+00,12.7,12.7,12.7,12.7,0.79,400,5.08,1
2012-06-15 00:00:00+00,12.7,13,12.7,13,2.36,20,0.26,2
2012-06-18 00:00:00+00,12.68,12.98,12.68,12.98,-0.15,875,11.27,2
2012-06-19 00:00:00+00,13,13.5,12.98,13.5,4.01,797,10.63,7
2012-06-20 00:00:00+00,13.17,13.3,13,13.3,-1.48,1366,18.03,4
2012-06-21 00:00:00+00,12.97,13.28,12.97,13.28,-0.15,415,5.38,2
2012-06-22 00:00:00+00,0,0,0,13.28,0,0,0,0
2012-06-25 00:00:00+00,12.95,13.2,12.29,13.2,-0.6,2197,28.04,10
2012-06-26 00:00:00+00,13,13.1,12.68,13.1,-0.76,286,3.71,6
2012-06-27 00:00:00+00,13.15,13.3,13.15,13.3,1.53,1247,16.48,5
2012-06-28 00:00:00+00,0,0,0,13.3,0,0,0,0
2012-06-29 00:00:00+00,13.29,13.3,13.29,13.3,0,505,6.71,5
2012-07-02 00:00:00+00,13.31,13.45,12.98,13.3,0,997,13.15,10
2012-07-03 00:00:00+00,12.98,13.45,12.97,13.45,1.13,1520,20,8
2012-07-04 00:00:00+00,13.12,13.12,13.12,13.12,-2.45,573,7.52,1
2012-07-05 00:00:00+00,12.8,13,12.79,13,-0.91,744,9.52,5
2012-07-06 00:00:00+00,12.7,13.1,12.7,13.1,0.77,1032,13.13,5
2012-07-09 00:00:00+00,0,0,0,13.1,0,0,0,0
2012-07-10 00:00:00+00,12.77,12.95,12.5,12.95,-1.15,1631,20.62,7
2012-07-11 00:00:00+00,12.63,12.63,12.3,12.59,-2.78,927,11.62,6
2012-07-12 00:00:00+00,12.89,13.05,12.89,13.05,3.65,80,1.03,3
2012-07-13 00:00:00+00,12.73,13.05,12.73,13.05,0,730,9.31,6
2012-07-16 00:00:00+00,12.73,12.75,12.46,12.75,-2.3,1077,13.57,6
2012-07-17 00:00:00+00,12.95,12.95,12.95,12.95,1.57,20,0.26,1
2012-07-18 00:00:00+00,12.63,12.79,12.1,12.75,-1.54,11174,137.86,27
2012-07-19 00:00:00+00,12.85,12.85,12.18,12.84,0.71,1985,24.63,10
2012-07-20 00:00:00+00,12.9,12.9,12.58,12.85,0.08,107,1.35,3
2012-07-23 00:00:00+00,12.16,12.8,11.7,12.15,-5.45,7565,92.25,48
2012-07-24 00:00:00+00,12.44,12.5,11.8,12.5,2.88,3088,37.68,16
2012-07-25 00:00:00+00,12.19,12.5,11.89,12,-4,1353,16.22,16
2012-07-26 00:00:00+00,11.7,11.79,11.13,11.49,-4.25,8627,98,32
2012-07-27 00:00:00+00,11.9,11.9,11.49,11.86,3.22,2791,32.22,17
2012-07-30 00:00:00+00,11.78,12.5,11.74,12.49,5.31,8325,100.38,30
2012-07-31 00:00:00+00,12.4,12.75,12.35,12.57,0.64,3092,38.63,15
2012-08-01 00:00:00+00,12.8,12.8,12.15,12.29,-2.23,3392,41.95,10
2012-08-02 00:00:00+00,12.99,13.29,12.2,12.55,2.12,3230,40.44,12
2012-08-03 00:00:00+00,12.55,12.85,12.55,12.85,2.39,2000,25.52,5
2012-08-06 00:00:00+00,12.9,13.3,12.78,12.78,-0.54,3948,50.68,16
2012-08-07 00:00:00+00,13.2,13.2,12.5,12.78,0,794,10.17,5
2012-08-08 00:00:00+00,12.88,12.88,12,12.77,-0.08,2636,32.71,20
2012-08-09 00:00:00+00,12.45,12.6,12,12.6,-1.33,8380,101.24,10
2012-08-10 00:00:00+00,12.29,12.29,12.29,12.29,-2.46,612,7.52,1
2012-08-13 00:00:00+00,12.4,12.4,12.4,12.4,0.9,712,8.83,2
2012-08-14 00:00:00+00,12.4,12.6,12,12.6,1.61,1127,14.14,6
2012-08-16 00:00:00+00,12.5,12.5,12.5,12.5,-0.79,80,1,1
2012-08-17 00:00:00+00,12.49,12.5,12.18,12.5,0,8371,104.42,7
2012-08-20 00:00:00+00,0,0,0,12.5,0,0,0,0
2012-08-21 00:00:00+00,12.3,12.3,11.99,12,-4,1480,17.8,7
2012-08-22 00:00:00+00,11.9,12,11.51,12,0,1654,19.64,9
2012-08-23 00:00:00+00,12.27,12.27,12,12,0,200,2.44,2
2012-08-24 00:00:00+00,11.7,11.98,11.7,11.98,-0.17,250,2.98,2
2012-08-27 00:00:00+00,11.68,11.96,11.68,11.96,-0.17,171,2.04,2
2012-08-28 00:00:00+00,0,0,0,11.96,0,0,0,0
2012-08-29 00:00:00+00,11.7,12,11.7,12,0.33,602,7.1,4
2012-08-30 00:00:00+00,11.5,12,9.77,10.8,-10,39742,403.85,74
2012-08-31 00:00:00+00,10.81,10.98,9.9,10.98,1.67,151922,1576.02,54
2012-09-03 00:00:00+00,10.81,10.85,10.43,10.85,-1.18,488,5.24,5
2012-09-04 00:00:00+00,10.58,10.58,10.2,10.5,-3.23,15571,162.05,16
2012-09-05 00:00:00+00,10.24,10.24,9.7,9.7,-7.62,5800,58.02,24
2012-09-06 00:00:00+00,9.87,10.5,9.5,9.8,1.03,2135,20.8,10
2012-09-07 00:00:00+00,9.8,9.8,9.49,9.49,-3.16,510941,4854.06,27
2012-09-10 00:00:00+00,9.5,9.5,9,9.19,-3.16,2514,23.14,11
2012-09-11 00:00:00+00,9.4,9.4,9.01,9.02,-1.85,2641,24.53,12
2012-09-12 00:00:00+00,9.03,9.45,9,9.45,4.77,16201,146.66,17
2012-09-13 00:00:00+00,9.57,9.57,9.32,9.57,1.27,22768,215.15,7
2012-09-14 00:00:00+00,9.58,9.81,9.36,9.81,2.51,2087,19.91,9
2012-09-17 00:00:00+00,9.89,10.4,9.89,10.1,2.96,3966,39.83,19
2012-09-18 00:00:00+00,10.1,10.58,9.3,10.1,0,5414,53.5,23
2012-09-19 00:00:00+00,10.5,10.5,9.7,9.9,-1.98,54222,532.8,15
2012-09-20 00:00:00+00,10.09,10.29,10,10.29,3.94,4353,44.17,11
2012-09-21 00:00:00+00,10.5,10.5,10.27,10.35,0.58,54736,564.3,19
2012-09-24 00:00:00+00,10.27,10.27,9.84,10.1,-2.42,2674,26.99,10
2012-09-25 00:00:00+00,10.5,10.5,9.89,10.5,3.96,57741,594.43,46
2012-09-26 00:00:00+00,10.3,10.3,10.3,10.3,-1.9,50000,515,1
2012-09-27 00:00:00+00,10.35,10.5,10.19,10.5,1.94,1820,19,4
2012-09-28 00:00:00+00,10.5,10.99,10.5,10.69,1.81,51308,550.62,60
2012-10-01 00:00:00+00,10.83,10.83,10.56,10.7,0.09,50861,546.43,20
2012-10-02 00:00:00+00,10.9,10.9,10.7,10.7,0,51873,559.63,9
2012-10-03 00:00:00+00,10.95,10.95,10.7,10.7,0,711,7.76,5
2012-10-04 00:00:00+00,10.94,10.94,10.94,10.94,2.24,2,0.02,1
2012-10-05 00:00:00+00,10.94,10.94,10.4,10.94,0,1329,14.15,10
2012-10-08 00:00:00+00,10.67,10.67,10.03,10.35,-5.39,5431,56.64,15
2012-10-09 00:00:00+00,10.35,10.35,10.35,10.35,0,100,1.04,1
2012-10-10 00:00:00+00,0,0,0,10.35,0,0,0,0
2012-10-11 00:00:00+00,9.83,9.87,9,9,-13.04,9966,92.89,60
2012-10-12 00:00:00+00,9.12,9.14,8.99,9,0,2182,19.78,18
2012-10-15 00:00:00+00,9,9.02,9,9.02,0.22,284,2.56,2
2012-10-16 00:00:00+00,9.06,9.06,9.06,9.06,0.44,45,0.41,2
2012-10-17 00:00:00+00,9.05,9.05,9.05,9.05,-0.11,2,0.02,1
2012-10-18 00:00:00+00,9,9,8.76,9,-0.55,821,7.28,6
2012-10-19 00:00:00+00,9,9,8.78,9,0,1028,9.08,6
2012-10-22 00:00:00+00,8.79,8.79,8.26,8.5,-5.56,4672,39.12,21
2012-10-23 00:00:00+00,8.5,8.5,8.5,8.5,0,189,1.61,3
2012-10-24 00:00:00+00,8.3,8.3,7.62,8.05,-5.29,5091,40.9,21
2012-10-25 00:00:00+00,0,0,0,8.05,0,0,0,0
2012-10-26 00:00:00+00,7.98,7.98,7.98,7.98,-0.87,350,2.79,2
2012-10-29 00:00:00+00,7.98,7.98,7.7,7.8,-2.26,2331,18.36,10
2012-10-30 00:00:00+00,0,0,0,7.8,0,0,0,0
2012-10-31 00:00:00+00,7.8,7.97,7.61,7.97,2.18,1901,14.77,9
2012-11-02 00:00:00+00,7.98,7.98,7.61,7.61,-4.52,476,3.75,4
2012-11-05 00:00:00+00,7.71,7.81,7.71,7.81,2.63,910,7.08,6
2012-11-06 00:00:00+00,7.75,7.96,7.75,7.96,1.92,1601,12.53,7
2012-11-07 00:00:00+00,7.95,8.06,7.9,7.9,-0.75,6640,53.17,11
2012-11-08 00:00:00+00,7.98,7.98,7.98,7.98,1.01,141,1.13,1
2012-11-09 00:00:00+00,0,0,0,7.98,0,0,0,0
2012-11-12 00:00:00+00,8,8,8,8,0.25,400,3.2,2
2012-11-13 00:00:00+00,7.82,7.84,7.75,7.75,-3.13,2462,19.18,8
