date,open,high,low,close,difference,volume,turnover,transactions
2011-11-28 00:00:00+00,8,8,7.5,7.5,1.63,5782,45.03,21
2011-11-29 00:00:00+00,7.1,7.2,7.05,7.2,-4,1577,11.2,7
2011-11-30 00:00:00+00,0,0,0,7.2,0,0,0,0
2011-12-01 00:00:00+00,7,7,7,7,-2.78,100,0.7,1
2011-12-02 00:00:00+00,7,7,7,7,0,500,3.5,1
2011-12-05 00:00:00+00,7.2,7.2,7.2,7.2,2.86,33,0.24,1
2011-12-06 00:00:00+00,7.5,7.5,7.15,7.15,-0.69,350,2.52,2
2011-12-07 00:00:00+00,7.5,7.5,7.5,7.5,4.9,100,0.75,1
2011-12-08 00:00:00+00,0,0,0,7.5,0,0,0,0
2011-12-09 00:00:00+00,0,0,0,7.5,0,0,0,0
2011-12-12 00:00:00+00,7.25,7.25,7.1,7.1,-5.33,1000,7.12,2
2011-12-13 00:00:00+00,0,0,0,7.1,0,0,0,0
2011-12-14 00:00:00+00,0,0,0,7.1,0,0,0,0
2011-12-15 00:00:00+00,0,0,0,7.1,0,0,0,0
2011-12-16 00:00:00+00,0,0,0,7.1,0,0,0,0
2011-12-19 00:00:00+00,0,0,0,7.1,0,0,0,0
2011-12-20 00:00:00+00,0,0,0,7.1,0,0,0,0
2011-12-21 00:00:00+00,0,0,0,7.1,0,0,0,0
2011-12-22 00:00:00+00,0,0,0,7.1,0,0,0,0
2011-12-23 00:00:00+00,6.7,6.7,6.5,6.5,-8.45,1013,6.59,3
2011-12-27 00:00:00+00,6.01,6.01,6.01,6.01,-7.54,100,0.6,1
2011-12-28 00:00:00+00,0,0,0,6.01,0,0,0,0
2011-12-29 00:00:00+00,6,6.5,6,6.5,8.15,400,2.45,2
2011-12-30 00:00:00+00,0,0,0,6.5,0,0,0,0
2012-01-02 00:00:00+00,0,0,0,6.5,0,0,0,0
2012-01-03 00:00:00+00,0,0,0,6.5,0,0,0,0
2012-01-04 00:00:00+00,0,0,0,6.5,0,0,0,0
2012-01-05 00:00:00+00,0,0,0,6.5,0,0,0,0
2012-01-09 00:00:00+00,0,0,0,6.5,0,0,0,0
2012-01-10 00:00:00+00,0,0,0,6.5,0,0,0,0
2012-01-11 00:00:00+00,0,0,0,6.5,0,0,0,0
2012-01-12 00:00:00+00,0,0,0,6.5,0,0,0,0
2012-01-13 00:00:00+00,6.5,6.5,6.5,6.5,0,200,1.3,2
2012-01-16 00:00:00+00,0,0,0,6.5,0,0,0,0
2012-01-17 00:00:00+00,0,0,0,6.5,0,0,0,0
