date,open,high,low,close,difference,volume,turnover,transactions
2022-03-17 00:00:00+00,238,258,238,254,7.63,1175,292.46,72
2022-03-18 00:00:00+00,254,254,246,250,-1.57,85,21.48,16
2022-03-21 00:00:00+00,248,250,246,250,0,393,97.85,27
2022-03-22 00:00:00+00,252,254,248,252,0.8,445,112.03,23
2022-03-23 00:00:00+00,258,260,250,258,2.38,274,70.8,29
2022-03-24 00:00:00+00,258,262,254,262,1.55,554,143.77,40
2022-03-25 00:00:00+00,262,262,254,254,-3.05,129,33.37,18
2022-03-28 00:00:00+00,256,256,250,254,0,391,99.17,23
2022-03-29 00:00:00+00,254,254,246,248,-2.36,332,82.81,28
2022-03-30 00:00:00+00,250,250,246,248,0,270,66.92,17
2022-03-31 00:00:00+00,244,250,240,248,0,484,118.39,36
2022-04-01 00:00:00+00,248,248,240,246,-0.81,1176,288.41,40
2022-04-04 00:00:00+00,250,252,246,248,0.81,484,120.84,29
2022-04-05 00:00:00+00,248,250,244,248,0,196,48.49,14
2022-04-06 00:00:00+00,248,248,236,236,-4.84,193,46.28,21
2022-04-07 00:00:00+00,238,248,238,248,5.08,211,51.77,18
2022-04-08 00:00:00+00,248,248,240,246,-0.81,95,23.12,13
2022-04-11 00:00:00+00,250,250,246,246,0,316,78.38,23
2022-04-12 00:00:00+00,250,250,242,248,0.81,230,57.06,17
2022-04-13 00:00:00+00,248,250,248,250,0.81,273,67.71,14
2022-04-14 00:00:00+00,252,252,246,250,0,551,137.53,33
2022-04-19 00:00:00+00,248,250,245,248,-0.8,606,150.74,35
2022-04-20 00:00:00+00,248,248,246,246,-0.81,260,64.3,16
2022-04-21 00:00:00+00,248,248,245,248,0.81,617,152.71,27
2022-04-22 00:00:00+00,246,248,240,240,-3.23,354,86.49,24
2022-04-25 00:00:00+00,244,244,232,232,-3.33,128,30.42,17
2022-04-26 00:00:00+00,243,249,240,240,3.45,342,84.07,26
2022-04-27 00:00:00+00,240,240,228,230,-4.17,859,202.17,23
2022-04-28 00:00:00+00,235,248,234,248,7.83,276,67.5,22
2022-04-29 00:00:00+00,245,248,245,245,-1.21,167,41.15,12
2022-05-02 00:00:00+00,242,242,234,234,-4.49,15,3.54,5
2022-05-04 00:00:00+00,234,239,225,226,-3.42,254,58.46,25
2022-05-05 00:00:00+00,227,232,227,230,1.77,28,6.46,6
2022-05-06 00:00:00+00,227,228,224,225,-2.17,289,65.15,19
2022-05-09 00:00:00+00,226,229,210,221,-1.78,655,144.04,35
2022-05-10 00:00:00+00,221,221,221,221,0,73,16.13,6
2022-05-11 00:00:00+00,221,225,216,216,-2.26,86,18.95,10
2022-05-12 00:00:00+00,220,220,210,210,-2.78,175,37.35,22
2022-05-13 00:00:00+00,210,215,204,211,0.48,137,28.75,18
2022-05-16 00:00:00+00,213,224,213,224,6.16,59,12.79,10
2022-05-17 00:00:00+00,228,229,225,228,1.79,105,23.89,10
2022-05-18 00:00:00+00,230,231,228,228,0,122,28.04,12
2022-05-19 00:00:00+00,229,230,229,229,0.44,44,10.08,4
2022-05-20 00:00:00+00,230,230,230,230,0.44,197,45.31,5
2022-05-23 00:00:00+00,230,245,230,245,6.52,400,93.27,30
2022-05-24 00:00:00+00,248,252,245,250,2.04,2333,580.56,44
2022-05-25 00:00:00+00,242,248,240,240,-4,827,202.39,24
2022-05-26 00:00:00+00,243,248,240,240,0,37,9.12,12
2022-05-27 00:00:00+00,242,246,239,246,2.5,552,133.72,18
2022-05-30 00:00:00+00,247,249,247,249,1.22,1231,306.3,27
2022-05-31 00:00:00+00,250,270,250,264,6.02,756,196.81,35
2022-06-01 00:00:00+00,265,272,259,272,3.03,535,142.86,28
2022-06-02 00:00:00+00,272,272,257,265,-2.57,562,148.32,20
2022-06-03 00:00:00+00,272,272,265,265,0,132,35.51,10
2022-06-06 00:00:00+00,275,275,267,269,1.51,364,97.62,17
2022-06-07 00:00:00+00,270,271,268,271,0.74,277,74.76,19
2022-06-08 00:00:00+00,271,274,270,274,1.11,233,63.46,25
2022-06-09 00:00:00+00,274,275,272,275,0.37,239,65.19,16
2022-06-10 00:00:00+00,275,275,270,270,-1.82,517,141.67,25
2022-06-13 00:00:00+00,274,274,250,255,-5.56,424,109.01,24
2022-06-14 00:00:00+00,251,252,250,250,-1.96,107,26.79,9
2022-06-15 00:00:00+00,255,256,248,248,-0.8,95,24.1,7
2022-06-17 00:00:00+00,256,263,250,263,6.05,1168,294.34,30
2022-06-20 00:00:00+00,260,282,260,280,6.46,244,66.52,22
2022-06-21 00:00:00+00,280,281,274,280,0,8500,2380.02,26
2022-06-22 00:00:00+00,280,280,271,271,-3.21,111,30.97,12
2022-06-23 00:00:00+00,271,280,269,280,3.32,140,39.02,13
2022-06-24 00:00:00+00,282,290,280,280,0,199,56.76,26
2022-06-27 00:00:00+00,283,290,283,290,3.57,356,102.02,26
2022-06-28 00:00:00+00,290,290,271,277,-4.48,756,212.99,41
2022-06-29 00:00:00+00,285,296,282,284,2.53,916,263.43,82
2022-06-30 00:00:00+00,290,293,280,293,3.17,352,101.16,36
2022-07-01 00:00:00+00,293,293,277,284,-3.07,290,82.62,31
2022-07-04 00:00:00+00,285,293,277,284,0,240,68.11,35
2022-07-05 00:00:00+00,286,290,277,277,-2.46,141,39.85,17
2022-07-06 00:00:00+00,284,288,284,288,3.97,179,51.3,11
2022-07-07 00:00:00+00,290,305,289,303,5.21,378,113.25,39
2022-07-08 00:00:00+00,293,304,293,300,-0.99,254,75.6,28
2022-07-11 00:00:00+00,307,309,295,301,0.33,576,172.24,34
2022-07-12 00:00:00+00,301,301,299,299,-0.66,77,23.03,10
2022-07-13 00:00:00+00,298,302,290,295,-1.34,173,51,26
2022-07-14 00:00:00+00,297,302,292,293,-0.68,89,26.25,9
2022-07-15 00:00:00+00,293,296,293,296,1.02,180,52.98,18
2022-07-18 00:00:00+00,299,306,299,303,2.36,652,196.7,29
2022-07-19 00:00:00+00,304,306,298,298,-1.65,180,54.06,19
