date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,156,156,154,155,-0.64,901,278.73,23
2005-01-04 00:00:00+00,156,156,152,154,-0.65,768,235.21,32
2005-01-05 00:00:00+00,152,152,146,147,-4.55,3685,1094.91,84
2005-01-06 00:00:00+00,148,150,145,147,0,1617,476.4,57
2005-01-07 00:00:00+00,147,150,144.5,145.5,-1.02,1318,384.4,41
2005-01-10 00:00:00+00,146,146,140,143,-1.72,1461,417.77,52
2005-01-11 00:00:00+00,140,140,135,138.5,-3.15,4251,1165.41,95
2005-01-12 00:00:00+00,136.5,139,136.5,137.5,-0.72,898,246.6,47
2005-01-13 00:00:00+00,136,136,132,132,-4,3537,947.38,89
2005-01-14 00:00:00+00,133,133,128.5,131.5,-0.38,9260,2409.26,152
2005-01-17 00:00:00+00,132,134,131.5,132.5,0.76,982,259.75,47
2005-01-18 00:00:00+00,131,131,125,130,-1.89,6516,1692.33,118
2005-01-19 00:00:00+00,129,134.5,129,134.5,3.46,3264,863,79
2005-01-20 00:00:00+00,133,133,131,132,-1.86,1210,318.72,32
2005-01-21 00:00:00+00,132,132,131,132,0,603,158.63,21
2005-01-24 00:00:00+00,131.5,131.5,130.5,131.5,-0.38,301,79.12,14
2005-01-25 00:00:00+00,129.5,131.5,129.5,130.5,-0.76,308,80.5,18
2005-01-26 00:00:00+00,132,132,130.5,131,0.38,659,173.08,27
2005-01-27 00:00:00+00,130.5,131,129,130,-0.76,960,249.75,28
2005-01-28 00:00:00+00,131,132,129.5,131.5,1.15,1666,434.71,45
2005-01-31 00:00:00+00,132,136.5,132,135,2.66,2683,718.67,73
2005-02-01 00:00:00+00,135,137,135,136,0.74,1337,362.28,50
2005-02-02 00:00:00+00,136,136,133,135,-0.74,702,189.47,26
2005-02-03 00:00:00+00,133.5,134.5,133.5,134.5,-0.37,280,74.82,15
2005-02-04 00:00:00+00,134,135,132.5,134.5,0,1685,449.59,34
2005-02-07 00:00:00+00,135.5,135.5,132.5,135,0.37,2181,585.49,75
2005-02-08 00:00:00+00,136.5,137.5,132,135,0,2166,581.48,69
2005-02-09 00:00:00+00,135,135,133,134.5,-0.37,1610,431.12,39
2005-02-10 00:00:00+00,133.5,134.5,132,134.5,0,2486,658.57,79
2005-02-11 00:00:00+00,134.5,134.5,132,134,-0.37,832,220.04,28
2005-02-14 00:00:00+00,134,134,131.5,132.5,-1.12,835,220.19,25
