date,open,high,low,close,difference,volume,turnover,transactions
2007-08-03 00:00:00+00,36,38.7,34.5,38.59,28.63,89078,6532.4,292
2007-08-06 00:00:00+00,38.6,38.6,35,36,-6.71,2623,190.68,27
2007-08-07 00:00:00+00,36.51,38.5,36,38.5,6.94,5076,385.27,43
2007-08-08 00:00:00+00,39.7,39.7,36.71,36.71,-4.65,1151,87.01,17
2007-08-09 00:00:00+00,36.5,37.84,35.4,35.5,-3.3,2299,166.04,18
2007-08-10 00:00:00+00,35.1,36,34.5,34.5,-2.82,3740,261.28,19
2007-08-13 00:00:00+00,35,35.97,34.65,35.97,4.26,445,31.5,7
2007-08-14 00:00:00+00,36.02,36.2,35.99,36.1,0.36,2332,167.94,25
2007-08-16 00:00:00+00,35.3,35.3,32.2,34.99,-3.07,6682,456.46,34
2007-08-17 00:00:00+00,33.9,36.1,32,35.48,1.4,1991,140.29,32
2007-08-20 00:00:00+00,33,37,33,35.98,1.41,463,33.23,12
2007-08-21 00:00:00+00,35.98,35.98,35,35.62,-1,206,14.63,3
2007-08-22 00:00:00+00,35.7,39.7,35.62,38.47,8,30735,2280.77,55
2007-08-23 00:00:00+00,37.5,39,37.5,38.1,-0.96,16073,1237.51,51
2007-08-24 00:00:00+00,36.7,38.9,36.6,38.9,2.1,1306,97.36,8
2007-08-27 00:00:00+00,38.9,38.9,38,38,-2.31,1560,118.78,12
2007-08-28 00:00:00+00,37.1,37.1,37,37,-2.63,246,18.22,4
2007-08-29 00:00:00+00,38,38,38,38,2.7,1909,145.08,13
2007-08-30 00:00:00+00,36.2,38.97,36.2,38.97,2.55,5728,446.02,8
2007-08-31 00:00:00+00,39,39,38.71,38.99,0.05,9157,713.89,19
2007-09-03 00:00:00+00,39.5,39.69,39,39.2,0.54,512,40.3,8
2007-09-04 00:00:00+00,39.98,42,39.5,42,7.14,7851,648.6,28
2007-09-05 00:00:00+00,42.8,43,42.15,42.15,0.36,1805,154.51,16
2007-09-06 00:00:00+00,42.9,42.9,42,42,-0.36,341,28.98,8
2007-09-07 00:00:00+00,42,42,40.11,40.11,-4.5,145,11.88,8
2007-09-10 00:00:00+00,39.02,40.1,36.2,40.1,-0.02,1595,121.06,15
2007-09-11 00:00:00+00,40.2,41.9,40.2,41.9,4.49,421,34.17,8
2007-09-12 00:00:00+00,44,44,41.9,41.9,0,277,23.38,4
2007-09-13 00:00:00+00,0,0,0,41.9,0,0,0,0
2007-09-14 00:00:00+00,41.9,41.9,41.9,41.9,0,20,1.68,2
2007-09-17 00:00:00+00,41.84,41.85,41,41.85,-0.12,56,4.68,4
2007-09-18 00:00:00+00,41.85,41.85,41.85,41.85,0,23,1.93,2
2007-09-19 00:00:00+00,40,42,40,41.99,0.33,5185,433.73,35
2007-09-20 00:00:00+00,0,0,0,41.99,0,0,0,0
2007-09-21 00:00:00+00,0,0,0,41.99,0,0,0,0
2007-09-24 00:00:00+00,41.9,41.95,41.9,41.95,-0.1,248,20.79,6
2007-09-25 00:00:00+00,38.11,41.5,38.11,41.5,-1.07,1067,88.46,10
2007-09-26 00:00:00+00,0,0,0,41.5,0,0,0,0
2007-09-27 00:00:00+00,39.5,40.9,39.5,40.9,-1.45,115,9.18,5
2007-09-28 00:00:00+00,37.05,41,37.05,41,0.24,106,8.59,5
2007-10-01 00:00:00+00,38.71,40.5,38.5,40.5,-1.22,901,69.75,8
2007-10-02 00:00:00+00,38.6,40.4,38.6,40.4,-0.25,336,26.26,6
2007-10-03 00:00:00+00,39.2,40,38.8,40,-0.99,853,66.93,6
2007-10-04 00:00:00+00,37.1,40,37.1,40,0,1965,155.08,16
2007-10-05 00:00:00+00,39.9,40.1,39.9,40,0,5050,404,15
2007-10-08 00:00:00+00,0,0,0,40,0,0,0,0
2007-10-09 00:00:00+00,40.9,41,39.61,41,2.5,5300,432.84,49
2007-10-10 00:00:00+00,41,42,41,42,2.44,40000,3332,13
2007-10-11 00:00:00+00,42.5,44,41.03,42,0,509,43.43,9
2007-10-12 00:00:00+00,40.31,42.98,40.31,42.98,2.33,103,8.65,4
2007-10-15 00:00:00+00,42.1,42.1,42.1,42.1,-2.05,19,1.6,2
2007-10-16 00:00:00+00,42.95,42.95,42.95,42.95,2.02,11,0.94,1
2007-10-17 00:00:00+00,0,0,0,42.95,0,0,0,0
2007-10-18 00:00:00+00,40.1,42.7,40.1,42.7,-0.58,85,7.25,5
2007-10-19 00:00:00+00,40.25,42.7,40.2,42.7,0,1086,92.48,19
2007-10-22 00:00:00+00,42,43.5,42,43.5,1.87,766,66.21,11
