date,open,high,low,close,difference,volume,turnover,transactions
2014-07-29 00:00:00+00,0.34,0.35,0.34,0.35,2.94,139270,47.35,23
2014-07-30 00:00:00+00,0.34,0.34,0.33,0.34,-2.86,161944,53.74,26
2014-07-31 00:00:00+00,0.33,0.34,0.32,0.34,0,157297,51.76,41
2014-08-01 00:00:00+00,0.33,0.33,0.31,0.32,-5.88,635123,206.71,69
2014-08-04 00:00:00+00,0.33,0.33,0.31,0.33,3.13,118269,37.81,26
2014-08-05 00:00:00+00,0.33,0.33,0.31,0.33,0,116091,36.82,35
2014-08-06 00:00:00+00,0.32,0.32,0.29,0.3,-9.09,454940,138.28,88
2014-08-07 00:00:00+00,0.29,0.3,0.29,0.3,0,217117,65.06,45
2014-08-08 00:00:00+00,0.3,0.3,0.27,0.29,-3.33,278647,77.96,67
2014-08-11 00:00:00+00,0.29,0.31,0.27,0.3,3.45,482920,143.37,43
2014-08-12 00:00:00+00,0.3,0.31,0.28,0.3,0,223388,66.26,36
2014-08-13 00:00:00+00,0.29,0.3,0.28,0.3,0,188201,54.81,27
2014-08-14 00:00:00+00,0.29,0.3,0.27,0.29,-3.33,705873,205.16,82
2014-08-18 00:00:00+00,0.28,0.29,0.28,0.29,0,63909,18.09,16
2014-08-19 00:00:00+00,0.29,0.29,0.27,0.28,-3.45,141978,39.91,26
2014-08-20 00:00:00+00,0.28,0.29,0.27,0.29,3.57,113862,31.87,20
2014-08-21 00:00:00+00,0.28,0.36,0.28,0.36,24.14,1128872,374.31,168
2014-08-22 00:00:00+00,0.35,0.36,0.31,0.31,-13.89,1180156,396.55,219
2014-08-25 00:00:00+00,0.32,0.33,0.31,0.32,3.23,393006,125.59,56
2014-08-26 00:00:00+00,0.32,0.33,0.32,0.33,3.13,212459,68.02,21
2014-08-27 00:00:00+00,0.33,0.33,0.31,0.32,-3.03,79363,25.24,46
2014-08-28 00:00:00+00,0.32,0.32,0.3,0.31,-3.13,86555,26.31,26
2014-08-29 00:00:00+00,0.3,0.32,0.3,0.32,3.23,110357,33.52,21
2014-09-01 00:00:00+00,0.31,0.33,0.31,0.31,-3.13,120622,38.36,32
2014-09-02 00:00:00+00,0.31,0.31,0.29,0.31,0,310236,93.63,57
2014-09-03 00:00:00+00,0.29,0.3,0.28,0.3,-3.23,232982,67.63,47
2014-09-04 00:00:00+00,0.29,0.3,0.28,0.3,0,80721,23.36,32
2014-09-05 00:00:00+00,0.3,0.3,0.28,0.3,0,127742,36.93,26
2014-09-08 00:00:00+00,0.3,0.3,0.29,0.3,0,117470,34.45,32
2014-09-09 00:00:00+00,0.3,0.31,0.29,0.3,0,145828,43.48,36
2014-09-10 00:00:00+00,0.3,0.3,0.29,0.29,-3.33,98670,28.62,29
2014-09-11 00:00:00+00,0.3,0.3,0.28,0.29,0,53388,15.34,17
2014-09-12 00:00:00+00,0.29,0.29,0.28,0.29,0,63254,18.02,17
2014-09-15 00:00:00+00,0.29,0.29,0.27,0.27,-6.9,195631,54.09,34
2014-09-16 00:00:00+00,0.27,0.27,0.26,0.27,0,94767,25.33,31
2014-09-17 00:00:00+00,0.27,0.28,0.26,0.28,3.7,86849,23.16,42
2014-09-18 00:00:00+00,0.27,0.3,0.27,0.29,3.57,307575,86.21,55
2014-09-19 00:00:00+00,0.29,0.29,0.28,0.29,0,64606,18.2,24
2014-09-22 00:00:00+00,0.29,0.29,0.27,0.29,0,67297,18.76,21
2014-09-23 00:00:00+00,0.28,0.28,0.26,0.28,-3.45,132687,36.17,34
2014-09-24 00:00:00+00,0.28,0.28,0.26,0.27,-3.57,46988,12.63,16
2014-09-25 00:00:00+00,0.27,0.28,0.26,0.27,0,38412,10.27,16
2014-09-26 00:00:00+00,0.27,0.27,0.25,0.26,-3.7,360872,93.64,61
2014-09-29 00:00:00+00,0.27,0.27,0.21,0.21,-19.23,1866326,419.64,289
2014-09-30 00:00:00+00,0.21,0.23,0.18,0.23,9.52,5951297,1227.01,309
2014-10-01 00:00:00+00,0.22,0.22,0.22,0.22,-4.35,86548,19.04,24
2014-10-02 00:00:00+00,0.24,0.26,0.24,0.26,18.18,712394,174.7,58
2014-10-03 00:00:00+00,0,0,0,0.26,0,0,0,0
2014-10-06 00:00:00+00,0,0,0,0.26,0,0,0,0
2014-10-07 00:00:00+00,0,0,0,0.26,0,0,0,0
2014-10-08 00:00:00+00,0,0,0,0.26,0,0,0,0
2014-10-09 00:00:00+00,0,0,0,0.26,0,0,0,0
2014-10-10 00:00:00+00,0,0,0,0.26,0,0,0,0
2014-10-13 00:00:00+00,0,0,0,0.26,0,0,0,0
2014-10-14 00:00:00+00,0,0,0,0.26,0,0,0,0
2014-10-15 00:00:00+00,0,0,0,0.26,0,0,0,0
2014-10-16 00:00:00+00,0,0,0,0.26,0,0,0,0
2014-10-17 00:00:00+00,1.61,1.77,1.61,1.77,13.46,83744,146.58,159
2014-10-20 00:00:00+00,1.97,2.16,1.97,2.16,22.03,150306,315.34,85
2014-10-21 00:00:00+00,2.21,2.43,2.21,2.43,12.5,173143,398.91,86
2014-10-22 00:00:00+00,2.67,2.87,2.67,2.87,18.11,222914,627.82,167
2014-10-23 00:00:00+00,3,3.15,3,3.15,9.76,231325,711.84,164
2014-10-24 00:00:00+00,3.14,3.14,3.02,3.02,-4.13,113651,350.97,78
