date,open,high,low,close,difference,volume,turnover,transactions
2015-07-30 00:00:00+00,0.5,0.53,0.43,0.44,-13.73,1151839,537.22,315
2015-07-31 00:00:00+00,0.44,0.46,0.43,0.44,0,809017,357.84,196
2015-08-03 00:00:00+00,0.44,0.44,0.38,0.39,-11.36,1049152,425.12,227
2015-08-04 00:00:00+00,0.38,0.39,0.33,0.34,-12.82,988459,351.61,219
2015-08-05 00:00:00+00,0.33,0.38,0.33,0.38,11.76,1131897,408.01,262
2015-08-06 00:00:00+00,0.38,0.4,0.37,0.38,0,764998,296.07,202
2015-08-07 00:00:00+00,0.38,0.38,0.35,0.36,-5.26,651949,238.05,142
2015-08-10 00:00:00+00,0.36,0.36,0.33,0.33,-8.33,1298637,440.29,302
2015-08-11 00:00:00+00,0.32,0.33,0.3,0.31,-6.06,1288532,401.94,290
2015-08-12 00:00:00+00,0.31,0.34,0.31,0.34,9.68,346168,112.81,105
2015-08-13 00:00:00+00,0.33,0.33,0.3,0.3,-11.76,1372305,426.17,287
2015-08-14 00:00:00+00,0.31,0.32,0.3,0.32,6.67,217010,68.16,61
2015-08-17 00:00:00+00,0.32,0.34,0.32,0.34,6.25,680926,223.63,172
2015-08-18 00:00:00+00,0.35,0.35,0.32,0.32,-5.88,332117,110.91,83
2015-08-19 00:00:00+00,0.32,0.33,0.31,0.32,0,177607,56.48,56
2015-08-20 00:00:00+00,0.32,0.35,0.31,0.34,6.25,651148,216.59,112
2015-08-21 00:00:00+00,0.34,0.35,0.31,0.31,-8.82,814163,266.33,159
2015-08-24 00:00:00+00,0.31,0.31,0.28,0.3,-3.23,985234,290.97,209
2015-08-25 00:00:00+00,0.29,0.31,0.29,0.3,0,476092,140.3,114
2015-08-26 00:00:00+00,0.3,0.3,0.29,0.3,0,135949,39.73,52
2015-08-27 00:00:00+00,0.31,0.32,0.28,0.29,-3.33,1348478,406.15,180
2015-08-28 00:00:00+00,0.29,0.29,0.26,0.28,-3.45,1220243,334.2,232
2015-08-31 00:00:00+00,0.27,0.28,0.24,0.25,-10.71,2372184,609.67,322
2015-09-01 00:00:00+00,0.22,0.25,0.22,0.25,0,1832678,427.19,275
2015-09-02 00:00:00+00,0.25,0.25,0.22,0.23,-8,649571,151.24,117
2015-09-03 00:00:00+00,0.23,0.24,0.22,0.23,0,384776,87.88,80
2015-09-04 00:00:00+00,0.22,0.23,0.21,0.21,-8.7,783853,168.93,131
2015-09-07 00:00:00+00,0.22,0.22,0.21,0.21,0,259893,54.61,54
2015-09-08 00:00:00+00,0.21,0.24,0.2,0.23,9.52,1793904,399.6,192
2015-09-09 00:00:00+00,0.22,0.23,0.19,0.19,-17.39,5281789,1057.85,548
2015-09-10 00:00:00+00,0.19,0.2,0.18,0.19,0,644028,122.06,137
2015-09-11 00:00:00+00,0.18,0.19,0.17,0.19,0,1714103,309.24,192
2015-09-14 00:00:00+00,0.19,0.19,0.17,0.19,0,413905,75.15,78
2015-09-15 00:00:00+00,0.18,0.18,0.16,0.16,-15.79,4399155,724.3,429
2015-09-16 00:00:00+00,0.16,0.2,0.15,0.18,12.5,2953449,526.48,388
2015-09-17 00:00:00+00,0.18,0.2,0.17,0.18,0,1150683,215.01,150
2015-09-18 00:00:00+00,0.19,0.19,0.17,0.19,5.56,1644267,294.85,119
2015-09-21 00:00:00+00,0.18,0.18,0.17,0.18,-5.26,796046,139.18,80
2015-09-22 00:00:00+00,0.17,0.18,0.16,0.18,0,2027953,340.21,176
2015-09-23 00:00:00+00,0.18,0.18,0.16,0.18,0,522513,90.1,86
2015-09-24 00:00:00+00,0.18,0.18,0.16,0.16,-11.11,290064,48.37,44
2015-09-25 00:00:00+00,0.16,0.17,0.15,0.16,0,1174646,185.69,137
2015-09-28 00:00:00+00,0.15,0.16,0.14,0.15,-6.25,719094,109.22,132
2015-09-29 00:00:00+00,0.15,0.17,0.14,0.15,0,1106993,176.87,123
2015-09-30 00:00:00+00,0.16,0.16,0.15,0.16,6.67,332264,50.26,55
2015-10-01 00:00:00+00,0.15,0.16,0.14,0.16,0,469500,71.44,68
2015-10-02 00:00:00+00,0.16,0.16,0.15,0.16,0,247816,38.4,38
2015-10-05 00:00:00+00,0.16,0.17,0.15,0.17,6.25,453016,71.08,52
2015-10-06 00:00:00+00,0.17,0.17,0.15,0.17,0,135671,21.76,35
2015-10-07 00:00:00+00,0.16,0.17,0.15,0.16,-5.88,684909,109.67,70
2015-10-08 00:00:00+00,0.17,0.17,0.15,0.17,6.25,541849,86.12,61
2015-10-09 00:00:00+00,0.17,0.2,0.15,0.2,17.65,4737114,847.74,345
2015-10-12 00:00:00+00,0.22,0.25,0.2,0.25,25,9076699,2138.98,857
2015-10-13 00:00:00+00,0.3,0.34,0.28,0.34,36,13918145,4303.09,1323
2015-10-14 00:00:00+00,0.32,0.33,0.25,0.25,-26.47,19791402,5723.36,1572
2015-10-15 00:00:00+00,0.23,0.27,0.22,0.25,0,10033073,2424.01,958
2015-10-16 00:00:00+00,0.25,0.26,0.22,0.23,-8,3065564,731.21,355
2015-10-19 00:00:00+00,0.22,0.25,0.21,0.23,0,4447881,1011.65,400
2015-10-20 00:00:00+00,0.23,0.24,0.22,0.23,0,1808818,415.5,176
2015-10-21 00:00:00+00,0.23,0.24,0.22,0.23,0,555257,128.01,91
2015-10-22 00:00:00+00,0.24,0.25,0.22,0.23,0,1905785,447.44,192
2015-10-23 00:00:00+00,0.23,0.23,0.2,0.21,-8.7,3615801,774.2,387
2015-10-26 00:00:00+00,0.21,0.21,0.18,0.2,-4.76,2699682,521.93,270
2015-10-27 00:00:00+00,0.19,0.2,0.18,0.18,-10,693230,132.37,110
2015-10-28 00:00:00+00,0.18,0.19,0.17,0.18,0,1212575,218.66,185
2015-10-29 00:00:00+00,0,0,0,0.18,0,0,0,0
2015-10-30 00:00:00+00,0,0,0,0.18,0,0,0,0
2015-11-02 00:00:00+00,0,0,0,0.18,0,0,0,0
2015-11-03 00:00:00+00,0,0,0,0.18,0,0,0,0
2015-11-04 00:00:00+00,0,0,0,0.18,0,0,0,0
2015-11-05 00:00:00+00,0,0,0,0.18,0,0,0,0
2015-11-06 00:00:00+00,0,0,0,0.18,0,0,0,0
2015-11-09 00:00:00+00,0,0,0,0.18,0,0,0,0
2015-11-10 00:00:00+00,0,0,0,0.18,0,0,0,0
2015-11-12 00:00:00+00,6.88,6.88,6.04,6.21,-13.75,33246,212.21,202
2015-11-13 00:00:00+00,6.05,6.59,5.83,6.4,3.06,17886,110.74,135
2015-11-16 00:00:00+00,6.39,6.39,5.8,5.89,-7.97,8601,50.9,70
2015-11-17 00:00:00+00,5.72,6.25,5.24,5.33,-9.51,23667,130.47,140
2015-11-18 00:00:00+00,5.3,5.44,5,5.01,-6,14728,76.19,75
2015-11-19 00:00:00+00,4.86,4.99,4.75,4.96,-1,22340,108.02,106
2015-11-20 00:00:00+00,4.9,5.38,4.76,5.32,7.26,32135,164.78,131
2015-11-23 00:00:00+00,5.32,5.4,5.1,5.31,-0.19,8992,47.56,35
2015-11-24 00:00:00+00,5.31,5.31,5.07,5.07,-4.52,3172,16.13,18
2015-11-25 00:00:00+00,5.08,5.15,4.9,5.13,1.18,3197,15.96,25
2015-11-26 00:00:00+00,5.13,5.13,4.8,4.99,-2.73,2630,12.95,27
2015-11-27 00:00:00+00,4.82,4.96,4.7,4.94,-1,3678,17.55,28
2015-11-30 00:00:00+00,4.8,4.84,4.64,4.8,-2.83,2763,13.15,23
2015-12-01 00:00:00+00,4.8,4.86,4.61,4.84,0.83,5408,25.77,27
2015-12-02 00:00:00+00,4.8,4.8,4.67,4.67,-3.51,5019,23.58,23
2015-12-03 00:00:00+00,4.66,4.75,4.5,4.72,1.07,9157,42.53,27
2015-12-04 00:00:00+00,4.72,4.74,4.45,4.62,-2.12,6477,29.24,30
2015-12-07 00:00:00+00,4.6,4.6,4.24,4.24,-8.23,8636,37.82,59
2015-12-08 00:00:00+00,4.31,4.39,4.02,4.09,-3.54,5045,21.7,35
2015-12-09 00:00:00+00,4.09,4.22,4.02,4.17,1.96,5569,22.92,34
2015-12-10 00:00:00+00,4.22,4.95,4,4.88,17.03,15594,71.06,78
2015-12-11 00:00:00+00,4.9,5.47,4.88,5.47,12.09,22834,118.4,125
2015-12-14 00:00:00+00,5.87,6.4,5.65,5.73,4.75,39792,240.57,177
2015-12-15 00:00:00+00,5.73,5.99,5.2,5.21,-9.08,11708,64.18,55
2015-12-16 00:00:00+00,5.21,5.41,4.85,4.94,-5.18,8588,43.07,58
2015-12-17 00:00:00+00,4.82,5.45,4.8,5.02,1.62,13485,70.8,73
2015-12-18 00:00:00+00,5.12,5.29,5,5.1,1.59,1947,9.86,17
2015-12-21 00:00:00+00,4.96,5.19,4.82,5.19,1.76,6551,32.79,43
2015-12-22 00:00:00+00,5.01,5.3,5,5.29,1.93,4906,25.55,30
2015-12-23 00:00:00+00,5.29,5.49,5.17,5.47,3.4,4352,23.51,29
2015-12-28 00:00:00+00,5.48,5.48,5.09,5.09,-6.95,12501,65.13,60
2015-12-29 00:00:00+00,5.39,5.39,5.11,5.25,3.14,3321,17.4,24
2015-12-30 00:00:00+00,5.17,5.32,5.13,5.32,1.33,3674,19.16,24
2016-01-04 00:00:00+00,5.32,5.4,5.25,5.4,1.5,741,3.95,9
2016-01-05 00:00:00+00,5.21,5.29,5.04,5.29,-2.04,5742,29.21,47
2016-01-07 00:00:00+00,5.04,5.15,4.82,5.15,-2.65,5097,25.22,32
2016-01-08 00:00:00+00,5.15,5.15,4.65,4.8,-6.8,9057,43.38,48
2016-01-11 00:00:00+00,4.81,5.08,4.81,4.99,3.96,1832,9.02,12
2016-01-12 00:00:00+00,4.98,4.98,4.66,4.93,-1.2,1067,5.07,11
2016-01-13 00:00:00+00,4.92,4.92,4.62,4.79,-2.84,2887,13.58,23
2016-01-14 00:00:00+00,4.79,4.79,4.65,4.75,-0.84,1604,7.54,17
2016-01-15 00:00:00+00,4.62,4.7,4.45,4.55,-4.21,4185,19.04,24
2016-01-18 00:00:00+00,4.55,4.55,4.35,4.4,-3.3,2692,11.94,13
2016-01-19 00:00:00+00,4.32,4.44,4.3,4.44,0.91,1454,6.32,17
2016-01-20 00:00:00+00,4.44,4.44,4.06,4.44,0,3166,13.45,21
2016-01-21 00:00:00+00,4.2,4.41,4.17,4.25,-4.28,1684,7.03,14
2016-01-22 00:00:00+00,4.5,4.5,4.06,4.4,3.53,3233,13.42,23
2016-01-25 00:00:00+00,4.41,4.47,4.18,4.47,1.59,1699,7.45,11
