date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,23.9,23.9,23.9,23.9,0.84,40,1.91,2
2005-01-04 00:00:00+00,23.4,23.4,23.1,23.1,-3.35,238,11.07,5
2005-01-05 00:00:00+00,0,0,0,23.1,0,0,0,0
2005-01-06 00:00:00+00,23,23,23,23,-0.43,90,4.14,2
2005-01-07 00:00:00+00,0,0,0,23,0,0,0,0
2005-01-10 00:00:00+00,0,0,0,23,0,0,0,0
2005-01-11 00:00:00+00,0,0,0,23,0,0,0,0
2005-01-12 00:00:00+00,0,0,0,23,0,0,0,0
2005-01-13 00:00:00+00,0,0,0,23,0,0,0,0
2005-01-14 00:00:00+00,23.2,23.2,23,23,0,62,2.86,2
2005-01-17 00:00:00+00,22.5,23.2,22.5,23.2,0.87,386,17.67,5
2005-01-18 00:00:00+00,23,23.2,23,23.2,0,115,5.3,3
2005-01-19 00:00:00+00,23,23.7,23,23.7,2.16,154,7.23,4
2005-01-20 00:00:00+00,24,24,24,24,1.27,50,2.4,1
2005-01-21 00:00:00+00,0,0,0,24,0,0,0,0
2005-01-24 00:00:00+00,24,24,24,24,0,52,2.5,2
2005-01-25 00:00:00+00,0,0,0,24,0,0,0,0
2005-01-26 00:00:00+00,0,0,0,24,0,0,0,0
2005-01-27 00:00:00+00,23,24,23,24,0,293,13.7,2
2005-01-28 00:00:00+00,24,24.8,23.4,24,0,541,26.1,9
2005-01-31 00:00:00+00,0,0,0,24,0,0,0,0
2005-02-01 00:00:00+00,0,0,0,24,0,0,0,0
2005-02-02 00:00:00+00,24,24,24,24,0,750,36,2
2005-02-03 00:00:00+00,24,24,24,24,0,566,27.17,1
2005-02-04 00:00:00+00,0,0,0,24,0,0,0,0
2005-02-07 00:00:00+00,0,0,0,24,0,0,0,0
2005-02-08 00:00:00+00,23,24,23,23.5,-2.08,1427,67.01,10
2005-02-09 00:00:00+00,22.6,23.8,22.6,23.8,1.28,54,2.45,2
2005-02-10 00:00:00+00,0,0,0,23.8,0,0,0,0
2005-02-11 00:00:00+00,0,0,0,23.8,0,0,0,0
2005-02-14 00:00:00+00,24.7,24.9,23.8,23.8,0,1015,50.27,11
2005-02-15 00:00:00+00,23.8,23.8,23.8,23.8,0,100,4.76,1
2005-02-16 00:00:00+00,23,23.5,23,23.5,-1.26,60,2.79,2
2005-02-17 00:00:00+00,23.5,23.9,23.2,23.9,1.7,600,28.32,6
2005-02-18 00:00:00+00,0,0,0,23.9,0,0,0,0
2005-02-21 00:00:00+00,23.1,23.1,23,23,-3.77,100,4.61,2
2005-02-22 00:00:00+00,23.1,23.1,23,23,0,318,14.67,2
