date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,3.21,3.27,3.2,3.25,1.56,11345,73.02,27
2005-01-04 00:00:00+00,3.22,3.25,3.19,3.21,-1.23,3041,19.53,13
2005-01-05 00:00:00+00,3.2,3.24,3.11,3.17,-1.25,19807,124.5,38
2005-01-06 00:00:00+00,3.1,3.16,3.1,3.14,-0.95,12443,77.73,26
2005-01-07 00:00:00+00,3.19,3.2,3.16,3.19,1.59,27528,175.11,28
2005-01-10 00:00:00+00,3.15,3.2,3.15,3.15,-1.25,18227,115.17,23
2005-01-11 00:00:00+00,3.15,3.15,3.1,3.1,-1.59,13334,83.03,26
2005-01-12 00:00:00+00,3.06,3.09,3.03,3.09,-0.32,22342,136.75,45
2005-01-13 00:00:00+00,3.1,3.12,3.06,3.12,0.97,23033,142.59,41
2005-01-14 00:00:00+00,3.11,3.11,3.05,3.11,-0.32,12188,75.22,25
2005-01-17 00:00:00+00,3.1,3.1,3.04,3.04,-2.25,6489,39.55,11
2005-01-18 00:00:00+00,3.05,3.05,2.98,3.03,-0.33,12694,76.46,32
2005-01-19 00:00:00+00,3,3.03,3,3.01,-0.66,6640,40.04,12
2005-01-20 00:00:00+00,3,3.07,3,3.05,1.33,10382,62.9,27
2005-01-21 00:00:00+00,3.05,3.06,2.95,3,-1.64,8279,49.47,27
2005-01-24 00:00:00+00,2.93,3.05,2.92,3.05,1.67,25689,154.25,20
2005-01-25 00:00:00+00,3.05,3.15,3.05,3.12,2.3,29001,180.2,33
2005-01-26 00:00:00+00,3.12,3.12,3.04,3.04,-2.56,14850,91.47,26
2005-01-27 00:00:00+00,3.01,3.08,3.01,3.07,0.99,11942,72.65,24
2005-01-28 00:00:00+00,3.07,3.14,3.07,3.12,1.63,25684,160.04,40
2005-01-31 00:00:00+00,3.12,3.14,2.98,3.03,-2.88,68466,416.12,90
2005-02-01 00:00:00+00,3.07,3.07,3,3.03,0,32541,196.43,40
2005-02-02 00:00:00+00,3.06,3.07,3,3.04,0.33,25114,151.8,40
2005-02-03 00:00:00+00,3.04,3.05,2.96,3.04,0,33701,202.1,56
2005-02-04 00:00:00+00,3,3.04,2.98,2.99,-1.64,26861,161.41,50
2005-02-07 00:00:00+00,2.99,3,2.77,2.89,-3.34,381355,2181,362
2005-02-08 00:00:00+00,2.91,2.91,2.75,2.8,-3.11,172106,971.03,178
2005-02-09 00:00:00+00,2.83,2.84,2.8,2.8,0,93122,525.06,105
2005-02-10 00:00:00+00,2.82,2.88,2.79,2.82,0.71,133684,754.2,140
2005-02-11 00:00:00+00,2.84,2.85,2.82,2.82,0,21099,119.16,36
2005-02-14 00:00:00+00,2.84,2.85,2.78,2.8,-0.71,20793,116.85,40
2005-02-15 00:00:00+00,2.8,2.82,2.79,2.81,0.36,20352,114.08,34
2005-02-16 00:00:00+00,2.82,2.85,2.8,2.8,-0.36,23611,132.74,36
2005-02-17 00:00:00+00,2.8,2.8,2.75,2.8,0,47637,265.94,42
2005-02-18 00:00:00+00,2.8,3.02,2.8,2.84,1.43,250475,1472.46,333
2005-02-21 00:00:00+00,2.91,3.05,2.91,2.96,4.23,179738,1074.61,226
2005-02-22 00:00:00+00,3,3.05,2.9,2.92,-1.35,108580,651.42,145
2005-02-23 00:00:00+00,2.92,3.02,2.9,2.98,2.05,41330,245.73,83
2005-02-24 00:00:00+00,3,3.02,2.92,2.93,-1.68,25966,153.26,61
2005-02-25 00:00:00+00,2.93,2.96,2.9,2.91,-0.68,31014,180.85,52
2005-02-28 00:00:00+00,2.9,2.95,2.82,2.93,0.69,48225,278.18,57
2005-03-01 00:00:00+00,2.92,2.92,2.86,2.88,-1.71,3989,23.1,7
2005-03-02 00:00:00+00,2.92,2.92,2.82,2.82,-2.08,12804,73.32,25
2005-03-03 00:00:00+00,2.8,2.85,2.8,2.83,0.35,11614,65.48,19
2005-03-04 00:00:00+00,2.81,2.87,2.81,2.82,-0.35,8368,47.6,12
2005-03-07 00:00:00+00,2.81,2.84,2.8,2.8,-0.71,15289,85.75,22
2005-03-08 00:00:00+00,2.8,2.83,2.77,2.82,0.71,13716,76.95,21
2005-03-09 00:00:00+00,2.8,2.81,2.76,2.8,-0.71,15803,87.92,35
2005-03-10 00:00:00+00,2.8,2.8,2.75,2.77,-1.07,17626,97.46,39
2005-03-11 00:00:00+00,2.77,2.8,2.77,2.8,1.08,10327,57.37,20
2005-03-14 00:00:00+00,2.77,2.79,2.76,2.76,-1.43,3216,17.8,13
2005-03-15 00:00:00+00,2.73,2.73,2.63,2.65,-3.99,27035,144.89,44
2005-03-16 00:00:00+00,2.62,2.62,2.48,2.48,-6.42,47882,240.48,89
2005-03-17 00:00:00+00,2.45,2.51,2.41,2.5,0.81,18629,91.31,44
2005-03-18 00:00:00+00,2.5,2.52,2.5,2.5,0,4228,21.22,11
2005-03-21 00:00:00+00,2.45,2.45,2.4,2.42,-3.2,8832,42.88,28
2005-03-22 00:00:00+00,2.35,2.39,2.3,2.39,-1.24,22645,105.68,50
2005-03-23 00:00:00+00,2.4,2.73,2.4,2.68,12.13,143745,755.07,243
2005-03-24 00:00:00+00,2.68,2.68,2.52,2.52,-5.97,59002,304.32,91
2005-03-29 00:00:00+00,2.52,2.53,2.49,2.49,-1.19,8816,44.2,18
2005-03-30 00:00:00+00,2.5,2.5,2.43,2.49,0,12117,59.54,27
2005-03-31 00:00:00+00,2.49,2.61,2.49,2.53,1.61,36386,185.87,55
2005-04-01 00:00:00+00,2.59,2.61,2.54,2.55,0.79,13285,68.35,35
2005-04-04 00:00:00+00,2.52,2.59,2.51,2.58,1.18,12390,63.18,31
2005-04-05 00:00:00+00,2.54,2.59,2.52,2.59,0.39,109281,555.48,17
2005-04-06 00:00:00+00,2.59,2.63,2.59,2.6,0.39,12533,65.35,24
2005-04-07 00:00:00+00,2.67,2.67,2.62,2.62,0.77,12750,67.83,14
2005-04-11 00:00:00+00,2.64,2.71,2.64,2.67,1.91,14743,79.26,29
2005-04-12 00:00:00+00,2.65,2.69,2.6,2.67,0,10015,52.64,20
2005-04-13 00:00:00+00,2.68,2.7,2.63,2.69,0.75,3747,20.12,11
2005-04-14 00:00:00+00,2.69,2.69,2.6,2.68,-0.37,11126,58.93,18
2005-04-15 00:00:00+00,2.65,2.68,2.62,2.68,0,2660,14.08,8
2005-04-18 00:00:00+00,2.62,2.62,2.55,2.6,-2.99,6882,35.51,21
2005-04-19 00:00:00+00,2.55,2.55,2.52,2.53,-2.69,4056,20.6,10
2005-04-20 00:00:00+00,2.51,2.51,2.42,2.5,-1.19,23870,118.86,36
2005-04-21 00:00:00+00,2.51,2.57,2.51,2.51,0.4,9533,48.03,12
