date,open,high,low,close,difference,volume,turnover,transactions
2014-10-14 00:00:00+00,22.4,23.45,21.45,22.9,4.09,5993,132.96,56
2014-10-15 00:00:00+00,22.5,22.5,21.45,22,-3.93,4003,88.17,13
2014-10-16 00:00:00+00,22.1,22.1,21.15,22.1,0.45,2322,50.69,21
2014-10-17 00:00:00+00,0,0,0,22.1,0,0,0,0
2014-10-20 00:00:00+00,21.98,22.54,21.98,22.53,1.95,15922,354.35,27
2014-10-21 00:00:00+00,22.75,23,22.24,22.71,0.8,25812,582.4,34
2014-10-22 00:00:00+00,23.2,23.6,23.2,23.2,2.16,52912,1233.06,70
2014-10-23 00:00:00+00,23.2,23.95,23.11,23.6,1.72,41828,971.52,42
2014-10-24 00:00:00+00,23.65,24.6,23.62,24.55,4.03,3108,74.71,46
2014-10-27 00:00:00+00,24.9,25.5,24.61,24.7,0.61,9634,240.22,98
2014-10-28 00:00:00+00,24.75,24.9,24.75,24.77,0.28,2543,63.08,19
2014-10-29 00:00:00+00,24.99,24.99,24.77,24.8,0.12,1970,49.05,23
2014-10-30 00:00:00+00,24.98,24.98,24.01,24.55,-1.01,1830,45.05,27
2014-10-31 00:00:00+00,24.68,24.68,24,24.2,-1.43,14809,361.48,32
2014-11-03 00:00:00+00,24.5,24.5,23.71,24.18,-0.08,3020,72.58,21
2014-11-04 00:00:00+00,24.18,24.18,23.6,23.8,-1.57,18283,434.46,28
2014-11-05 00:00:00+00,23.8,23.8,23.1,23.53,-1.13,1642,38.35,24
2014-11-06 00:00:00+00,23.53,23.53,22.7,23.5,-0.13,1751,40.66,31
2014-11-07 00:00:00+00,23.51,23.51,22.8,23.2,-1.28,1156,26.6,16
2014-11-10 00:00:00+00,23.49,23.49,23.2,23.39,0.82,303,7.05,4
2014-11-12 00:00:00+00,23.37,23.37,22.6,23.25,-0.6,2305,53.62,21
2014-11-13 00:00:00+00,23.44,23.44,23.4,23.4,0.65,2281,53.38,13
2014-11-14 00:00:00+00,23.4,23.4,22.82,23.09,-1.32,1651,38.14,20
2014-11-17 00:00:00+00,22.7,22.85,22.01,22.85,-1.04,2488,55.96,37
2014-11-18 00:00:00+00,22.85,22.85,22.3,22.8,-0.22,663,14.92,12
2014-11-19 00:00:00+00,22.85,22.85,22.21,22.6,-0.88,1219,27.4,17
2014-11-20 00:00:00+00,22.75,22.75,22.25,22.44,-0.71,673,15.1,5
2014-11-21 00:00:00+00,22.44,22.44,22.25,22.35,-0.4,3625,81.01,13
2014-11-24 00:00:00+00,22.44,22.5,22.01,22.5,0.67,30338,668.59,15
2014-11-25 00:00:00+00,22.85,22.93,22,22.93,1.91,2035,45.43,13
2014-11-26 00:00:00+00,22.43,23.2,22.43,23,0.31,13830,317.46,15
2014-11-27 00:00:00+00,22.99,22.99,22.6,22.99,-0.04,660,15.14,5
2014-11-28 00:00:00+00,23.15,23.15,22.06,22.06,-4.05,1828,41.14,14
2014-12-01 00:00:00+00,22.65,22.65,22.1,22.65,2.67,405,9.06,11
2014-12-02 00:00:00+00,22.1,22.6,21.7,22.6,-0.22,3410,75.58,29
2014-12-03 00:00:00+00,22.58,22.58,21.99,22.5,-0.44,14660,329.27,25
2014-12-04 00:00:00+00,22.07,22.59,21.8,22.5,0,2384,52.81,47
2014-12-05 00:00:00+00,22.5,22.57,22,22.57,0.31,638,14.38,8
2014-12-08 00:00:00+00,22.57,22.57,22.19,22.5,-0.31,601,13.41,12
