date,open,high,low,close,difference,volume,turnover,transactions
2012-10-15 00:00:00+00,180,180,179,179,0.34,401,71.79,17
2012-10-16 00:00:00+00,180,180,179,179,0,71,12.73,4
2012-10-17 00:00:00+00,185,185,179,179,0,177,32.07,9
2012-10-18 00:00:00+00,176,176,176,176,-1.68,30,5.28,1
2012-10-19 00:00:00+00,0,0,0,176,0,0,0,0
2012-10-22 00:00:00+00,180,180,180,180,2.27,5,0.9,1
2012-10-23 00:00:00+00,180,180,180,180,0,10,1.8,1
2012-10-24 00:00:00+00,180,180,180,180,0,82,14.76,3
2012-10-25 00:00:00+00,0,0,0,180,0,0,0,0
2012-10-26 00:00:00+00,184.5,184.5,184.5,184.5,2.5,5,0.92,1
2012-10-29 00:00:00+00,184.5,184.5,184.5,184.5,0,1,0.18,1
2012-10-30 00:00:00+00,0,0,0,184.5,0,0,0,0
2012-10-31 00:00:00+00,180,180,180,180,-2.44,55,9.9,2
2012-11-02 00:00:00+00,0,0,0,180,0,0,0,0
2012-11-05 00:00:00+00,180,180.5,180,180.5,0.28,16,2.88,3
2012-11-06 00:00:00+00,185,185,182.5,182.5,1.11,15,2.76,4
2012-11-07 00:00:00+00,0,0,0,182.5,0,0,0,0
2012-11-08 00:00:00+00,0,0,0,182.5,0,0,0,0
2012-11-09 00:00:00+00,180,180,180,180,-1.37,30,5.4,3
2012-11-12 00:00:00+00,179,181,179,180,0,152,27.34,7
2012-11-13 00:00:00+00,182,182,182,182,1.11,100,18.2,1
2012-11-14 00:00:00+00,185,185,183,183,0.55,81,14.9,3
2012-11-15 00:00:00+00,180,180,180,180,-1.64,107,19.26,3
2012-11-16 00:00:00+00,180,182,180,181,0.56,127,22.99,4
2012-11-19 00:00:00+00,182,182,180,180,-0.55,80,14.5,3
2012-11-20 00:00:00+00,0,0,0,180,0,0,0,0
2012-11-21 00:00:00+00,180,180,179,180,0,144,25.91,7
2012-11-22 00:00:00+00,181,181,180,180,0,110,19.83,5
2012-11-23 00:00:00+00,182,182,182,182,1.11,72,13.1,3
2012-11-26 00:00:00+00,180,180,180,180,-1.1,150,27,3
2012-11-27 00:00:00+00,182,182,182,182,1.11,155,28.21,4
2012-11-28 00:00:00+00,181.9,183,181.9,183,0.55,140,25.49,3
2012-11-29 00:00:00+00,180,180,180,180,-1.64,190,34.2,2
2012-11-30 00:00:00+00,182,182,182,182,1.11,25,4.55,1
2012-12-03 00:00:00+00,181,181,177,177,-2.75,227,41.06,3
2012-12-04 00:00:00+00,181.2,182,181.2,182,2.82,190,34.46,3
2012-12-05 00:00:00+00,181,182,181,182,0,50,9.08,2
2012-12-06 00:00:00+00,0,0,0,182,0,0,0,0
2012-12-07 00:00:00+00,181,182,181,182,0,230,41.79,3
2012-12-10 00:00:00+00,181.9,182,181.9,182,0,190,34.57,4
2012-12-11 00:00:00+00,184.9,185,184.9,185,1.65,120,22.19,2
2012-12-12 00:00:00+00,184.9,184.9,184.9,184.9,-0.05,190,35.13,1
2012-12-13 00:00:00+00,184.9,184.9,184.9,184.9,0,150,27.74,1
2012-12-14 00:00:00+00,184.9,184.9,184.9,184.9,0,130,24.04,1
2012-12-17 00:00:00+00,183,183,183,183,-1.03,170,31.11,1
2012-12-18 00:00:00+00,0,0,0,183,0,0,0,0
2012-12-19 00:00:00+00,183,184,183,184,0.55,171,31.46,2
2012-12-20 00:00:00+00,183,183,183,183,-0.54,120,21.96,1
2012-12-21 00:00:00+00,184,184,184,184,0.55,150,27.6,1
2012-12-27 00:00:00+00,183,183,183,183,-0.54,130,23.79,2
2012-12-28 00:00:00+00,184,184,183,183,0,145,26.54,2
2013-01-02 00:00:00+00,183,183,183,183,0,200,36.6,2
2013-01-03 00:00:00+00,184,184,184,184,0.55,150,27.6,1
2013-01-04 00:00:00+00,184,184,184,184,0,200,36.8,1
2013-01-07 00:00:00+00,185,185,185,185,0.54,11,2.04,1
2013-01-08 00:00:00+00,184,184,184,184,-0.54,160,29.44,1
2013-01-09 00:00:00+00,0,0,0,184,0,0,0,0
2013-01-10 00:00:00+00,183,183,183,183,-0.54,120,21.96,1
2013-01-11 00:00:00+00,183,183,182,182,-0.55,249,45.43,2
2013-01-14 00:00:00+00,0,0,0,182,0,0,0,0
2013-01-15 00:00:00+00,182,183,182,183,0.55,160,29.17,2
2013-01-16 00:00:00+00,183,183,183,183,0,140,25.62,2
2013-01-17 00:00:00+00,0,0,0,183,0,0,0,0
2013-01-18 00:00:00+00,183,183,183,183,0,180,32.94,1
2013-01-21 00:00:00+00,184,184,184,184,0.55,90,16.56,1
2013-01-22 00:00:00+00,184,184,184,184,0,280,51.52,1
2013-01-23 00:00:00+00,184,184,184,184,0,100,18.4,1
2013-01-24 00:00:00+00,184,184,184,184,0,100,18.4,1
2013-01-25 00:00:00+00,185,185,185,185,0.54,90,16.65,1
2013-01-28 00:00:00+00,185,185,185,185,0,121,22.39,2
2013-01-29 00:00:00+00,185,185,185,185,0,130,24.05,1
2013-01-30 00:00:00+00,185,185,185,185,0,90,16.65,1
2013-01-31 00:00:00+00,185,185,185,185,0,110,20.35,1
2013-02-01 00:00:00+00,186,186,186,186,0.54,133,24.74,3
2013-02-04 00:00:00+00,184,184,184,184,-1.08,130,23.92,1
2013-02-05 00:00:00+00,180.5,184,180.5,184,0,98,18,2
2013-02-06 00:00:00+00,185,186,185,186,1.09,100,18.51,2
2013-02-07 00:00:00+00,185,185,185,185,-0.54,100,18.5,1
2013-02-08 00:00:00+00,185,185,185,185,0,80,14.8,1
2013-02-11 00:00:00+00,185,185,185,185,0,80,14.8,1
2013-02-12 00:00:00+00,185,185,185,185,0,90,16.65,1
2013-02-13 00:00:00+00,185,185,179,185,0,150,27.7,4
