date,open,high,low,close,difference,volume,turnover,transactions
2014-09-02 00:00:00+00,7.5,7.5,6.9,7.5,7.91,20384,144.05,55
2014-09-03 00:00:00+00,7.99,8,7.49,8,6.67,17068,129.37,20
2014-09-04 00:00:00+00,8.4,9,8.4,8.99,12.38,7350,65.92,14
2014-09-05 00:00:00+00,8.99,9.8,8.99,9.55,6.23,9827,93.47,28
2014-09-08 00:00:00+00,9.5,9.55,9,9,-5.76,1205,11.11,15
2014-09-09 00:00:00+00,8,8.8,8,8.7,-3.33,1700,14.23,11
2014-09-10 00:00:00+00,8.7,9,8.5,8.7,0,1140,10.04,11
2014-09-11 00:00:00+00,8.5,8.5,8.5,8.5,-2.3,2710,23.04,11
2014-09-12 00:00:00+00,8.01,8.01,7.7,8,-5.88,1517,12.13,16
2014-09-15 00:00:00+00,8,8,8,8,0,130,1.04,10
2014-09-16 00:00:00+00,8.2,8.2,7.7,7.8,-2.5,408,3.22,13
2014-09-17 00:00:00+00,8,8,7.9,8,2.56,710,5.65,14
2014-09-18 00:00:00+00,8,8,7.7,8,0,163,1.29,7
2014-09-19 00:00:00+00,8,8.15,8,8.15,1.88,506,4.05,13
2014-09-22 00:00:00+00,8,8,8,8,-1.84,820,6.56,27
2014-09-23 00:00:00+00,8,8.05,8,8.04,0.5,9712,78.13,11
2014-09-24 00:00:00+00,8.3,8.3,8.03,8.03,-0.12,245,1.98,13
2014-09-25 00:00:00+00,8.04,8.1,8.04,8.1,0.87,3275,26.51,15
2014-09-26 00:00:00+00,8.1,8.39,8,8.16,0.74,5306,42.75,38
2014-09-29 00:00:00+00,8.17,8.17,8,8.05,-1.35,866,7.04,19
2014-09-30 00:00:00+00,8.05,8.2,8.05,8.1,0.62,450,3.66,5
2014-10-01 00:00:00+00,8.19,8.19,8.19,8.19,1.11,418,3.42,10
2014-10-02 00:00:00+00,8.2,8.49,8,8,-2.32,5630,45.34,36
2014-10-03 00:00:00+00,8.3,8.45,7.9,8.39,4.88,1550,12.37,24
2014-10-06 00:00:00+00,8.49,8.49,8.45,8.45,0.72,425,3.61,8
2014-10-07 00:00:00+00,8.45,8.49,8,8.39,-0.71,4751,38.47,41
2014-10-08 00:00:00+00,8.4,9.24,8.4,8.5,1.31,1603,13.72,17
2014-10-09 00:00:00+00,8.2,8.55,8,8.55,0.59,2084,17.33,16
2014-10-10 00:00:00+00,8.69,9.5,8.31,9.49,10.99,2000,17.64,17
2014-10-13 00:00:00+00,9.39,10.32,8.56,9.3,-2,14754,134.56,93
2014-10-14 00:00:00+00,9,9.59,8.2,8.2,-11.83,2554,22.01,36
2014-10-15 00:00:00+00,9,9,8.44,8.79,7.2,1147,9.78,20
2014-10-16 00:00:00+00,8.79,9.19,8.65,8.98,2.16,1567,14.12,10
2014-10-17 00:00:00+00,9,9,8.35,8.5,-5.35,3427,28.73,20
2014-10-20 00:00:00+00,8.31,8.49,8.31,8.47,-0.35,10861,90.31,17
2014-10-21 00:00:00+00,8.45,8.47,8.25,8.45,-0.24,4184,35.11,24
2014-10-22 00:00:00+00,8.44,8.69,8.01,8.02,-5.09,944,7.67,16
2014-10-23 00:00:00+00,8.39,8.69,8.1,8.1,1,200,1.67,5
2014-10-24 00:00:00+00,8.39,8.45,8,8.3,2.47,2687,21.81,21
2014-10-27 00:00:00+00,8.3,8.3,8.05,8.25,-0.6,585,4.78,13
2014-10-28 00:00:00+00,8.25,8.25,8.25,8.25,0,300,2.48,9
2014-10-29 00:00:00+00,8.3,8.3,8.2,8.3,0.61,2428,19.95,20
2014-10-30 00:00:00+00,8.32,8.32,8.05,8.25,-0.6,581,4.78,7
2014-10-31 00:00:00+00,8.25,8.7,8.1,8.5,3.03,1810,15.13,15
2014-11-03 00:00:00+00,8.59,8.59,8.4,8.59,1.06,2651,22.61,17
2014-11-04 00:00:00+00,8.4,8.51,8.12,8.48,-1.28,860,7.1,11
2014-11-05 00:00:00+00,8.44,8.9,7.6,8.19,-3.42,95925,823.66,85
2014-11-06 00:00:00+00,8.19,8.59,8.16,8.25,0.73,102773,866.59,72
2014-11-07 00:00:00+00,8.25,9,8.25,8.4,1.82,119649,1043.1,99
2014-11-10 00:00:00+00,8.55,8.55,8.2,8.39,-0.12,2286,18.98,36
2014-11-12 00:00:00+00,8.35,8.35,8,8.27,-1.43,3675,29.73,29
2014-11-13 00:00:00+00,8.2,8.54,8.2,8.49,2.66,2238,18.48,15
2014-11-14 00:00:00+00,8.25,8.54,8.1,8.49,0,2613,21.75,9
2014-11-17 00:00:00+00,8.35,8.4,8.03,8.39,-1.18,2085,17.12,14
2014-11-18 00:00:00+00,8.19,8.35,8.1,8.15,-2.86,91000,757.09,39
2014-11-19 00:00:00+00,8.15,8.15,8,8,-1.84,733,5.91,6
2014-11-20 00:00:00+00,8.1,8.1,8.1,8.1,1.25,155,1.26,3
2014-11-21 00:00:00+00,8.1,8.39,8,8.32,2.72,120293,990.44,35
2014-11-24 00:00:00+00,8.15,8.15,7.4,7.9,-5.05,6842,52.58,23
2014-11-25 00:00:00+00,7.41,8.14,7.4,7.8,-1.27,10610,81.57,47
2014-11-26 00:00:00+00,7.8,7.97,7.8,7.93,1.67,197,1.55,4
2014-11-27 00:00:00+00,7.95,7.95,7.7,7.8,-1.64,59840,473.87,15
2014-11-28 00:00:00+00,7.8,7.98,7.2,7.5,-3.85,203805,1617.78,51
2014-12-01 00:00:00+00,7.45,7.45,7.29,7.45,-0.67,2042,15.16,11
2014-12-02 00:00:00+00,7.8,7.88,7.5,7.88,5.77,410,3.2,6
2014-12-03 00:00:00+00,7.8,7.8,7.7,7.7,-2.28,300,2.32,4
2014-12-04 00:00:00+00,7.78,7.78,7.77,7.78,1.04,293,2.28,6
2014-12-05 00:00:00+00,7.77,7.79,7.77,7.79,0.13,320,2.49,3
2014-12-08 00:00:00+00,7.78,7.79,7.7,7.79,0,615,4.77,9
2014-12-09 00:00:00+00,7.8,7.8,7.46,7.76,-0.39,10785,83.83,18
2014-12-10 00:00:00+00,7.76,7.76,7.76,7.76,0,23,0.18,2
2014-12-11 00:00:00+00,7.5,7.5,7.1,7.12,-8.25,2247,16.38,16
2014-12-12 00:00:00+00,7.12,7.2,7.12,7.2,1.12,932,6.67,6
2014-12-15 00:00:00+00,7.22,7.22,7.2,7.22,0.28,955,6.88,15
2014-12-16 00:00:00+00,7.22,7.25,6.7,7.25,0.42,868,6.14,20
2014-12-17 00:00:00+00,7.25,7.35,6.6,6.6,-8.97,708,4.94,13
2014-12-18 00:00:00+00,7,7,6.41,7,6.06,871,6.05,16
2014-12-19 00:00:00+00,6.99,6.99,6.98,6.98,-0.29,199,1.39,7
2014-12-22 00:00:00+00,6.97,6.97,6.7,6.94,-0.57,653,4.52,8
2014-12-23 00:00:00+00,6.93,7.1,6.85,7.1,2.31,2707,18.85,22
2014-12-29 00:00:00+00,7.04,7.5,7.04,7.5,5.63,1607,11.48,21
2014-12-30 00:00:00+00,7.27,7.42,7.2,7.39,-1.47,3670,27,37
2015-01-02 00:00:00+00,7.29,7.29,6.96,7.26,-1.76,1133,7.9,5
2015-01-05 00:00:00+00,6.9,6.9,6.58,6.74,-7.16,2130,14.16,11
2015-01-07 00:00:00+00,6.31,6.31,5.5,5.89,-12.61,3178,19.09,19
2015-01-08 00:00:00+00,5.53,5.99,5,5.99,1.7,4907,27.82,33
2015-01-09 00:00:00+00,5.99,5.99,4.99,5.2,-13.19,10053,51.54,42
2015-01-12 00:00:00+00,5.16,5.16,4.7,5,-3.85,1297,6.24,14
2015-01-13 00:00:00+00,5,5,4.99,5,0,522,2.61,5
2015-01-14 00:00:00+00,4.55,4.8,3.9,3.9,-22,7455,31.2,61
2015-01-15 00:00:00+00,4.15,4.27,3.9,4.27,9.49,6066,24.61,28
2015-01-16 00:00:00+00,4.27,4.27,4,4.26,-0.23,2719,11.44,19
2015-01-19 00:00:00+00,4.26,4.26,4.07,4.2,-1.41,1519,6.3,10
2015-01-20 00:00:00+00,4.18,4.6,4.18,4.6,9.52,3727,15.85,19
2015-01-21 00:00:00+00,4.6,4.85,4.31,4.5,-2.17,2819,12.73,17
2015-01-22 00:00:00+00,4.35,4.55,4.05,4.05,-10,13583,58.21,44
2015-01-23 00:00:00+00,3.5,4.19,3.5,4,-1.23,9861,35.85,35
2015-01-26 00:00:00+00,3.98,4.19,3.8,4.19,4.75,2354,9.4,9
2015-01-27 00:00:00+00,4.19,4.19,4.15,4.19,0,273,1.14,5
2015-01-28 00:00:00+00,4.19,4.19,4.18,4.18,-0.24,269,1.13,6
2015-01-29 00:00:00+00,4.17,4.2,3.81,4.2,0.48,53798,205.4,22
2015-01-30 00:00:00+00,4.2,4.2,3.8,3.8,-9.52,15679,59.66,22
2015-02-02 00:00:00+00,3.79,3.79,3.42,3.65,-3.95,19383,70.9,27
