date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,7.35,7.35,7,7,-3.45,23087,324.89,77
2005-01-04 00:00:00+00,7,7.05,6.95,7,0,12347,172.59,32
2005-01-05 00:00:00+00,6.9,6.95,6.25,6.65,-5,43429,587.03,118
2005-01-06 00:00:00+00,6.65,7,6.4,6.6,-0.75,52129,704.05,110
2005-01-07 00:00:00+00,6.65,6.7,6.5,6.55,-0.76,51124,680.7,61
2005-01-10 00:00:00+00,6.55,6.75,6,6.25,-4.58,37828,483.95,77
2005-01-11 00:00:00+00,6,6.4,5.5,5.55,-11.2,133916,1562.8,306
2005-01-12 00:00:00+00,5.7,5.75,5.4,5.6,0.9,98035,1099.02,173
2005-01-13 00:00:00+00,5.75,6.15,5.65,6.15,9.82,112568,1338.27,261
2005-01-14 00:00:00+00,6.2,6.6,6.2,6.5,5.69,95274,1228.92,225
2005-01-17 00:00:00+00,6.55,6.55,6.1,6.35,-2.31,35362,448.13,87
2005-01-18 00:00:00+00,6.25,6.25,5.75,5.8,-8.66,59920,709.1,130
2005-01-19 00:00:00+00,5.95,5.95,5.6,5.9,1.72,57781,661.12,79
2005-01-20 00:00:00+00,5.8,5.9,5.65,5.75,-2.54,30208,350.13,57
2005-01-21 00:00:00+00,5.85,5.85,5.7,5.75,0,22013,254.21,43
2005-01-24 00:00:00+00,5.7,5.9,5.55,5.9,2.61,25137,288.43,55
2005-01-25 00:00:00+00,6,6.05,5.95,6.05,2.54,10908,131.01,43
2005-01-26 00:00:00+00,6.1,6.1,5.95,6,-0.83,12549,151.15,34
2005-01-27 00:00:00+00,5.95,6,5.75,5.9,-1.67,17002,199.71,39
2005-01-28 00:00:00+00,5.8,6,5.8,5.95,0.85,21809,258.95,55
2005-01-31 00:00:00+00,5.95,6.75,5.95,6.55,10.08,176900,2301.87,335
2005-02-01 00:00:00+00,6.7,6.7,6.2,6.35,-3.05,64012,816.57,159
2005-02-02 00:00:00+00,6.4,6.4,6.2,6.3,-0.79,16860,211.74,54
2005-02-03 00:00:00+00,6.2,6.4,6.2,6.4,1.59,12138,152.56,40
2005-02-04 00:00:00+00,6.4,6.5,6.25,6.45,0.78,19639,251.5,55
2005-02-07 00:00:00+00,6.45,6.6,6.4,6.5,0.78,34613,450.05,85
2005-02-08 00:00:00+00,6.5,6.6,6.45,6.5,0,24839,322.86,42
2005-02-09 00:00:00+00,6.55,6.6,6.4,6.6,1.54,37456,491.5,71
2005-02-10 00:00:00+00,6.6,6.65,6.5,6.55,-0.76,24790,326.89,63
2005-02-11 00:00:00+00,6.5,6.6,6.15,6.35,-3.05,41654,525.01,94
2005-02-14 00:00:00+00,6.3,6.7,6.3,6.5,2.36,56305,734.47,131
2005-02-15 00:00:00+00,6.6,6.6,6.35,6.5,0,40237,523.75,53
2005-02-16 00:00:00+00,6.45,6.5,6.4,6.4,-1.54,24401,315.14,40
2005-02-17 00:00:00+00,6.4,6.4,6.1,6.15,-3.91,48297,598.83,98
2005-02-18 00:00:00+00,6.35,6.35,6,6.15,0,90057,1108.64,138
2005-02-21 00:00:00+00,6.2,6.25,6,6.1,-0.81,24702,303.28,54
2005-02-22 00:00:00+00,6.05,6.1,5.95,6.05,-0.82,18134,218.42,62
2005-02-23 00:00:00+00,6,6.05,5.9,6,-0.83,16118,192.42,32
2005-02-24 00:00:00+00,6,6.1,5.95,6.05,0.83,27830,334.42,40
2005-02-25 00:00:00+00,6,6.05,5.95,6.05,0,33501,401.64,60
2005-02-28 00:00:00+00,6.05,6.05,5.95,6.05,0,27948,334.96,37
2005-03-01 00:00:00+00,6.05,6.1,6,6.1,0.83,9951,119.97,21
2005-03-02 00:00:00+00,6.1,6.45,6.1,6.25,2.46,56115,703.85,130
2005-03-03 00:00:00+00,6.2,6.2,6.1,6.2,-0.8,10901,134.49,32
2005-03-04 00:00:00+00,6.2,6.2,6.1,6.15,-0.81,3233,39.8,17
2005-03-07 00:00:00+00,6.25,6.25,6.1,6.1,-0.81,8414,103.58,30
2005-03-08 00:00:00+00,6.1,6.15,5.9,6.1,0,30071,359.67,54
2005-03-09 00:00:00+00,6.05,6.1,5.95,6.1,0,5214,63.1,20
2005-03-10 00:00:00+00,6.1,6.1,5.95,5.95,-2.46,5307,63.69,14
2005-03-11 00:00:00+00,6,6,5.9,5.95,0,6422,76.36,24
2005-03-14 00:00:00+00,5.95,5.95,5.65,5.75,-3.36,11224,128.9,40
2005-03-15 00:00:00+00,5.65,5.85,5.65,5.85,1.74,17432,201.4,45
2005-03-16 00:00:00+00,5.75,6,5.7,6,2.56,30657,357.1,35
2005-03-17 00:00:00+00,5.95,6,5.8,6,0,26833,320.31,41
2005-03-18 00:00:00+00,6.05,6.15,5.9,6.15,2.5,11710,142.05,24
2005-03-21 00:00:00+00,6.1,6.2,6,6,-2.44,10346,125.25,25
2005-03-22 00:00:00+00,6.1,6.1,6,6.1,1.67,6919,83.87,20
2005-03-23 00:00:00+00,6.05,6.1,5.95,6.1,0,11950,144.25,23
2005-03-24 00:00:00+00,6,6.1,5.95,6.1,0,17079,204.21,23
2005-03-29 00:00:00+00,6.1,6.1,6,6.1,0,8666,105.29,16
2005-03-30 00:00:00+00,5.95,6.05,5.95,6,-1.64,3710,44.47,15
2005-03-31 00:00:00+00,5.95,6.1,5.95,6,0,21024,252.36,22
2005-04-01 00:00:00+00,6.1,6.3,5.95,6,0,65438,799.49,92
2005-04-04 00:00:00+00,6.1,6.1,6,6,0,2751,33.09,13
2005-04-05 00:00:00+00,6,6.05,5.95,6,0,3650,43.83,8
2005-04-06 00:00:00+00,6.05,6.1,5.95,6.05,0.83,15356,182.99,12
2005-04-07 00:00:00+00,6,6.05,5.95,6,-0.83,19596,235.04,16
2005-04-11 00:00:00+00,6,6.05,6,6.05,0.83,3733,44.8,12
2005-04-12 00:00:00+00,6,6,5.95,6,-0.83,2178,26.1,9
2005-04-13 00:00:00+00,6,6.05,6,6.05,0.83,12847,154.18,24
2005-04-14 00:00:00+00,6,6.1,6,6.05,0,19658,236.9,22
2005-04-15 00:00:00+00,6,6.05,5.95,6,-0.83,15003,180.31,20
2005-04-18 00:00:00+00,6,6,5.95,6,0,24335,291.34,30
2005-04-19 00:00:00+00,6,6,5.9,6,0,26570,315.5,17
2005-04-20 00:00:00+00,6,6,5.9,5.95,-0.83,23581,280.15,21
2005-04-21 00:00:00+00,5.85,5.85,5.8,5.85,-1.68,13363,156.3,12
2005-04-22 00:00:00+00,5.9,5.9,5.75,5.9,0.85,6621,76.81,17
2005-04-25 00:00:00+00,5.9,5.9,5.75,5.85,-0.85,4050,47.58,13
2005-04-26 00:00:00+00,5.9,5.9,5.75,5.8,-0.85,2090,24.15,10
2005-04-27 00:00:00+00,5.8,5.9,5.75,5.85,0.86,14491,169.04,20
2005-04-28 00:00:00+00,5.8,5.8,5.65,5.7,-2.56,12190,138.61,28
2005-04-29 00:00:00+00,5.65,5.8,5.65,5.75,0.88,31288,358.98,57
2005-05-02 00:00:00+00,5.75,5.75,5.65,5.7,-0.87,6557,74.87,7
2005-05-04 00:00:00+00,5.75,5.75,5.6,5.75,0.88,2231,25.23,11
2005-05-05 00:00:00+00,5.8,5.8,5.7,5.8,0.87,1769,20.43,7
2005-05-06 00:00:00+00,5.75,5.75,5.6,5.7,-1.72,5235,59.53,22
2005-05-09 00:00:00+00,5.7,5.7,5.5,5.7,0,17442,195.43,44
2005-05-10 00:00:00+00,5.6,5.65,5.55,5.65,-0.88,1065,11.9,11
2005-05-11 00:00:00+00,5.6,5.6,5.45,5.55,-1.77,11693,128.69,29
2005-05-12 00:00:00+00,5.5,5.55,5.35,5.45,-1.8,15922,172.18,33
2005-05-13 00:00:00+00,5.5,5.5,5.15,5.2,-4.59,18176,190.54,51
2005-05-16 00:00:00+00,5.3,5.3,4.75,4.8,-7.69,50542,493.62,124
2005-05-17 00:00:00+00,4.6,4.8,4.6,4.8,0,14084,132.47,50
2005-05-18 00:00:00+00,4.93,5.15,4.8,5.1,6.25,25815,254.35,59
2005-05-19 00:00:00+00,5.4,5.4,5.2,5.3,3.92,27979,299.3,58
2005-05-20 00:00:00+00,5.35,5.35,5.1,5.2,-1.89,6220,64.78,18
2005-05-23 00:00:00+00,5.15,5.3,5.1,5.3,1.92,9218,95.33,30
2005-05-24 00:00:00+00,5.35,5.35,5.1,5.3,0,5325,55.2,18
2005-05-25 00:00:00+00,5.35,5.35,5.15,5.25,-0.94,7229,74.91,20
2005-05-27 00:00:00+00,5.15,5.25,5.15,5.25,0,8321,86.23,17
2005-05-30 00:00:00+00,5.25,5.25,5.15,5.2,-0.95,4698,48.54,17
2005-05-31 00:00:00+00,5.1,5.2,5.1,5.2,0,4949,50.54,23
2005-06-01 00:00:00+00,5.1,5.15,5.05,5.15,-0.96,5867,59.97,18
2005-06-02 00:00:00+00,5.15,5.15,4.94,5.05,-1.94,8723,87.36,35
2005-06-03 00:00:00+00,5.05,5.1,4.95,5,-0.99,4099,40.83,15
2005-06-06 00:00:00+00,5.1,5.2,5.05,5.2,4,18357,188.44,49
2005-06-07 00:00:00+00,5.1,5.25,5.1,5.15,-0.96,15293,158.66,38
2005-06-08 00:00:00+00,5.15,5.45,5,5.45,5.83,39111,411.4,82
2005-06-09 00:00:00+00,5.5,6,5.5,5.95,9.17,142092,1653.35,189
2005-06-10 00:00:00+00,6,6.25,5.7,5.95,0,118797,1425.14,219
2005-06-13 00:00:00+00,5.9,6,5.75,5.95,0,14138,166.26,33
2005-06-14 00:00:00+00,5.95,5.95,5.6,5.7,-4.2,40429,464.52,80
2005-06-15 00:00:00+00,5.75,5.85,5.65,5.85,2.63,21343,245.06,32
2005-06-16 00:00:00+00,5.9,5.9,5.65,5.85,0,29076,334.12,43
2005-06-17 00:00:00+00,5.9,5.9,5.7,5.85,0,20387,236.61,31
2005-06-20 00:00:00+00,5.85,5.85,5.8,5.85,0,4849,56.43,10
2005-06-21 00:00:00+00,5.8,5.85,5.8,5.85,0,7571,87.83,9
