date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,43.5,43.5,42.5,42.5,0,99,8.42,2
2005-01-04 00:00:00+00,42,43.1,42,43.1,1.41,1100,94.61,6
2005-01-05 00:00:00+00,0,0,0,43.1,0,0,0,0
2005-01-06 00:00:00+00,0,0,0,43.1,0,0,0,0
2005-01-07 00:00:00+00,0,0,0,43.1,0,0,0,0
2005-01-10 00:00:00+00,42.1,42.9,42.1,42.5,-1.39,2056,174.75,10
2005-01-11 00:00:00+00,41.5,42.7,41.5,42.7,0.47,545,46.45,7
2005-01-12 00:00:00+00,41.5,42.7,41.5,42.7,0,596,50.67,7
2005-01-13 00:00:00+00,42.5,42.5,42.5,42.5,-0.47,3060,260.1,5
2005-01-14 00:00:00+00,42,42.4,42,42.4,-0.24,30500,2562.4,2
2005-01-17 00:00:00+00,0,0,0,42.4,0,0,0,0
2005-01-18 00:00:00+00,41.6,41.9,41.4,41.9,-1.18,174,14.52,8
2005-01-19 00:00:00+00,41.7,42.2,41.7,42.2,0.72,550,46.16,7
2005-01-20 00:00:00+00,41.9,42.2,41.2,42.2,0,1330,112.01,11
2005-01-21 00:00:00+00,41.2,42.1,41.1,41.1,-2.61,799,66.55,8
2005-01-24 00:00:00+00,41.1,42.1,39,42.1,2.43,3063,253.89,20
2005-01-25 00:00:00+00,40.8,42.7,40.8,42.7,1.43,714,60.82,8
2005-01-26 00:00:00+00,0,0,0,42.7,0,0,0,0
2005-01-27 00:00:00+00,41.4,42,41.3,42,-1.64,570,47.79,10
2005-01-28 00:00:00+00,41.5,41.5,41.4,41.4,-1.43,60,4.97,3
2005-01-31 00:00:00+00,40.4,42.1,40.4,42.1,1.69,8620,707.12,9
2005-02-01 00:00:00+00,0,0,0,42.1,0,0,0,0
2005-02-02 00:00:00+00,40.8,41.8,40.8,41.8,-0.71,81,6.7,3
2005-02-03 00:00:00+00,41,41.9,41,41.5,-0.72,54,4.47,4
2005-02-04 00:00:00+00,41.8,42,41.8,42,1.2,960,80.5,3
2005-02-07 00:00:00+00,41,42,41,41.2,-1.9,1096,91.88,10
2005-02-08 00:00:00+00,41.2,41.9,41.2,41.9,1.7,151,12.65,3
2005-02-09 00:00:00+00,41.1,41.1,41,41,-2.15,278,22.82,10
2005-02-10 00:00:00+00,39.7,41.8,39.7,41.8,1.95,636,52.96,7
2005-02-11 00:00:00+00,41.5,42.3,41.1,42.3,1.2,4434,368.66,21
2005-02-14 00:00:00+00,42.8,43.9,41.7,43.9,3.78,4480,387.46,33
2005-02-15 00:00:00+00,43.9,43.9,42.6,43.8,-0.23,658,57.54,10
2005-02-16 00:00:00+00,43.2,43.5,42.8,43.5,-0.68,3801,328.81,26
2005-02-17 00:00:00+00,0,0,0,43.5,0,0,0,0
2005-02-18 00:00:00+00,42.4,43,42.3,43,-1.15,1203,103.26,11
2005-02-21 00:00:00+00,42.1,42.6,42.1,42.6,-0.93,81,6.84,3
2005-02-22 00:00:00+00,42.4,42.5,42.4,42.4,-0.47,1099,93.4,5
2005-02-23 00:00:00+00,42.4,42.5,42.1,42.4,0,588,49.76,8
2005-02-24 00:00:00+00,42,42,41.9,42,-0.94,539,45.27,3
2005-02-25 00:00:00+00,42,42,42,42,0,250,21,4
2005-02-28 00:00:00+00,41.2,41.2,41.2,41.2,-1.9,24,1.98,2
2005-03-01 00:00:00+00,41.9,42.5,41.1,42.5,3.16,953,80.89,9
2005-03-02 00:00:00+00,41.3,42.5,41.3,42.5,0,544,46.21,5
2005-03-03 00:00:00+00,42.5,42.8,41.5,42.8,0.71,716,60.76,13
2005-03-04 00:00:00+00,42,42.5,42,42,-1.87,585,49.17,6
2005-03-07 00:00:00+00,42.6,42.6,42.6,42.6,1.43,100,8.52,1
2005-03-08 00:00:00+00,41.3,42.7,41.3,42.7,0.23,188,15.95,4
2005-03-09 00:00:00+00,0,0,0,42.7,0,0,0,0
2005-03-10 00:00:00+00,42.5,42.5,41.7,42.1,-1.41,86,7.24,5
2005-03-11 00:00:00+00,42.5,42.5,42.5,42.5,0.95,47,4,4
2005-03-14 00:00:00+00,0,0,0,42.5,0,0,0,0
2005-03-15 00:00:00+00,41.4,42.3,41.4,42.1,-0.94,216,18.17,6
2005-03-16 00:00:00+00,41.4,42,40.7,41.8,-0.71,1976,164.43,22
2005-03-17 00:00:00+00,41.5,42,41.5,42,0.48,559,46.93,6
2005-03-18 00:00:00+00,0,0,0,42,0,0,0,0
2005-03-21 00:00:00+00,42,42,41,41,-2.38,375,31.01,8
2005-03-22 00:00:00+00,41,42,41,42,2.44,77,6.41,5
2005-03-23 00:00:00+00,41,41.9,40.8,41.9,-0.24,329,27.34,11
2005-03-24 00:00:00+00,0,0,0,41.9,0,0,0,0
2005-03-29 00:00:00+00,40.6,42,40.1,42,0.24,1486,122.84,23
2005-03-30 00:00:00+00,41.8,42,41.8,42,0,2400,201.41,20
2005-03-31 00:00:00+00,42,42,41,42,0,2251,188.64,25
2005-04-01 00:00:00+00,41.9,41.9,41.9,41.9,-0.24,511,42.82,6
2005-04-04 00:00:00+00,41.5,41.9,41.5,41.9,0,137,11.45,2
2005-04-05 00:00:00+00,41.2,41.9,41.2,41.9,0,101,8.46,3
2005-04-06 00:00:00+00,41.3,41.9,41.3,41.9,0,80,6.66,4
2005-04-07 00:00:00+00,42,42,42,42,0.24,87,7.31,1
2005-04-11 00:00:00+00,0,0,0,42,0,0,0,0
2005-04-12 00:00:00+00,0,0,0,42,0,0,0,0
2005-04-13 00:00:00+00,41.3,42,41.2,41.2,-1.9,190,15.89,6
2005-04-14 00:00:00+00,41.2,41.2,41.2,41.2,0,108,8.9,2
2005-04-15 00:00:00+00,0,0,0,41.2,0,0,0,0
2005-04-18 00:00:00+00,41.8,41.8,41.8,41.8,1.46,50,4.18,1
2005-04-19 00:00:00+00,0,0,0,41.8,0,0,0,0
2005-04-20 00:00:00+00,0,0,0,41.8,0,0,0,0
2005-04-21 00:00:00+00,0,0,0,41.8,0,0,0,0
2005-04-22 00:00:00+00,41,41,41,41,-1.91,17,1.39,1
2005-04-25 00:00:00+00,41,41.4,41,41.4,0.98,33,2.71,5
2005-04-26 00:00:00+00,39.3,41.4,39.3,41.4,0,337,27.75,4
2005-04-27 00:00:00+00,0,0,0,41.4,0,0,0,0
2005-04-28 00:00:00+00,0,0,0,41.4,0,0,0,0
2005-04-29 00:00:00+00,40.2,41.6,39.7,41.6,0.48,717,59.11,14
2005-05-02 00:00:00+00,0,0,0,41.6,0,0,0,0
2005-05-04 00:00:00+00,0,0,0,41.6,0,0,0,0
2005-05-05 00:00:00+00,39.8,41,39.2,39.3,-5.53,1337,106.07,24
2005-05-06 00:00:00+00,41,41.2,38,39,-0.76,515,40.55,18
2005-05-09 00:00:00+00,0,0,0,39,0,0,0,0
2005-05-10 00:00:00+00,0,0,0,39,0,0,0,0
2005-05-11 00:00:00+00,38,38,38,38,-2.56,3,0.23,1
2005-05-12 00:00:00+00,39,39,38.6,38.6,1.58,9935,774.85,3
2005-05-13 00:00:00+00,0,0,0,38.6,0,0,0,0
2005-05-16 00:00:00+00,38.1,38.1,38.1,38.1,-1.3,4000,304.8,1
2005-05-17 00:00:00+00,39,40,36.7,38.5,1.05,4664,356,13
2005-05-18 00:00:00+00,38,38,37.6,38,-1.3,42,3.18,4
2005-05-19 00:00:00+00,39.4,39.5,36,37.9,-0.26,407,30.75,15
2005-05-20 00:00:00+00,36.2,37.2,35.7,37.2,-1.85,4243,305.72,10
2005-05-23 00:00:00+00,36.5,37,36.4,37,-0.54,239,17.66,6
2005-05-24 00:00:00+00,37.3,38.2,36.2,37.5,1.35,104,7.73,9
2005-05-25 00:00:00+00,37.5,37.5,36.5,36.5,-2.67,800,58.84,9
2005-05-27 00:00:00+00,37.7,37.7,37.7,37.7,3.29,50,3.77,1
