date,open,high,low,close,difference,volume,turnover,transactions
2008-04-01 00:00:00+00,4.5,5.04,4.42,4.92,23,1654495,15501.2,1669
2008-04-02 00:00:00+00,5.07,5.08,4.79,4.8,-2.44,410668,4051.56,376
2008-04-03 00:00:00+00,4.94,4.94,4.73,4.8,0,188309,1807.16,77
2008-04-04 00:00:00+00,4.85,4.85,4.67,4.8,0,70573,667.38,76
2008-04-07 00:00:00+00,4.79,4.9,4.66,4.7,-2.08,254445,2412.4,106
2008-04-08 00:00:00+00,4.67,4.67,4.52,4.56,-2.98,111625,1016.48,96
2008-04-09 00:00:00+00,4.56,4.88,4.51,4.73,3.73,2998367,27485.49,92
2008-04-10 00:00:00+00,4.84,4.89,4.71,4.85,2.54,33461,321.88,82
2008-04-11 00:00:00+00,5,5.39,5,5.1,5.15,1025761,10587.61,1172
2008-04-14 00:00:00+00,5.05,5.14,4.9,5.13,0.59,115636,1171.5,186
2008-04-15 00:00:00+00,5.2,5.29,5,5,-2.53,346787,3528.44,310
2008-04-16 00:00:00+00,5.1,5.11,4.9,4.9,-2,175502,1742.59,146
2008-04-17 00:00:00+00,4.98,5,4.85,4.93,0.61,61925,609.79,79
2008-04-18 00:00:00+00,4.93,5,4.76,4.92,-0.2,146281,1422.71,174
2008-04-21 00:00:00+00,5.04,5.04,4.85,4.87,-1.02,46594,463.64,89
2008-04-22 00:00:00+00,4.9,4.9,4.65,4.69,-3.7,220517,2078.88,150
2008-04-23 00:00:00+00,4.68,4.74,4.58,4.62,-1.49,120726,1115.46,112
2008-04-24 00:00:00+00,4.66,4.76,4.6,4.68,1.3,75580,701.78,83
2008-04-25 00:00:00+00,4.81,4.81,4.61,4.81,2.78,118659,1137.39,129
2008-04-28 00:00:00+00,4.89,4.96,4.81,4.9,1.87,98443,968.82,70
2008-04-29 00:00:00+00,4.87,4.89,4.81,4.84,-1.22,11533,112.06,25
2008-04-30 00:00:00+00,4.78,4.86,4.78,4.86,0.41,72306,699.45,62
2008-05-05 00:00:00+00,5,5,4.8,4.88,0.41,28899,282.06,65
2008-05-06 00:00:00+00,4.86,4.87,4.8,4.87,-0.2,41899,405.37,61
2008-05-07 00:00:00+00,4.87,4.89,4.81,4.88,0.21,66522,648.66,72
2008-05-08 00:00:00+00,4.8,4.89,4.77,4.81,-1.43,27401,264.21,56
2008-05-09 00:00:00+00,4.8,4.81,4.69,4.73,-1.66,259732,2459.26,90
2008-05-12 00:00:00+00,4.8,4.84,4.7,4.8,1.48,33398,317.39,43
2008-05-13 00:00:00+00,4.81,4.83,4.75,4.81,0.21,44954,429.2,55
2008-05-14 00:00:00+00,4.98,4.98,4.77,4.79,-0.42,52506,508.62,52
2008-05-15 00:00:00+00,4.77,4.88,4.75,4.84,1.04,438093,4224.65,71
2008-05-16 00:00:00+00,4.97,5.16,4.94,5.16,6.61,624154,6328.03,318
2008-05-19 00:00:00+00,5.2,5.4,5.2,5.39,4.46,406725,4337.79,358
2008-05-20 00:00:00+00,5.39,5.58,5.3,5.38,-0.19,790477,8598.83,283
2008-05-21 00:00:00+00,5.38,5.42,5.18,5.4,0.37,367325,3957.78,137
2008-05-23 00:00:00+00,5.5,5.6,5.4,5.5,1.85,88301,974.95,88
2008-05-26 00:00:00+00,5.54,5.54,5.32,5.36,-2.55,26620,287.45,79
2008-05-27 00:00:00+00,5.15,5.37,5.15,5.3,-1.12,36825,388.48,93
2008-05-28 00:00:00+00,5.33,5.45,5.21,5.43,2.45,79224,836.03,106
2008-05-29 00:00:00+00,5.43,5.49,5.27,5.46,0.55,24187,261.76,69
2008-05-30 00:00:00+00,5.45,5.47,5.35,5.39,-1.28,407406,4408.47,202
2008-06-02 00:00:00+00,5.32,5.4,5.3,5.31,-1.48,22582,240.5,47
2008-06-03 00:00:00+00,5.38,5.54,5.25,5.5,3.58,849901,9269.94,198
2008-06-04 00:00:00+00,5.55,5.74,5.49,5.49,-0.18,55137,619.42,125
2008-06-05 00:00:00+00,5.55,5.55,5.4,5.48,-0.18,18587,202.47,56
2008-06-06 00:00:00+00,5.5,5.59,5.44,5.5,0.36,969900,10674.39,346
2008-06-09 00:00:00+00,5.37,5.39,5.25,5.38,-2.18,108300,1154.9,151
2008-06-10 00:00:00+00,5.3,5.46,5.21,5.25,-2.42,181221,1913.02,204
2008-06-11 00:00:00+00,5.34,5.35,5.08,5.23,-0.38,607835,6403.19,208
2008-06-12 00:00:00+00,5.11,5.21,5.09,5.11,-2.29,562683,5793.91,165
2008-06-13 00:00:00+00,5.08,5.1,5,5.05,-1.17,427142,4312.48,165
2008-06-16 00:00:00+00,5.16,5.16,5.05,5.11,1.19,102812,1048.46,74
2008-06-17 00:00:00+00,5.08,5.16,5.08,5.15,0.78,253659,2613.15,124
2008-06-18 00:00:00+00,5.19,5.25,5.04,5.04,-2.14,181940,1873.98,153
2008-06-19 00:00:00+00,5.14,5.25,5.04,5.21,3.37,153715,1588.25,173
2008-06-20 00:00:00+00,5.28,5.28,5.11,5.15,-1.15,250317,2586.66,95
2008-06-23 00:00:00+00,5.15,5.15,4.81,4.85,-5.83,526486,5253.58,253
2008-06-24 00:00:00+00,4.85,5.01,4.82,4.88,0.62,242922,2379.14,134
2008-06-25 00:00:00+00,4.95,5.06,4.88,5,2.46,247858,2439.94,70
2008-06-26 00:00:00+00,5.02,5.12,5,5.12,2.4,306979,3132.45,85
2008-06-27 00:00:00+00,5,5.01,4.91,4.99,-2.54,205525,2044.02,191
2008-06-30 00:00:00+00,4.99,5.04,4.91,4.95,-0.8,333786,3304.28,72
2008-07-01 00:00:00+00,5.04,5.04,4.83,4.85,-2.02,171293,1676.58,58
2008-07-02 00:00:00+00,4.82,4.97,4.76,4.77,-1.65,65553,629.09,74
2008-07-03 00:00:00+00,4.65,4.75,4.5,4.5,-5.66,703287,6357.22,234
2008-07-04 00:00:00+00,4.58,4.58,4.2,4.4,-2.22,6480454,54510.83,103
2008-07-07 00:00:00+00,4.4,4.41,4.22,4.34,-1.36,36142,311.56,52
2008-07-08 00:00:00+00,4.25,4.38,4.04,4.15,-4.38,101259,851.71,126
2008-07-09 00:00:00+00,4.16,4.32,4.15,4.3,3.61,23783,202.75,55
2008-07-10 00:00:00+00,4.26,4.47,4.02,4.2,-2.33,1095831,9202.56,178
2008-07-11 00:00:00+00,4.24,4.24,4.1,4.18,-0.48,62208,513.8,82
2008-07-14 00:00:00+00,4.28,4.28,3.92,3.97,-5.02,121623,985.01,118
2008-07-15 00:00:00+00,3.97,4.01,3.82,3.84,-3.27,1234734,9594.66,197
2008-07-16 00:00:00+00,3.8,4,3.8,3.95,2.86,58376,455.39,68
2008-07-17 00:00:00+00,4.06,4.29,4.06,4.28,8.35,76907,640.63,108
2008-07-18 00:00:00+00,4.29,4.3,4.2,4.27,-0.23,22309,190.31,49
2008-07-21 00:00:00+00,4.27,4.59,4.27,4.54,6.32,44266,397.19,70
2008-07-22 00:00:00+00,4.5,4.53,4.42,4.43,-2.42,28583,255.59,53
2008-07-23 00:00:00+00,4.52,4.87,4.52,4.87,9.93,215521,2014.29,185
2008-07-24 00:00:00+00,4.88,4.91,4.71,4.8,-1.44,120223,1153.14,162
2008-07-25 00:00:00+00,4.7,5.12,4.61,5.06,5.42,289749,2875.22,201
2008-07-28 00:00:00+00,5.05,5.29,5.03,5.11,0.99,1040598,10741.82,277
2008-07-29 00:00:00+00,5.09,5.11,5.04,5.11,0,191262,1944.34,119
2008-07-30 00:00:00+00,5.24,5.34,5.05,5.11,0,743501,7690.89,216
2008-07-31 00:00:00+00,5.11,5.11,4.91,4.98,-2.54,118468,1187.79,144
2008-08-01 00:00:00+00,5,5.11,4.91,5.1,2.41,33443,335.59,53
2008-08-04 00:00:00+00,5.05,5.05,4.86,4.98,-2.35,48030,476.7,88
2008-08-05 00:00:00+00,4.98,5.05,4.9,5.05,1.41,719095,7088.47,105
2008-08-06 00:00:00+00,5.14,5.14,4.96,4.96,-1.78,203031,2050.19,53
2008-08-07 00:00:00+00,4.95,5,4.88,4.96,0,849875,8382.55,78
2008-08-08 00:00:00+00,4.96,5.03,4.92,5,0.81,9064,90.38,24
2008-08-11 00:00:00+00,5,5.19,5,5.1,2,869920,8714.13,65
2008-08-12 00:00:00+00,5.14,5.2,5.1,5.1,0,449958,4647.25,74
2008-08-13 00:00:00+00,5.18,5.18,5.08,5.14,0.78,41746,427.88,43
2008-08-14 00:00:00+00,5.25,5.3,5.2,5.24,1.95,831481,8761.87,177
2008-08-18 00:00:00+00,5.25,5.33,5.16,5.31,1.34,228168,2408.96,79
2008-08-19 00:00:00+00,5.25,5.28,5.08,5.15,-3.01,94973,989.59,98
2008-08-20 00:00:00+00,5.2,5.2,5.11,5.2,0.97,49432,508.22,63
2008-08-21 00:00:00+00,5.29,5.29,5.15,5.17,-0.58,10530,108.72,15
2008-08-22 00:00:00+00,5.17,5.25,5.15,5.24,1.35,164833,1703.75,45
2008-08-25 00:00:00+00,5.24,5.28,5.23,5.24,0,14436,151.39,20
2008-08-26 00:00:00+00,5.25,5.25,5.23,5.25,0.19,57346,601.88,22
2008-08-27 00:00:00+00,5.18,5.25,5.18,5.22,-0.57,233892,2441.97,29
2008-08-28 00:00:00+00,5.22,5.23,5.13,5.23,0.19,43170,445.8,18
2008-08-29 00:00:00+00,5.2,5.27,5.17,5.24,0.19,48369,506.39,52
2008-09-01 00:00:00+00,5.27,5.27,5.17,5.2,-0.76,132731,1380.58,31
2008-09-02 00:00:00+00,5.27,5.44,5.27,5.36,3.08,211013,2265.02,146
2008-09-03 00:00:00+00,5.33,5.4,5.31,5.32,-0.75,137217,1472.32,105
2008-09-04 00:00:00+00,5.39,5.85,5.39,5.6,5.26,497001,5556.84,330
2008-09-05 00:00:00+00,5.44,5.55,5.4,5.4,-3.57,255185,2782.31,117
2008-09-08 00:00:00+00,5.54,5.64,5.38,5.4,0,60056,653.99,95
2008-09-09 00:00:00+00,5.5,5.5,5.29,5.32,-1.48,31016,330.29,67
2008-09-10 00:00:00+00,5.27,5.3,5.21,5.29,-0.56,135908,1431.34,87
2008-09-11 00:00:00+00,5.24,5.5,5.23,5.48,3.59,60210,647.71,82
2008-09-12 00:00:00+00,5.47,5.69,5.45,5.62,2.55,629617,7087.8,204
