date,open,high,low,close,difference,volume,turnover,transactions
2005-07-12 00:00:00+00,22.4,22.4,20,20,11.11,7691,322.52,58
2005-07-13 00:00:00+00,20.9,21.5,20.8,21,5,6979,293.48,33
2005-07-14 00:00:00+00,22,22,21,21,0,9192,394.47,37
2005-07-15 00:00:00+00,21.4,21.7,21.4,21.7,3.33,969,41.9,9
2005-07-18 00:00:00+00,21.9,21.9,21.4,21.7,0,700,30.18,8
2005-07-19 00:00:00+00,21.8,21.8,21.4,21.6,-0.46,1752,75.9,9
2005-07-20 00:00:00+00,20.5,20.9,20.5,20.8,-3.7,386,16,9
2005-07-21 00:00:00+00,0,0,0,20.8,0,0,0,0
2005-07-22 00:00:00+00,21.2,21.8,21.2,21.6,3.85,1755,76.22,14
2005-07-25 00:00:00+00,0,0,0,21.6,0,0,0,0
2005-07-26 00:00:00+00,21.6,21.6,20.5,20.7,-4.17,434,18.19,6
2005-07-27 00:00:00+00,20.8,20.8,20.6,20.8,0.48,305,12.63,6
2005-07-28 00:00:00+00,21.3,21.3,20.7,20.7,-0.48,431,18.07,2
2005-07-29 00:00:00+00,20.7,20.7,20.7,20.7,0,150,6.21,1
2005-08-01 00:00:00+00,20.6,20.6,20.1,20.1,-2.9,680,27.51,4
2005-08-02 00:00:00+00,20,20.3,20,20.1,0,859,34.59,5
2005-08-03 00:00:00+00,20,20,18,19,-5.47,1480,56.27,17
2005-08-04 00:00:00+00,19.05,19.5,18.95,19,0,1289,49.17,11
2005-08-05 00:00:00+00,0,0,0,19,0,0,0,0
2005-08-08 00:00:00+00,19,19,19,19,0,60,2.28,2
2005-08-09 00:00:00+00,18.05,18.6,18.05,18.5,-2.63,410,14.95,9
2005-08-10 00:00:00+00,18.05,18.2,17.2,18.2,-1.62,10693,387.03,27
2005-08-11 00:00:00+00,18.95,18.95,18.95,18.95,4.12,1,0.04,1
2005-08-12 00:00:00+00,18.85,18.85,18,18.05,-4.75,8762,316.46,20
2005-08-16 00:00:00+00,18,18.4,18,18.4,1.94,1250,45,6
2005-08-17 00:00:00+00,18.1,18.1,18.1,18.1,-1.63,385,13.94,3
2005-08-18 00:00:00+00,18.1,18.1,17.1,17.2,-4.97,1421,50.38,11
2005-08-19 00:00:00+00,17.1,17.15,17.1,17.1,-0.58,920,31.47,5
2005-08-22 00:00:00+00,17.1,17.1,17.1,17.1,0,692,23.67,3
2005-08-23 00:00:00+00,17.9,17.9,17.3,17.3,1.17,225,7.94,2
2005-08-24 00:00:00+00,16.8,16.8,16.8,16.8,-2.89,200,6.72,2
2005-08-25 00:00:00+00,16.5,17.7,16.5,17.7,5.36,8608,295.04,30
2005-08-26 00:00:00+00,17.9,18.45,17.9,18.45,4.24,5831,212.51,25
2005-08-29 00:00:00+00,18.95,19.5,18.95,19.4,5.15,4524,174.08,30
2005-08-30 00:00:00+00,19.4,19.65,19.4,19.5,0.52,2720,106.03,19
2005-08-31 00:00:00+00,19.5,19.5,18.8,18.9,-3.08,15867,606.71,29
2005-09-01 00:00:00+00,19,19.5,18.9,18.9,0,712,27.45,9
2005-09-02 00:00:00+00,18.9,19,18.65,19,0.53,1247,47.16,8
2005-09-05 00:00:00+00,18,18.35,18,18.35,-3.42,133,4.86,4
2005-09-06 00:00:00+00,18.8,18.8,18.35,18.35,0,4139,151.96,9
2005-09-07 00:00:00+00,18.35,18.35,18.3,18.3,-0.27,50,1.83,2
2005-09-08 00:00:00+00,18.2,18.8,18.2,18.8,2.73,400,14.97,8
2005-09-09 00:00:00+00,18.8,18.8,18.5,18.5,-1.6,372,13.97,5
2005-09-12 00:00:00+00,18.7,18.7,18.7,18.7,1.08,200,7.48,1
2005-09-13 00:00:00+00,19,19,18.75,18.75,0.27,1203,45.55,9
2005-09-14 00:00:00+00,18.45,18.45,18.4,18.4,-1.87,144,5.31,3
2005-09-15 00:00:00+00,18.3,18.3,18.3,18.3,-0.54,413,15.12,6
2005-09-16 00:00:00+00,18.1,18.9,18.1,18.9,3.28,340,12.68,6
2005-09-19 00:00:00+00,18.5,18.7,18.5,18.7,-1.06,1931,71.93,4
2005-09-20 00:00:00+00,18.95,19,18.3,18.4,-1.6,1200,44.61,8
2005-09-21 00:00:00+00,18.5,18.5,18.5,18.5,0.54,214,7.92,4
2005-09-22 00:00:00+00,18.3,18.3,18.3,18.3,-1.08,100,3.66,1
2005-09-23 00:00:00+00,0,0,0,18.3,0,0,0,0
2005-09-26 00:00:00+00,18,18,18,18,-1.64,200,7.2,2
2005-09-27 00:00:00+00,18,18,17.25,17.8,-1.11,4913,174.13,24
2005-09-28 00:00:00+00,0,0,0,17.8,0,0,0,0
2005-09-29 00:00:00+00,17.35,17.35,17.35,17.35,-2.53,100,3.47,1
2005-09-30 00:00:00+00,17.4,18.75,17.4,18.75,8.07,825,29.36,8
2005-10-03 00:00:00+00,18.75,18.75,18.2,18.2,-2.93,475,17.31,6
2005-10-04 00:00:00+00,18.2,18.25,18.2,18.25,0.27,41,1.5,3
2005-10-05 00:00:00+00,18.25,18.25,18.25,18.25,0,300,10.95,2
2005-10-06 00:00:00+00,0,0,0,18.25,0,0,0,0
2005-10-07 00:00:00+00,18.25,18.4,18.25,18.25,0,780,28.51,10
2005-10-10 00:00:00+00,18.75,18.75,18.75,18.75,2.74,450,16.88,4
2005-10-11 00:00:00+00,18.75,18.75,18.7,18.7,-0.27,1150,43.05,7
2005-10-12 00:00:00+00,19.2,19.65,19.2,19.4,3.74,1541,59.63,17
2005-10-13 00:00:00+00,19.65,19.75,18.5,18.95,-2.32,847,32.53,10
2005-10-14 00:00:00+00,0,0,0,18.95,0,0,0,0
2005-10-17 00:00:00+00,18.95,18.95,18.8,18.8,-0.79,408,15.4,3
2005-10-18 00:00:00+00,18.2,18.2,17.9,17.9,-4.79,288,10.41,8
2005-10-19 00:00:00+00,17.6,18,17.6,18,0.56,436,15.65,5
2005-10-20 00:00:00+00,18.05,18.55,18.05,18.55,3.06,137,5.03,2
2005-10-21 00:00:00+00,18.55,18.55,18.2,18.2,-1.89,283,10.41,3
2005-10-24 00:00:00+00,0,0,0,18.2,0,0,0,0
2005-10-25 00:00:00+00,0,0,0,18.2,0,0,0,0
2005-10-26 00:00:00+00,18,19.2,18,19.2,5.49,347,12.89,3
2005-10-27 00:00:00+00,18.15,18.25,18.05,18.1,-5.73,695,25.16,9
2005-10-28 00:00:00+00,18.1,18.1,18,18.1,0,1043,37.63,6
2005-10-31 00:00:00+00,17.45,18,17.45,17.65,-2.49,131,4.63,4
2005-11-02 00:00:00+00,18,18.5,18,18.05,2.27,1354,49.69,10
2005-11-03 00:00:00+00,19,19,18,18.75,3.88,5265,194.08,37
2005-11-04 00:00:00+00,18.5,18.5,18.1,18.1,-3.47,864,31.93,7
2005-11-07 00:00:00+00,18.1,18.5,17.2,17.4,-3.87,5989,211.31,27
2005-11-08 00:00:00+00,17.5,17.9,17.2,17.9,2.87,392,13.52,6
