date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,4.8,4.8,4.6,4.6,10.84,535,4.94,6
2005-01-04 00:00:00+00,0,0,0,4.6,0,0,0,0
2005-01-05 00:00:00+00,4.05,4.05,4.05,4.05,-11.96,100,0.81,1
2005-01-06 00:00:00+00,4.45,4.45,4.45,4.45,9.88,10,0.09,1
2005-01-07 00:00:00+00,4.3,4.3,4.3,4.3,-3.37,70,0.6,3
2005-01-10 00:00:00+00,3.85,3.85,3.85,3.85,-10.47,900,6.93,2
2005-01-11 00:00:00+00,4,4.3,4,4.3,11.69,2262,18.13,6
2005-01-12 00:00:00+00,0,0,0,4.3,0,0,0,0
2005-01-13 00:00:00+00,0,0,0,4.3,0,0,0,0
2005-01-14 00:00:00+00,4.3,4.3,4.3,4.3,0,1,0.01,1
2005-01-17 00:00:00+00,0,0,0,4.3,0,0,0,0
2005-01-18 00:00:00+00,0,0,0,4.3,0,0,0,0
2005-01-19 00:00:00+00,3.85,3.85,3.85,3.85,-10.47,1000,7.7,2
2005-01-20 00:00:00+00,3.86,3.86,3.86,3.86,0.26,101,0.78,1
2005-01-21 00:00:00+00,3.85,3.85,3.85,3.85,-0.26,1659,12.77,3
2005-01-24 00:00:00+00,3.8,3.8,3.8,3.8,-1.3,380,2.89,2
2005-01-25 00:00:00+00,4.28,4.28,4.28,4.28,12.63,200,1.71,2
2005-01-26 00:00:00+00,0,0,0,4.28,0,0,0,0
2005-01-27 00:00:00+00,0,0,0,4.28,0,0,0,0
2005-01-28 00:00:00+00,0,0,0,4.28,0,0,0,0
2005-01-31 00:00:00+00,4.25,4.25,4.25,4.25,-0.7,47,0.4,1
2005-02-01 00:00:00+00,4.31,4.35,4.31,4.35,2.35,8840,76.39,13
2005-02-02 00:00:00+00,4.5,4.5,4.5,4.5,3.45,1000,9,6
2005-02-03 00:00:00+00,0,0,0,4.5,0,0,0,0
2005-02-04 00:00:00+00,4.25,4.5,4.25,4.5,0,720,6.17,4
2005-02-07 00:00:00+00,4.5,4.5,4.5,4.5,0,5098,45.88,10
2005-02-08 00:00:00+00,0,0,0,4.5,0,0,0,0
2005-02-09 00:00:00+00,0,0,0,4.5,0,0,0,0
2005-02-10 00:00:00+00,4.65,4.65,4.65,4.65,3.33,4143,38.53,16
2005-02-11 00:00:00+00,4.6,4.6,4.59,4.59,-1.29,2840,26.11,6
2005-02-14 00:00:00+00,0,0,0,4.59,0,0,0,0
2005-02-15 00:00:00+00,4.59,4.59,4.59,4.59,0,350,3.21,2
2005-02-16 00:00:00+00,4.6,4.6,4.6,4.6,0.22,2755,25.35,2
2005-02-17 00:00:00+00,0,0,0,4.6,0,0,0,0
2005-02-18 00:00:00+00,0,0,0,4.6,0,0,0,0
2005-02-21 00:00:00+00,0,0,0,4.6,0,0,0,0
2005-02-22 00:00:00+00,0,0,0,4.6,0,0,0,0
2005-02-23 00:00:00+00,0,0,0,4.6,0,0,0,0
2005-02-24 00:00:00+00,0,0,0,4.6,0,0,0,0
2005-02-25 00:00:00+00,0,0,0,4.6,0,0,0,0
