date,open,high,low,close,difference,volume,turnover,transactions
2017-02-02 00:00:00+00,5.7,5.7,5.65,5.65,-0.35,1043,5.91,17
2017-02-03 00:00:00+00,5.67,5.67,5.47,5.65,0,35909,201.94,15
2017-02-06 00:00:00+00,5.65,5.65,5.55,5.55,-1.77,105,0.58,2
2017-02-07 00:00:00+00,5.66,5.66,5.56,5.64,1.62,522,2.94,4
2017-02-08 00:00:00+00,5.62,5.62,5.46,5.46,-3.19,9038,49.45,15
2017-02-09 00:00:00+00,5.64,5.64,5.43,5.55,1.65,368,2,5
2017-02-10 00:00:00+00,5.44,5.63,5.44,5.63,1.44,14,0.08,2
2017-02-13 00:00:00+00,5.65,5.65,5.39,5.39,-4.26,10705,57.84,24
2017-02-14 00:00:00+00,5.49,5.5,5.35,5.5,2.04,1239,6.76,7
2017-02-15 00:00:00+00,5.5,5.67,5.5,5.67,3.09,12061,67.33,25
2017-02-16 00:00:00+00,5.66,5.66,5.37,5.6,-1.23,3802,20.97,13
2017-02-17 00:00:00+00,5.6,5.65,5.55,5.55,-0.89,1022,5.76,4
2017-02-20 00:00:00+00,5.63,5.65,5.51,5.64,1.62,4728,26.6,14
2017-02-21 00:00:00+00,5.64,5.69,5.64,5.69,0.89,3040,17.25,10
2017-02-22 00:00:00+00,5.7,5.7,5.69,5.69,0,140,0.8,4
2017-02-23 00:00:00+00,5.69,5.69,5.45,5.69,0,872,4.92,6
2017-02-24 00:00:00+00,5.69,5.69,5.69,5.69,0,1,0.01,1
2017-02-27 00:00:00+00,5.7,5.7,5.7,5.7,0.18,2,0.01,1
2017-02-28 00:00:00+00,5.69,5.69,5.69,5.69,-0.18,2,0.01,1
2017-03-01 00:00:00+00,5.7,5.7,5.5,5.5,-3.34,3764,20.87,5
2017-03-02 00:00:00+00,5.6,5.6,5.4,5.6,1.82,897,4.85,7
2017-03-03 00:00:00+00,5.6,5.69,5.4,5.69,1.61,355,1.92,4
2017-03-06 00:00:00+00,5.65,5.65,5.36,5.6,-1.58,1700,9.25,17
2017-03-07 00:00:00+00,5.6,5.6,5.3,5.5,-1.79,7530,40.12,10
2017-03-08 00:00:00+00,5.5,5.5,5.5,5.5,0,1,0.01,1
2017-03-09 00:00:00+00,5.49,5.49,5.49,5.49,-0.18,380,2.09,1
2017-03-10 00:00:00+00,5.57,5.57,5.56,5.56,1.28,1615,8.99,8
2017-03-13 00:00:00+00,5.22,5.5,5.22,5.4,-2.88,947,5.11,6
2017-03-14 00:00:00+00,5.5,5.5,5.36,5.36,-0.74,923,5.05,5
2017-03-15 00:00:00+00,5.4,5.91,5.4,5.83,8.77,9399,53.01,27
2017-03-16 00:00:00+00,5.83,5.83,5.68,5.79,-0.69,11992,69.12,25
2017-03-17 00:00:00+00,5.79,5.79,5.35,5.75,-0.69,9032,50.86,22
2017-03-20 00:00:00+00,5.72,5.72,5.63,5.69,-1.04,5417,30.81,21
2017-03-21 00:00:00+00,5.69,5.69,5.54,5.55,-2.46,4028,22.37,16
2017-03-22 00:00:00+00,5.55,5.55,5.4,5.55,0,2242,12.13,8
