date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,11.35,11.75,11.1,11.5,-0.86,2055,46.44,16
2005-01-04 00:00:00+00,11.65,11.8,11.2,11.75,2.17,2653,61.71,17
2005-01-05 00:00:00+00,11.75,12.9,11.75,11.95,1.7,6526,157.26,39
2005-01-06 00:00:00+00,12.05,14.4,12.05,14.2,18.83,14492,380.63,103
2005-01-07 00:00:00+00,14,16.9,14,16.5,16.2,24011,758.65,242
2005-01-10 00:00:00+00,16.2,19.55,16.2,17.4,5.45,45376,1666.6,323
2005-01-11 00:00:00+00,18,18.9,17.4,17.9,2.87,21076,764.52,183
2005-01-12 00:00:00+00,17.6,17.6,16.3,16.8,-6.15,10402,355.07,110
2005-01-13 00:00:00+00,16.7,16.9,16,16.45,-2.08,7510,245.97,73
2005-01-14 00:00:00+00,16.35,16.45,15.9,16.3,-0.91,3704,119.77,42
2005-01-17 00:00:00+00,16.45,16.7,15.9,16.4,0.61,4214,136.08,54
2005-01-18 00:00:00+00,16,16.6,15.9,16.5,0.61,3638,118.53,50
2005-01-19 00:00:00+00,16.15,18.8,16.1,18.8,13.94,9304,328.13,102
2005-01-20 00:00:00+00,18.6,18.6,17.8,18.4,-2.13,3430,124.97,44
2005-01-21 00:00:00+00,18.4,18.4,16.9,18.15,-1.36,7509,264.6,64
2005-01-24 00:00:00+00,18.15,18.15,17,17.7,-2.48,3511,122.33,48
2005-01-25 00:00:00+00,18,18,17.5,18,1.69,1255,44.42,11
2005-01-26 00:00:00+00,18,18,17.25,17.95,-0.28,1561,55.71,21
2005-01-27 00:00:00+00,17.95,22,17.55,21.8,21.45,31997,1259.14,240
2005-01-28 00:00:00+00,22.5,27,22.5,24.4,11.93,33300,1646.36,414
2005-01-31 00:00:00+00,25.6,26.8,24.4,25.4,4.1,20109,1036.3,192
2005-02-01 00:00:00+00,26,26.8,25.4,25.8,1.57,11870,621.31,107
2005-02-02 00:00:00+00,25.8,26.4,24.7,26,0.78,6118,312.04,71
2005-02-03 00:00:00+00,26,27,25.1,26.8,3.08,10354,547.88,124
2005-02-04 00:00:00+00,28.6,31.3,28.6,30,11.94,13359,798.71,213
2005-02-07 00:00:00+00,34,37.5,33.5,37.5,25,15356,1060.14,240
2005-02-08 00:00:00+00,45,51.3,39.9,39.9,6.4,34353,3209.11,570
2005-02-09 00:00:00+00,40.6,44.8,40,44.8,12.28,27912,2372.64,475
2005-02-10 00:00:00+00,49,49.5,41,43.4,-3.13,19257,1748.75,359
2005-02-11 00:00:00+00,43.4,45,40,40.2,-7.37,7031,597.85,132
2005-02-14 00:00:00+00,40,40,31.4,36.4,-9.45,35138,2478.89,625
2005-02-15 00:00:00+00,34.7,37.2,33.6,35.2,-3.3,8205,580.32,171
2005-02-16 00:00:00+00,36.9,43.9,36.8,42.9,21.88,23067,1825.77,352
2005-02-17 00:00:00+00,44,46.5,42.2,42.2,-1.63,30502,2712.11,474
2005-02-18 00:00:00+00,42,42,38,39.4,-6.64,11506,920.47,206
2005-02-21 00:00:00+00,39,40.9,37.9,39.1,-0.76,6040,469.07,84
2005-02-22 00:00:00+00,39.9,39.9,38.1,38.7,-1.02,4269,330.02,75
2005-02-23 00:00:00+00,38.7,38.7,36.8,37.5,-3.1,5174,390.52,80
2005-02-24 00:00:00+00,37.7,38.4,36.9,37.7,0.53,2687,201.06,63
2005-02-25 00:00:00+00,38.7,40.6,37.7,38.7,2.65,15086,1187.27,218
2005-02-28 00:00:00+00,38.8,39,37,38,-1.81,6489,491.73,102
2005-03-01 00:00:00+00,37.8,37.9,37.1,37.9,-0.26,1171,87.99,21
2005-03-02 00:00:00+00,37.9,37.9,35.6,36.3,-4.22,3412,252.72,55
2005-03-03 00:00:00+00,35.9,36,33.8,34.6,-4.68,5678,400.35,83
2005-03-04 00:00:00+00,34.2,36.8,34.2,34.4,-0.58,4824,334.74,85
2005-03-07 00:00:00+00,34.2,34.8,32.4,33.7,-2.03,4406,294.94,74
2005-03-08 00:00:00+00,33.6,33.6,32.4,32.4,-3.86,5082,332.27,64
2005-03-09 00:00:00+00,32,32.3,29.3,30,-7.41,12305,756.91,192
2005-03-10 00:00:00+00,30.7,36,30.5,33.7,12.33,28921,1958.79,445
2005-03-11 00:00:00+00,34.3,38,34.3,35.8,6.23,24220,1756.23,380
2005-03-14 00:00:00+00,37,37.2,33.3,33.7,-5.87,9923,694.26,157
2005-03-15 00:00:00+00,32.5,34.3,32.2,33.6,-0.3,3220,215.06,74
2005-03-16 00:00:00+00,33.1,33.6,30.8,31.3,-6.85,9115,586.99,137
2005-03-17 00:00:00+00,31.9,34.3,30.5,31.6,0.96,11690,760.51,197
2005-03-18 00:00:00+00,31.9,33.7,31.9,33.1,4.75,7513,493.74,120
2005-03-21 00:00:00+00,34,34,32.3,32.5,-1.81,5715,376.05,72
2005-03-22 00:00:00+00,32.5,33.5,32.5,33.3,2.46,1049,69.06,32
2005-03-23 00:00:00+00,32.6,33.2,32.3,33,-0.9,837,54.4,27
2005-03-24 00:00:00+00,32.3,33.1,32.3,32.3,-2.12,1000,64.99,26
2005-03-29 00:00:00+00,33.3,33.3,32,32.1,-0.62,2875,184.72,29
2005-03-30 00:00:00+00,32.9,33.5,32,32.5,1.25,3526,233.4,56
2005-03-31 00:00:00+00,32.6,33.3,32.4,32.4,-0.31,3794,246.81,21
2005-04-01 00:00:00+00,32.6,33.4,32,32.4,0,3114,203.18,32
2005-04-04 00:00:00+00,32.4,33,32.2,32.3,-0.31,1299,84.61,23
2005-04-05 00:00:00+00,32.9,33,32.2,32.3,0,2077,135.25,27
2005-04-06 00:00:00+00,32.7,33,32.7,32.8,1.55,864,56.61,15
2005-04-07 00:00:00+00,32.5,33,32.5,32.6,-0.61,656,43.02,12
2005-04-11 00:00:00+00,32.6,32.6,32.2,32.2,-1.23,1541,99.41,22
2005-04-12 00:00:00+00,32.2,32.3,32.2,32.3,0.31,429,27.67,7
2005-04-13 00:00:00+00,32.2,32.3,32.1,32.2,-0.31,841,54.17,17
2005-04-14 00:00:00+00,32.1,32.1,30.6,31.5,-2.17,3747,238.94,23
2005-04-15 00:00:00+00,31.9,31.9,31,31.3,-0.63,463,28.83,10
