date,open,high,low,close,difference,volume,turnover,transactions
2008-05-12 00:00:00+00,9.7,9.7,9.69,9.7,0.1,31233,605.32,12
2008-05-13 00:00:00+00,9.71,9.71,9.51,9.71,0.1,711,13.75,15
2008-05-14 00:00:00+00,9.72,9.8,9.6,9.8,0.93,4482,87.3,19
2008-05-15 00:00:00+00,9.89,10,9.8,10,2.04,1910,37.79,4
2008-05-16 00:00:00+00,10.09,10.61,10.09,10.25,2.5,119773,2452.91,43
2008-05-19 00:00:00+00,10.5,10.7,10.5,10.67,4.1,28843,611.36,15
2008-05-20 00:00:00+00,10.8,10.99,10.61,10.77,0.94,2301,49.66,14
2008-05-21 00:00:00+00,10.79,10.79,10.52,10.52,-2.32,2668,56.27,21
2008-05-23 00:00:00+00,10.32,10.71,10.32,10.71,1.81,1973,41.46,4
2008-05-26 00:00:00+00,10.77,10.8,10.35,10.7,-0.09,263,5.59,12
2008-05-27 00:00:00+00,10.7,10.7,10.68,10.68,-0.19,194,4.15,11
2008-05-28 00:00:00+00,10.66,10.67,10.66,10.67,-0.09,110,2.35,12
2008-05-29 00:00:00+00,10.67,10.67,10.67,10.67,0,80,1.71,10
2008-05-30 00:00:00+00,10.77,10.77,10.6,10.6,-0.66,115,2.45,11
2008-06-02 00:00:00+00,10.6,10.6,10.6,10.6,0,643,13.63,11
2008-06-03 00:00:00+00,10.6,10.6,10.6,10.6,0,150,3.18,11
2008-06-04 00:00:00+00,10.6,10.6,10.31,10.31,-2.74,171,3.6,12
2008-06-05 00:00:00+00,10.42,10.6,10.42,10.42,1.07,4684,97.67,31
2008-06-06 00:00:00+00,10.52,10.52,10.51,10.51,0.86,1115,23.44,14
2008-06-09 00:00:00+00,10.2,10.6,9.9,10.6,0.86,1938,40.25,8
2008-06-10 00:00:00+00,10.58,10.58,10.58,10.58,-0.19,20,0.42,2
2008-06-11 00:00:00+00,10.47,10.47,10.47,10.47,-1.04,50,1.05,9
2008-06-12 00:00:00+00,10.48,10.48,10.48,10.48,0.1,35,0.73,11
2008-06-13 00:00:00+00,10.5,10.5,10.5,10.5,0.19,45,0.95,9
2008-06-16 00:00:00+00,10.47,10.47,10.47,10.47,-0.29,50,1.05,10
2008-06-17 00:00:00+00,10.1,10.43,10.1,10.43,-0.38,718,14.52,10
2008-06-18 00:00:00+00,10.4,10.4,10.02,10.4,-0.29,332,6.68,11
2008-06-19 00:00:00+00,10.02,10.1,10.02,10.1,-2.88,1378,27.75,15
2008-06-20 00:00:00+00,10.09,10.31,10.09,10.31,2.08,623,12.59,8
2008-06-23 00:00:00+00,10.1,10.44,10.1,10.39,0.78,46,0.96,10
2008-06-24 00:00:00+00,10.37,10.37,10.35,10.35,-0.38,931,19.28,13
2008-06-25 00:00:00+00,10.29,10.29,10.25,10.28,-0.68,160,3.28,12
2008-06-26 00:00:00+00,10.2,10.3,10.15,10.3,0.19,1201,24.65,16
2008-06-27 00:00:00+00,10.19,10.19,10.19,10.19,-1.07,22,0.45,11
2008-06-30 00:00:00+00,10.29,10.29,10.29,10.29,0.98,22,0.45,11
2008-07-01 00:00:00+00,10.31,10.31,10.3,10.3,0.1,28,0.58,12
2008-07-02 00:00:00+00,10.28,10.28,10.28,10.28,-0.19,24,0.49,12
2008-07-03 00:00:00+00,10.35,10.35,10.35,10.35,0.68,22,0.46,11
2008-07-04 00:00:00+00,10.3,10.3,10.29,10.29,-0.58,22,0.45,11
2008-07-07 00:00:00+00,10.3,10.3,10.3,10.3,0.1,22,0.45,11
2008-07-08 00:00:00+00,10.1,10.29,10.1,10.29,-0.1,594,12.06,12
2008-07-09 00:00:00+00,10.29,10.29,9.9,10.28,-0.1,468,9.51,11
2008-07-10 00:00:00+00,10.2,10.2,10.2,10.2,-0.78,27,0.55,13
2008-07-11 00:00:00+00,10.2,10.2,9.9,10.2,0,1188,23.68,13
2008-07-14 00:00:00+00,9.9,10.28,9.9,10.1,-0.98,77,1.53,11
2008-07-15 00:00:00+00,9.8,10.15,9.8,10.15,0.5,1276,25.36,8
2008-07-16 00:00:00+00,10.29,10.29,10.19,10.19,0.39,772,15.73,14
2008-07-17 00:00:00+00,10,10.2,9.8,9.8,-3.83,614,12.05,24
2008-07-18 00:00:00+00,10.28,10.28,9.8,9.8,0,192,3.78,25
2008-07-21 00:00:00+00,10.28,10.28,10.28,10.28,4.9,71,1.46,12
2008-07-22 00:00:00+00,10,10,10,10,-2.72,500,10,12
2008-07-23 00:00:00+00,10,10,10,10,0,77,1.54,12
2008-07-24 00:00:00+00,10,10,10,10,0,300,6,20
2008-07-25 00:00:00+00,10,10,9.8,10,0,339,6.68,13
2008-07-28 00:00:00+00,10.2,10.2,10.2,10.2,2,22,0.45,11
2008-07-29 00:00:00+00,10.2,10.2,10.19,10.19,-0.1,22,0.45,11
2008-07-30 00:00:00+00,10.2,10.2,10.15,10.15,-0.39,22,0.45,11
2008-07-31 00:00:00+00,10,10,9.8,9.8,-3.45,139,2.73,14
2008-08-01 00:00:00+00,10,10,9.8,10,2.04,1590,31.57,23
2008-08-04 00:00:00+00,10,10,10,10,0,22,0.44,11
2008-08-05 00:00:00+00,10,10,9.99,9.99,-0.1,22,0.44,11
2008-08-06 00:00:00+00,10.2,10.2,10,10,0.1,29,0.58,20
2008-08-07 00:00:00+00,9.7,10,9.7,10,0,1538,29.85,11
2008-08-08 00:00:00+00,9.9,9.9,9.6,9.9,-1,427,8.21,14
2008-08-11 00:00:00+00,10,10.25,9.9,9.9,0,699,13.98,25
2008-08-12 00:00:00+00,10.2,10.2,10.2,10.2,3.03,24,0.49,12
2008-08-13 00:00:00+00,10.22,10.6,10.12,10.6,3.92,5964,123.91,39
2008-08-14 00:00:00+00,10.42,10.7,10.42,10.7,0.94,3140,67.12,32
2008-08-18 00:00:00+00,10.5,10.99,10.5,10.99,2.71,832,17.59,2
2008-08-19 00:00:00+00,10.5,10.5,10.5,10.5,-4.46,715,15.02,1
2008-08-20 00:00:00+00,10.2,10.67,10.2,10.67,1.62,750,15.34,3
2008-08-21 00:00:00+00,10.7,10.7,10.7,10.7,0.28,2,0.04,2
2008-08-22 00:00:00+00,10.4,10.75,10.28,10.7,0,63529,1330.19,38
2008-08-25 00:00:00+00,10.5,10.7,10.4,10.7,0,220200,4589.06,26
2008-08-26 00:00:00+00,0,0,0,10.7,0,0,0,0
2008-08-27 00:00:00+00,10.71,10.71,10.71,10.71,0.09,300,6.43,1
2008-08-28 00:00:00+00,0,0,0,10.71,0,0,0,0
2008-08-29 00:00:00+00,10.8,10.8,10.31,10.7,-0.09,5002,107.04,7
2008-09-01 00:00:00+00,10.42,10.77,10.4,10.77,0.65,3676,77.97,19
2008-09-02 00:00:00+00,10.73,10.74,10.47,10.74,-0.28,6482,138.83,54
2008-09-03 00:00:00+00,10.7,10.7,9.7,10,-6.89,909759,17656.51,42
2008-09-04 00:00:00+00,10.18,10.59,10.18,10.44,4.4,5283,109.29,41
2008-09-05 00:00:00+00,10.6,10.85,10.1,10.45,0.1,7635,160.8,39
2008-09-08 00:00:00+00,10.49,10.49,10.49,10.49,0.38,2100,44.06,19
2008-09-09 00:00:00+00,10.23,10.74,10.23,10.65,1.53,3378,71.72,28
2008-09-10 00:00:00+00,10.65,10.65,10.65,10.65,0,20,0.43,15
2008-09-11 00:00:00+00,10.7,10.7,10.5,10.66,0.09,1614,34.44,35
2008-09-12 00:00:00+00,10.35,10.5,10.2,10.5,-1.5,3140,65.11,20
2008-09-15 00:00:00+00,10.65,10.65,10.2,10.2,-2.86,781,15.96,21
2008-09-16 00:00:00+00,9.9,10.1,9.8,9.99,-2.06,3484,69.25,28
2008-09-17 00:00:00+00,10.2,10.2,9.35,9.75,-2.4,5887,114.29,23
2008-09-18 00:00:00+00,9.45,9.55,9.45,9.5,-2.56,1781,33.86,16
2008-09-19 00:00:00+00,9.51,9.51,9.5,9.5,0,1014,19.27,11
2008-09-22 00:00:00+00,9.3,9.5,9.3,9.5,0,2471,46.83,17
2008-09-23 00:00:00+00,9.25,9.25,9,9.2,-3.16,2608,47.86,15
2008-09-24 00:00:00+00,9.19,9.19,9.19,9.19,-0.11,64,1.18,11
2008-09-25 00:00:00+00,9.2,9.2,9,9,-2.07,894,16.11,23
2008-09-26 00:00:00+00,9,9.4,8.95,9.4,4.44,2233,40.87,23
2008-09-29 00:00:00+00,9.2,9.5,9.2,9.5,1.06,1119,20.76,18
2008-09-30 00:00:00+00,9.2,9.2,9.05,9.2,-3.16,2017,37.1,5
2008-10-01 00:00:00+00,9.47,9.5,9.2,9.5,3.26,3002,56.82,24
2008-10-02 00:00:00+00,9.69,9.69,9.4,9.5,0,516,9.76,3
2008-10-03 00:00:00+00,9.55,9.55,9.15,9.15,-3.68,1040,19.13,14
2008-10-06 00:00:00+00,8.65,9,8.65,9,-1.64,2845,50.12,17
2008-10-07 00:00:00+00,8.86,9.3,8.85,9.3,3.33,1500,27.45,4
2008-10-08 00:00:00+00,8.75,9.2,8.75,9.19,-1.18,2098,38.15,7
2008-10-09 00:00:00+00,9.19,9.19,9.19,9.19,0,22,0.4,11
2008-10-10 00:00:00+00,8.66,9.15,8.65,9.15,-0.44,2130,37.99,8
2008-10-13 00:00:00+00,9.2,9.2,9.2,9.2,0.55,22,0.4,11
2008-10-14 00:00:00+00,9.2,9.25,9.2,9.2,0,2022,37.3,16
2008-10-15 00:00:00+00,8.82,9.23,8.8,8.81,-4.24,1139,20.15,7
2008-10-16 00:00:00+00,8.8,8.8,8.8,8.8,-0.11,22,0.39,11
2008-10-17 00:00:00+00,8.85,8.85,8.8,8.8,0,66,1.16,9
2008-10-20 00:00:00+00,9,9,9,9,2.27,10,0.18,5
2008-10-21 00:00:00+00,9.05,9.09,9.05,9.09,1,512,9.31,8
2008-10-22 00:00:00+00,9.06,9.06,9.06,9.06,-0.33,10,0.18,5
2008-10-23 00:00:00+00,8.6,9.05,8.01,9.05,-0.11,1250,21.56,9
2008-10-24 00:00:00+00,8.6,9,8.5,9,-0.55,1350,23.23,5
2008-10-27 00:00:00+00,8.94,8.94,8.6,8.89,-1.22,1762,30.59,17
2008-10-28 00:00:00+00,8.85,8.85,8.85,8.85,-0.45,22,0.39,11
