date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,31.1,31.1,30.5,30.5,-1.61,3454,211.51,31
2005-01-04 00:00:00+00,30.5,31.1,30.5,30.9,1.31,2445,150.18,26
2005-01-05 00:00:00+00,30.3,31,30.3,30.7,-0.65,3584,218.06,24
2005-01-06 00:00:00+00,30.1,30.3,29.8,29.8,-2.93,6946,415.74,31
2005-01-07 00:00:00+00,29.5,30.5,29.5,30,0.67,21543,1298.39,69
2005-01-10 00:00:00+00,30,30.2,29.8,30.2,0.67,5753,344.66,19
2005-01-11 00:00:00+00,30,30.2,29.6,30,-0.66,716,42.9,9
2005-01-12 00:00:00+00,29.7,31,29.7,30.8,2.67,1440,87.47,26
2005-01-13 00:00:00+00,30.1,31.2,30.1,31,0.65,6473,399.85,37
2005-01-14 00:00:00+00,30.5,30.9,30.5,30.5,-1.61,2337,143.15,16
2005-01-17 00:00:00+00,29.7,30.6,29,30.6,0.33,4149,251.95,34
2005-01-18 00:00:00+00,30.6,30.6,29.9,30.3,-0.98,2113,127.47,29
2005-01-19 00:00:00+00,29.2,31.2,29.2,31.2,2.97,7254,447.55,51
2005-01-20 00:00:00+00,30.1,31.2,30.1,31.1,-0.32,6344,392.63,34
2005-01-21 00:00:00+00,30.5,31.5,30.4,31.2,0.32,4288,267.84,33
2005-01-24 00:00:00+00,31,31.7,31,31.7,1.6,1181,74.03,13
2005-01-25 00:00:00+00,31.7,31.7,31,31.5,-0.63,6652,417.61,30
2005-01-26 00:00:00+00,31.6,32,31.4,32,1.59,6186,393.75,34
2005-01-27 00:00:00+00,32.1,32.1,31.2,32,0,1061,67.83,17
2005-01-28 00:00:00+00,31.7,31.7,31,31.1,-2.81,4768,296.14,34
2005-01-31 00:00:00+00,30.6,31.9,30.5,31.5,1.29,3598,222.57,25
2005-02-01 00:00:00+00,31,31.9,31,31.8,0.95,2941,183.4,24
2005-02-02 00:00:00+00,31.2,31.3,31,31.3,-1.57,2478,154.1,24
2005-02-03 00:00:00+00,30.6,30.9,30.6,30.9,-1.28,944,58.11,10
2005-02-04 00:00:00+00,30.8,31.2,30.8,31,0.32,5693,353.22,34
2005-02-07 00:00:00+00,30.8,30.9,29.9,30.7,-0.97,4512,273.19,40
2005-02-08 00:00:00+00,30.8,30.8,29.9,30,-2.28,1421,86.06,19
2005-02-09 00:00:00+00,30,30.5,29.5,30.5,1.67,4323,259.64,35
