date,open,high,low,close,difference,volume,turnover,transactions
2016-09-30 00:00:00+00,5.49,5.57,4.9,5,-6.37,131748,685.97,312
2016-10-03 00:00:00+00,5.05,5.25,4.95,5.1,2,43148,219.72,106
2016-10-04 00:00:00+00,5.15,5.15,4.82,4.91,-3.73,47061,234.59,124
2016-10-05 00:00:00+00,5,5,4.75,4.85,-1.22,38403,186.8,109
2016-10-06 00:00:00+00,4.95,4.95,4.7,4.7,-3.09,36483,175.49,93
2016-10-07 00:00:00+00,4.65,5,4.65,4.9,4.26,79933,386.96,111
2016-10-10 00:00:00+00,4.99,5.1,4.81,5.1,4.08,77465,387.23,112
2016-10-11 00:00:00+00,5.14,5.15,4.85,4.92,-3.53,103921,520.44,118
2016-10-12 00:00:00+00,4.95,4.96,4.81,4.86,-1.22,23585,115.24,48
2016-10-13 00:00:00+00,4.9,4.92,4.82,4.88,0.41,19162,92.64,45
2016-10-14 00:00:00+00,4.89,4.89,4.79,4.89,0.2,18614,90.25,42
2016-10-17 00:00:00+00,4.89,4.9,4.75,4.87,-0.41,20220,97.09,49
2016-10-18 00:00:00+00,4.78,4.8,4.7,4.79,-1.64,15760,75.19,50
2016-10-19 00:00:00+00,4.72,4.79,4.61,4.79,0,40879,191.91,88
2016-10-20 00:00:00+00,4.79,4.8,4.62,4.8,0.21,41964,197.74,82
2016-10-21 00:00:00+00,4.77,4.77,4.67,4.67,-2.71,11291,53.36,26
2016-10-24 00:00:00+00,4.68,4.73,4.59,4.73,1.28,20938,97.14,52
2016-10-25 00:00:00+00,4.79,4.85,4.7,4.78,1.06,8391,39.92,31
2016-10-26 00:00:00+00,4.73,4.84,4.64,4.82,0.84,28302,133.76,69
2016-10-27 00:00:00+00,4.85,4.94,4.7,4.79,-0.62,38762,187.57,100
2016-10-28 00:00:00+00,4.8,4.85,4.7,4.81,0.42,17871,85.28,44
2016-10-31 00:00:00+00,4.73,4.8,4.71,4.76,-1.04,13635,64.86,34
2016-11-02 00:00:00+00,4.7,4.77,4.55,4.55,-4.41,34038,157.45,68
2016-11-03 00:00:00+00,4.65,4.65,4.45,4.49,-1.32,85208,386.82,106
2016-11-04 00:00:00+00,4.5,4.54,4.35,4.4,-2,32131,142.51,78
2016-11-07 00:00:00+00,4.48,4.58,4.44,4.48,1.82,18999,85.53,43
2016-11-08 00:00:00+00,4.42,4.55,4.42,4.53,1.12,8801,39.54,25
2016-11-09 00:00:00+00,4.34,4.53,4.34,4.47,-1.32,12880,57.01,54
2016-11-10 00:00:00+00,4.46,4.46,4.07,4.22,-5.59,126951,543.91,257
2016-11-14 00:00:00+00,4.26,4.26,4.1,4.21,-0.24,49836,208.38,90
2016-11-15 00:00:00+00,4.21,4.35,4.2,4.2,-0.24,15921,67.48,45
2016-11-16 00:00:00+00,4.2,4.2,3.96,4,-4.76,114340,458.85,175
2016-11-17 00:00:00+00,4,4,3.7,3.8,-5,74367,283.55,174
2016-11-18 00:00:00+00,3.85,4.15,3.8,4.06,6.84,148432,573.79,146
2016-11-21 00:00:00+00,4.15,4.5,4.15,4.49,10.59,140203,615.65,235
2016-11-22 00:00:00+00,4.5,4.55,4.35,4.48,-0.22,110524,495.88,122
2016-11-23 00:00:00+00,4.44,4.44,4.17,4.4,-1.79,15694,67.73,47
2016-11-24 00:00:00+00,4.37,4.54,3.96,4.42,0.45,150831,642.1,231
2016-11-25 00:00:00+00,4.45,4.6,4.2,4.2,-4.98,1173503,5365.62,206
2016-11-28 00:00:00+00,4.16,4.38,4.05,4.27,1.67,50112,212.28,82
2016-11-29 00:00:00+00,4.35,4.44,4.21,4.29,0.47,15725,67.76,34
2016-11-30 00:00:00+00,4.22,4.28,4.15,4.24,-1.17,17069,72.22,39
2016-12-01 00:00:00+00,4.26,4.29,4.2,4.2,-0.94,27692,116.93,44
2016-12-02 00:00:00+00,4.2,4.2,4.07,4.19,-0.24,21060,86.81,36
2016-12-05 00:00:00+00,4.19,4.25,4.1,4.25,1.43,82619,345.73,97
2016-12-06 00:00:00+00,4.25,4.48,4.2,4.38,3.06,61221,267.5,125
2016-12-07 00:00:00+00,4.46,4.46,4.3,4.38,0,15672,68.44,37
