date,open,high,low,close,difference,volume,turnover,transactions
2011-01-12 00:00:00+00,12.99,13.99,11.8,12.08,-0.58,12415,157.91,97
2011-01-13 00:00:00+00,12.11,12.18,11.8,12.17,0.75,3278,39.23,23
2011-01-14 00:00:00+00,12.19,12.3,12.1,12.3,1.07,635,7.73,6
2011-01-17 00:00:00+00,12.24,12.24,11.61,11.72,-4.72,2341,27.46,22
2011-01-18 00:00:00+00,11.51,11.74,11.04,11.49,-1.96,2643,30.4,29
2011-01-19 00:00:00+00,11.49,11.65,11.41,11.61,1.04,2676,30.78,32
2011-01-20 00:00:00+00,11.65,12.23,11.55,12.2,5.08,5517,66.07,38
2011-01-21 00:00:00+00,11.7,12.23,11.61,12,-1.64,5981,70.83,35
2011-01-24 00:00:00+00,11.84,11.84,11.82,11.82,-1.5,960,11.36,9
2011-01-25 00:00:00+00,11.85,12,11.85,12,1.52,97,1.16,6
2011-01-26 00:00:00+00,12,12.1,11.9,12,0,282,3.38,11
2011-01-27 00:00:00+00,12,12.1,11.8,11.8,-1.67,1317,15.74,17
2011-01-28 00:00:00+00,11.95,12,11.9,11.99,1.61,590,7.05,11
2011-01-31 00:00:00+00,11.9,12.23,11.85,12.23,2,235,2.81,12
2011-02-01 00:00:00+00,12.25,12.25,12.05,12.25,0.16,610,7.46,5
2011-02-02 00:00:00+00,12.19,12.19,12,12.1,-1.22,277,3.35,10
2011-02-03 00:00:00+00,12.11,12.43,12,12.07,-0.25,1106,13.37,17
2011-02-04 00:00:00+00,12.03,12.2,12,12.15,0.66,256,3.09,12
2011-02-07 00:00:00+00,12.15,12.15,12,12.15,0,61,0.74,5
2011-02-08 00:00:00+00,12.15,12.15,11.8,11.9,-2.06,743,8.91,16
2011-02-09 00:00:00+00,11.9,12.14,11.9,12.1,1.68,466,5.59,11
2011-02-10 00:00:00+00,12.12,12.12,11.93,12.1,0,646,7.81,11
2011-02-11 00:00:00+00,12.09,12.09,11.9,12,-0.83,251,2.99,9
2011-02-14 00:00:00+00,12,12.25,11.97,12.05,0.42,284,3.41,11
2011-02-15 00:00:00+00,12,12,11.8,11.85,-1.66,203,2.41,14
2011-02-16 00:00:00+00,11.86,11.9,11.83,11.83,-0.17,725,8.59,13
2011-02-17 00:00:00+00,11.83,12,11.83,12,1.44,280,3.33,10
2011-02-18 00:00:00+00,11.9,12,11.77,11.77,-1.92,410,4.85,11
2011-02-21 00:00:00+00,11.65,11.83,11.65,11.75,-0.17,232,2.71,12
2011-02-22 00:00:00+00,11.85,11.98,11.74,11.98,1.96,2395,28.21,20
2011-02-23 00:00:00+00,11.9,12,11.85,12,0.17,449,5.36,15
2011-02-24 00:00:00+00,11.95,12.25,11.91,12.18,1.5,855,10.25,13
2011-02-25 00:00:00+00,12.18,12.18,11.88,11.9,-2.3,311,3.72,12
2011-02-28 00:00:00+00,12.15,12.15,11.96,12.05,1.26,161,1.94,7
2011-03-01 00:00:00+00,12.04,12.04,11.86,11.98,-0.58,1192,14.23,14
2011-03-02 00:00:00+00,12,12,11.95,12,0.17,18,0.22,4
2011-03-03 00:00:00+00,12,12,11.87,11.87,-1.08,159,1.89,7
2011-03-04 00:00:00+00,11.87,11.87,11.86,11.87,0,554,6.57,14
2011-03-07 00:00:00+00,11.87,11.87,11.8,11.87,0,221,2.61,8
2011-03-08 00:00:00+00,11.87,11.87,11.78,11.86,-0.08,391,4.62,9
2011-03-09 00:00:00+00,11.86,11.86,11.85,11.85,-0.08,100,1.19,6
2011-03-10 00:00:00+00,11.85,11.85,11.84,11.85,0,174,2.06,9
2011-03-11 00:00:00+00,11.85,11.95,11.84,11.95,0.84,1411,16.72,29
2011-03-14 00:00:00+00,11.95,12.2,11.84,12.1,1.26,356,4.25,11
2011-03-15 00:00:00+00,12.2,12.24,11.9,11.95,-1.24,499,6.04,18
2011-03-16 00:00:00+00,11.65,11.85,11.65,11.85,-0.84,241,2.81,8
2011-03-17 00:00:00+00,0,0,0,11.85,0,0,0,0
2011-03-18 00:00:00+00,11.8,11.93,11.7,11.93,0.68,179,2.11,5
2011-03-21 00:00:00+00,11.92,11.92,11.5,11.92,-0.08,1100,12.74,14
2011-03-22 00:00:00+00,11.85,11.92,11.85,11.89,-0.25,95,1.13,6
2011-03-23 00:00:00+00,11.88,11.88,11.88,11.88,-0.08,20,0.24,1
2011-03-24 00:00:00+00,11.85,11.89,11.6,11.86,-0.17,337,3.96,13
2011-03-25 00:00:00+00,11.85,11.85,11.75,11.79,-0.59,55,0.65,5
2011-03-28 00:00:00+00,11.79,11.8,11.79,11.8,0.08,59,0.7,2
2011-03-29 00:00:00+00,11.85,11.85,11.75,11.85,0.42,107,1.26,8
2011-03-30 00:00:00+00,11.84,11.9,11.6,11.6,-2.11,692,8.04,7
2011-03-31 00:00:00+00,11.6,11.85,11.6,11.65,0.43,689,8,13
2011-04-01 00:00:00+00,11.6,11.64,11.6,11.6,-0.43,954,11.08,16
2011-04-04 00:00:00+00,11.56,11.6,11.4,11.5,-0.86,1223,14.07,31
2011-04-05 00:00:00+00,11.5,11.6,11.5,11.52,0.17,614,7.08,13
2011-04-06 00:00:00+00,11.53,11.64,11.5,11.52,0,612,7.05,10
2011-04-07 00:00:00+00,11.5,11.58,11.5,11.53,0.09,414,4.77,14
2011-04-08 00:00:00+00,11.52,11.58,11.5,11.52,-0.09,611,7.03,14
2011-04-11 00:00:00+00,11.51,11.51,11.46,11.51,-0.09,734,8.44,8
2011-04-12 00:00:00+00,11.5,11.51,11.5,11.51,0,766,8.81,13
2011-04-13 00:00:00+00,11.53,11.58,11.53,11.53,0.17,570,6.58,13
2011-04-14 00:00:00+00,11.5,11.6,11.5,11.52,-0.09,516,5.95,13
2011-04-15 00:00:00+00,11.54,11.7,11.5,11.5,-0.17,651,7.51,12
2011-04-18 00:00:00+00,11.5,11.6,11.5,11.54,0.35,1021,11.81,15
2011-04-19 00:00:00+00,11.56,11.65,11.54,11.54,0,181,2.09,10
2011-04-20 00:00:00+00,11.5,11.59,11.5,11.54,0,296,3.41,10
2011-04-21 00:00:00+00,11.55,11.55,11.5,11.54,0,142,1.64,10
2011-04-26 00:00:00+00,11.54,11.58,11.3,11.58,0.35,479,5.47,10
2011-04-27 00:00:00+00,11.54,11.54,11.54,11.54,-0.35,20,0.23,2
2011-04-28 00:00:00+00,11.57,11.68,11.5,11.5,-0.35,111,1.28,10
2011-04-29 00:00:00+00,11.5,11.57,11.5,11.5,0,91,1.05,7
2011-05-02 00:00:00+00,11.52,11.52,11.35,11.5,0,252,2.88,14
2011-05-04 00:00:00+00,11.52,11.52,11.4,11.47,-0.26,913,10.41,11
2011-05-05 00:00:00+00,11.47,11.52,11.3,11.43,-0.35,846,9.63,18
2011-05-06 00:00:00+00,11.43,11.48,11.43,11.48,0.44,31,0.35,3
2011-05-09 00:00:00+00,11.48,11.5,11.47,11.49,0.09,1061,12.19,16
2011-05-10 00:00:00+00,11.51,11.52,11.49,11.5,0.09,675,7.77,13
2011-05-11 00:00:00+00,11.5,11.51,11.5,11.5,0,1367,15.72,18
2011-05-12 00:00:00+00,11.5,11.5,11.2,11.2,-2.61,140,1.58,5
2011-05-13 00:00:00+00,11.32,11.44,11.11,11.44,2.14,315,3.57,7
2011-05-16 00:00:00+00,11.3,11.43,11.3,11.43,-0.09,293,3.34,8
2011-05-17 00:00:00+00,11.43,11.43,11.39,11.39,-0.35,195,2.23,9
2011-05-18 00:00:00+00,11.39,11.5,11.37,11.43,0.35,412,4.7,15
2011-05-19 00:00:00+00,11.43,11.49,11.43,11.43,0,166,1.9,12
2011-05-20 00:00:00+00,11.43,11.49,11.4,11.4,-0.26,122,1.39,8
2011-05-23 00:00:00+00,11.4,11.4,11.36,11.4,0,40,0.46,6
2011-05-24 00:00:00+00,11.3,11.4,11.3,11.35,-0.44,397,4.5,13
2011-05-25 00:00:00+00,11.38,11.38,11.35,11.35,0,133,1.51,2
2011-05-26 00:00:00+00,11.34,11.34,11,11.08,-2.38,995,11.05,13
2011-05-27 00:00:00+00,11.15,11.19,10.85,10.85,-2.08,395,4.32,10
2011-05-30 00:00:00+00,10.01,11,10.01,10.9,0.46,856,9.05,16
2011-05-31 00:00:00+00,10.89,11.19,10.89,11.19,2.66,243,2.67,13
2011-06-01 00:00:00+00,11.19,11.3,11,11.3,0.98,430,4.8,14
2011-06-02 00:00:00+00,11.3,11.3,11.3,11.3,0,109,1.23,5
2011-06-03 00:00:00+00,11.3,11.4,11.28,11.3,0,149,1.68,8
2011-06-06 00:00:00+00,11.3,11.3,11.1,11.23,-0.62,86,0.96,9
2011-06-07 00:00:00+00,11.38,11.38,11.37,11.37,1.25,37,0.42,10
2011-06-08 00:00:00+00,11.38,11.38,11.1,11.1,-2.37,20,0.22,2
2011-06-09 00:00:00+00,11.1,11.12,11.1,11.12,0.18,20,0.22,2
2011-06-10 00:00:00+00,11.28,11.28,11.28,11.28,1.44,6,0.07,1
2011-06-13 00:00:00+00,11.29,11.39,11.28,11.28,0,61,0.69,4
2011-06-14 00:00:00+00,11.25,11.25,10.81,10.81,-4.17,921,10.19,28
2011-06-15 00:00:00+00,10.8,11.08,10.8,11,1.76,81,0.89,6
2011-06-16 00:00:00+00,11.07,11.08,11.07,11.08,0.73,25,0.28,4
2011-06-17 00:00:00+00,11.08,11.08,10.93,10.93,-1.35,306,3.37,9
2011-06-20 00:00:00+00,11.08,11.08,11,11,0.64,72,0.79,2
2011-06-21 00:00:00+00,11.08,11.08,10.82,10.9,-0.91,348,3.81,9
2011-06-22 00:00:00+00,10.97,10.99,10.8,10.8,-0.92,833,9.03,9
2011-06-24 00:00:00+00,10.95,10.95,10.9,10.9,0.93,156,1.7,10
2011-06-27 00:00:00+00,10.95,10.98,10.95,10.97,0.64,128,1.41,11
2011-06-28 00:00:00+00,10.97,10.98,10.66,10.95,-0.18,1089,11.87,30
2011-06-29 00:00:00+00,10.95,10.95,10.9,10.9,-0.46,35,0.38,4
2011-06-30 00:00:00+00,10.89,10.9,10.89,10.9,0,201,2.19,5
2011-07-01 00:00:00+00,10.9,10.9,10.9,10.9,0,10,0.11,1
