date,open,high,low,close,difference,volume,turnover,transactions
2008-01-25 00:00:00+00,3.87,3.87,3.3,3.65,8.96,1625,11.64,8
2008-01-28 00:00:00+00,3.3,3.5,3.3,3.49,-4.38,9573,64.71,12
2008-01-29 00:00:00+00,3.5,3.5,3.4,3.5,0.29,4408,30.85,9
2008-01-30 00:00:00+00,3.41,3.5,3.4,3.5,0,2104,14.37,10
2008-01-31 00:00:00+00,3.59,3.59,3.36,3.59,2.57,1618,10.88,4
2008-02-01 00:00:00+00,3.75,3.77,3.55,3.6,0.28,5326,38.73,15
2008-02-04 00:00:00+00,3.61,3.7,3.51,3.7,2.78,3583,25.79,5
2008-02-05 00:00:00+00,3.61,3.69,3.61,3.69,-0.27,1036,7.58,5
2008-02-06 00:00:00+00,3.6,3.65,3.49,3.65,-1.08,1863,13.12,8
2008-02-07 00:00:00+00,3.64,3.65,3.64,3.65,0,1717,12.51,4
2008-02-08 00:00:00+00,3.65,3.74,3.65,3.74,2.47,31051,228.81,22
2008-02-11 00:00:00+00,3.68,3.76,3.68,3.69,-1.34,4177,30.93,9
2008-02-12 00:00:00+00,3.69,3.69,3.37,3.69,0,2012,14.14,9
2008-02-13 00:00:00+00,3.69,3.75,3.68,3.75,1.63,1363,10.17,7
2008-02-14 00:00:00+00,3.77,3.8,3.77,3.78,0.8,5759,43.59,9
2008-02-15 00:00:00+00,0,0,0,3.78,0,0,0,0
2008-02-18 00:00:00+00,3.75,3.85,3.51,3.75,-0.79,2201,16.52,6
2008-02-19 00:00:00+00,3.71,3.84,3.71,3.84,2.4,5299,39.64,7
2008-02-20 00:00:00+00,3.9,3.9,3.65,3.84,0,1055,8,5
2008-02-21 00:00:00+00,3.83,3.94,3.75,3.94,2.6,2154,16.8,9
2008-02-22 00:00:00+00,3.84,3.84,3.76,3.84,-2.54,2888,22.11,7
2008-02-25 00:00:00+00,3.8,3.84,3.8,3.84,0,3056,23.44,6
2008-02-26 00:00:00+00,3.82,3.84,3.66,3.84,0,2405,18.38,9
2008-02-27 00:00:00+00,3.71,3.83,3.66,3.82,-0.52,1823,13.82,7
2008-02-28 00:00:00+00,3.81,3.81,3.81,3.81,-0.26,133,1.01,1
2008-02-29 00:00:00+00,3.7,3.8,3.66,3.8,-0.26,10539,79.61,6
2008-03-03 00:00:00+00,3.45,3.7,3.44,3.7,-2.63,2904,20.6,13
2008-03-04 00:00:00+00,3.5,3.5,3.16,3.16,-14.59,3174,21.4,16
2008-03-05 00:00:00+00,3.17,3.45,3.17,3.35,6.01,749,4.87,7
2008-03-06 00:00:00+00,3.31,3.57,3.3,3.35,0,3360,22.38,12
2008-03-07 00:00:00+00,3.27,3.55,3.27,3.35,0,2983,20.43,12
2008-03-10 00:00:00+00,3.55,3.55,3.54,3.54,5.67,722,5.12,2
2008-03-11 00:00:00+00,3.2,3.6,3.2,3.6,1.69,17133,119.71,14
2008-03-12 00:00:00+00,3.4,3.6,3.25,3.6,0,6149,42.78,15
2008-03-13 00:00:00+00,0,0,0,3.6,0,0,0,0
2008-03-14 00:00:00+00,0,0,0,3.6,0,0,0,0
2008-03-17 00:00:00+00,3.31,3.55,3.3,3.49,-3.06,5425,36.74,23
2008-03-18 00:00:00+00,3.3,3.5,3.3,3.5,0.29,1677,11.6,7
2008-03-19 00:00:00+00,3.41,3.55,3.41,3.55,1.43,4163,28.95,12
2008-03-20 00:00:00+00,0,0,0,3.55,0,0,0,0
2008-03-25 00:00:00+00,3.4,3.85,3.4,3.78,6.48,29934,226.8,24
2008-03-26 00:00:00+00,3.79,3.86,3.79,3.85,1.85,10150,78.04,18
2008-03-27 00:00:00+00,3.84,3.85,3.84,3.85,0,2405,18.51,6
2008-03-28 00:00:00+00,0,0,0,3.85,0,0,0,0
2008-03-31 00:00:00+00,3.84,3.84,3.73,3.73,-3.12,8683,65.72,9
2008-04-01 00:00:00+00,3.84,3.86,3.8,3.8,1.88,16683,128,19
2008-04-02 00:00:00+00,3.8,4.04,3.8,4.01,5.53,41834,328.06,31
2008-04-03 00:00:00+00,4.04,4.04,3.94,3.99,-0.5,9313,74.32,15
2008-04-04 00:00:00+00,3.99,4.06,3.77,4,0.25,5110,40.7,11
2008-04-07 00:00:00+00,4.06,4.06,4,4,0,340,2.74,2
2008-04-08 00:00:00+00,3.8,4.04,3.74,4.04,1,6748,53.47,24
2008-04-09 00:00:00+00,4,4.03,4,4,-0.99,3839,30.78,10
2008-04-10 00:00:00+00,3.8,4.02,3.8,4.02,0.5,32,0.24,2
2008-04-11 00:00:00+00,3.8,4.01,3.8,4.01,-0.25,1086,8.26,3
2008-04-14 00:00:00+00,4.05,4.05,3.93,4.05,1,1079,8.49,6
2008-04-15 00:00:00+00,4.02,4.02,3.97,3.97,-1.98,17872,142.02,9
2008-04-16 00:00:00+00,3.72,3.97,3.72,3.97,0,3719,28.87,9
