date,open,high,low,close,difference,volume,turnover,transactions
2007-01-29 00:00:00+00,59,59,52.95,56,5.76,669562,75318.59,2917
2007-01-30 00:00:00+00,55.75,55.9,54,54.1,-3.39,166911,18163.41,994
2007-01-31 00:00:00+00,54.3,55.4,54.25,55,1.66,70792,7790.74,471
2007-02-01 00:00:00+00,55.5,55.5,54.85,54.9,-0.18,39745,4383.36,294
2007-02-02 00:00:00+00,55.2,55.2,53.85,53.95,-1.73,33787,3658.19,320
2007-02-05 00:00:00+00,55,55,51.3,51.5,-4.54,85702,8983.05,729
2007-02-06 00:00:00+00,51.4,52,50.55,51.3,-0.39,107432,11038.57,354
2007-02-07 00:00:00+00,51.35,51.45,51.1,51.1,-0.39,66171,6778.61,211
2007-02-08 00:00:00+00,51.3,51.3,49.5,49.8,-2.54,101072,10132.85,353
2007-02-09 00:00:00+00,49.71,51,49.71,50.35,1.1,17407,1750.48,201
2007-02-12 00:00:00+00,50.4,51.25,50.4,50.6,0.5,27848,2822.34,138
2007-02-13 00:00:00+00,51,51,50.05,51,0.79,7683,776.53,84
2007-02-14 00:00:00+00,51.2,51.3,50.8,51.3,0.59,23924,2436.25,132
2007-02-15 00:00:00+00,51.95,51.95,51.05,51.55,0.49,10543,1085.29,77
2007-02-16 00:00:00+00,51.7,51.7,51,51.35,-0.39,33037,3384.09,77
2007-02-19 00:00:00+00,51.3,51.3,50.1,50.95,-0.78,39827,4035.92,152
2007-02-20 00:00:00+00,51,51,50.05,50.6,-0.69,152209,15361.9,122
2007-02-21 00:00:00+00,50.6,50.6,50,50.35,-0.49,100460,10093.66,177
2007-02-22 00:00:00+00,50.4,50.4,50.05,50.2,-0.3,19239,1930.09,97
2007-02-23 00:00:00+00,50.1,50.1,49.5,49.7,-1,16543,1645.86,182
2007-02-26 00:00:00+00,48.21,50.45,48.21,50,0.6,24596,2425.7,170
2007-02-27 00:00:00+00,50,50.5,48.45,48.9,-2.2,102398,10138.51,221
2007-02-28 00:00:00+00,45,47.9,45,47.5,-2.86,17331,1620.29,195
2007-03-01 00:00:00+00,47.5,48.79,46,46.11,-2.93,13196,1240.94,120
2007-03-02 00:00:00+00,46.06,46.8,45.7,46.5,0.85,7631,702.95,106
2007-03-05 00:00:00+00,45.69,45.69,45,45.25,-2.69,13420,1213.96,149
2007-03-06 00:00:00+00,45.22,46.2,44.8,46,1.66,21349,1933.18,114
2007-03-07 00:00:00+00,46.1,46.88,46,46.6,1.3,4433,412.63,73
2007-03-08 00:00:00+00,47.02,47.5,47.02,47.47,1.87,23805,2260.74,73
2007-03-09 00:00:00+00,48,48,47,47.2,-0.57,6442,613.55,66
2007-03-12 00:00:00+00,47.48,47.5,46.7,46.7,-1.06,50555,4751.37,67
2007-03-13 00:00:00+00,46.5,46.5,45.8,46,-1.5,19496,1794.35,65
2007-03-14 00:00:00+00,45.5,45.5,44.6,44.75,-2.72,49974,4495.26,139
2007-03-15 00:00:00+00,44.77,45.39,44.75,45.24,1.09,5092,458.58,78
2007-03-16 00:00:00+00,45.1,45.9,44.83,45.5,0.57,34186,3075.35,63
2007-03-19 00:00:00+00,45.55,46.2,44.95,45.1,-0.88,23598,2133.12,110
2007-03-20 00:00:00+00,45.3,45.5,45,45.1,0,30098,2714.4,93
2007-03-21 00:00:00+00,45.1,45.9,45.1,45.5,0.89,37381,3374.01,99
2007-03-22 00:00:00+00,45.99,45.99,45.2,45.5,0,15375,1402.11,143
2007-03-23 00:00:00+00,45.8,45.8,45,45.49,-0.02,6116,554.3,101
2007-03-26 00:00:00+00,47.21,49.3,45.5,48.5,6.62,147925,14140.35,660
2007-03-27 00:00:00+00,49.5,52.25,49.5,49.5,2.06,89869,9090.51,767
2007-03-28 00:00:00+00,50.45,50.45,47.74,47.74,-3.56,53381,5176.23,274
2007-03-29 00:00:00+00,48,49,47.5,48.1,0.75,12926,1250.08,158
2007-03-30 00:00:00+00,48.89,48.89,47.25,48.48,0.79,78455,7456.08,191
2007-04-02 00:00:00+00,48.69,48.69,46.5,47.11,-2.83,25785,2451.25,167
2007-04-03 00:00:00+00,47.19,47.5,46.71,47.4,0.62,11566,1091.55,124
2007-04-04 00:00:00+00,47.97,47.97,46.9,47.5,0.21,21926,2074.3,114
2007-04-05 00:00:00+00,47.75,47.75,46.9,47.02,-1.01,5186,488.48,84
2007-04-10 00:00:00+00,47.08,47.08,46.12,46.3,-1.53,60327,5587.62,202
2007-04-11 00:00:00+00,46.5,46.5,45.88,46,-0.65,23835,2193.37,182
