date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,0,0,0,2.8,0,0,0,0
2005-01-04 00:00:00+00,2.67,2.75,2.67,2.75,-1.79,1576,8.48,5
2005-01-05 00:00:00+00,2.67,2.7,2.6,2.7,-1.82,5139,27.5,11
2005-01-06 00:00:00+00,2.61,2.7,2.6,2.7,0,1439,7.57,9
2005-01-07 00:00:00+00,2.79,3.06,2.74,3,11.11,38638,228.7,80
2005-01-10 00:00:00+00,2.95,2.95,2.87,2.87,-4.33,10064,58.57,12
2005-01-11 00:00:00+00,0,0,0,2.87,0,0,0,0
2005-01-12 00:00:00+00,2.82,3.09,2.8,2.95,2.79,9321,54.6,24
2005-01-13 00:00:00+00,3.08,3.16,2.99,3.05,3.39,26624,163.28,57
2005-01-14 00:00:00+00,3.06,3.07,3.01,3.05,0,10487,63.6,20
2005-01-17 00:00:00+00,3.06,3.06,3,3,-1.64,3950,23.85,18
2005-01-18 00:00:00+00,3,3.03,2.98,2.98,-0.67,3439,20.64,11
2005-01-19 00:00:00+00,2.98,2.98,2.98,2.98,0,1282,7.64,4
2005-01-20 00:00:00+00,2.91,2.91,2.91,2.91,-2.35,200,1.16,1
2005-01-21 00:00:00+00,3,3,2.95,3,3.09,3993,23.93,11
2005-01-24 00:00:00+00,3,3,3,3,0,1900,11.4,3
2005-01-25 00:00:00+00,3,3,2.85,2.97,-1,8725,51.59,8
2005-01-26 00:00:00+00,2.97,2.99,2.9,2.9,-2.36,2408,14.14,6
2005-01-27 00:00:00+00,2.85,2.95,2.85,2.95,1.72,1282,7.41,5
2005-01-28 00:00:00+00,2.89,3,2.88,3,1.69,3911,22.84,10
2005-01-31 00:00:00+00,3,3,2.95,2.95,-1.67,1386,8.23,9
2005-02-01 00:00:00+00,3,3,2.9,2.9,-1.69,1648,9.8,7
2005-02-02 00:00:00+00,2.91,2.99,2.91,2.95,1.72,5118,30.2,11
2005-02-03 00:00:00+00,2.92,2.99,2.92,2.99,1.36,1600,9.5,6
2005-02-04 00:00:00+00,0,0,0,2.99,0,0,0,0
2005-02-07 00:00:00+00,0,0,0,2.99,0,0,0,0
2005-02-08 00:00:00+00,0,0,0,2.99,0,0,0,0
2005-02-09 00:00:00+00,3.08,4.25,3.08,4.25,42.14,240749,1768.28,433
2005-02-10 00:00:00+00,4.47,4.9,3.9,3.99,-6.12,398638,3505.49,802
2005-02-11 00:00:00+00,4.01,4.03,3.5,3.5,-12.28,86996,646.26,211
2005-02-14 00:00:00+00,3.36,3.49,3.25,3.45,-1.43,52985,357.93,135
2005-02-15 00:00:00+00,3.4,3.45,3.31,3.4,-1.45,15704,106.21,39
2005-02-16 00:00:00+00,3.31,3.48,3.3,3.43,0.88,14774,100.12,44
2005-02-17 00:00:00+00,3.44,3.44,3.3,3.32,-3.21,8026,53.64,34
2005-02-18 00:00:00+00,3.32,3.62,3.2,3.4,2.41,40875,276.93,97
2005-02-21 00:00:00+00,3.55,4.05,3.55,4.02,18.24,199689,1539.48,384
2005-02-22 00:00:00+00,3.82,3.93,3.67,3.74,-6.97,130633,984.06,264
2005-02-23 00:00:00+00,3.7,3.75,3.6,3.69,-1.34,38096,279.79,91
2005-02-24 00:00:00+00,3.7,3.85,3.58,3.7,0.27,34181,255.73,73
2005-02-25 00:00:00+00,3.71,3.78,3.63,3.7,0,8803,65,39
2005-02-28 00:00:00+00,3.62,3.7,3.51,3.56,-3.78,10802,77.52,23
2005-03-01 00:00:00+00,3.55,3.66,3.44,3.55,-0.28,12420,88.29,29
2005-03-02 00:00:00+00,3.49,3.49,3.38,3.39,-4.51,10347,70.62,22
2005-03-03 00:00:00+00,3.5,3.59,3.45,3.5,3.24,10094,70.63,22
2005-03-04 00:00:00+00,3.55,3.7,3.5,3.69,5.43,13974,100.61,37
2005-03-07 00:00:00+00,3.64,3.65,3.51,3.58,-2.98,9198,66.14,21
2005-03-08 00:00:00+00,3.63,3.65,3.49,3.65,1.96,9239,65.91,26
2005-03-09 00:00:00+00,3.65,3.65,3.53,3.6,-1.37,4071,29.04,13
2005-03-10 00:00:00+00,3.6,3.6,3.53,3.59,-0.28,7450,53.26,15
