date,open,high,low,close,difference,volume,turnover,transactions
2015-09-25 00:00:00+00,8,8.1,8,8.1,1.25,3975,32.16,20
2015-09-28 00:00:00+00,8.01,8.18,7.8,8.08,-0.25,3342,26.39,14
2015-09-29 00:00:00+00,8,8.05,8,8,-0.99,804,6.43,6
2015-09-30 00:00:00+00,7.9,8,7.86,8,0,2890,22.94,9
2015-10-01 00:00:00+00,8,8,7.93,7.99,-0.13,2311,18.42,12
2015-10-02 00:00:00+00,7.9,8,7.9,8,0.13,5391,42.89,16
2015-10-05 00:00:00+00,8,8,7.97,7.97,-0.38,1704,13.59,5
2015-10-06 00:00:00+00,7.94,7.96,7.94,7.96,-0.13,2884,22.92,8
2015-10-07 00:00:00+00,7.99,7.99,7.88,7.9,-0.75,2200,17.4,6
2015-10-08 00:00:00+00,7.91,8,7.91,7.99,1.14,9789,77.74,23
2015-10-09 00:00:00+00,8,8.08,7.96,8.05,0.75,3328,26.73,7
2015-10-12 00:00:00+00,7.92,7.92,7.85,7.85,-2.48,4300,34.01,8
2015-10-13 00:00:00+00,7.85,8,7.8,7.8,-0.64,15027,117.57,22
2015-10-14 00:00:00+00,7.8,8,7.8,8,2.56,26569,207.43,6
2015-10-15 00:00:00+00,8,8,7.8,7.9,-1.25,17241,134.56,11
2015-10-16 00:00:00+00,7.8,7.9,7.8,7.9,0,3130,24.43,10
2015-10-19 00:00:00+00,7.9,7.9,7.8,7.9,0,3167,24.82,14
2015-10-20 00:00:00+00,7.9,7.9,7.85,7.85,-0.63,598,4.7,3
2015-10-21 00:00:00+00,7.85,7.85,7.75,7.8,-0.64,3318,25.9,7
2015-10-22 00:00:00+00,7.8,7.8,7.56,7.8,0,4600,35.64,15
2015-10-23 00:00:00+00,7.82,7.9,7.82,7.85,0.64,3823,30.06,8
2015-10-26 00:00:00+00,7.85,7.9,7.81,7.81,-0.51,2108,16.61,10
2015-10-27 00:00:00+00,7.85,7.85,7.5,7.7,-1.41,5372,41.22,19
2015-10-28 00:00:00+00,7.7,7.7,7.5,7.69,-0.13,3325,25.12,22
2015-10-29 00:00:00+00,7.5,7.68,7.5,7.68,-0.13,516,3.87,4
2015-10-30 00:00:00+00,7.6,7.68,7.6,7.68,0,1510,11.48,2
2015-11-02 00:00:00+00,7.7,7.7,7.5,7.64,-0.52,4760,36.28,9
2015-11-03 00:00:00+00,7.64,7.65,7.64,7.65,0.13,3544,27.1,8
2015-11-04 00:00:00+00,7.65,7.79,7.65,7.79,1.83,516,3.96,4
2015-11-05 00:00:00+00,7.68,7.7,7.65,7.7,-1.16,990,7.61,7
