date,open,high,low,close,difference,volume,turnover,transactions
2015-05-07 00:00:00+00,35.25,36,34.6,35,9.38,445934,15613.19,436
2015-05-08 00:00:00+00,35.58,35.6,35.05,35.13,0.37,23827,842.77,118
2015-05-11 00:00:00+00,35.5,35.5,35,35,-0.37,85690,3001.08,55
2015-05-12 00:00:00+00,35.1,35.1,34.9,34.9,-0.29,97753,3421.25,26
2015-05-13 00:00:00+00,34.81,34.95,34.3,34.3,-1.72,3140,108.54,31
2015-05-14 00:00:00+00,34.4,34.85,34.05,34.85,1.6,2613,89.54,17
2015-05-15 00:00:00+00,34.5,35.2,34.5,35.2,1,3016,105.32,24
2015-05-18 00:00:00+00,35.35,35.5,34.82,34.82,-1.08,13626,482.76,24
2015-05-19 00:00:00+00,34.7,34.85,34.7,34.8,-0.06,57928,2010.41,21
2015-05-20 00:00:00+00,34.75,35.4,34.75,34.8,0,2438,84.81,11
2015-05-21 00:00:00+00,35.5,35.5,35.01,35.01,0.6,505,17.92,4
2015-05-22 00:00:00+00,34.72,35.48,34.72,34.82,-0.54,49004,1703.98,10
2015-05-25 00:00:00+00,35.38,35.38,35.38,35.38,1.61,145,5.13,1
2015-05-26 00:00:00+00,34.85,34.85,34.85,34.85,-1.5,63,2.2,2
2015-05-27 00:00:00+00,34.51,35,34.51,34.75,-0.29,77478,2701.07,57
2015-05-28 00:00:00+00,34.7,34.84,34.52,34.75,0,40900,1420.78,71
2015-05-29 00:00:00+00,34.41,34.9,34.41,34.8,0.14,13155,457.35,80
2015-06-01 00:00:00+00,34.7,34.85,34.55,34.75,-0.14,6014,209,48
2015-06-02 00:00:00+00,34.7,34.75,34.5,34.75,0,25680,890.61,83
2015-06-03 00:00:00+00,34.5,34.8,34.5,34.68,-0.2,15199,527.58,67
2015-06-05 00:00:00+00,34.65,34.65,34.6,34.6,-0.23,32675,1132.09,31
2015-06-08 00:00:00+00,34.58,34.8,34.58,34.8,0.58,5520,191.67,49
2015-06-09 00:00:00+00,34.6,34.6,34.6,34.6,-0.57,33436,1156.89,28
2015-06-10 00:00:00+00,34.6,34.7,34.52,34.56,-0.12,12850,444.47,56
2015-06-11 00:00:00+00,34.7,34.7,34.52,34.55,-0.03,49794,1721.23,94
2015-06-12 00:00:00+00,34.65,34.65,34.55,34.55,0,7679,265.89,51
2015-06-15 00:00:00+00,34.8,34.8,34.6,34.6,0.14,3310,114.71,34
2015-06-16 00:00:00+00,34.6,34.75,34.48,34.75,0.43,21427,742.38,82
2015-06-17 00:00:00+00,34.8,34.8,34.65,34.7,-0.14,14524,504.46,54
2015-06-18 00:00:00+00,34.75,34.85,34.75,34.78,0.23,3781,131.42,27
2015-06-19 00:00:00+00,34.75,34.9,34.48,34.48,-0.86,12203,425.23,66
2015-06-22 00:00:00+00,34.51,34.7,34.51,34.6,0.35,3952,136.71,38
2015-06-23 00:00:00+00,34.8,34.8,34.6,34.6,0,6412,221.92,34
2015-06-24 00:00:00+00,34.61,34.9,34.61,34.77,0.49,13837,481.97,73
2015-06-25 00:00:00+00,34.7,34.8,34.7,34.7,-0.2,1112,38.6,17
2015-06-26 00:00:00+00,34.6,34.6,34.54,34.58,-0.35,622,21.5,15
2015-06-29 00:00:00+00,34,34,31.35,33.7,-2.54,10057,336.02,94
2015-06-30 00:00:00+00,33.51,33.7,33.51,33.67,-0.09,1051,35.3,24
2015-07-01 00:00:00+00,33.67,34.88,33.67,34.86,3.53,14142,487.82,89
2015-07-02 00:00:00+00,34.88,34.92,34.2,34.85,-0.03,11191,389.75,60
2015-07-03 00:00:00+00,34.85,34.92,34.19,34.5,-1,15246,527.7,82
2015-07-06 00:00:00+00,34.25,34.9,34.05,34.9,1.16,43507,1507.3,65
2015-07-07 00:00:00+00,34.5,34.7,34.5,34.5,-1.15,2031,70.27,30
2015-07-08 00:00:00+00,34.8,34.8,34.5,34.5,0,15814,546.83,67
2015-07-09 00:00:00+00,34.6,34.6,34.2,34.5,0,4575,157.5,39
2015-07-10 00:00:00+00,34.5,34.79,34.45,34.5,0,70382,2430.44,58
2015-07-13 00:00:00+00,34.7,34.7,34,34.28,-0.64,16795,576.31,76
2015-07-14 00:00:00+00,34.34,34.37,34,34.25,-0.09,11416,390.7,28
2015-07-15 00:00:00+00,34.25,34.6,34.02,34.6,1.02,3783,130.2,28
2015-07-16 00:00:00+00,34.7,35.91,34.6,35.7,3.18,34353,1203.55,174
2015-07-17 00:00:00+00,35.51,36.63,35.51,36.62,2.58,247329,8867.13,126
2015-07-20 00:00:00+00,36.62,36.62,36.05,36.5,-0.33,17220,628.09,55
