date,open,high,low,close,difference,volume,turnover,transactions
2015-11-09 00:00:00+00,18.7,19,18,18.16,6.82,23855,438.83,56
2015-11-10 00:00:00+00,18.18,18.9,17.5,17.6,-3.08,9865,179.93,62
2015-11-12 00:00:00+00,18.5,18.5,17.6,17.85,1.42,533,9.51,13
2015-11-13 00:00:00+00,18,18,17.8,17.9,0.28,429,7.68,8
2015-11-16 00:00:00+00,17.9,17.9,17.7,17.7,-1.12,237,4.23,6
2015-11-17 00:00:00+00,17.9,17.9,17.7,17.7,0,7634,135.12,4
2015-11-18 00:00:00+00,17.9,17.9,17.55,17.6,-0.56,233,4.09,6
2015-11-19 00:00:00+00,17.55,17.7,17.55,17.7,0.57,11575,204.53,13
2015-11-20 00:00:00+00,17.9,17.9,17.7,17.7,0,5000,88.58,3
2015-11-23 00:00:00+00,17.7,17.7,17,17,-3.95,26456,465.57,7
2015-11-24 00:00:00+00,17.49,17.5,17.48,17.5,2.94,34719,607.58,13
2015-11-25 00:00:00+00,17.3,17.3,17.3,17.3,-1.14,1,0.02,1
2015-11-26 00:00:00+00,17.5,17.5,17.5,17.5,1.16,684,11.97,4
2015-11-27 00:00:00+00,17.5,17.5,17.5,17.5,0,400,7,2
2015-11-30 00:00:00+00,17.3,17.85,17.3,17.85,2,1055,18.8,3
2015-12-01 00:00:00+00,17.05,17.5,16.15,17.25,-3.36,3099,53.02,19
2015-12-02 00:00:00+00,17.25,17.25,17,17,-1.45,207,3.52,7
2015-12-03 00:00:00+00,16.07,16.2,16.07,16.2,-4.71,6017,97.09,21
2015-12-04 00:00:00+00,16.07,17,15.05,17,4.94,6369,106.73,22
2015-12-07 00:00:00+00,17.05,17.05,16.05,16.05,-5.59,141,2.32,3
2015-12-08 00:00:00+00,16.25,17.15,16.25,17,5.92,8047,136.74,9
2015-12-09 00:00:00+00,16.1,17,16.1,17,0,2111,35.82,6
2015-12-10 00:00:00+00,16.99,17,16.99,17,0,463,7.87,5
2015-12-11 00:00:00+00,17,17,17,17,0,20844,354.35,8
2015-12-14 00:00:00+00,17,17,16,16,-5.88,38200,616.34,16
2015-12-15 00:00:00+00,15.4,16.27,15.4,15.89,-0.69,52527,835.12,17
2015-12-16 00:00:00+00,15.85,16.3,15.5,15.89,0,1241,19.59,11
2015-12-17 00:00:00+00,15.5,15.9,15.4,15.5,-2.45,26842,421.59,30
2015-12-18 00:00:00+00,15.11,15.5,15.01,15.35,-0.97,2008,30.81,18
2015-12-21 00:00:00+00,15.09,15.09,15,15,-2.28,1319,19.81,15
2015-12-22 00:00:00+00,15.15,15.3,15,15,0,40184,602.81,10
2015-12-23 00:00:00+00,14.5,15.1,14.5,14.95,-0.33,5776,86.6,11
2015-12-28 00:00:00+00,14.95,15.9,14.95,15.9,6.35,148,2.21,3
2015-12-29 00:00:00+00,15.51,15.51,15.02,15.5,-2.52,5712,88.45,9
2015-12-30 00:00:00+00,15.5,17,15.5,17,9.68,4284,71.36,26
2016-01-04 00:00:00+00,17,17,16.5,16.5,-2.94,111,1.84,4
2016-01-05 00:00:00+00,15.51,17,15.51,16,-3.03,644,10.31,6
2016-01-07 00:00:00+00,16.05,16.15,16,16,0,438,7.04,7
2016-01-08 00:00:00+00,16.04,16.04,15,15.51,-3.06,581,8.96,13
2016-01-11 00:00:00+00,15.02,15.91,15.02,15.91,2.58,6,0.09,4
2016-01-12 00:00:00+00,0,0,0,15.91,0,0,0,0
2016-01-13 00:00:00+00,15.04,15.04,15,15.01,-5.66,2388,35.87,12
2016-01-14 00:00:00+00,15.08,15.1,15,15.01,0,1656,24.88,11
2016-01-15 00:00:00+00,14.81,15.62,14.5,14.5,-3.4,1501,21.86,9
2016-01-18 00:00:00+00,14.55,14.55,14.55,14.55,0.34,27,0.39,2
2016-01-19 00:00:00+00,15,15.3,14.6,14.6,0.34,208,3.06,5
2016-01-20 00:00:00+00,14.3,14.46,14,14.46,-0.96,1163,16.4,10
2016-01-21 00:00:00+00,14.05,14.5,14.01,14.5,0.28,1478,21.11,18
2016-01-22 00:00:00+00,14.5,14.5,14.44,14.44,-0.41,13895,201.14,46
