date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,34.5,34.5,33.1,34,-0.58,515,35.18,10
2005-01-04 00:00:00+00,33,33.9,33,33.9,-0.29,1578,105.46,16
2005-01-05 00:00:00+00,33,33.8,33,33.8,-0.29,2096,140.15,15
2005-01-06 00:00:00+00,33,33.5,33,33.5,-0.89,341,22.68,11
2005-01-07 00:00:00+00,33.5,33.5,33,33.2,-0.9,7737,512.71,30
2005-01-10 00:00:00+00,32.3,33.5,32.3,33.5,0.9,465,30.77,13
2005-01-11 00:00:00+00,33.4,34.2,33.3,33.3,-0.6,1887,127.61,20
2005-01-12 00:00:00+00,33.4,34.3,33,34,2.1,1605,108.07,13
2005-01-13 00:00:00+00,33.2,35,33,35,2.94,1790,122.17,22
2005-01-14 00:00:00+00,35,35,33.3,33.6,-4,1471,102.12,23
2005-01-17 00:00:00+00,33.8,34.8,33.8,34.8,3.57,1038,70.83,16
2005-01-18 00:00:00+00,33.9,34.5,33.2,34.5,-0.86,620,42.02,13
2005-01-19 00:00:00+00,34.7,34.7,34.1,34.6,0.29,310,21.4,4
2005-01-20 00:00:00+00,34.5,34.5,34.5,34.5,-0.29,1046,72.17,6
2005-01-21 00:00:00+00,34.5,35.3,34.5,35.3,2.32,3887,272.17,22
2005-01-24 00:00:00+00,35.5,35.9,35,35.9,1.7,2507,177.81,25
2005-01-25 00:00:00+00,35.9,37,35.2,35.2,-1.95,7812,564.06,41
2005-01-26 00:00:00+00,35.5,36.1,35.5,36.1,2.56,1139,81.67,12
2005-01-27 00:00:00+00,36.1,36.5,36.1,36.5,1.11,3565,257.62,15
2005-01-28 00:00:00+00,34.4,36.7,34.4,36.5,0,2692,192,29
2005-01-31 00:00:00+00,36.5,36.5,35.6,36,-1.37,688,49.48,8
2005-02-01 00:00:00+00,35.7,36.1,35.5,36.1,0.28,3477,250.35,21
2005-02-02 00:00:00+00,36,36.5,36,36.4,0.83,497,35.92,13
2005-02-03 00:00:00+00,36.5,36.5,36,36.2,-0.55,3470,250.13,15
2005-02-04 00:00:00+00,35.5,35.6,35.5,35.6,-1.66,1380,98.02,14
2005-02-07 00:00:00+00,35.8,36.5,35.3,35.7,0.28,10290,740.25,46
2005-02-08 00:00:00+00,36,36,35.5,36,0.84,1621,116.39,18
2005-02-09 00:00:00+00,35.7,36,35.7,36,0,697,50.14,7
2005-02-10 00:00:00+00,36.1,36.1,35.6,35.6,-1.11,535,38.42,11
2005-02-11 00:00:00+00,35.6,36.2,35.6,36,1.12,637,45.96,7
2005-02-14 00:00:00+00,36.1,36.5,36.1,36.4,1.11,4491,327.53,17
2005-02-15 00:00:00+00,36.4,36.4,35,35.1,-3.57,11481,818.81,51
2005-02-16 00:00:00+00,35.8,36,35.2,36,2.56,9306,658.4,32
2005-02-17 00:00:00+00,35.8,36,35.4,35.7,-0.83,4649,330.86,36
2005-02-18 00:00:00+00,35.3,35.6,35.3,35.6,-0.28,767,54.56,8
2005-02-21 00:00:00+00,35.2,36.2,35.2,36,1.12,4337,312.94,15
2005-02-22 00:00:00+00,35.3,36.2,35.3,36.2,0.56,4717,339.61,24
2005-02-23 00:00:00+00,36.2,36.3,35.7,36.3,0.28,4940,357.42,25
2005-02-24 00:00:00+00,36,36.5,36,36.3,0,4600,335.26,25
2005-02-25 00:00:00+00,36.4,37.2,36.4,37.2,2.48,17551,1283.34,38
2005-02-28 00:00:00+00,37.5,37.5,36.9,37,-0.54,3994,296.59,26
2005-03-01 00:00:00+00,36.6,37,36.6,37,0,5461,403.61,14
2005-03-02 00:00:00+00,36.5,37,36,36.8,-0.54,6568,484.93,21
2005-03-03 00:00:00+00,36.5,38.9,36.5,37.9,2.99,5821,440.74,41
2005-03-04 00:00:00+00,38.1,38.9,38,38.4,1.32,2230,171.07,34
2005-03-07 00:00:00+00,38.9,38.9,38,38.8,1.04,2824,217.58,21
2005-03-08 00:00:00+00,38.8,39,38.5,38.5,-0.77,2554,198.49,35
